name,url,telephone,tax_num,street,locality,region,postcode,country
"Peninsula Dancers, Inc.",http://,,EIN 92-0101640,Box 194,Kenai,AK,99611,USA
"Toastmasters International, Inc.",http://www.toastmasters.org,,EIN 94-2986008,Eagle River Loop Rd,Eagle River,AK,99577,USA
Spenard Church Of Christ,http://,,EIN 92-6002748,4409 Spenard Rd,Spenard,AK,99517,USA
Alaska Raptor Rehabilitation Center Inc Arrc,http://www.halcyon.com/jeanluc/ARRC/A.R.R.C.html,(907) 747-8662,EIN 92-0098901,1000 Raptor Way,Sitka,AK,99835,USA
Acs Childrens Fund,http://,,EIN 92-0082594,600 Telephone Ave # 8,Anchorage,AK,99503,USA
"Meditation-In-Motion, Inc.",http://,,EIN 94-3128123,1333 E 9th Ave B,Anchorage,AK,99501,USA
Alaska Watercolor Society,http://,,EIN 92-0064679,Po Box 90714,Anchorage,AK,99509,USA
Carenet Pregnancy Center Of The Tanana Valley,http://www.carenetfairbanks.com,(907) 455-8255,EIN 92-0132239,Po Box 82522,Fairbanks,AK,99708,USA
Petersburg Medical Center Foundation,http://www.pmcak.org,(907) 772-4291,EIN 92-0134279,Po Box 589,Petersburg,AK,99833,USA
Peninsula Oilers Baseball Club Inc,http://,,EIN 92-0136498,Po Box 318,Kenai,AK,99611,USA
Shalom Bible Fellowship,http://,,EIN 92-0065375,1546 Rosemary St,Anchorage,AK,99508,USA
Alaska Coalition On Housing & Homelessness,http://,(907) 743-5726,EIN 92-0137326,Po Box 200862,Anchorage,AK,99520,USA
Alaskan Sled Dog & Racing Association,http://www.asdra.org,,EIN 92-0084023,Po Box 110569,Anchorage,AK,99511,USA
Chugiak Soccer Club Inc,http://,(907) 696-1343,EIN 92-0158254,Po Box 773082,Eagle River,AK,99577,USA
Anchorage Center For Families Inc,http://,,EIN 92-0125360,400 D St Ste 210,Anchorage,AK,99501,USA
Anchorage Cultural Council,http://,,EIN 91-1787076,Po Box 101284,Anchorage,AK,99510,USA
Rotary International,http://,,EIN 92-0156411,Po Box 1205,Girdwood,AK,99587,USA
La Leche League Of Bristol Bay,http://www.lalecheleague.org/,,EIN 92-0146986,PO Box 1158,Dillingham,AK,99576,USA
Usa Swimming Inc,http://www.akswimming.org,(907) 337-5255,EIN 92-0086950,3140 Nowell Ave,Juneau,AK,99801,USA
Alaska Historical Society,http://,,EIN 92-0009456,Po Box 100299,Anchorage,AK,99510,USA
Coastalaska In,http://,,EIN 92-0058054,360 Egan Dr,Juneau,AK,99801,USA
Valdez Arts Council Inc,http://,,EIN 23-7328616,Po Box 31,Valdez,AK,99686,USA
Nick Begich Scholarship Intern Fund,http://,,EIN 92-0065700,Po Box 142711,Anchorage,AK,99514,USA
"Frontiers Of Faith Ministries, Inc.",http://,,EIN 23-7389564,PO Box 3,Sterling,AK,99672,USA
Lighthouse Christian School,http://,,EIN 92-0055823,913 College Rd,Fairbanks,AK,99701,USA
National Spiritual Assembly Of The Bahais Of Alaska Assembly Of Ocean,http://,,EIN 92-0075275,Po Box 10338,Anchorage,AK,99511,USA
JUNEAU ARTS AND HUMANITIES COUNCIL,http://jahc.org,(907) 586-2787,EIN 23-7243859,350 Whittier St. Suite 101,Juneau,AK,99801,USA
Anchorage Community College Alumni Association,http://,,EIN 94-3042564,2533 Providence Avenue,Anchorage,AK,99508,USA
INSTITUTE OF THE NORTH,http://www.institutenorth.org,907-786-6324,EIN 75-3155877,"1675 C Street, Suite 106",Anchorage,AK,99501,USA
Girdwood Inc,http://,,EIN 77-0631498,Po Box 1102,Girdwood,AK,99587,USA
Talkeetna Historical Society,http://,(907) 733-2487,EIN 92-0109160,Po Box 76,Talkeetna,AK,99676,USA
Hope Community Homes I Inc,http://,,EIN 91-1823436,540 W International Airport Rd,Anchorage,AK,99518,USA
Mary A Nordale House Foundation,http://,(907) 456-8901,EIN 91-1791912,805 Airport Way,Fairbanks,AK,99701,USA
Juneau Youth Football League Inc,http://www.juneaufootball.com/,(907) 789-3181,EIN 92-0079212,Po Box 211409,Auke Bay,AK,99821,USA
Copper Valley Historical Society,http://,,EIN 92-0067823,Po Box 84,Copper Center,AK,99573,USA
Alaska Search And Rescue Dogs Inc,http://,,EIN 94-3055594,200 West 34th Ave Box 655,Anchorage,AK,99503,USA
Sweet Adelines International,http://,,EIN 92-6003456,PO Box 91749,Anchorage,AK,99509,USA
Girwood Center For Visual Arts Inc,http://,(907) 743-0661,EIN 92-0115162,Po Box 678,Girdwood,AK,99587,USA
Anchorage Symphony Orchestra,http://www.anchoragesymphony.org,(907) 274-8668,EIN 92-6002867,400 D St Ste 230,Anchorage,AK,99501,USA
Alaska Network On Domestic Violence And Sexual Assault Inc,http://,,EIN 92-0087216,130 Seward St Ste 214,Juneau,AK,99801,USA
Alaska Pacific University,http://www.alaskapacific.edu,(907) 564-8204,EIN 92-0023588,4101 University Dr,Anchorage,AK,99508,USA
Word Of Faith Assembly Inc,http://,,EIN 92-0118546,Po Box 875147,Wasilla,AK,99687,USA
Alaska Literacy Program Inc,http://,,EIN 23-7451172,1345 Rudakof Cir Ste 104,Anchorage,AK,99508,USA
KOAHNIC BROADCAST CORPORATION,http://www.knba.org,907-793-3500,EIN 92-0139738,3600 San Jeronimo Ct Ste 480,Anchorage,AK,99508,USA
Alaska Assistance Dogs,http://,,EIN 92-0175661,1081 W Robins Song Ave,Wasilla,AK,99654,USA
Mid-Valley Seniors Incorporated,http://,(907) 892-6114,EIN 92-0107364,Po Box 520775,Big Lake,AK,99652,USA
Bridge Builders Of Anchorage,http://,,EIN 92-0163115,Po Box 240294,Anchorage,AK,99524,USA
Prince Of Wales Hatchery Association Inc,http://,,EIN 92-0157270,Po Box 554,Craig,AK,99921,USA
Salcha Fair Association Inc,http://,,EIN 92-0118522,Po Box 140086,Salcha,AK,99714,USA
Anchorage Police Chaplain Ministries,http://apfcm.org,,EIN 92-0123900,Po Box 200654,Anchorage,AK,99520,USA
Ketchikan Softball Association Inc,http://,,EIN 92-0135275,Po Box 5716,Ketchikan,AK,99901,USA
Eagle Wings Community Church,http://,,EIN 92-0146976,Po Box 21008,Juneau,AK,99802,USA
Calista Education And Culture Inc,http://,,EIN 92-0088631,5015 Business Park Blvd Ste 3000,Anchorage,AK,99503,USA
"International Ministerial Association, Inc.-Revival Tabernacle",http://,,EIN 92-0144024,PO Box 1537,Kenai,AK,99611,USA
Alaskans Against The Death Penalty,http://,,EIN 92-0148247,Po Box 210390,Anchorage,AK,99521,USA
Aasc Housing I Inc,http://,(907) 677-8490,EIN 92-0161891,2515 A St,Anchorage,AK,99503,USA
Civil Air Patrol Birchwood Squadron,http://www.capnhq.gov/,,EIN 58-1781014,Box 670733,Chugiak,AK,99567,USA
Center For Employment Education,http://,(907) 279-8451,EIN 92-0151776,520 E 34th Ave Ste 201,Anchorage,AK,99503,USA
Stroller White Pipes And Drums,http://,,EIN 92-0113926,4410 Windfall Ave,Juneau,AK,99801,USA
Homer Community Food Pantry,http://,(907) 235-1968,EIN 92-0153030,770 E End Rd,Homer,AK,99603,USA
Parents Families And Friends Of Lesbians And Gay Inc,http://,,EIN 92-0155266,Po Box 210872,Anchorage,AK,99521,USA
4-H Clubs And Affiliated 4-H Organizations,http://,,EIN 94-3076079,1514 S Cushman St 303,Fairbanks,AK,99701,USA
Institute Of Management Accountants Inc,http://,,EIN 23-7353275,14701 Prator St,Anchorage,AK,99516,USA
Library Services Inc,http://,,EIN 92-0111084,Hc 60 Box 223,Copper Center,AK,99573,USA
Alaska Chapter National Down Syndrome Congress,http://,(907) 271-4633,EIN 92-0133679,Po Box 241886,Anchorage,AK,99524,USA
Alaska Christian Ministries Association,http://,,EIN 92-0112776,2440 E Tudor Rd 150,Anchorage,AK,99507,USA
Ketchikan Volunteer Rescue Squad Inc,http://,,EIN 92-0107794,Po Box 5786,Ketchikan,AK,99901,USA
