name	url	telephone	tax_num	street	locality	region	postcode	country	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Causes	Results
Athens-Limestone Kidney Association Inc	http://		EIN 63-0763742	Po Box 417	Athens	AL	35612	USA	Athens Limestone Kidney Association provides transportation to and from home to the dialysis center located in Athens, Alabama, when friends & family can't provide the transportation.  Money from donations and fund raisers, such as the annual arts and crafts shows, are used for upkeep of the van that we have purchased, including gas, oil & insurance. We are currently raising money to replace the van when that becomes neccessary.  All officers, van drivers, workers & members are 100% volunteer. No one in this organization is paid. We do need more people to volunteer though.					Health, Health Support	
Fantasy Playhouse Childrens Theater	http://www.fantasyplayhouse.com	(256) 539-6829	EIN 63-6062217	3312 Long Ave Sw	Huntsville	AL	35805	USA	The organization's mission is to bring the magic of theatre and arts education				Fpct is now serving a thrid generation of alabamians as a gateway to theatre, creating new theatre audiences, performers and technical artists along the way. The fpct academy offers a variety of theatre arts training for children aged 3-18. In 2012, fpct expanded programming to include local school partnerships ("fantasy in the classroom") to teach basic acting curriculum to grades k-8 in partnering huntsville & madison city schools as well as private educational institutions. Fpct preserves and shares alabama's living cultural heritage by fostering the state's history of community theatre and providing an outlet for local artisans to create imaginative costumes, stunning makeup design, beautifully rendered scenic painting and set design. Final dress rehearsals will be presented free of charge to groups catering to underserved populations. There is no cost associated with performing in fpct shows and auditions are open to the public, which means casts are diverse along socio-economic lines. Fpct believes that no child should be denied an education in theatre arts and to that end, offers tuition assistance to students demostrating need and has provided preschool early music education and creative play classes to hundreds of children in west huntsville at second mile preschool.	Arts & Culture, Theater	
Sacred Healing Circle	http://		EIN 65-1261804	803 Hermitage Dr Pmb 201	Florence	AL	35630	USA	Community healing				Helping individuals families and communities heal by focusing resources on supporting programs that benefit native america and preserve its culture and traditions	Health, Voluntary Health Associations & Medical Disciplines	
Alabama Society For Crippled Children & Adults, Inc. Clay County	http://		EIN 63-6053099	Clay County Board of Education	Ashland	AL	36251	USA							
Ruth and Naomi Senior Outreach	http://www.ruthandnaomi.org	205 322 5469 ex 	EIN 20-4054755	2100 4th Ave, North	Birmingham	AL	35203	USA	To bring joy to isolated older adults through companionship, unconditional acceptance and the beauty of music.			greater Birmingham Alabama, consulting outside of Alabama	1. Conducted presentations and contacts. 2. Performed ministry of word and sacrament for memorial services, worship services and weddings. 3. Made visits for pastoral care. 5. Conducted harp therapy.	Civil Rights, Gerontology, Hospices, Philanthropy, Seniors, Seniors Rights, Voluntarism Promotion	
Talladega County Schools Foundation Inc	http://		EIN 63-1174427	Po Box 887	Talladega	AL	35161	USA						Education, Student Services	
National Association Of School Resource Officers Inc	http://www.nasro.org	(205) 536-9254	EIN 65-0612863	2020 Valleydale Rd Ste 207a	Hoover	AL	35244	USA	Nasro provides sound training for school resource officers allowing them to better perform their jobs and focus on keeping kids safe in schools.				Conference - the nasro conference brings together school resource officers, law enforcement, school security/safety professionals, school board members, school administrators, and others to receive superior training and networking oppurtunities.   training - attendees gain a solid working knowledge of the school resource officer concept and how to establish a lasting partnership with their schools.   the journal of school safety - this quarterly journal provides training information, informative articles on school safety, and other information of interest to nasro members and other interested constituents.	Children & Youth, Crime & Law, Disaster Aid, Safety Education, Youth Development Programs, Youth Violence Prevention	
Volunteer Connections Of Central Alabama Inc	http://		EIN 72-1368780	5030 Hwy 280 Ste C	Alexander City	AL	35010	USA						Human Services, Senior Centers, Seniors	
Evergreen Cemetery Perpetual Care Fund 1755000017	http://		EIN 63-6074232	Po Box 2886	Mobile	AL	36652	USA	MAINTENANCE, UPKEEP & CARE OF EVERGREEN CEMETERY					Cemeteries	
Foundation For National Political Leadership	http://		EIN 76-0387887	385 Eastland Dr	Lincoln	AL	35096	USA						Arts & Culture	
