name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year
Peninsula Dancers, Inc.	http://		EIN 92-0101640	Box 194	Kenai	AK	99611	USA							
Toastmasters International, Inc.	http://www.toastmasters.org		EIN 94-2986008	Eagle River Loop Rd	Eagle River	AK	99577	USA	Community Service Clubs	The mission of a Toastmasters Club is to provide a mutually supportive and positive learning environment in which every member has the opportunity to develop communication and leadership skills, which in turn foster self-confidence and personal growth.					
Spenard Church Of Christ	http://		EIN 92-6002748	4409 Spenard Rd	Spenard	AK	99517	USA							
Alaska Raptor Rehabilitation Center Inc Arrc	http://www.halcyon.com/jeanluc/ARRC/A.R.R.C.html	(907) 747-8662	EIN 92-0098901	1000 Raptor Way	Sitka	AK	99835	USA	Animals,Bird Sanctuaries	The organization provides medical and rehabilitative care to birds of prey.				Medical and rehabilitative care was provided to hundreds of eagles and other birds. Approximately 27,000 visitors to the center received raptor/wildlife education during the year.	
Acs Childrens Fund	http://		EIN 92-0082594	600 Telephone Ave # 8	Anchorage	AK	99503	USA							
Meditation-In-Motion, Inc.	http://		EIN 94-3128123	1333 E 9th Ave B	Anchorage	AK	99501	USA							
Alaska Watercolor Society	http://		EIN 92-0064679	Po Box 90714	Anchorage	AK	99509	USA							
Carenet Pregnancy Center Of The Tanana Valley	http://www.carenetfairbanks.com	(907) 455-8255	EIN 92-0132239	Po Box 82522	Fairbanks	AK	99708	USA	Health,Reproductive Health Care,Reproductive Rights	The mission statement of care net pregnancy center of the tanana valley is "serving women, upholding life. " this is accomplished by addressing the following needs: to save unborn children from abortion, to share the gospel with their parents, to minister to those already hurting from one or more abortions, and to educate youth in the community to choose and participate in healthy relationships, thereby reducing the teen pregnancy and std rates.				Through its main program, fyndout free clinic, care net pregnancy center provides life-affirming assistance for women facing unplanned pregnancy in the following ways: medical confirmations of pregnancy, options counseling, pregnancy support and post abortion grief healing group. Accomplishments/outputs in 2014 include: 1,078 total client visits from 394 total clients, 316 new clients, 266 pregnancy tests resulting in 176 positive pregnancy tests and 147 ultrasound exams provided. Outcomes include: 57 women at risk for abortion chose to carry to term.  step up now to healthy relationships, our positive youth development program provided education for 1,241 teens in 2014, encouraging and equipping them to avoid risky behavior, especially sexual activity outside of marriage.	
Petersburg Medical Center Foundation	http://www.pmcak.org	(907) 772-4291	EIN 92-0134279	Po Box 589	Petersburg	AK	99833	USA	General Hospitals,Health	To establish and maintain a support and assistance association for the general hospital in petersburg, alaska.				Contributed in meeting the medical demands by supporting nursing students through scholarships and supporting petersburg medical center programs, such as "beat the odds", a cancer support program.	
Peninsula Oilers Baseball Club Inc	http://		EIN 92-0136498	Po Box 318	Kenai	AK	99611	USA		AMATEUR BASEBALL PROMOTION					
Shalom Bible Fellowship	http://		EIN 92-0065375	1546 Rosemary St	Anchorage	AK	99508	USA							
Alaska Coalition On Housing & Homelessness	http://	(907) 743-5726	EIN 92-0137326	Po Box 200862	Anchorage	AK	99520	USA	Homeless & Housing,Housing Support	Development of strategies to end homelessness in alaska				Share information & resources regarding housing and homelessness issues throughout alaska. Assist members in engaging in dialogues to find opportunities for addressing these issues.	
Alaskan Sled Dog & Racing Association	http://www.asdra.org		EIN 92-0084023	Po Box 110569	Anchorage	AK	99511	USA		Preservation of the heritage of dog mushing, education of the culture of dog mushing & maintenance of public use facilities				The organization sponsors dog mushing events to train dog mushers and to educate the public, and the organization maintains the trails and facilities used by both the mushers and the general public.	
Chugiak Soccer Club Inc	http://	(907) 696-1343	EIN 92-0158254	Po Box 773082	Eagle River	AK	99577	USA	Soccer,Sports	Provide soccer programs for youth				The organization provided coaching, training of competitive and fundamental soccer programs for 500-1000 youths 8 to 18 years of age in eagle river, alaska.	
Anchorage Center For Families Inc	http://		EIN 92-0125360	400 D St Ste 210	Anchorage	AK	99501	USA	Child Day Care,Children & Youth						
Anchorage Cultural Council	http://		EIN 91-1787076	Po Box 101284	Anchorage	AK	99510	USA	Arts & Culture,Arts & Humanities Councils & Agencies						
Rotary International	http://		EIN 92-0156411	Po Box 1205	Girdwood	AK	99587	USA							
La Leche League Of Bristol Bay	http://www.lalecheleague.org/		EIN 92-0146986	PO Box 1158	Dillingham	AK	99576	USA	Health,Health Care	To help mothers worldwide to breastfeed through mother-to-mother support, encouragement, information and education, and to promote a better understanding of breastfeeding as an important element in the healthy development of the baby and the mother.					
Usa Swimming Inc	http://www.akswimming.org	(907) 337-5255	EIN 92-0086950	3140 Nowell Ave	Juneau	AK	99801	USA		Asi will promote competitive youth swimming in the state of alaska.				Collect and distribute to national afflilate, usa swimming, membership dues and meet fees collected from member clubs and swimmers.  travel assistance to members participating in state and national level championship swim meets. Organizations membership totaled over 2,800 athletes, coaches, and officials.  support alaska's all start team competing at the annual western zone championship swim meet. Provide equipment, meet fees, lodging, meals, and transportation for athletes, coaches, and chaperones.  host a usa swimming 'swimposium' in which experts in the area of coaching, officiating, club administration as well as an olympic athlete traveled to anchorage, alaska and provided information and instruction to alaska coaches, officials, club officers and swimmers.	
Alaska Historical Society	http://		EIN 92-0009456	Po Box 100299	Anchorage	AK	99510	USA		Alaskan history information				Provide alaska history education through publications, meetings and special events.	
Coastalaska In	http://		EIN 92-0058054	360 Egan Dr	Juneau	AK	99801	USA	Job Training						
Valdez Arts Council Inc	http://		EIN 23-7328616	Po Box 31	Valdez	AK	99686	USA							
Nick Begich Scholarship Intern Fund	http://		EIN 92-0065700	Po Box 142711	Anchorage	AK	99514	USA		Promote interest in fields of public service & education.					
Frontiers Of Faith Ministries, Inc.	http://		EIN 23-7389564	PO Box 3	Sterling	AK	99672	USA	Christianity,Religion						
