name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission
Graspp - God Restores And Saves Precious People	http://		EIN 66-0775268	Po Box 982960	Pago Pago	AS	96799	USA	Human Services	
Womens Community Action Program	http://		EIN 66-0738929	Po Box 2606	Pago Pago	AS	96799	USA	International, International Relief	
Business & Professional Women Of Pago Pago	http://		EIN 66-0847284	Po Box 6274	Pago Pago	AS	96799	USA		
New Apostolic Church Of Tafuna As	http://		EIN 36-3734845	Po Box 997521	Tafuna	AS	96799	USA		
South Pacific Mini-Games Foundation, Inc.	http://		EIN 66-0517496	PO Box 700	Pago Pago		96799		Environment, Parks & Playgrounds	
American Samoa Association Of Paddlers	http://		EIN 26-3234632	Po Box 6274	Pago Pago	AS	96799	USA	Sports, Swimming & Other Water Recreation	
Pago Pago Commercial Fishermen Association	http://		EIN 66-0620081	PO Box 4703	Pago Pago		96799		Chambers of Commerce & Business Leagues	
Sooula Aso Lelei	http://		EIN 66-0864760	Po Box 4382	Pago Pago	AS	96799	USA	Arts & Culture	
American Samoa Organization On Aging Inc	http://		EIN 66-0756190	Po Box 4750	Pago Pago	AS	96799	USA	Senior Centers, Seniors	
Marist St Josephs Old Pupils - American Samoa Incorporated	http://		EIN 66-0611027	Po Box 5213	Pago Pago	AS	96799	USA	Community Coalitions	
Fagaitua Hs Alumni Association	http://		EIN 66-0862031	Po Box 3434	Pago Pago	AS	96799	USA	Alumni Associations, Education	
Amerika Samoa Humanities Council	http://		EIN 66-0519082	Po Box 5800	Pago Pago	AS	96799	USA	Children & Youth, Children & Youth Services	TO PROMOTE THE HUMANITIES AND SAMOAN CULTURE IN THE TERRITORY OF AM. SAMOA
Back On Track	http://		EIN 66-0833695	Po Box 982637	Pago Pago	AS	96799	USA	Crime & Law, Inmate Support	
Samoa Baptist Academy	http://		EIN 98-0061275	Po Box H	Pago Pago	AS	96799	USA		
Malosiaga Mo Samoa	http://		EIN 66-0845954	Po Box 3363	Pago Pago	AS	96799	USA	Health, Public Health	
American Samoa Chinese Community Association Inc	http://		EIN 66-0840678	Po Box 998311	Pago Pago	AS	96799	USA	Arts & Culture, Cultural & Ethnic Awareness	
Intersections Inc	http://		EIN 01-0728628	Po Box 1715	Pago Pago	AS	96799	USA	Children & Youth, Youth Development Programs	
Hope House	http://		EIN 66-0723962	Po Box 596	Pago Pago	AS	96799	USA		
Emmanuel Baptist Church	http://		EIN 66-0472686	Po Box 6349	Pago Pago	AS	96799	USA		
American Samoa Seniors Association Tofa Mamao	http://		EIN 66-0848981	Po Box 982481	Pago Pago	AS	96799	USA	Human Services	
New Apostolic Church Of Pago Pago As	http://		EIN 36-3734849	Po Box 6246	Pago Pago	AS	96799	USA		
Samoa Korean Baptist Church	http://		EIN 98-0113681	Po Box 2068	Pago Pago	AS	96799	USA		
Football Federation Of American Samoa	http://		EIN 66-0840046	3120 Fagaima Rd	Pago Pago	AS	96799	USA	Amateur Sports, Sports	
South Pacific Baptist Association	http://		EIN 98-0159507	Po Box 3207	Pago Pago	AS	96799	USA		
American Samoa Adventist Media Inc	http://		EIN 66-0845230	6740 Fagaima Road	Pago Pago	AS	96799	USA	Arts & Culture, Film & Video	
South Pacific Academy	http://		EIN 98-0030939	Po Box 520	Pago Pago	AS	96799	USA	Education, Elementary & Secondary Schools, Literacy	South Pacific Academy, Inc. provides pre-school through grade 12 calassroom instruction for students
The Coalition Of Reef Lovers Inc	http://		EIN 38-3593399	Po Box 206	Pago Pago	AS	96799	USA	Interdisciplinary Research	
Happy Valley Baptist Church	http://		EIN 98-0113680	Po Box O	Pago Pago	AS	96799	USA		
A Better Community Organization	http://		EIN 66-0840534	4586 Pago Way	Pago Pago	AS	96799	USA	Health, Public Health	
Tautua Samoa Association	http://		EIN 98-0141136	PO Box 5232	Pago Pago		96799		Unknown	
Native American Samoan Advisory Cou	http://		EIN 91-1752066	Po Box 6849	Pago Pago	AS	96799	USA	Human Service Organizations, Human Services	
The Sisters Of Nazareth Of American Samoa	http://		EIN 98-0064446	Po Box 1510	Pago Pago	AS	96799	USA		
T K Tilo Lighthouse Bible College Inc	http://		EIN 66-0791432	Po Box 2019	Pago Pago	AS	96799	USA	Education, Undergraduate Colleges	
Boys And Girls Club Of American Samoa	http://		EIN 66-0759053	Po Box 998381	Pago Pago	AS	96799	USA	Children & Youth, Youth Centers & Clubs	
American Samoa Veterans War Memorial Incorporation	http://		EIN 94-3299549	Po Box 3440	Pago Pago		96799		Arts & Culture, Historical Organizations	
St Peter Chanel Parish Fagasa	http://		EIN 98-0047451	Po Box 596	Pago Pago	AS	96799	USA		
Governor Tauese Sunia Leadership Foundation	http://		EIN 66-0656699	Po Box 448	Pago Pago	AS	96799	USA	Arts & Culture, Historical Organizations	
Pacific Island Ministries	http://		EIN 66-0612360	Po Box 5258	Pago Pago	AS	96799	USA	Protestant, Religion	
Fofo County Coalition	http://		EIN 66-0714811	Po Box 6740	Pago Pago	AS	96799	USA	Mental Health	
American Samoa Alliance Against Domestic And Sexual Violence	http://		EIN 66-0760220	Po Box 982550	Pago Pago	AS	96799	USA	Domestic Violence, Family Violence Shelters, Homeless & Housing	
American Samoa Community Cancer Coalition	http://		EIN 66-0679592	Po Box 1716	Pago Pago	AS	96799	USA	Human Service Organizations	
Le Vasa	http://		EIN 66-0789512	Hwy 1 Box 7513	Pago Pago	AS	96799	USA	Sports, Swimming & Other Water Recreation	
