name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Crisis Shelter	Childrens Crisis Shelter 	Crisis Hotline
Main Street Strays Caring For Community Cats Inc	http://		EIN 45-4474399	Po Box 22127	Flagstaff	AZ	86002	USA	Animal Protection & Welfare,Animals									
TUCSON AMATEUR ASTRONOMY ASSOCIATION INCORPORATED	http://tucsonastronomy.org	(520) 792-6414	EIN 74-2401304	PO Box 41254	Tucson	AZ	85717	USA	Amateur Sports,Sports	Promote astronomy education to the public		members, students and the general public		Southern Arizona	astronomy lectures, sky watching events, various outreach programs at schools, programs with the Boys Scouts and Girls Scouts, and the Grand Canyon Star Party in coordination with the National Park Service each June.			
Rockstar Canine Rescue & Sanctuary	http://www.rockstarrescueaz.org/	8588762558	EIN 45-3272239	530 E. McDowell Rd. #107-269	Phoenix	AZ	85004	USA	Animal Protection & Welfare,Animals	A 501(c)3 nonprofit dedicated to the rescue and salvation of psychologically traumatized and physically impaired or disabled canines in the greater Phoenix area. Specializing in fear based dogs, hoarding cases, severe abuse, neglect and/or long term strays.	To date we've rescued over 250 dogs from County facilities, assisted with medical needs and spay/neuter surgeries for pets in lower income neighborhoods and helped homeless populations of people with their pet needs.	Psychologically traumatized and physically impaired or disabled canines in the greater Phoenix area. Specializing in fear based dogs, hoarding cases, severe abuse, neglect and/or long term strays.	78 dogs	Greater Phoenix	housing, spay/neuter, vaccinations and adoptions.			
ICAN: Positive Programs for Youth	http://www.icanaz.org/	(480) 821-4207	EIN 86-0761030	650 E. Morelos St.	Chandler	AZ	85225	USA	Children & Youth,Children & Youth Services,Community & Neighborhood Development,Economic Development,Mental Health,Substance Abuse Prevention,Youth Centers & Clubs	ICAN's mission is to provide free, comprehensive programs that empower youth to be productive, self-confident, and responsible members of the community.ICAN is a free, family-centered youth service in the East Valley providing a full complement of programs proven effective in equipping youth to achieve personal and academic success by tackling substance abuse, gang involvement and juvenile delinquency.ICAN goes beyond being just an after-school program for at-risk youth.  ICAN works with youth on the critical skills they need to be productive and responsible members of the community.8 out of 10 young people in the areas we serve are living in extreme poverty. Four of those children will go to bed hungry at night and eight will be using drugs or alcohol to cope with the harsh realities they face. Joining gangs becomes a more viable choice than graduation in the community we serve. This is not an option for ICAN. We exist to combat these issues and build strong futures for them and for our community.		youth	1200 youth	Chandler, AZ	a full complement of programs proven effective in equipping youth to achieve personal and academic success by tackling substance abuse, gang involvement and juvenile delinquency.			
Helping Orphaned Hounds Rescue	http://helpingorphanedhounds.org	(602) 680-0713	EIN 27-1868373	43541 W Cowpath Rd	Maricopa	AZ	85138	USA	Animal Protection & Welfare,Animals	Tempory or permanent home for stray or lost dogs and cats								
S H I E L D Foundation	http://www.shieldfoundation.us	602-203-4357	EIN 95-3351635	5025 North Central Avenue # 517	Phoenix	AZ	85012	USA	Arts & Culture,Child Abuse Prevention,Crime & Law,Domestic Violence,Family Violence Shelters,Homeless & Housing,Museums,Spouse Abuse Prevention	S H I E L D Foundation address the specific needs that are unique to women and their dependant children whom are the victims of domestic violence and or domestic abuse, whom are as well new to the area, and do not know the language, laws, and or customs, that may be of some help to them otherwise.								
Cochise College Foundation	http://www.cochise.edu		EIN 86-0211414	4190 W Highway 80	Douglas	AZ	85607	USA	Education,Two-Year Colleges	Cochise college promotes student success through scholarships, facilities development, and program support, the foundation endeavors to increase cochise college's accessibility to our diverse and changing communities.					The organization awards scholarships to students attending cochise college. Scholarship criteria are determined by donors. Scholarships are awarded from endowment income, and annual donations that are intended to be spent in the short term.  the organization provides financial support to cochise college's academic programs in a variety of areas. Typically, these funds are used for equipment, supplies, and instructional or academic/extracurricular program support. During the current fiscal year, the foundation provided funding in support of adult education, art, athletics, avaiation, creative writing, high school student enrollment, library, music,rodeo, and tutoring.			
Answers for Life Pregnancy Center	http://www.afltucson.com	520-308-8990	EIN 46-3601678	627 N Swan Rd	Tucson	AZ	85711	USA	Family Planning,Health,Reproductive Rights	Provide a warm, compassionate environment where family services can be offered to women.Free Pregnancy Testing:  Professional-grade urine testing, immediate results, nurse's verification form for DES requirements with AHCCCS. You can walk in or schedule an appointment.  All services are confidential. Free Ultrasound First Trimester limited ultrasound exams.  Option Counseling: Counseling is done by trained peer counselors who recognize women may face a difficult and serious decision upon hearing that they are pregnant.  The Counselor will listen, understand clarify your questions and give you accurate information regarding your pregnancy and options.	In the year and a half that we have been open we have gone from one clinic day a week to three, we have added a second facility to provide diapers, baby needs, clothing, layettes for new mothers and even clothing for moms.  We have added classes on parenting, with more to come.  We are here to serve women with answers for their lives that may seem to lack direction.  We have grown to thirty volunteers and serving over 100 women a month.	We are here to serve women who believe they may be pregnant, are pregnant and their children	We serve over a hundred women and children each month	Tucson, Arizona	We provide free pregnancy testing, ultrasound tests, Doctor exams and follow-up, lab work, baby clothing, diapers and buckets of kindness			
Good News India	http://www.goodnewsindia.org	855-464-2445	EIN 86-1003656	P.O. Box 72747	Phoenix	AZ	85050	USA	Christianity,Crime & Law,Health,Health (General & Financing),Human Services,Religion,Residential Care & Adult Day Programs,Sexual Abuse Prevention	To seek and to save that which was lost.	Since 1998 we have rescued nearly 3,000 destitute children from potential bonded and sexual slavery. We also currently provide refuge for about 50 lepers and food and medical treatment for at least 350 other lepers.	Children between the ages of 4 and 20 that are orphaned, abandoned or from destitute families living in rural India.	Nearly 3,000 children and 400 lepers.	Orissa and W. Bengal, India	We have established 30 Dream Centers to house destitute children and provide them discipleship in Christ, food, shelter, clothing, education through college and love in a family environment. We also have one Dream Center dedicated to the care of lepers and their children and multiple outreaches to leper communities with food and medical care. We have a dental program for all the children under our care that is being extended to other poor children in the community. We have an annual medical camp that serves the communities surrounding our Dream Centers.			
The Weil Foundation	http://www.weilfoundation.org	(520) 647-7865	EIN 86-1049023	Po Box 13006	Tucson	AZ	85732	USA	Health									
