name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs
Mid-America Institute For Human Advancement Inc	http://		EIN 71-0504036	862 Sunflower Rd	Bonnerdale	AR	71933	USA							
Calvary Assembly Of God	http://		EIN 71-0605027	279 Alco Rd	Star City	AR	71667	USA							
Pentecostal Deliverance Association	http://		EIN 71-0510516	Rt 2 Box 452	Harrison	AR	72601	USA							
Boys & Girls Club Of Ashley County Inc	http://		EIN 71-0776135	Po Box 1274	Crossett	AR	71635	USA	Boys & Girls Clubs, Children & Youth	To organize, operate, and administer recreational programs and other activities for youth in the crossett arkansas area and to provide properly supervised competition for the participants of such programs and activities in order to benefit the youth and the community.					Various recreational programs and other activities for youth including participation sports, supervised school subject study periods, computer labs, and after-school games and social activities.
Lisemby Family Evangelistic Ministries Inc	http://		EIN 72-1002419	4200 Mount Elba Rd	New Edinburg	AR	71660	USA	Protestant, Religion						
The Potters House	http://		EIN 71-0710220	Po Box 427	Brookland	AR	72417	USA	Christianity, Religion						
St. Vincent Homecare	http://		EIN 71-0607644	#2 St. Vincent Circle	Little Rock	AR	72205	USA	Health, Home Health Care						
Rockin Aa Sanctuary Inc	http://	(479) 234-0417	EIN 27-2551602	152 Rocking Aa Ln	Mena	AR	71953	USA	Animal Protection & Welfare, Animals	Organization cares for household cats that are not able to be adopted.					Organization takes care of household cats that are not able to be adopted.
Armsdc Inc	http://www.ammsdc.org	(501) 374-7206	EIN 71-0527580	415 Mian Street	Little Rock	AR	72201	USA	Economic Development	To promote economic development by fostering meaningful business relationships between disadvantaged and majority businesses.					Provided numerous businesses with technical and procurement training. Served as liason with majority businesses for promotion of members goods and services. Sponsored various workshops and events which initiated networking and marketing opportunities.
Gartrell High School Alumni Associa Tion	http://		EIN 71-0729168	Po Box 452	England	AR	72046	USA	Alumni Associations, Education						
Sources For Community Independent Living Services	http://	(479) 442-5600	EIN 71-0733745	1918 N Birch Ave	Fayetteville	AR	72703	USA	Mental Health, Residential Mental Health Treatment	Promote the independence of persons with disabilities by facilitating and supporting their full integration and participation in all aspects of community life.					Provides services, support, and advocacy for individuals with disabilities.
International Church Of The Foursquare Gospel	http://		EIN 92-0165491	11184 Ed Edwards Rd	Fayetteville	AR	72701	USA							
Fraternal Order Of Police	http://		EIN 71-0497593	410 W Washington Ave	Jonesboro	AR	72401	USA							
Ozark Natural Science Center Inc	http://		EIN 71-0705259	1905 Madison 1305	Huntsville	AR	72740	USA	Education, Educational Services						
Arkansas Women In Agriculture Inc	http://www.arkansaswomeninag.com	8706536258	EIN 20-4947004	170 Hearthstone Cir	Prairie Grove	AR	72753	USA	Agricultural Programs, Food	Agricultural education				Arkansas	Regional workshops and education opportunities
A Home In Haiti Inc	http://		EIN 27-3204358	113 West Central Ave Ste 201	Bentonville	AR	72712	USA	International, International Relief	The organization provides a platform for improved funding of charitable projects, referred to as stories, through technology and networking. The platform allows for faster and more efficient funding for organizationally approved stories reflecting charitable, welfare, and educational needs.					The organization provides a platform for improved funding of charitable projects, referred to as stories, through technology and networking. The platform allows for faster and more efficient funding for organizationally approved stories reflecting charitable, welfare, and educational needs.
Mississippi County Union	http://		EIN 71-6048263	Po Box 205	Blytheville	AR	72316	USA							
North Arkansas Youth Center	http://		EIN 71-0752435	Po Box 284	Cotter	AR	72626	USA	Community Recreational Centers, Sports						
