name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Target demographics	Direct beneficiaries per year	Geographic areas served	Results		 
Save The Ta-Tas Foundation	http://www.savethetatas.org	(310) 346-0702	EIN 26-2211517	6520 Platt Ave	West Hills	CA	91307	USA	Cancer, General Hospitals, Health, Philanthropy	Promote cancer awareness, education and prevention, and to aid in the fight to find cure.	Funded other sec. 501 (c)(3) charitable organizations engaged in the dissemination of up-to-date information to breast cancer sufferers, in the promotion of breast cancer research to find a cure.						
African Library Project	http://www.africanlibraryproject.org	650-851-3640	EIN 65-1261685	5 Thistle Street	Portola Valley	CA	94028	USA	International, International Development	The African Library Project starts and improves small libraries in sub-Saharan Africa to promote literacy and education.	small libraries in rural areas, librarian training and best practice Summits for our partners in Africa.	Africans, especially students, who have no access to books and information	250,000 readers in new/improved libraries.	Botswana, Ghana, Lesotho, Malawi, Swaziland, Sierra Leone and South Africa	Since 2005, we have started or improved 1,481 small libraries in Botswana, Cameroon, Lesotho, Malawi, Nigeria, Swaziland, Zambia, Zimbabwe, Sierra Leone, South Africa and Ghana.  We have made over 1100 partnerships in the U.S. with schools, companies, individuals, youth groups, Scouts, and families.  We have shipped over 1,500,000 books to Africa serving over 1.5 million readers.		
RedRover	http://www.redrover.org	916.429.2457	EIN 68-0124097	PO Box 188890	Sacramento	CA	95818	USA	Animal Protection & Welfare, Animals, Children & Youth, International, International Relief, Scouting	RedRover, formerly United Animal Nations (UAN), focuses on bringing animals out of crisis and strengthening the bond between people and animals through a variety of programs, including emergency sheltering, disaster relief services, financial assistance and education.	Through RedRover Responders, we shelter and care for animals displaced by natural disasters and other crises, such as criminal seizures and hoarding cases.  The RedRover Relief program provides funding to Good Samaritans, animal rescuers, pet owners and victims of domestic violence to help them care for animals in life-threatening situations.  The RedRover Readers program helps children explore the bond between people and animals through stories and discussion. Volunteers visit elementary school classrooms, after-school programs, animal shelters and other venues to read to children and lead discussions -- helping children develop critical thinking skills and empathy.	animals in crisis	nearly 2,000 animals in crisis. In 2013, we deployed RedRover Responders volunteers to help more than 1,300 animals, including those affected by the tornadoes in Moore, Oklahoma. In 2013, we also helped save the lives of more than 650 animals by awarding financial grants to help Good Samaritans, pet owners, animal rescuers and victims of domestic violence care for animals in life-threatening situations	U.S. and Canada			
Children's Burn Foundation	http://www.childburn.org	1-800-949-8898	EIN 95-3954352	5000 Van Nuys Blvd. Suite 210	Sherman Oaks	CA	91403	USA	Ambulatory & Primary Health Care, Health, Specifically Named Diseases	To prevent the pain and trauma of burn injuries to children; and to heal and give children who have suffered severe burns the opportunity to reach their full potential, physically, psychologically and socially.	Full Recovery Program - providing reconstructive surgery, pressure garments and facemasks, other medical assistance, psychosocial support through burn camps and support groups, and emergency family assistance. Prevention and education programs to help adults who care for children and children from kindergarten thru third grade.  These programs provide information that can save lives.	Children 0-18 years old	More than 2,000 children who have suffered devistating burn injuries were helped by the Children's Burn Foundation last year alone.  In addition, over 63,500 children participated in our burn prevention programs.	Southern California, nationally, internationally	Over 65,500  children benefited from Children's Burn Foundation programs in 204-15!		
Operation Gratitude Inc	http://www.OperationGratitude.com	818-469-0448	EIN 20-0103575	21100 Lassen Street	Chatsworth	CA	91311	USA	Human Services	Operation Gratitudes mission is to lift the spirits and meet the evolving needs of our First Responder, Active Duty, Veteran, and Wounded Hero communities. We also seek to provide volunteer opportunities for all Americans to express their appreciation for these deserving Heroes through hands-on volunteerism, such as collection drives, letter writing campaigns, handcrafted Made with Love projects, and care package assembly events.  Every year, Operation Gratitude sends 250,000+ individually-addressed care packages to Soldiers, Sailors, Airmen and Marines deployed overseas and to their children left behind. Also, to New Recruits, Veterans, First Responders, Wounded Heroes and their caregivers.  Each package contains food items, hygiene products, entertainment, handmade items, and handwritten letters of support.  Operation Gratitude is a 501(c)(3) non-profit, volunteer-based corporation, funded entirely by private donations.	Operation Gratitude annually sends 250,000 care packages addressed to individual service members deployed in combat zones around the world.				Since its inception in March, 2003, Operation Gratitude volunteers have assembled and shipped more than 1,500,000 care packages.		
Lily Sanctuary Parrot Rescue	http://www.lilysanctuary.org	714-442-9474	EIN 81-0612362	P.O. Box 9294	Fountain Valley	CA	92708	USA	Animal Protection & Welfare, Animals	We are a parrot rescue whose sole purpose is to provide quality care and love for homeless and special needs parrots. Our mission is to help all parrots who need sanctuary, rehabilitation and rehoming. We educate about parrot behavior, diet and socializing needs. Facilitating adoption to new homes is what we are all about.	Providing care, shelter, food, toys, and supplies for parrots  providing veterinary and wellness services for parrots  support service expenses for caring for parrots	provide sanctuary and adoptions for parrots."		Orange County, Califora			
Muttville Senior Dog Rescue	http://www.muttville.org	415-272-4172	EIN 26-0416747	255 Alabama St.	San Francisco	CA	94103	USA	Animal Protection & Welfare, Animals	Muttville is a nonprofit organization dedicated to changing the way the world thinks about and treats older dogs, aged seven years and older, and to creating better lives for them through rescue, foster, adoption, and hospice	Mutt Guardian monthly giving program; Seniors For Seniors program	senior dogs, aged 7 & older find a new beginning	500 senior dogs find new homes!	The Bay Area of California and beyond. We rescue and find homes as far and wide if we can get transport to these cities and regions	In 2013, Muttville reached a milestone of 2,000 senior dogs SAVED!!!		
Last Chance for Animals	http://www.LCAnimal.org	310-271-6096	EIN 95-4013155	8033 Sunset Blvd Suite 835	Los Angeles	CA	90046	USA	Animal Protection & Welfare, Animals, Protection of Endangered Species	Last Chance for Animals (LCA) recognizes that animals have the ability to experience pain, and as such they deserve certain basic rights protecting them from pain caused by humans. LCA believes that non-human animals should not be subjected to suffering and exploitation by humans because alternatives exist for nearly every traditional "usage" of animals.LCA opposes the use of animals for scientific curiosity, entertainment, clothing, and food. LCA recognizes the use of non-human animals in medical experimentation as both immoral and of questionable scientific validity due to the tremendous biological difference between species. LCA''s work advocates conscious and informed lifestyle decisions, and the organization is committed to disseminating truthful information about societal animal abuse to improve the treatment of animals.	investigations, education and public outreach, and advocacy and media outreach. LCA's undercover investigations that expose and document animal cruelty  form the basis for camapaigns geared toward education and media outreach.	put an end to animal abuse.		all parts of the world			
LMWS INC dba Pacific Lifeline	http://www.pacific-lifeline.com	(909) 931-2624	EIN 94-6103171	PO Box 1424	Upland	CA	91785	USA	Homeless & Housing, Homeless Centers, Homeless Shelters, Human Services, Single Parent Agencies	Pacific Lifeline, a faith-based ministry, empowers women and their children facing chronic homelessness and helps them achieve personal and social stability.	case management, therapy, life skills workshops, parenting support, tutoring, group activities, etc.	women facing chronic homeless to secure personal and social stability	nine women and sixteen children in our shelter program, and 38 families in our extended care program	providing long term and permanent housing for women and their children	Snapshot of Services in 2014   Nine women received weekly case management, individual therapy, and group therapy sessions.   Sixteen children received weekly tutoring and individual therapy, and participated in weekly group activities.   Nine women participated in regularly-scheduled life skills workshops   Of the nine families served in 2014, four moved into permanent housing, three continue to live in the shelter, one lives in our re-entry home, and one was dismissed for program non-compliance.   69 children received back to school supplies and clothing.   38 families had access to food, clothing and basic necessities, household items, Thanksgiving food and Christmas gifts, and community resource referrals.   Volunteers served over 600 hours.		
Hayward La Honda Music Camp	http://www.lahondamusiccamp.org	510 537-4871	EIN 57-1177242	2467 Pecan St	Union City	CA	94587	USA	Arts & Culture, Bands & Ensembles, Music, Symphony Orchestras	The mission is to provide students an educational experience through performance and instructional classes that improves the students musical abilities, develops teamwork, and increases self esteem. The camp offers students highly regarded conductors, teachers, coaches and counselors.	Provided an instructional program in music. Provide an 8 day camp for music students in 6th through 12th grades. The students improve their muscial ability through class instructions, rehearsal and performance.						
