name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs		The Greenway Foundation (GF) 	Cub Scouting	Boy Scouting	Venturing
Aac Adoption & Family Network Inc	http://www.aacadoption.com	(970) 532-3576	EIN 84-1247798	Po Box W	Berthoud	CO	80513	USA	Adoption, Children & Youth	Adoption placement					Providing services to parentless children domestic and international by finding them a sutiable permanent family.					
Early Childhood Partners Inc	http://www.ecpartners.org	970-328-0774	EIN 20-5352983	PO Box 4532	Eagle	CO	81631	USA	Children & Youth, Children & Youth Services	To educate, cultivate and integrate all who care for young children by supporting families and early learning environments in our community so that every child can thrive.	Provide information to parents and teachers about child care and child development. Improve the quality of early childhood services available to families in our community. Increase public awareness about the importance of high quality early childhood care and child development.	children		Eagle County	Coaching and Consulting, Parenting Classes, Professional Development Activities, Community Outreach for Child Find, and helping Children with Challenging Behaviors.					
Duncans Place a Cat Sanctuary LLC	http://duncansplace.org/	9703084972	EIN 80-0201322	742 S Edinburgh Dr.	Loveland	CO	80537	USA	Animal Protection & Welfare, Animals		We are a little low key this year.  We are focusing on building awareness of what we do & raising more funds to help more kitties & their families/potential families.				"Dudleys Delectables" pet food bank, "Spay Mommy" program, Recycle for Pets program					
FoCo Cafe (Feeding Our Community Ourselves, Inc.)	http://www.fococafe.org	309-368-1659	EIN 46-1283773	Po Box 242	Fort Collins	CO	80522	USA	Food, Soup Kitchens	Building community by providing nutritious and delicious meals to the people of Fort Collins regardless of their ability to pay while using local, organic, and sustainably grown ingredients.	We are working very hard to open our doors in 2013. We are currently reviewing a lease on a space in Old Town Fort Collins. Community support has been propelling us forward - donations of kitchenware, commercial equipment and professional services have been amazing. In order to open, we do need help with funding - please consider a gift to help us open our doors.			Northern Colorado	Preparation and distribution of nutritious and delicious meals to the people of fort collins regardless of their ability to pay while using mostly local, organic, and sustainably grown ingredients.					
Community Food Share, Inc.	http://www.communityfoodshare.org	303-652-3663	EIN 74-2227731	6363 Horizon Lane	Longmont	CO	80503	USA	Emergency Assistance, Food, Food Banks & Pantries, Food Programs, Human Services	Community Food Share is dedicated to improving lives by turning your small acts of generosity and kindness into a big difference in the lives of hungry families and children in your community.  Our mission is to ensure that all people in Boulder & Broomfield Counties CO are food secure.	CFS has steadily increased the amount of food provided to the people of Boulder & Broomfield Counties every year. This year-to-date we are 23% ahead of last year! We are on tack to distribute 7 million pounds of food.	CFS provides food to anyone in need; the working poor, the unemployed, the disabled, and children, seniors and adolescents at risk. Our priority is children.			Feeding Families, Elder Share, Emergency Food Box					
Fort Collins Foursquare Church	http://		EIN 84-6128114	1201 N College Ave	Fort Collins	CO	80524	USA												
National Native American Aids Prevention Center	http://www.nnaapc.org	(720) 382-2244	EIN 94-3065291	1031 33rd St Ste 270	Denver	CO	80205	USA		To eliminate hiv/aids and confront related health and social determinants that negatively impact american indian, alaska native, native hawaiian and indigenous peoples.					Nnaapc offers a variety of programs to help promote education about hiv/aids, support prevention efforts, and help foster healthy attitudes about sexuality and sexual health in the native community.					
Aurora Warms the Night Inc.	http://www.aurorawarmsthenight.org	303-361-6905	EIN 27-4728487	1544 Elmira Street	Aurora	CO	80010	USA	Homeless & Housing, Homeless Shelters	Shelter and Services to preserve the life, health, and stability of men, women, and children experiencing homelessness.	Aurora has always been a collaborative and compassionate community. Lots of people talk about problems, but were all about BEING part of the solution. That is why we would like to partner with you. You can help on an individual level or group level. Both offer the rewards of helping others and having a personal sense of accomplishment. With generous support from the community, AWTN is ensuring families and individuals meet their most basic needs. By partnering with people like you, we are helping to break the cycle of homelessness.  From 2006 to 2016, we have provided over 20,000 warm bed nights of shelter.	men, women, and children experiencing homelessness	in 2016, we provided homeless men, women, and children with over 4,000 bed nights of shelter and over $400,000 of basic need items.	Aurora, Colorado	Shelter: Cold weather shelter provided via motels vouchers when temperatures drop to 20 degrees or below. Vouchers provides safety, an opportunity for showers, and prevents frostbite and death from winter elements.  Basic Necessities:  Our year-round services include food, clothing, blankets, and hygiene items.  Comprehensive Services: We partner with onsite providers to provide mental health services, health care clinics, workforce education (resume writing, interviewing skills, job coaching), food stamps, SSI, and SSDI application assistance and veterans services.  Community Awareness & Advocacy: AWTNs advocacy has led to city and statewide Homeless Proclamations. AWTN provides homeless awareness support to the city, schools, faith-based community, corporations, and community organizations.					
American Indian College Fund	http://www.collegefund.org	(303) 426-8900	EIN 52-1573446	8333 Greenwood Blvd	Denver	CO	80221	USA	Education, Higher Education, Scholarships, Scholarships & Student Financial Aid						The Fund provides approximately 6,000 scholarships annually to American Indian students attending the nation's tribal colleges. Each scholarship awarded can mean the difference between a student receiving a college degree or dropping out. In survey after survey, scholarship recipients indicate that securing financial aid is the key factor contributing to their ability to attain their educational goals. Ninety-five percent of tribal college students applying to the American Indian College Fund demonstrate financial need. Thus, increasing the number of scholarships awarded each year is the Fund's first priority. The Fund also supports cultural preservation initiatives; tribal college faculty training and development programs; capacity building programs; an operational endowment and other programs at the tribal colleges.					
Wildlands Restoration Volunteers	http://www.wlrv.org	303-543-1411	EIN 46-0505155	3012 Sterling Cir Ste. 201	Boulder	CO	80301	USA	Environment, Forest Conservation, Land Resources Conservation, Water, Water Resources, Wetlands Conservation & Management	Mission: To foster a community spirit of shared responsibility for the stewardship and restoration of public, protected, and ecologically important lands.	WRV volunteers have completed over 766 stewardship projects and more than 18 leadership development trainings. The events involved over 4,432 volunteer leadership roles, 34,163 volunteer attendances, 3,129 trainees, and the in-kind contribution of $8.3 million in labor and expertise to Colorados natural heritage.    WRV volunteers helped repair trails and stabilize streambanks and watersheds from the devastating floods of 2013, the Fourmile Canyon Fire, and the High Park Fire, thus protecting homes and lives from repeat flooding and mudslides in the Big Thompson and St. Vrain watersheds. Streambank and watershed stabilization also reduced the introduction of costly new noxious weed populations, protected water quality, and stopped or slowed rapid erosion.  At a wide variety of sites, from urban greenways to ranching easements on the plains, to high alpine areas which were eroded by over-recreation, volunteers planted over 300,000 native plants and trees. The benefits include rebuilding topsoil; preventing erosion; improving water quality; providing shade to residents and recreationists; improving wildlife habitat; stopping or reversing establishment of noxious weeds, which are expensive to treat and damage crop value for nearby producers; and even improving the view.  Working with land managers, WRV volunteers have closed and re-vegetated over 163,489 ft of habitat-fragmenting closed/unused roads. This effort helped restore water quality (dirt roads dump sediment into streams during runoff, hurting fish and municipal water filtration equipment), wildlife populations (roads provide easy access to poachers and predators, an unfair advantage that reduces survival rates), and rural residents who sustainably hunt or enjoy wildlife watching as part of their quality of life.  WRV volunteers have restored over 58.8 acres of wetland across multiple counties. Because wetlands are foundational to our water resources in this arid region, and are vital to the health of our communities and waterways, volunteer efforts helped support wetlands crucial functions, such as: the trapping of floodwaters, recharging groundwater, removing pollution, feeding downstream waterways, and driving the economy due to their provision of fish and wildlife habitat.  Time spent in nature provides demonstrated mental health benefits, especially for children. WRVs volunteer efforts and Youth & Inclusiveness Program have helped Colorado children both individually and generally, by maintaining open space and trails where they can explore the outdoors, and by helping educate them and introduce them to these areas individually to help create healthy, responsible, active habits to last a lifetime. WRV volunteers have completed over 45.6 mi. of trail work, supporting recreational outlets and healthy commuting options, and provided over 2,533 hrs of youth stewardship education to diverse youth.  Read more about the benefits of WRV's work in our newsletter at http://wlrv.org	foster a community spirit of shared responsibility for the stewardship and restoration of public, protected, and ecologically important lands		Colorado and southern Wyoming	completing 80+ ecological restoration projects on public lands each year; build a community of land stewards; train and mentor youth and adult volunteer leaders; monitor results of restoration work and contribute knowledge to the restoration community.					
