name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	The China Care Program		Half the Skys Nurture and Education Programs	The Youth Empowerment Program
Sensations Charitable Foundation Inc	http://www.empoweringabilities.org	(860) 460-0144	EIN 27-0861497	12 Pinehurst Ln	Moodus	CT	06469	USA		Create, conduct, and support effective programs and services for families affected with disabilities and health conditions.		families generalize the skills be learned in therapy in fun unique programs.	over 300 families engage in typical activities without the stress that typically comes with some of the behaviors their children can exhibit in novel situations	Southeastern and Central Connecticut and South County Rhode Island	Social Species from the Sea To Me Synergy Socials Sensational Synergy for the Summer SOS - Success On Skateboards Sensory Friendly Movies Free Night at Mystic Aquarium for Families with Autism and Sensory Challenges				
New Dimension Project	http://		EIN 20-2222116	75 Fresh Meadow Rd	West Haven	CT	06516	USA	Protestant, Religion										
Connecticut Association for the Gifted Inc	http://www.ctgifted.org	203-291-6586	EIN 22-2682441	PO Box 2598	Westport	CT	06880	USA	Education, Special Education	To support and advocate for Connecticut's gifted, talented, and high-potential children of diverse cultural and socio-economic backgrounds so they are identified and provided access and opportunities to an appropriate education by personnel trained and qualified to meet their cognitive, social, and emotional special needs.		children's educational opportunities		Connecticut	Minds in Motion to help students identify their passion and find their true potential to maximize their personal, academic, and professional achievement.				
New Haven Symphony Orchestra	http://www.NewHavenSymphony.org	203-865-0831	EIN 06-6000592	545 Long Wharf Drive, Sixth Floor	New Haven	CT	06511	USA	Arts & Culture, Symphony Orchestras	Through its live performances of classical music and education programs, the New Haven Symphony Orchestra aspires to exceed expectations, unite communities, challenge, delight, and inspire. We change lives, for the better.			80,000 concert-goers and 30,000 students	Greater New Haven and throughout Connecticut	exciting Classics, Pops, and Family Concerts, as well as enriching Education programs				
Vintage Radio And Communications Museum Of Connecticut Inc	http://	(860) 683-2905	EIN 06-1356178	115 Pierson Ln	Windsor	CT	06095	USA		Radio/communications museum					Contributions from outside sources used to supplement cost of operating museum.   investment income used to supplement cost of operating museum.   fees charged by museum which are used to operate museum.				
Prison Family Outreach Ministry Inc	http://		EIN 06-1335012	19 Margo Ct	Cromwell	CT	06416	USA	Christianity, Religion										
Cove Center for Grieving Children Inc	http://www.covect.org	203 634-0500	EIN 06-1546563	Coordinating Office 250 Pomeroy Ave., Suite 107	Meriden	CT	06450	USA	Children & Youth, Children & Youth Services, Human Services	The mission of The Cove Center for Grieving Children is "to provide hope and healing for grieving children and teens."	Over 32,000 children in CT are grieving the death of a loved one, and the need for supportive services continues to grow statewide. The Cove has provided services to hundreds of families in CT during the past 17 years. The Cove added a new site last year in Stonington CT, and due to increased demand is hoping to open a new site in the Greater Hartford region in the future.	The Cove provides services to children throughout the state of CT at our 5 Cove Family Sites in West Hartford, New Haven, Guilford, Meriden and Stonington, CT.  We also provide professional development, Cove in Schools and Community Outreach throughout the state.	1,200	State of Connecticut	The Cove Family Program, "Good Grief" Schools Program, Community Outreach, and Professional Development Traiing.				
Beech Brook Farm	http://www.beechbrookfarm.homestead.com/	860-705-8456	EIN 30-0530213	77 Ocean View Avenue	Mystic	CT	06355	USA	Animal Protection & Welfare, Animals	Our 501c3 nonprofit rescue is a small volunteer based rescue that specializes in gaited breeds (Tennessee Walking horse, Rocky Mountain horse, Missouri Fox Trotter, Paso etc.). We also rescue "long ears" (donkeys, mules). There are many auctions that supply the foreign-owned slaughter houses that kill horses for human consumption abroad.   We assist horses through owner surrenders, neglect cases, local auctions outbidding kill-buyers, buying sick or injured horses and purchasing directly out of kill pens. Our goal is to save as many lives as possible.  Our Purpose:   Save Equines from neglect and abusive situations and provide them with loving homes for life. To educate the public about horse welfare and care. To enlist public support and funding to rescue horses from abuse, slaughter and neglect alone, or in cooperation with local, state or federal agencies or with other nonprofit organizations.  Re-home/train rescues animals with the intent of placing for adoption.	We have saved over 130 horses and placed over 115 in loving homes				Rescue, maintenance & adoptive services provided to horses which have been subjected to negligent care or potential slaughter.				
YPI, Inc.	http://www.ypicamp.org	888-657-2986	EIN 06-1298954	143 Sandy Point Rd	Old Saybrook	CT	06475	USA	Children & Youth, Youth Development	YPI is a co-educational residential summer camp offering one and two-week workshops for young people in grades 6 through 12 who are interested in the creative arts. YPI is housed at the beautiful Suffield Academy in Suffield, Connecticut. At YPI, master teachers work in small group settings with students of all levels of accomplishment, pointing them in undreamed-of directions. At YPI, there are no can'ts and no won'ts. Young people flourish in an atmosphere that is motivating, encouraging, and supportive. Days and nights hum with the spontaneous energy of workshops, recreation activities, town meetings, performances, and exhibitions.				Campers come to us from across the U.S.	The institute provides education and enrichment for students in the visual and performing arts.				
Give2thetroops Inc	http://www.GIVE2THETROOPS.org		EIN 37-1493066	P O Box 445	Canton	CT	06019	USA	Human Service Organizations	GIVE2THETROOPS supports the physical, moral, and spiritual health of America's armed forces in combat zones around the world through the letters and packages prepared and shipped by caring volunteers.Our Motto is: "GIVE BACK TO THOSE WHO GIVE ALL" (TM)									
March for Education Foundation	http://www.marchforeducation.com		EIN 80-0250434	1753 Barnum Ave	Stratford	CT	06614	USA	Children & Youth, Youth Development Programs			At risk communities		Fairfield County					
SOUTHERN CONNECTICUT STORM SPECIALHOCKEY INC	http://www.ctstormhockey.org	203-554-2752	EIN 26-0585647	757 Oenoke Rdg	New Canaan	CT	06840	USA	Sports, Winter Sports	The purpose of Southern Connecticut Storm Special Hockey is to provide children from the age five through young adult with a developmental disability who are physically able the opportunity to play ice hockey. The program teaches skating and hockey skills, as well as gives the player the opportunity to play in a team sport. Through hockey, the program emphasizes the development of individual life skills such as self reliance, dependability, focus and confidence.  "Life skills through ice hockey".	Seven years strong and part of a nationwide program.  Our athletes are gaining the confidence to try many new things, becoming independent, and real progress is being made to make their lives, and the lives of their families more successful.	developmentally disabled athletes age 5 and up in Southern Connecticut		Southern Connecticut and beyond	Therapeutic program for children and young adults with a developmental disability such as Autism or Down syndrome, teaching life skills  and independence both on and off the ice through hockey.  Now SEVEN years Strong!				
Center for Hospice Care Southeast Connecticut	http://www.hospicesect.org	860-848-5699	EIN 22-2667260	227 Dunham Street	Norwich	CT	06360	USA	Hospices, Human Services	Center for Hospice Care Southeast Connecticut's mission is to provide quality care for people with life-limiting illnesses and support for their loved ones before and after death.  Hospice Southeastern Connecticut's vision is to be the premier Hospice organization providing care in our community.  Hospice Southeastern Connecticut values:   compassionate care that respects the uniqueness of our patients and their families and enhances the quality of their life.   an interdisciplinary team of experts that offers medical care, pain management, spiritual and psychosocial support for a patients daily needs and advocacy.   a team of volunteers trained in the philosophy of Hospice care.   care at home and across all settings.   bereavement support for all members of our community.   support for the dignity of everyone involved in our care.   responsible management of finite resources to provide for the future ability to fulfill our mission.   a strong local community presence.				New London County (From Colchester to Old Lyme to Stonington to Lisbon and everywhere in between)	End of life care services in the home and often in skilled nursing facilities including nursing care, complementary therapies, hospice aide care, counseling services, volunteer support and pet therapy.  Community bereavement center providing support groups and other bereavement services FREE of charge to anyone in New London County.				
