name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs
The Harrington High School Alumni Association Scholarship Char Trust	http://		EIN 51-6165947	Po Box 37	Harrington	DE	19952	USA							
American War Memorials Overseas, Inc.	http://www.uswarmemorials.org	888-224-6108	EIN 26-2980531	2711 Centerville Rd Ste 120 PMB 6500	Wilmington	DE	19808	USA	Arts & Culture, Commemorative Events, Education, Historical Organizations, Military & Veterans Organizations, Veterans	American War Memorials Overseas works to document, promote, and preserve non-government supported War Memorials honoring Americans outside of the USA to ensure these monuments remain part of local communities forever. War Memorials commemorate our shared past, and overseas war memorials honoring Americans are an important symbol of Americas international engagement.American War Memorials Overseas seeks to cooperate with other organizations, at international, national, and local levels, to better safeguard the future of War Memorials honoring Americans overseas in both their social and historical context.		Patriotic Americans  Veterans		worldwide	
Appoquinimink Development Inc	http://		EIN 51-0233248	122 Lahinch Ct	Middletown	DE	19709	USA	Homeless & Housing, Housing Development, Construction & Management						
Newark Center For Creative Learning Inc	http://ncclschool.com	(302) 368-7772	EIN 51-0111792	401 Phillips Ave	Newark	DE	19711	USA		Elementary education for approximately 87 students aged 5-13					Elementary school for approximately 87 students, aged 5-13
The R Group, Inc.	http://		EIN 51-0321864	408 N Market St Mall	Wilmington	DE	19801	USA							
Mancus Foundation Inc	http://www.mancusfoundation.org	(302) 690-8254	EIN 51-6015887	Po Box 10043	Wilmington	DE	19850	USA		We provide people with physical and development challenges with social and recreation activities along with specialized transportation. Our mission is to main stream these people back into the community and work place.					Provides meeting area for arts and crafts and other rehabilitative activities; organizes social and cultural functions for handicapped; provides transportation for delaware residents in wheelchairs.
International School Of Prague Foundation Inc	http://www.isp.cz	(302) 295-4959	EIN 51-0380009	1209 N Orange St	Wilmington	DE	19801	USA	Education	To support education and more particularly to support the international school of prague, s. R. O.					Provision of services in support of the international school of prague.
Exceptional Care Inc	http://www.exceptionalcare.org	(302) 894-1001	EIN 23-2966490	11 Independence Way	Newark	DE	19713	USA	Health, Hospitals	Exceptional care for children improves the lives of technology-dependent children and their families through skilled nursing, transitional and palliative care. We are a haven for healing fragile bodies when improvement is possible, and a refuge for nurturing vulnerable spirits when a cure is unattainable.					Exceptional care for children is a 35 bed facility to care for children with chronic and terminal conditions. It is a home-away-from-home for children who are too sick to go home yet too well to develop normally in an acute care hospital.
Glasgow Lions Service Foundation Inc	http://	(302) 731-5200	EIN 51-0304499	356 E Main St Ste 100	Newark	DE	19711	USA		Community charitable civic organization					Purchase of eye glasses, eye exams, hospital equipment, food baskets, sports programs, and other philanthropic measures to help the needy within the communities of bear, glasgow, and newark delaware
St. Michael's School and Nursery, Inc.	http://www.stmichaelsde.org	(302) 656-3389	EIN 51-0066741	700 N. Walnut Street	Wilmington	DE	19801	USA	Education, Elementary & Secondary Schools, Literacy, Preschools	St. Michael's School and Nursery is committed to the growth and support of children's development in mind, body, character and spirit.  We provide an exemplary, affordable program of early education and childcare in a nurturing atmosphere.  St. Michael's welcomes all children.					Provide early education with child care to children in the metropolitan wilmington, delaware area.
Friends Of Middletown Robotics Organization	http://		EIN 27-0540895	364 E Main St	Middletown	DE	19709	USA	Education						
Canaan Full Gospel Christian Church Inc	http://		EIN 51-0350722	283 School St	Houston	DE	19954	USA	Christianity, Religion						
Leon Williams Revivals Inc	http://		EIN 51-0106666	Po Box 533	Seaford	DE	19973	USA	Protestant, Religion						
Friends Of Winterthur Inc	http://		EIN 51-6018240	Rt 52	Winterthur	DE	19735	USA	Arts & Culture, Single Organization Support						
