name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Geographic areas served	Programs	Target demographics	Direct beneficiaries per year	Youth Leadership Task Force	National Schools of Character Program	National Schools of Character Expectations	From Competition to Meeting a Standard	An Achievable Path to Excellence
U.S. Capitol Historical Society	http://www.uschs.org	800-887-9318	EIN 52-0796820	200 Maryland Ave, NE	Washington	DC	20002	USA	Arts & Culture, Children & Youth, Historical Organizations, History Museums, Youth Development - Citizenship	USCHS is a nonpartisan, nonprofit, 501(c)(3)organization chartered by Congress to educate the public about the Capitol and the Congress. It does this through programs that focus on landmark legislation that has shaped our nation, on the remarkable art in the Capitol that is based on uniquely American images, on the cultural and ethnic diversity of the Congress, and on other topics that help bring our history and government alive.			This tour and classroom program teaches Washington, D.C. public school 8th grade students and teachers about the Constitution and their city.The tour educates students about the first three articles of the Constitution by visiting the Capitol, the White House, the Supreme Court, the Lincoln Memorial, and finally the National Archives where students view the original documents, the Constitution and Bill of Rights, that they have spent the day discussing.Printed and on-line curriculum-based materials reinforce the tour lessons in the classroom, and a Challenge component involves schools actively in assessing the relevance of the Constitution.							
Family Matters Of Greater Washington Inc	http://www.familymattersdc.org	(202) 289-1510	EIN 53-0208258	1509 16th St Nw	Washington	DC	20036	USA	Children & Youth, Children & Youth Services, Economic Development, Human Services, Senior Centers, Seniors, Urban & Community Economic Development	To provide a broad spectrum of services & support capabilities for children, teens, families, & seniors who are vulnerable, in need, & under-served. Services touch every aspect of the life-span, since people at every age matter. Services begin in childhood w/ . . . . . . Foster care for youth who have been abused or neglected & a residential program for teen mothers & their babies. At camp moss hollow, the org. Offers youth development programs in a natural setting. Mental health programs offer affordable, individual, group, & family counseling for people of all ages struggling w/ emotional or psychological difficulties. Division of aging services programs focus on the elderly by providing heavy-duty house cleaning, counseling, & full case management. Senior volunteer programs allow older adults to use their life experiences to serve communities through paid work & volunteering. The ways to work program works w/ adults w/ low credit scores to purchase a car to aid them to travel to work.			Mental health: since 1943, the organization has provided counseling services to residents of the greater washington, dc area needing counseling assistance. The organization is committed to providing high-quality, low-cost mental health services through individual and family counseling, school-based counseling, medication management, domestic violence and anger management services, crisis management, and e. A. P. Services for all ages. The organization assists children who have experienced neglect, abuse, the difficulty of multiple family separations, and those who have been diagnosed with a mental illness. The organization also gives support to seniors suffering from loneliness and despair and offers group and individual counseling to adults suffering from anxiety, depression, and mental illness. . . . . . . The organization's innovative programs for spousal abusers and victims have helped hundreds of families over the last twenty years. The organization served over 400 clients in washington, dc and 80 clients in maryland in fiscal year 2014.   foster care: children are cared for in foster homes while receiving traditional or therapeutic services to help them reunite with their families of origin or new adoptive families. Children receive placement, case management, and permanency services to assist them and their families in safely exiting the foster care system. Although most children are served in foster home placements, services follow children as they transition to congregate care settings (group homes), independent living facilities, and into the protective supervision of their birth families. The organization provided support for over 14,500 days of foster care in 31 approved foster care homes in fiscal year 2014.   ways to work: the organization has a ways to work program that transforms lives by offering low-interest car loans and financial literacy training to families with distressed credit, but good character, since successful working families create thriving communities. In fiscal year 2014, the organization served over 900 clients in this program including 154 new loans approved.							
LIFT	http://www.liftcommunities.org/	202-289-1151	EIN 52-2168409	1620 I Street NW Suite 820	Washington	DC	20006	USA	Community & Neighborhood Development, Economic Development, Employment, Employment Preparation & Procurement, Human Services, Job Training, Personal Social Services											
Atlas Service Corps, Inc (Atlas Corps)	http://www.atlascorps.org	202.263.4565	EIN 76-0834735	1825 K Street NW Suite 210	Washington	DC	20006	USA	International, International Cultural Exchange, International Exchange, Philanthropy, Voluntarism Promotion	To address critical social issues, Atlas Corps develops leaders, strengthens organizations and promotes innovation through an overseas fellowship of skilled professionals.	Since 2006, we have engaged 300 global professionals from 60 countries in an overseas Fellowship in the United States and Colombia.	International	Atlas Corps Fellowship in USA Atlas Corps Fellowship in Colombia Atlas Corps Think Tank LINKS Fellowship	Atlas Corps provides mid-level nonprofit leaders an opportunity to volunteer abroad for 12 to 18 months - especially global south leaders with 4-8 years of experience to volunteer in the U.S.	500					
FINCA International, Inc.	http://www.FINCA.org	202.682.1510	EIN 13-3240109	1201 15th Street, NW 8th Floor	Washington	DC	20005	USA	Economic Development, International, International Economic Development, International Relief, Microfinance, Small Business Development	FINCA''s mission is to provide financial services to the world''s lowest-income  entrepreneurs so they can create jobs, build assets and improve their  standard of living.	FINCA provides small loans and other financial services to over 1.7 million clients in 23 countries, with a global loan portfolio approaching $1 billion, to enable them to build small businesses and work their way out of poverty. The simple idea of helping people to help themselves remains at the heart of our approach to fighting poverty to this day. In 2013, FINCA Eurasia's borrower base grew by a healthy 8.9% to 438,900 people, and the gross loan portfolio surpassed $520 million. In Africa, the number of borrowers grew by 23.5% to 339,700 entrepreneurs across five countries, and a gross loan portfolio of more than $116 million. We saw a 101% increase in the number of savers in the region, thanks to Tanzania and Zambia joining DRC and Uganda to provide this service. In Latin America and the Caribbean, our subsidiaries faced strong headwinds due to a deteriorating economic and security environment, so our growth was up by only 1.6%. One bright spot was Haiti, where our program grew from 2,445 to 10,244 borrowers in just 12 months by end of year 2013. Overall in the region, we had 282,100 borrowers and more than $157 million in outstanding loans to clients by the end of 2013. The Middle East and South Asia includes our subsidiaries in Afghanistan, Jordan, and Pakistan, with a total of 85,300 borrowers at end-2013, and a gross loan portfolio of over $46 million. Outreach in Jordan increased by 23%, while in Afghanistan it increased by an incredible 41%. FINCA Pakistan added more than 200,000 savers to our network total by the years end. While all FINCA subsidiaries serve both women and men, in FINCA Afghanistan, 80% of our clients are women entrepreneurs.	23 countries on five continents, serving clients in Africa, Latin America, Eurasia and Middle East/South Asia	Financial services, including Village Banking and small group loans, individual loans, savings accounts, microinsurance, money transfers, agricultural loans, Islamic microfinance products, microenergy loans, and other financial services for those who could not otherwise obtain them. Village Banking is distinguished from other microcredit methods by the responsibility and autonomy given borrowers in running their banks. Technical Assistance is provided to Village Banking groups to encourage savings and community development activities.	FINCA provides small loans and other financial services to hardworking, impoverished microentrepreneurs to help them build small businesses so they can improve their families' living standards and give their children a brighter future.	over 1.7 million clients, impacting more than 8.2 million children and adults in their families.					
Free The Slaves Inc	http://www.freetheslaves.net	(202) 775-7480	EIN 56-2189635	1320 19th St Nw Ste 600	Washington	DC	20036	USA	Civil Rights, International, International Human Rights	Free the slaves' mission is to end slavery and human trafficking around the world.			India: grassroots anti-slavery: fts and its partners organize communities to resist bonded labor and sex trafficking of adults and children. We support collective action by slaves and former slaves to demand freedom, payment of wages and protection from violence; and to develop new livelihoods and enterprises. We also support lawyers who press for justice for victims, and we support operation of a shelter and group home for survivors of sex slavery. 2013 accomplishments: 2,806 people liberated from slavery; 4,731 people educated on community resistance to slavery; 905 government officials trained on appropriate responses to slavery; 97 legal cases initiated against slaveholders/traffickers.   democratic republic of the congo: grassroots anti-slavery: fts' congo program addresses many forms of slavery surrounding mines in the kivu provinces. Fts partners operate a resource center to educate miners and others about their rights, conduct public awareness campaigns, organize leaders to educate their communities, and engage local officials to press for enforcement of congolese anti-slavery laws. 2013 accomplishments: 56 people liberated from slavery; 1,806 people educated on community resistance to slavery; 91 government officials trained on appropriate responses to slavery; 2 major investigative research reports on mining slavery and forced marriage slavery produced and distributed in the u. S. And congo.   haiti: grassroots anti-slavery: fts' haiti program is focused on eradicating the "restavek" system of child domestic slavery. Fts and our partner have organized six model communities in a pilot project that demonstrates reduction of slavery prevalence is possible when parents are organized to learn about the trauma of slavery, to educate their neighbors about slavery, to take action to rescue their children and to work together to develop new livelihoods. Fts' partner also provides accelerated education for formerly enslaved children and children at risk of enslavement. 2013 accomplishments: seven children liberated from slavery; 648 people educated on community resistance to slavery; 272 at-risk children received accelerated education.							
Ucsj Union Of Councils For Jews In The Former Soviet Union Inc	http://www.ucsj.org	(202) 237-8262	EIN 23-7179117	2200 Pennsylvania Ave Nw East Tower	Washington	DC	20037	USA	Civil Rights, Civil Rights, Social Action & Advocacy, Judaism, Religion	Ucsj is a washington dc based ngo that reports on the human rights situation in countries throughout eurasia, exposing hate crimes and assisting communities in need. We use grassroots-based monitoring and advocacy as well as humanitarian aid, to protect the political and physical safety of jewish people and other minorities in the region.			A human rights monitoring network across the former soviet union, especially russia, ukraine, moldova, belarus and kazakhstan. It is coordinated vis a vis policy by the washington headquarters. It is coordinated on the ground by ucsjs related human rights bureaus in several countries of the fsu.   public education and membership contact including publications on blogs such as www. Coalitionagainsthate. Org and www. Uscj. Org, which provides incident reports and newsletters. A coalition of 50 human rights and religious freedom ngos in the fsu, monitors and provides advocacy about these countries dysfunctional and corrupt rule of law, primarily through the monitoring of antisemitic and xenophobic hate crimes and propaganda and broad discrimiation against religious and ethnic minorities.							
Phillips Collection	http://www.phillipscollection.org	(202) 387-2151	EIN 53-0204620	1600 Twenty-First St Nw	Washington	DC	20009	USA	Art Museums, Arts & Culture	The Phillips Collection is an intimate museum combined with an experiment station.  At its heart is an exceptional collection of modern and contemporary art around which the museum creates a dynamic environment for looking, learning, and enjoyment.		The Phillips is located in Washington, DCs historic Dupont Circle neighborhood. The Phillips serves local, national, and international audiences.	The Phillips Collection presents at least three major exhibitions and a variety of educational programs each year for the benefit of local, national, and international audiences, drawing approximately 150,000 annual visitors.  In addition, the museum collaborates with other major national and international arts institutions to create touring exhibitions featuring works from the Phillips's permanent collection.	The Phillips attracts 150,000 visitors onsite each year, half of whom reside in the Washington, DC metropolitan area.  Audiences represent all 50 states and countries around the world, with about nine percent coming from outside the United States.  Nearly 90,000 children, parents and teachers were reached through local and national education programs in FY09.  The museums website drew over 3.5 million unique online visitors last year.						
Everybody Wins D C Inc	http://www.everybodywinsdc.org		EIN 52-1938281	1213 K St Nw	Washington	DC	20005	USA	Education, Literacy, Philanthropy, Primary & Elementary Schools, Remedial Reading & Encouragement, Voluntarism Promotion	Everybody Wins! DC is a non-profit organization devoted to promoting children''s literacy and a love of learning through shared reading experiences with caring individuals.  These experiences enhance children''s self-esteem, expanding their possibilities for success in school and life, and enable adult volunteers and communities to experience the rewards of enriching young lives.  EW!DC does this by pairing elementary school children with older student reading partners as well as caring adults recruited from Capitol Hill, the federal government, corporations, local businesses, and other organizations.			The literacy and mentoring activities reach more than 3,000 underserved children in 32 Title I public elementary schools and are implemented through four programs:  Power Lunch program -- links eager young minds with caring adults, who give an hour of their time each week to read and talk with children over shared lunch. The mentors promote reading for pleasure, serve as role models, and build children?s self-confidence. Readers Are Leaders program -- older school students are paired with younger children to read together. EW!DC provides extensive leadership training to the older children, supporting them in their growth as reading mentors and as leaders in their school communities. Story Time -- storytellers, authors, and performers provide monthly programs to Title I public elementary schools that are not served by Power Lunch or Readers Are Leaders. Book distributions -- EW!DC distributes children's books several times each year directly to the children as well as to the schools, which often have meager library resources.							
Andromeda Transcultural Health	http://	(202) 291-4707	EIN 52-1034058	1400 Decatur St Nw	Washington	DC	20011	USA	Mental Health, Mental Health Treatment	To provide access and quality healthcare under the premise that all humans are inherently of equal worth but have cultural and linguistic differences that must be considered. This philosophy reflects a high level of community healthcare that has been validated by over 3 decades of direct service to minorities and the underserved population			Hiv/aids-ryan white program provides outpatient mental health services to individual with hiv/aids, psychiatric and metal problems.   apra & atr-primary care services to persons with problems related to substance abuse and mental health  rv project orion apra- provides outreach to substance abusers and make available hiv early intervention services  other program service							
