name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Results	 	Bay Grasses In Classes 	Best Buddies Colleges	Vision Statement
Horse Power for Kids Inc	http://www.horsepowerforkids.com	813-855-8992	EIN 90-0534767	8005 s racetrack rd	Tampa	FL	33635	USA		Our mission at HorsePower for Kids is to serve inner-city children, at-risk children, and any child that could benefit from riding, learning about, and loving horses. Studies show that horses improve self-esteem, character, work ethic, social skills, and academic performance	Low imcome children			riding lessons , horse camps. after school program .fun on the farm					
Fort Lauderdale Children's Theatre	http://www.flct.org	954-763-6882	EIN 59-0756789	Fort Lauderdale Children's Theatre 2542B East Sunrise Blvd.	Ft Lauderdale	FL	33304	USA	Arts & Culture, Theater	Teaching the art of life through the magic of theatre  The theatre's goals are to:   DEVELOP the full potential of young people as members of the community  ACHIEVE the highest possible standards of theatre through artistic excellence  CELEBRATE the diversity of South Florida's population through collaboration and the arts  ENCOURAGE public appreciation of the art form while developing future audiences and patrons of the cultural arts				All programming is education based and includes:   Classes designed to provide formal theatre training and to develop self-esteem, discipline and creativity in children ages 4 to 18 years old. Classes take place at the FLCT Studio Theatre at the Galleria Mall in Fort Lauderdale and t Young At Art Museum in Davie.    Productions provide a forum for youth and adults to create and collaborate during the main stage shows of youth performing for the public, the young repertory productions for teenage actors, and the family productions where parents, children and community leaders can audition to perform together.   Outreach Programs serve residents and visitors to Broward, Miami-Dade and Palm Beach Counties who would otherwise be unable to participate in programs due to financial, geographic or cultural constraints. Programs include arts infusion residency programs, festivals for the diverse multicultural South Florida audience, special appearances, family and cultural expos, etc.  Two programs of note:  A BRIDGE FROM ME TO YOU is a conflict-resolution and anti-bullying program in public elementary schools.  FROM PAGE TO STAGE is a literacy improvement program in elementary schools, with elementary and middle school programs being added this year.					
Kindred Hearts Transport Connection, Inc.	http://www.kindredheartstransportconnection.org		EIN 46-0678235	32257 County Rd 437	Sorrento	FL	32776	USA	Animal Protection & Welfare, Animal-Related, Animals	To improve the future of all domestic animals through relocation into rescue, foster and/or adoptive homes; to practice and promote foster and adoption programs; to build a national rescue outreach program through education, volunteers, self-support, animal advocates, rescue activities; and to use all reasonable means to carry out these objectives.	relocate rescue animals	hundreds of animals relocated into safe loving homes.	the US	volunteer relocation relay transport.	In the last year we have moved hundreds of animals into wonderful, safe and loving homes.				
Community Improvement Organization	http://www.improvingourcommunity.org	305-558-4114 ext	EIN 80-0217241	10001 NW 87 Ave	Hialeah Gardens	FL	33016	USA	Education, Educational Services, Emergency Assistance, Food, Food Programs, Home Improvement & Repairs, Homeless & Housing, Human Services	The mission for Community Improvement Organization Inc., is to revitalize distressed communities by improving the living conditions of under privilege children, low income families/individuals, the elderly and people with special needs in Miami Dade and Broward counties,  FL.  contact me if you live in the hialeah gardens area and will like to helps us change the lifes of others email: ipaguada@msn.com cell:786 278 8559 office: 305 558 4114 ext: 252	Underprivileged children, elderly, people with special needs and low income families	4500	Miami and Dade Broward counties, Florida	CIO currently has three programs in place. Firstly, Low Income Housing Repair Program; Secondly, Food and Emergency Assistant Program, and third program is Hands-On Learning Services Program.	CIO has provided services to over 13000 members of our local communities, in providing provisions of food and basic needs, rebuilding homes, home repairs, emergency bill pay and housing,Hands-On service learning and volunteering opportunities.				
Foot Print To Success Clubhouse Inc	http://www.footprintsuccess.org	954-657-8010	EIN 01-0961623	3511 NW 8th Ave Suite 7	Pompano Beach	FL	33064	USA	Employment Preparation & Procurement, Job Training, Vocational Rehabilitation	Foot Print to Success Clubhouse mission is to assist adults with serious and persistent mental illness in developing the skills and confidence necessary to lead satisfying and productive lives in the community. This assistance is provided in a psycho-social programming and pre-vocational skill development designed to empower and support its members. Our clubhouse services are provided within a continuum of care, inclusive of recreational, social, vocational, educational, natural supports, and other services. All of our services are free.	adults with mental illness		Broward County, Florida	Our goal is to create a Clubhouse where adults with mental illness can go to be in a supportive environment that provided the life skills and social skills necessary to live and thrive in the community. We also wanted the Clubhouse to focus on the person's strengths and abilities while challenging that individual to pursue his/her chosen life goals.					
Florida Cancer Specialists Foundation	http://Foundation.FLCancer.com	941-677-7181	EIN 20-4616813	5202 Paylor Lane	Sarasota	FL	34240	USA	Cancer, Philanthropy, Public Foundations, Voluntarism Promotion	Our mission is raise funds to pay essential, non-medical, living expenses of adults undergoing cancer treatment in Florida. We believe no one should have to choose between paying rent and paying for chemotherapy. The Foundation allows those fighting their battle with cancer to concentrate on recovery rather than their overdue rent, mortgage, electric, or water bill.	Adult cancer patients actively undergoing treatment	600 cancer patients and their families	Florida	financial, non-medical grants to assist cancer patients and their families with essential living expenses (rent, mortgage, utilities, car payments, etc.) so they can focus on getting well rather than worrying about overdue bills.	In 2015 we helped over 600 cancer patients and provided over $611,000 in financial support.				
The Marco Players Inc	http://themarcoplayers.com/	(239) 642-7270	EIN 65-0320504	1055 North Collier Boulevard Marco Town Center Mall	Marco Island	FL	34145	USA	Arts & Culture, Theater	The mission of The Marco Players is to provide a venue, and a professional environment, for  performers and theater-goers alike to experience entertaining, meaningful, high  quality theatrical productions that benefit the community, our volunteers and local community organizations.	Patrons between the age of 10 - 100 who enjoy theater and want to volunteer.	Our community of locals, vacationing patrons, local arts organizations and children in our community.	Collier County, Naples & Marco Island	We are establishing educational workshops for children and adults who want to create in a theatrical environment and stay connected to our community and the arts.  We also want to create opportunities for our patrons to give us input into our programs and productions.	Make your donations at www.TheMarcoPlayers.com.  We exist on our ticket sales alone and the donations our patrons wish to make when they purchase a ticket. While you are visiting our site be sure to give us your email address so we can send you fundraising event notifications.				
Charlotte County Habitat for Humanity ReSale	http://www.charlottecountyhfh.org	941-639-3162	EIN 59-2870908	1750 Manzana Avenue Boca Grande Blvd	Punta Gorda	FL	33950	USA	Christianity, Homeless & Housing, Housing Development, Construction & Management, Religion	Habitat for Humanity is a nonprofit, ecumenical Christian housing ministry dedicated to eliminating substandard housing and homelessness worldwide and to making adequate, affordable shelter a matter of conscience and action. Habitat invites people from all faiths and walks of life to work together in partnership, building houses with families in need.	To provide reasonable price housing for all families	We helped 28 families get into homes during our 2013-2014 fiscal year.  We completed repairs to 9 veterans homes.   Last April during the 'Paint Your Heart Out' with Comcast and Team Punta Gorda, the exterior of 10 Punta Gorda resident homes were painted in one day. So we helped 47 families during our last fiscal year.  WOW!  Thank you Charlotte County for voting us Charlotte Sun's Reader's Choice winner for the Best Non Profit in Charlotte County for the third year in a row!	Charlotte County Florida	Home ownership opportunities for low income persons who are willing to put in 300 hours of sweat equity, attend classes, commit to a $1,000 escrow deposit, no felony convictions within the past 7 years, must live or work in Charlotte County for 12 months, and must be a U.S. Citizen or have a Permanent Resident Alien immigration status.	Over 300 Charlotte County Florida families achieved the  American Dream of owning their own Habitat home since 1987.				
In Need of Diagnosis	http://www.INOD.org	(407) or (888) 8	EIN 13-4321652	PO Box 536456	Orlando	FL	32853	USA	Health	In Need Of Diagnosis, Inc. (INOD) is a resource center for those who suffer with illnesses that have eluded diagnosis.  INOD advocates for medical protocols that increase the accuracy and timeliness of diagnoses.	all individuals	23589	International	research, support, advocacy, education and referral services to persons struggling with a undiagnosed medical condition.					
Florida Institute for Community Studies Inc	http://www.ficsinc.org	813-249-8100	EIN 59-3712006	PO Box 16745	Tampa	FL	33687	USA	Civil Rights, Civil Rights, Social Action & Advocacy, Family Services	FICS partners with communities to help them achieve their goals through research, services, education and training.	communities understand their own strengths and risks so that they can plan, get organized and succeed!	900 youth and their families	Partnering with communities across Florida to help them achieve their goals through research, education, training and services	FICS includes :1.  Vivir Mejor, Live Better: Our Model Program focusing on Cardiovascular Health 2.  One Goal Many Voices: A statewide program focusing on the needs of health promotors and outreach workers   3.  Quick and Easy Spanish: immersion Spanish - 6 weeks with a native Spanish speaker.   4.   Multicultural Family Center: afterschool programming for youth 6-18, homework help, mentoring, free/confidential HIV testing and computer lab.	2  - soon to be 3 FICS Multicultural Family Centers serving over 500 families every year!  * Improved outcomes - prevention works! * community advocacy and self-determination  Help us @https://npo.justgive.org/fics				
