name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Furkids'' Main Goals: 	ACR REF Rheumatology Investigator Award
Misa International Youth Foundation	http://		EIN 46-3254076	5580 Feldwood Pl	College Park	GA	30349	USA	Children & Youth, Youth Development								
Awwin Inc	http://www.awwininc2.org	912-659-0241	EIN 58-2583583	2203 Abercorn St PO Box 1191	Savannah	GA	31401	USA	Homeless & Housing, Housing Expense Reduction Support, Human Service Organizations, Job Training	To deliver a full continuum of support services for the single working woman and her family through a variety of collaborative efforts and partnerships with community organizations and agencies.	AWWIN, Inc is a 501(c)(3), publicly supported organization designed to assist single working women and their children. AWWIN is a Savannah, Georgia-based nonprofit organization, founded in 2000, by Sarahlyn U. Argrow to provide support services to women, whereby enabling them to become self-sufficient. AWWINs primary career development services include: occupational training, job-readiness, job retention and life-skills training and asset management. These career development services are enhanced by monetary support for living necessities such as assistance with utility bills and childcare. Over the past 9 years, AWWIN has assisted over 450 families				Community, business & industry programs, general/o: host workshops, seminars, and events on personal and economic development, principally for low income women. Over 1250 people have benefited since the organization first started. These workshops are sponsored through in kind partnerships throughout our community  education, general/other: training life and work skills such as budgeting, interviewing skills, and resume preparation. Due to lack of funding this year we were only able to serve a small group with this service. We had to decrease the services in this component this year as well. Due to the change and not having the financial support this year we had to cut the 30 week computer literacy. Some of the services such as volunteers were donated in kind services were offered with inkind donations  emergency assistance programs, general/other: emergency aid and holiday support including utilities, food, transportation,and child care related to maintain participation in our program. We were able to assist 10 families for the holiday wish program and 12 families with emergency needs. When our funds were low, members of the organization contributed to help families also. General public also work with us to provide for the families during the holidays.		
The Jericho House	http://thejerichohouse.org	706-865-7992	EIN 27-2371892	PO Box 2863 PO BOX 6863	Cleveland	GA	30528	USA	Mental Health, Substance Abuse Treatment	The Jericho House is a lighthouse for men with addictions and little hope that their lives will ever change. Many have experienced sobriety at some point in their lives, but have found it so painful they couldn't stand it. This means there are some things within us that only God can heal. These are God-sized problems which requires obedience in order for God to fully work in a man's life.  These are things from which they need to be set free.				United States of America	4 phase i year long regeneration program that has been time tested for 50 years.		
Georgia Conservancy Inc	http://www.georgiaconservancy.org	(404) 876-2900 	EIN 58-1027246	817 W Peachtree St Nw Ste 200	Atlanta	GA	30308	USA	Environment	To conserve Georgia's land and water.	We submitted over 730 signatures to the Dawson County Commission in September 2011 in opposition of the reservoir proposal.  In 2011, over 500 volunteers and trip participants helped us clear and maintain over 100 miles of beaches and trails.  We spent over 1,700 hours working to protect Georgia's natural resources at the state capitol.  In 2011, thanks in part to our new Land Conservation Initiative, USDA Conservation Programs saw a 170% increase in the value of land protected; 104% increase in the number of conservation easement applications received; and a 137% increase in the number of acres protected that year.  Our land conservation program alone placed more than 3,500 acres of highly-ecologically valuable land into permanent conservation in 2011.			Georgia	Blueprints for Successful Communities Land Conservation Stewardship and Outreach Advocacy		
SECOND CHANCES EQUINE RESCUE INC	http://www.scer-ga.org	9123858512	EIN 46-3474088	7663 Ga Highway 196 W	Hinesville	GA	31313	USA		Second chances equine rescue inc. Is a not for profit organization that will provide a humane alternative for horses and other large animals; provide necessary care and training depending on individual circumstances to increase their potential for adoption or sanctuary when deemed. Rescue includes pickup from owners, animal welfare facilities, race tracks, or slaughter bound auctions, assessment of the equine's suitability as a pet, provision of health care and training as needed and appropriate, qualification of perspective homes, placement, follow-up, and, if a placement fails, recovery into second chances equine rescue inc.		horses in need	67 horses	Coastal Georgia, South Carolina	Assistance in the field, rescue, rehabilitation, rehoming		
Nuci's Space	http://www.nuci.org	(706) 227-1515	EIN 58-2409414	396 Oconee Street	Athens	GA	30601	USA	Mental Health	To use music and the arts to combat the epidemic of suicide due to untreated brain illness. Our goal is to prevent suicide by advocating for and helping to alleviate the suffering for those living with a brain illness and by ending its stigma through education.		To use music and the arts to combat the epidemic of suicide due to untreated brain illness. Our goal is to prevent suicide by advocating for and helping to alleviate the suffering for those living with a brain illness and by ending its stigma through education.	Over 250 musicians and artists with access to obstacle-free treatment with a professional mental health care provider. We subsidized over 2200 counseling and psychiatric appointments, valued at over $275,000.	Athens, GA and surrounding areas	To maintain a health and resource center for musicians as a safe space to seek support and guidance. We provide access to affordable, obstacle-free professional care and educate about awareness, prevention and the risk factors of brain illnesses.		
Drepung Loseling Monastery Inc	http://www.drepung.org		EIN 58-1953690	1781 Dresden Dr Ne	Brookhaven	GA	30319	USA	Buddhism, International, International Cultural Exchange, International Exchange, Religion	: Drepung Loseling Monastery, Inc. operating under the name of Drepung Loseling Institute is the North American seat of Drepung Loseling Monastery now re-established in India and an affiliate of Emory University. In implementing its vision to providing a center for the nurturance of inner peace and kindness, community understanding, and global healing, the Institute has two major missions:  1) To contribute to North American culture by providing theoretical knowledge and practical training in Tibetan Buddhist scholarly traditions for Western students, scholars, and the general public.  2) To help preserve the endangered Tibetan culture, which today leads a fragile existence in the exiled refugee communities in India and Nepal.							
AGAPE COMMUNITY CENTER INC	http://www.agapecc.org	404-367-3945	EIN 58-2372950	2353 Bolton Rd Ste 100	Atlanta	GA	30318	USA	Community Recreational Centers, Sports	Agape empowers and supports underserved families within its community to discover and embrace their full potential.   Agape achieves this mission by offering programs and services that are responsive to a variety of needs for school-age children, disabled individuals, adults, senior citizens, and families of Northwest Atlanta.	Our fundraising efforts in 2012 resulted in a Grant award of $100,000 to purchase two new busses to transport the children in our programs.   This year we have focussed our fundraising efforts to expand our after school programmings.	low-income school age children and their families in the Bolton Road Community of Northwest Atlanta.		Agape serves children and their families in the 30318 area code of Northwest Atlanta.	*Academic based afterschool programs for Elementary    and Middle School Students. * ESOL for Spanish Speaking Students with language barriers. * The Ginger Kaney Mentoring Institute for High School Students. * Ragtime, A DAy Program for Seniors and Disabled Adults * Emergency Assistance for Families  * GOGIRLGO! and F.I.T. Camp for Boys, Athletic, Heath and Wellness based Summer Camp * Camp Jumpstart - a summer early reading program for rising first and second graders. * Agape-To-Go a family nutrition backpack program * Extreme Bedroom Makeover * The Great Backpack Giveaway * The Great Thanksgiving Basket Giveaway * The Agape Holiday Gift Store		
Just One Africa, Inc.	https://www.justoneafrica.org	678-640-6342	EIN 45-5399345	6720 Preston Glen Dr.	Alpharetta	GA	30005	USA	Children & Youth, Children & Youth Services, International, International Development, Water, Women, Women's Centers	Just One Africa is a 501(c)3 nonprofit partnering with local leaders in Kenya to create sustainable solutions for orphans and vulnerable children by addressing the clean water crisis and creating hope through care, education, and community development.  Access to clean, safe water is a catalyst for change and the first step to elevating communities from of a cycle of sickness and poverty to one of health and hope.	As of July 2016 we have distributed over 2835 water filters to widows, families, schools and orphanages. These filters have brought clean, safe drinking water to over 70,000 people. We completed a number of school buildings, and have built 3 kitchens to feed children at an orphanage, school and rescue center.  We have provided bunk beds, mattresses, bedding, mosquito nets,  hundreds of chairs, cups and plates, basic hand tool, a 3 row furrow plow, built a rocket stove, bought a few pregnant cows, purchased a years supply of malaria medicine for an orphanage, purchased a full curriculum for grades k-3 for a new school and installed a solar powered lighting system for an orphanage home to allow the children to do homework after dark. Each time we travel to Kenya, we take with us children's clothes, shoes, and educational materials donated by schools along with sports equipment.  We have so much more to do...  In November 2015, we drilled our first deep water well!  This will provide a reliable source water for a school and rescue center, for hundreds of families in a drought stricken area of Kenya, irrigation for crops, as well as provide a sustainable source of income for the school and rescue center.  Our bracelets for clean water program has been extremely successful. We have an online store where you can purchase beautiful, hand made bracelets,  each providing over 200,000 gallons of clean water.  Find out more and shop at http://shop.justoneafrica.org.	Orphans, neglected children and street children.  Widows who are raising children by themselves.  Families who are getting their drinking water from unimproved water sources.	Provide clean water for 30,000 people	Kenya	Vulnerable Children, Clean Water, Orphan Support, Widow Support, Sustainable Projects and Community Development.		
Totality Center, Inc.	http://	(678) 333-7991	EIN 80-0392930	PO Box 1884	Stockbridge	GA	30281	USA	Education, Educational Services	Our mission is to nurture lives of people, by equipping them with necessary tools to function in todays society by offering total service toward stability for life applications.		Accepting Men, Women, and Youth  Homeless  Youth ages 14-19 Singles 20 and up Families  Re-Entry		Counties we currently serve:  Fulton, Dekalb, Clayton, Henry, Gwinnett, Fayette, Cobb	Back to work programs, volunteer and community service programs, and many more to come in the future.		
