name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs
The First Presbyterian Church Of Guam	http://		EIN 98-0076515	Po Box 9490	Tamuning	GU	96931	USA	Protestant, Religion						
Episcopal Church In Micronesia	http://		EIN 66-0501356	Po Box 7350	Tamuning	GU	96931	USA							
Continental Micronesia Inc Association Of Pacfic Island	http://		EIN 66-0576182	181 E Marine Corps Dr Ste 207	Hagatna	GU	96910	USA	Health, Health Care						
Pacific Islands University	http://		EIN 66-0480546	172 Kinneys Rd	Mangilao	GU	96913	USA	Education, Undergraduate Colleges						
Parents Empowering Parents Of Children With Disabilities	http://		EIN 66-0816525	Po Box 9001	Agat	GU	96928	USA							
Dominican School	http://		EIN 94-3231350	114 Chalan Pale Ramon Lagu Rt 1	Yigo	GU	96929	USA							
Beloved Of God Medical Mission Inc	http://		EIN 66-0791135	280 Pale San Vitores Rd	Tumon	GU	96913	USA	Health, Public Health						
Ancient & Accepted Scottish Rite Of Free Masonry So Juris Usa	http://		EIN 98-0032738	190 Cherry Blossoms Ln	Mangilao	GU	96913	USA							
Lets Move Guam	http://		EIN 66-0785778	137 Bita Ct	Sinajana	GU	96910	USA	Human Service Organizations						
Service Corps Of Retired Executives Association	http://		EIN 94-3103446	400 Route 8 Ste 302	Hagatna		96910								
Guam Onnuri Vision Church	http://		EIN 66-0469511	Po Box 7298	Tamuning	GU	96931	USA	Protestant, Religion						
Autism Society Of Guam	http://		EIN 66-0458767	PO Box 7502	Agat		96928								
National Association Of Women In Construction	http://		EIN 66-0774332	Po Box 12894	Tamuning	GU	96931	USA							
University Of Guam Endowment Foundation Inc	http://		EIN 66-0457233	Uog Station Post Office	Mangilao	GU	96923	USA	International, International, Foreign Affairs & National Security						
Saving Grace Church Inc	http://		EIN 66-0833448	Po Box 3055	Hagatna	GU	96932	USA	Christianity, Religion						
Society Of American Military Engineers	http://		EIN 66-0456419	Po Box 1438	Hagatna	GU	96932	USA							
Tamuning Baptist Church	http://		EIN 94-3151213	555 Gov Carlos Camacho Rd	Tamuning	GU	96913	USA							
Chasing Rainbows End Organization	http://		EIN 66-0856107	Po Box 1541	Hagatna	GU	96932	USA							
Touchpoint Church Of God	http://		EIN 66-0734056	Po Box 20850	Barrigada	GU	96921	USA							
Victim Advocates Reaching Out	http://		EIN 98-0090472	Po Box 2045	Hagatna	GU	96932	USA	Hot Lines & Crisis Intervention, Mental Health						
Habitat For Humanity Of Guam	http://www.habitat.org		EIN 66-0503252	Po Box 22511	Barrigada	GU	96921	USA	Christianity, Homeless & Housing, Housing Development, Construction & Management, Religion	Habitat for Humanity is a nonprofit, ecumenical Christian housing ministry dedicated to eliminating substandard housing and homelessness worldwide and to making adequate, affordable shelter a matter of conscience and action. Habitat invites people from all faiths and walks of life to work together in partnership, building houses with families in need.					
