name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	In-Home Respite Care
Ke Ola O Hawaii Incorporated	http://		EIN 99-0288516	3675 Kilauea Avenue 202	Honolulu	HI	96816	USA	Health, Health Care							
Waianae District Comprehensive Health And Hospital Board Inc	http://www.wcchc.com	(808) 697-3457	EIN 99-0148164	86-260 Farrington Hwy	Waianae	HI	96792	USA	General Hospitals, Health	The waianae coast comprehensive health center ("the health center") is a healing center that provides accessible and affordable medical and traditional healing services with aloha. The health center is a learning center that offers health career training to ensure a better future for our community. The health center is also an innovator, using leading edge technology to deliver the highest quality of health care services.					Medical care: primary care medical services (pediatrics, women's, adult medicine and internal medicine) are provided through a main clinic site and four satellite clinics serving the leeward area on the island of oahu. For additional information see schedule o.   emergency medical services: twenty-four hour emergency medical services are provided to the community through the health center's main clinic site on the waianae coast. For additional information see schedule o.   pharmacy: the health center operates two 340b pharmacies on site which reduces the barriers for patients without drug coverage benefits or having to make an additional stop at an off-site pharmacy to pick up a prescription. The pharmacies are located at the main health center in waianae and the kapolei health care center in kapolei.   the waianae coast comprehensive health center serves the medically underserved and economically disadvantaged community of waianae and surrounding communities in the leeward area on the island of oahu in the state of hawaii. Serving the community since 1972, the health center celebrated its 40th anniversary in 2012. From its start as a one doctor office, the health center is the largest, and oldest, of the fourteen community health centers in the state of hawaii. The strength of the health center lies in the strong foundation set by its founders, the vision and expertise of its board of directors, the sense of ownership by its staff, patients and community, the years of service and commitment of its management team, and the relationships forged at the community, state and national level. In 2014, the health center served 34,781 patients, the majority being native hawaiian (49%), followed by asian & other pacific islanders (27%), and caucasians (17%). Data shows 70% of patients are at 100% of the federal poverty level or below, 11% are uninsured, and 58% are receiving coverage under quest, the state of hawaii's medicaid program. The waianae coast is an economically distressed community with a population of 48,519. Almost 19% of the population has annual income less than 100% of the federal poverty level, which is the highest level in the city and county of honolulu and the third highest in the state of hawaii. Twenty-nine percent of waianae coast households are receiving snap/cash or other forms of public assistance. This is the highest rate in the city and county of honolulu and the state of hawaii. The average per capita income is $17,300 making it the lowest in the city and county of honolulu and the state of hawaii. Almost 9% of the population is unemployed, the highest in the city and county of honolulu and third highest in the state. The health statistics of the waianae coast parallel the economic situation in the community. The infant mortality rate in waianae is the highest in the city and county of honolulu and second highest in the state. Teen births are also the highest in the city and county of honolulu and third highest in the state. Morbidity and mortality indicators show that the waianae coast ranks highest in the city and county of honolulu and in the state for obesity (43. 5%); adults who smoke (26%); adults with diabetes (13. 7%); diseases of the heart (260. 4 deaths per 100,000); and cancer (197 per 100,000). The health center achieves its mission by not only serving patients who seek services, but also by incorporating the goal of improving the overall health status of the community it serves. The vision of the founders to offer comprehensive health services has guided the development of services and activities of our patient centered health care home, which includes:- adult day care - behavioral health - case management- chronic disease management (diabetes education, asthma education, smoking cessation, etc. )- dental - emergency room services (24 hours, 365 days/year)- exercise classes, fitness training & walking trails- family planning- health education- health emergency liaison program- homeless outreach- institutional review board for research- laboratory- native hawaiian healing (lomilomi, ho'oponopono, la'au lapa'au, pale keiki, ha ha)- nutrition counseling- patient eligibility services- pharmacy - primary care clinics (adult medicine, pediatrics, women's health) - radiology/mammography/bone density screening- restaurant- specialists (general surgery, optometry, obstetrics/gynecology, orthopedics, podiatry, psychiatry, psychology, dermatology, and chronic pain management)- substance abuse treatment- transportation- health career training/health care professional training- women, infant, children program (wic) the health center is a major economic provider in the community, employing 600 individuals, the majority of whom reside on the waianae coast. The health center is governed and guided by a board of directors that includes 10 members elected from the waianae community, and 10 members appointed for expertise in business, medicine, law, or community affairs, with two representing the service areas of waipahu and kapolei. The health center has maintained a positive financial position by continuously increasing productivity, developing revenue generating services, initiating technological innovations and promoting community involvement. The health center's full array of primary health care services is designed to meet the needs of the target population. Much attention has been paid into placing clinics that are strategically located along bus routes that are visible to the community. The hours of operation at all sites represent a commitment to meet the needs of patients and their personal situations. Clinics are open weekdays as early as 7:00 am and stay open, at the latest, till 8:00 pm. Clinics are also open on saturdays and a walk-in clinic is available at one of the satellite clinics for urgent care. The health center's emergency room is available 24 hours, 365 days a year. Primary, preventive, and enabling services are available and accessible to all life cycles regardless of ability to pay for services. Specific preventive (chronic disease management; health education - diabetes, asthma, nutrition, exercise/fitness; and smoking cessation) and enabling services (case management, eligibility assistance) are integrated with primary care. The health center completed construction of its two-story adult medical and pharmacy building in the spring of 2013. The health center will start construction of a new 2-story emergency medical services building in 2015. A key initiative for the health center continues to be developing a "primary care health care home" that fits the model of care that meets the broad health care needs of our patients. The health center continues to grow its partnership through aharo (accountable healthcare alliance of rural oahu) which includes health centers on oahu and the big island whose mission is "promoting access, quality, and cost effectiveness in healthcare by empowering consumers to evaluate the performance of healthcare agencies that serve them. "	
Kona Association For Retarded Citizens	http://www.arcofkona.org	(808) 323-2626	EIN 99-0108896	Po Box 127	Kealakekua	HI	96750	USA	Human Service Organizations, Human Services, Job Training	The arc of kona is a private, nonprofit charitable organization established to aid people with disabilities, their advocates and families. The arc of kona believes that people with disabilities are as individual in their needs, abilities and gifts as any other in society. The arc of kona is committed to helping people with disabilities achieve the fullest possible independence and participation in society consistent with their wishes.					The arc of kona provided a residential domicilliary home to 5 individuals from july 2014 - february 2015 and 4 residents from march 2105 - june 2015. This service provides assisted living for individuals with developmental disability.   provided individualized support fo rmore than 75 individuals in order to enable these participants to fully integrate into the community by providing social, recreational, daily living, personal care and hygiene activities.   the arc of kona provides classroom instructions and training as specified in individualized service plans for an average of 23 individuals with other services such as daily transportation and meals.	
Five Mountains Hawaii Inc	http://kipukakealo.com	(808) 885-5900	EIN 99-0330168	65-1158 Mamalahoa Hwy Rm/ste 2d	Kamuela	HI	96743	USA	Health, Public Health	Five mountains hawaii provides a full range of bio-psycho-social services to the residents of north hawai'i, with a special emphasis on addressing the physical and mental health disparities of the kanaka maoli (native hawaiian) population. This mission is our kuleana (profound responsibility).					Kipuka o ke ola: designed to provide a full range of bio-psycho-social services to the residents of north hawai'i, with special focus on native hawaiians. It provides culturally-informed direct services, actively collaborates with other like-spirited individuals and organizations and is led by the community in which it serves.	
City Church Of Honolulu	http://		EIN 99-0332267	Po Box 62251	Honolulu	HI	96839	USA								
Kaneohe Yachting Foundation	http://		EIN 99-0287604	173 Kuuala St	Kailua	HI	96734	USA								
Oahu Society for the Prevention of Cruelty of Animals	http://www.oahuspca.org	8087541519	EIN 61-1569948	823 Olive Ave	Wahiawa	HI	96786	USA	Animal Protection & Welfare, Animal Services, Animals, Veterinary Services	Every healthy, treatable animal will find a forever home" has been a success thanks to your continued support. You were an instrumental part in establishing the first Oahu SPCA and the largest animal shelter in Hawaii based on a no-kill philosophy.		reduce overpopulation and make sure every animal has a home.	Over 6000 animals receive medical treatment they needed and over 500 animals found new forever homes.	Animal Rescue, Rehabilitation and Rehoming	Low Cost Wellness Clinic, Low Cost Sterilizations, Animal Intake and Animal Care & Adoptions	
Hoomau Ke Ola	http://www.hoomaukeola.org	(808) 696-4266	EIN 99-0252827	Po Box 837	Waianae	HI	96792	USA		Ho'omau ke ola perpetuates life as it was meant to be by promoting healing from the harmful effects of chemical dependency in an environment that weaves hawaii spiritual values, life skills, and best practices.					The purpose of the organization is to provide comprehensive management, educational/vocational assessment, occupational recovering alcohol and poly-drug abusers, including but not limited to shelter, board, transportation, information and counseling, treatment planning, data acquisitions, records management, educational/vocational assessment, occupational therapy, resocialization and clinical evaluation.	
Believers Of Jehovah And Jesus Christ	http://		EIN 23-7377372	91-730 Kilipoe St	Ewa Beach	HI	96706	USA								
Anahola Homesteaders Council	http://		EIN 99-0322512	Po Box 51	Anahola	HI	96703	USA	Community & Neighborhood Development, Economic Development							
International Church Of The Foursquare Gospel	http://		EIN 99-0304570	Po Box 682	Hanalei	HI	96714	USA								
Mokichi Okada Association Hawaii	http://		EIN 51-0203855	3510 Nuuanu Pali Dr	Honolulu	HI	96817	USA	Arts & Culture, Arts & Humanities Councils & Agencies							
Hawaii Pony Baseball Inc	http://		EIN 99-0310078	Po Box 1234	Waianae	HI	96792	USA	Children & Youth, Youth Centers & Clubs							
Waimanalo Village Residents Corporation	http://		EIN 99-0237455	711 Kapiolani Blvd Ste 700	Honolulu	HI	96813	USA	Homeless & Housing, Housing Development, Construction & Management							
IHS, The Institute For Human Services, Inc	http://www.ihshawaii.org	808.447.2800	EIN 99-0199107	546 Kaaahi St	Honolulu	HI	96817	USA	Homeless & Housing, Homeless Shelters	IHS, The Institute for Human Services, Inc., is a comprehensive social services agency working to prevent and end homelessness in Hawaii. We are a 501(C)3  a private, non-profit organization, that is solution oriented and positive outcome-driven. Our mission is to provide respite for those who are unsheltered and solutions that transform the lives of homeless and at-risk people.   Our vision is a community where everyone has a right to, and responsibility for safe, decent, and affordable housing.	In FY2012, we served over 5,000 people in at least one or more programs, helped prevent homelessness for 401 households (1,232 individuals) and assisted 516 households move from homelessness into stable housing (779 individuals).				While IHS is known for providing emergency shelter and food to the homeless and those most in need, we do far more through our array of eight services: Emergency Shelter and Services, Case Management, Community Food Programs, Childrens Enrichment Services, Outreach, Housing Placement Services, Pre-vocational and Employment Services, Health Services	
Hawaii International Youth Baseball Foundation	http://		EIN 99-0309118	PO Box 62030	Honolulu	HI	96839	USA	Sports							
Hawaiian Acres Rd Corporation	http://		EIN 99-0339789	Po Box 1261	Kurtistown	HI	96760	USA	Community & Neighborhood Development, Economic Development							
Hawaii Credit Counseling Service	http://		EIN 99-0279491	PO Box 17870	Honolulu	HI	96817	USA	Financial Counseling, Human Services							
