name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs
Salmon City Golf Association Inc	http://	(208) 756-4734	EIN 82-0337920	Po Box 2424	Salmon	ID	83467	USA	Golf, Sports	Operating city owned golf course					Provided operating and maintenance services for the city of salmon's municipal golf course.
Friends Of The Eagle Public Library Inc	http://		EIN 82-0381959	100 Stierman Way	Eagle	ID	83616	USA							
Anser Of Idaho Inc	http://www.ansercharterschool.org	(208) 426-9840	EIN 84-1390547	202 E 42nd St	Garden City	ID	83714	USA	Education, Elementary & Secondary Schools, Literacy	Public education (local educational agency).					The school is an independent state-funded public charter school governed under title 33, chapter 52 of idaho code. It provides innovative educational curricula within the public school system but independent from the traditional structure. Virtually all revenues and expenses relate to this single program service.
Jumpin' Beans Mobile Food Bank	http://www.jumpinbeans.org	208-819-9220	EIN 82-0522106	9428 N. Government Way	Hayden	ID	83835	USA		Provide sustenance and sustainable solutions for vulnerable, homebound individuals.	In 2012, we began the process of setting up mini-pantry sites in places of business, along with a cloud-based software tracking system to allow volunteers to help on a moment's notice and impact lives more efficiently.	Seniors who cannot drive anymore and are homebound. Low-income individuals who are unable to get to a regular food bank due to lack of transportation. Children who are undernurished because of lifestyle choices of their parents.	Food for 5,200 meals are provided annually.  The number will grow as we get more food-dropoff sites installed.	Currently serving Kootenai County in Northern Idaho, but will expand into every state when cloud-based software is perfected.	Food delivery Mentoring Partnerships with Charitable Organizations Life Skills Development Education Relationship Counseling Nutrition Self-Reliance training
Bonner General Hospital Foundation	http://		EIN 82-0353855	PO Box 1448	Sandpoint	ID	83864	USA							
Southwest Arts In Action Inc	http://		EIN 86-0747515	PO Box 2031	Bonners Ferry	ID	83805	USA	Arts & Culture, Arts & Humanities Councils & Agencies						
Humane Society Of The Upper Valley	http://www.angelfire.com/id/hsuv	(307) 709-2292	EIN 82-0488015	Po Box 51021	Idaho Falls	ID	83405	USA	Animal Protection & Welfare, Animal Training, Animals	Humane rescue & education					Rescue & provide spay/neuter & veterinary care, foster care, and adoption placement of homeless animals  provide spay/neuter assistance for family pets  provide trapping assistance for feral cats  pet food expense
Teton Valley Hospital Auxiliary	http://		EIN 82-0440304	120 E Hoeard Ave	Driggs	ID	83422	USA	Health						
The Lockheed Martin Idaho Employees Bucks Of The Month Club	http://		EIN 31-1524311	PO Box 1625	Idaho Falls	ID	83415	USA	Philanthropy, Philanthropy, Voluntarism & Grantmaking Foundations						
Vallivue Education Foundation	http://		EIN 82-0418030	5207 S Montana Ave	Caldwell	ID	83607	USA							
Lewiston Civic Theatre Inc	http://www.lctheatre.org	(208) 746-3401	EIN 23-7024931	Po Box 1697	Lewiston	ID	83501	USA		To provide access to the performing arts for people of all ages through quality entertainment, education, and cultural enrichment programs.					Provided cultural entertainment for the region through production of popular plays by local volunteer performers
Families Together For People With Disabilities	http://www.familiestogether.org	(208) 596-2777	EIN 94-3054376	Po Box 9323	Moscow	ID	83843	USA	Autism Research, Civil Rights, Developmentally Disabled Centers, Disabilities, Disabled Persons Rights, Health	To provide families with resources and support that build and maintain strong, healthy, informed, and actively involved family members who can work together to improve the life long outcomes for their children or their sibling with a disability.					Reaching out with resources to rural families. Training on special education, training parent advocates, participation in family enrichment weekends, and distribution of information to families.   training and workshops for families members to gain a greater understanding of the resources available to assist with enhancing their own lives and those with disabilities witin their family.   performing behavioral consultant services through the medicaid program. Providing services to medicaid clients as behavioral consultants.
Om Association Inc	http://		EIN 82-0435371	457 Ridge Rd	Moscow	ID	83843	USA							
Harrison Chapter Senior Citizens Inc	http://		EIN 82-0332028	Po Box 128	Harrison	ID	83833	USA							
Marsing Community Disaster Fund Inc	http://	(208) 896-4920	EIN 23-7182143	Po Box 493	Marsing	ID	83639	USA		Neighbors helping neighbors.					The marsing community disaster fund provides financial support to community organizations and members for local disaster relief, fires, funerals, hospital or large medical bills. Virtually all revenues and expenses relate to this single program service.
Idaho State Elks Youth Inc	http://		EIN 82-0468430	Po Box 25	Twin Falls	ID	83303	USA							
Christian Faith Center North	http://		EIN 82-0302385	31 S Midland Blvd	Nampa	ID	83651	USA							
Snake River Montessori School Inc	http://www.srms.org	208-524-4730	EIN 82-0488508	2970 1ST St	Idaho Falls	ID	83401	USA	Education, Elementary & Secondary Schools, Literacy	The Mission of the Snake River Montessori School is to provide a carefully prepared Montessori Environment that will educate and stimulate children to develop habits, attitudes, and skills for a lifetime of creative thinking and learning.		students develop independence, concentration, organization, coordination and a love for learning	107 students and their families.	Montessori Environment	fully equipped standard Montessori classrooms serving students 2 1/2 through 6th grade.
Idaho Association Of Counties Capital Finance Corporation	http://		EIN 94-3151644	3100 S Vista Ave Ste 200	Boise	ID	83705	USA							
Friends Of The West Bonner Library District	http://		EIN 84-1433531	118 Main St	Priest River	ID	83856	USA	Education, Libraries						
Tania English Home, Inc.	http://		EIN 82-0346548	PO Box 50066	Idaho Falls	ID	83405	USA	Centers to Support the Independence of Specific Populations, Human Services						
Learning Center	http://		EIN 82-0448356	3660 S Cole Rd	Boise	ID	83709	USA	Education, Elementary & Secondary Schools, Literacy						
