name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year	Goals	Objectives		Activities
Huntingtons Disease Youth Organization	http://		EIN 45-4955538	17 N Loomis St Apt 4g	Chicago	IL	60607	USA	Health										
Bible League	http://www.BibleLeague.org		EIN 36-2037761	PO Box 28000	Chicago	IL	60628	USA	Children & Youth, Christianity, Religion, Religion-Related, Youth Development - Religious Leadership	We are called by God to provide Scriptures and training worldwide, so that people prepared by the Holy Spirit will be brought into fellowship with Christ and His Church.				Bible League International supports the work of Christian churches in Africa, Asia, Eurasia, Latin America, the Middle East, and among U.S. Hispanics by providing Bibles and training for nationals to lead Bible studies, share and grow in their faith, and establish new churches. As we reach out to the world with God's Word, we want to make sure that three specific groups hear and study God's Word: those who are poor; those who are persecuted Christians; and those who have never heard about Jesus Christ. When these individuals believe in Jesus, receive a Bible of their own to read and study, and meet regularly with other believers, we celebrate our success with our donor partners.					
adoptaBull English Bulldog Rescue, Inc.	http://www.adoptabull.org	855-385-5111	EIN 46-1527261	P.O.  Box 06657	Chicago,	IL	60606	USA		To rescue, rehabilitate and rehome English Bulldogs in desperate need of assistance in the expanded Chicagoland area encompassing Northern Illinois, SE Wisconsin and NW Indiana.   Our promise is to provide adopters, volunteers and surrendering owners a personal touch throughout the rescue experience and treat all with respect.	We have rescued and rehomed over 30 dogs in our first full year of operation.	homeless, English Bulldogs	Northern Illinois, SE Wisconsin and NW Indiana	medical care, behavioral assessments and retraining or just plain love to English Bulldogs.	over 30 dogs and twice as many families in rehabiitating and rehoming Bulldogs.  In some instances, we've helped rehome the pets of terminally ill patients and military personnel and families in dire financial situations.				
Save Abandoned Babies Foundation	http://www.SaveAbandonedBabies.org	312-440-0229	EIN 36-4461095	55 E. Erie Street Suite 2905	Chicago	IL	60611	USA	Child Abuse Prevention, Crime & Law, Domestic Violence	Prevent illegal, unsafe abandonment of newborn infants.		babies	Illinois	The Save Abandoned Babies Foundation is a 100% volunteer nonprofit organization whose mission is to save the lives of newborn infants that might be illegally abandoned by making parents aware that a safe, legal option exists. The Safe Haven law allows a parent to leave an unharmed newborn baby, 30 days old or younger, with staff at a hospital, police or fire station.	schools, hospitals, fire & police stations				
Chicago Photography Center NFP	http://www.chicagophoto.org	773-549-1631	EIN 14-1880948	3301 N Lincoln Ave	Chicago	IL	60657	USA	Child Day Care, Children & Youth	Our mission is to foster a broad community of photographers who practice and appreciate the art of photography by offering a variety of classes and exhibition activities; sustaining a corps of volunteers; sharing our cameras with overlooked and underserved communities; and providing a vibrant, welcoming environment in which all this happens.	The Chicago Photography Center continues to increase its class offerings, reach new constituencies and develop new opportunities to under-served communities.	General public							
Neumann Family Services	http://www.neumannfamilyservices.org/site/epage/78751_825.htm	(773) 769-4313	EIN 36-6140384	5547 N Ravenswood Ave	Chicago	IL	60640	USA	Education	The mission of Neumann Family Services is to integrate persons with disabilities and other life issues into the community and enrich their quality of life with choice and independence.				Community Housing, Career Services, Developmental Training, Behavioral Health Services, Case Management Services, Clinical and Medical Services					
Amandla Charter School	http://		EIN 37-1512951	6820 S Washtenaw Ave	Chicago	IL	60629	USA	Charter Schools, Education										
Equality Project	http://Www.EqualityProjectINC.org	630-386-5832	EIN 27-2049717	PO Box 409147	Chicago	IL	60640	USA	AIDS, AIDS Research, Civil Rights, Health, Lesbian & Gay Rights, LGBTQ	Equality Project, INC is dedicated to: improving the lives of people affected by HIV/AIDS; reducing the incidence of HIV infection; and advocating for fair and effective HIV-related public policy.   Help those infected with HIV/AIDS. We are an organization helping those infected with HIV/AIDS. By offering assistance , education, resources, awareness, and funding to help those with financial needs to afford Medical Treatment and Medication.		The fight of HIV!	Chicago, IL and Albuquerque, NM	fundraising to help local organizations assist others that are HIV.					
Prairie State Legal Services, Inc.	http://www.pslegal.org/	815-965-2134	EIN 37-1030764	303 N Main St Suite 600	Rockford	IL	61101	USA	Crime & Law, Legal Services	The mission of Prairie State Legal Services is to provide or coordinate the delivery of high quality legal services to low-income individuals, families, and groups.				Provision of legal services to low-income clients in civil matters to eligible persons 14,881 disposed cases in 2014					
Fur A Good Paws Pet Assistance League	http://		EIN 56-2397270	Po Box 294	Flora	IL	62839	USA	Animal Protection & Welfare, Animals										
Forever Husky, Inc.	http://foreverhusky.org	(815) 893-9755	EIN 45-4992703	PO BOX 2510	Crystal Lake	IL	60039	USA	Animal Protection & Welfare, Animals	To help those that have no support husky and human alike.  Forever Husky is a 501(c)3 non profit charitable organization that aims to improve the quality of life for dogs in shelters and rescues until they find their forever homes.	from 07/2013 to 09/2014; we have placed over 37 huskies in their forever home and saved over a total of 45 from euthanasia.	and rescue Huskies across the US from being euthanized	Crystal Lake	rescuing them to prevent euthanasia, adoption huskies to new forever homes, and provide a re-homing program for owners who no longer can keep their husky.	18 huskies from 07-12/2013				
Chicago Gay Mens Chorus	http://		EIN 36-3214067	5756 N Ridge Ave Ste 1	Chicago	IL	60660	USA											
Charis	http://www.charis4haiti.com	(630) 499-0250	EIN 45-4363363	3015 E. New York Street A2-295	Aurora	IL	60504	USA		CHARIS (Greek for God's Grace) operates in complete obedience to God, giving Him His rightful place in determining the path and goals of His ministry that He has, by grace, allowed us to perform.  Thus, CHARIS, primarily focuses on the unseen spiritual needs in Haiti, and secondarily on the seen physical needs, always remembering that our success is completely dependent on God's will and never ours.	CURRENT MISSION PROJECTS:    Bible Study/Evangelization to Vodou Priests/Camps A pioneer ministry that touches the heart of Haiti's true spiritual/physical/emotional/financial problems.  Ecole Christian Communautaire de Macary (The Community Christian School of Macary) Provide free education for all 700 children in the 12 mile radius of the school through funding staff salaries.   Build 3 multi-purpose buildings that would:  seat 1,000 children/people, used as a school Monday-Friday and a church on Sunday.  Ecole Bon Berger de Marigot (Bon Berger Christian School of Marigot) Provide uniforms and general school supplies for each student.   Provide free education for 88 students (including 17 orphans that come to our porch daily) through funding staff salaries.  Mobile Clinic / Porch Clinic Establish a porch clinic/mobile clinic to serve the mountain communities by hosting medical professionals/teams throughout the year.  Family Prayer Sponsorships No strings attached, except your heart strings!			Free education initiative program: our free education initiative program was continued this year, providing free education to now 1,050 students for the 2014-2015 school year, by supporting the directors and teachers at the following schools, in the following villages: macary, haiti - ecole communautaire de macary; marigot, haiti - ecole bon berger de marigot; and in peredo, haiti - little rabbits christian preschool.   on the ground evangelism program: we started regular group bible studies in peredo (charistan's camp) and marigot (house church), as well as, individual bible studies with 20+ hougans and mambos. 100s of haitian creole new testaments have been distributed to adults and school aged children in the villages around us. Every student in our schools and every person in our house church now has a bible. 100s of haitian creole tracks have been passed out in new villages by our short-term mission teams. 18 audio bibles in haitian creole were passed out to blind haitians, illiterate vodou priests, directors of the schools (to be used in the classroom), etc. We hosted 2 pastoral training seminars with 58 pastors-giving 18 of the pastor's we work directly with either a french study bible and/or french bible commentaries. A film projector was donated this year, which has allowed us to incorporate 2 christian films in creole, (magdala and the story of jesus for children) into our ministry.   building project: we have completed 2 of the three new buildings being built for our village in macary. These buildings will make it possible for 1,000 students to attend school in a comfortable, spacious setting. Finished the foundation and bathrooms for the third and final building. Our goal is to complete the 3rd building by january 2015, as well as, build 3 small offices for our directors by january 2016. The completed buildings are being used weekly for school (primary only), church services on sunday and thursday and clinic/meeting space for when our short-term mission teams come in.   feeding program: beans and rice meals were donated and distributed to our schools in macary (ecole communautaire de macary), marigot (ecole bon berger de marigot), peredo (little rabbits preschool) and dupont (ecole communautaire de dupont), as well as, shared with an orphanage in port au prince (new life orphanage). Mobile dental/medical clinics: in january and march, (with medical and dental professionals who came on our short-term mission trips), we held dental clinics/medical clinics everywhere we went (literally - in villages,. . At the hotel, in former vodou camps. . . . Everywhere. We. Went! ). We pulled 100s of teeth. (one village said that it had been 45 years since anyone had brought help to them like we did! 45 years! ! ! ), gave out over the counter medicine and provided relief to many people who were suffering. We were able to provide eye glasses, hearing aids, tooth brushes and tooth paste, etc. ,					
Saint James Food Pantry	http://www.stjameswabash.org	312-842-1919	EIN 36-2171023	2907 S Wabash Ave.	Chicago	IL	60616	USA	Food, Food Banks & Pantries, Religion, Roman Catholic, Senior Centers, Seniors	St. James Food Pantry provides food to low income families, seniors and the homeless.	The food pantry serves on average 1,500 households per month.	Low income families, Seniors and the Homeless.	Chicago 60616 and 60605 zip codes	Food Pantry; Senior Food Delivery; Nutrition Education for Pantry Clients	22,000				
Center For Economic Progress	http://www.economicprogress.org	(312) 252-0280	EIN 36-3693728	567 W Lake St Ste 1150	Chicago	IL	60661	USA	Financial Counseling	The center for economic progress (cep) helps low-income working families as a trusted provider of tax and financial services. Everything we do, from direct service to informing public policy, improves the financial stability of those we serve.				Tax servicesoperating one of the largest and oldest statewide volunteer income tax assistance (vita) programs of its kind, cep provides low-income families with free, high quality tax preparation and an alternative to paid tax preparers.   tax cliniccep provides free, professional representation to low-income taxpayers facing an irs controversy. Through its year-round tax clinic, cep also offers education and outreach on the earned income tax credit (eitc), taxpayer rights and responsibilities, innocent spouse claims, worker classification, and collection alternatives.   financial capabilitycep provides year-round workshops, coordinates a tax-time savings campaign, and offers one-on-one financial coaching to help clients set financial goals, create a spending plan, access safe and affordable bank products like bank accounts, review and correct credit reports, and improve credit scores.   other programsin 2013 cep was awarded a grant from the illinois department of public health to provide outreach and enrollment assistance as a participant in the affordable care act (aca) in-person counselor program. Cep embedded enrollment activities into its core program services, and worked to maximize health insurance coverage among our clients and promote improved health outcomes and reduced financial stress and risk.					
Partners in Mission - USA	http://www.pim-africa.org	630-913-0268	EIN 26-0860327	PO Box 441	Glen Ellyn	IL	60138	USA		Partners in Mission-USA serves to connect American supporters with Partners in Mission-Uganda by sharing the love of Jesus in the Great Lakes Region of Eastern Africa through  	Fellowship 	Evangelism 	Reconciliation 	Networking 	Education 	Community development.   This work is often most powerfully visible among the children, the refugees, the poor, and other vulnerable populations.			Africa						
COLLEGE BOUND OPPORTUNITIES	http://cbo4success.org	(847) 943-9226	EIN 20-4811544	2033 N. Milwaukee Avenue Suite 246	Riverwoods	IL	60015	USA	Education, Scholarships, Scholarships & Student Financial Aid	College Bound Opportunities mentors economically disadvantaged students to unleash their potential, graduate college, pursue meaningful professions, and inspire others to follow in their footsteps	In 2012, CBO celebrated its second college graduation class and now counts 13 graduates amongst its alumni. CBO also accepted its largest incoming class with 30 high school students joining the program, and now have 105 Scholars in the program.   CBO Scholars are represented at 37 colleges/universities across the nation including Stanford, Columbia University, Wellesley, University of Illinois, University of Iowa, and University of Wisconsin.	Low to moderate income high school students	District 113 (Highland Park High School and Deerfield High School) and District 115 (Lake Forest High School) in Lake County, IL	CBO utilizes a comprehensive set of programs that includes one-to-one mentorships, ACT prep classes, resume and interviewing workshops, laptop computers, and scholarships.					
United Sportmens Youth Foundation	http://www.usyf.com	(815) 599-5690	EIN 36-4416672	1931 Route 75 East	Freeport	IL	61032	USA	Children & Youth, Youth Development Programs	To conserve habitat for current and future generations, and to connect youth with nature				Offering of many youth events including habitat education and youth bird hunts to connect youth with nature					
Kendall County Food Pantry Inc	http://		EIN 36-3514694	111 E Vanemmon St	Yorkville	IL	60560	USA	Food, Food Banks & Pantries										
CARE FOR REAL	http://www.careforreal.org	773-769-6182	EIN 27-1962360	5339 N. Sheridan Rd.	Chicago	IL	60640	USA	Employment Preparation & Procurement, Food, Food Banks & Pantries, Food Programs, Human Service Organizations, Job Training	Care for Real has been serving the Greater Edgewater and surrounding northside communities for more than 45 years.  We provide free programs and services to our neighbors in need including food distribution five times a week using a client choice model, deliveries to the homebound, a clothing shop, a pet pantry, a lending library, case management referrals and an Employment Resource Center to help clients self stabilize and get back on their feet.	By the close of 2015, we served more than 100,000.	We provide free programs and services to our neighbors in need.	Care for Real has been serving the Greater Edgewater and surrounding northside communities for more than 45 years.	Food distribution five times a week using a client choice model, deliveries to the homebound, a clothing shop, a pet pantry, a lending library, case management referrals and an Employment Resource Center to help clients self stabilize and get back on their feet.	100,000				
