name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Results	Target demographics	Direct beneficiaries per year
Shelter Ministries Inc	http://www.shelterministries.org	260-925-9200	EIN 35-1837547	315 E 7th St	Auburn	IN	46706	USA	Homeless & Housing, Homeless Shelters	Shelter Ministries is a Christian based non-profit organization that strives to improve the lives of the residents of DeKalb Co Indiana, through education and assistance from our ministries.	Auburn, Indiana	DeKalb Co Christmas Bureau | Clothing Bank | Food Pantry | Financial Assistance | Sharing the Power of the Word & Prayer with those in need | Education/Classes on Budgeting, Nutrition, & Faith | Solving homelessness One Family at a Time	In 2013 Shelter Ministries helped 9,810	Residents of DeKalb County who are in need	423 People with Financial Assistance | 1,580 People in the Clothing Bank | 7,564 People in the Food Pantry | 243 Children with the Christmas Bureau
Tri-State Christian Fellowship Inc	http://		EIN 35-1648791	400 College St	Angola	IN	46703	USA		Minister the gospel of jesus to students.		Tri-state functions to minister the gospel of jesus to students at trine university by helping them apply biblical principals while living away from home on a college campus.			
all for One productions inc	http://www.allforonefw.org	(260) 745-4364	EIN 35-1926639	3901 South Wayne Ave	Fort Wayne	IN	46807	USA	Arts & Culture, Theater	all for One productions, inc. is an arts organization with a Christian worldview working in both education and community theatre settings outside the walls of any church, performing original and published works.					
Autism Spectrum Disorder Foundation Inc	http://www.myasdf.org/	877.806.0635	EIN 20-8820570	228 W. Lincoln Highway 301	Schererville	IN	46375	USA	Autism, Disabilities, Health	The goal of ASDF is to support children with an autism spectrum disorder by providing information, education and financial assistance to their families and relevant community service organizations.  Funds donated to ASDF will be used to address any and all kinds of issues in assisting children with autism and their families. By providing financial assistance to families and autism-specific organizations, together we are able to give autistic children and their families the resources they need to grow. In addition, we spread awareness by providing Early Detection Kits, free of charge, to individuals and agencies who work with infants, toddlers and preschool children.  In the past five years, ASDF has provided direct financial assistance to approximately 1,427 families who have children on the autism spectrum.  The financial assistance went for camp scholarships, iPads for children who are nonverbal, swimming lessons, horse therapy lessons and holiday gift cards.  During the same period of time, we provided autism awareness information to approximately 2,478,000 new mothers across the United States through our autism awareness program.		The foundation educates the public about autism; provides families tools and educational materials to assist in the early detection of autism as well as tools to treat children suffering from autism; and provides families of people suffering from autism with information on programs available to assist them.   the foundation provides financial assistance to the families and relevent community service organizations that help people suffering from autism.			
Thomas A & Sharon K Ruder Foundation Inc	http://		EIN 35-2063035	Po Box 2482	Evansville	IN	47728	USA	Philanthropy, Private Grantmaking Foundations						
Pleasant Run Childrens Homes Foundation Inc	http://		EIN 35-1855592	2400 N Tibbs Ave	Indianapolis	IN	46222	USA	Children & Youth, Children & Youth Services						
Adventures In Missions Incorporated	http://		EIN 35-1778333	3523 E Beech Wood Lake Rd	Bloomfield	IN	47424	USA	Christianity, Religion						
Boys and Girls Club of Michigan City, Inc.	http://www.bgca.org		EIN 35-1992851	301 E 8th St	Michigan City	IN	46360	USA	Boys & Girls Clubs, Children & Youth	The mission of Boys & Girls Clubs of America is to inspire and enable all young people, especially those from disadvantaged circumstances, to realize their full potential as productive, responsible citizens.					
Bauer Family Resources	http://bauerfamilyresources.org/	765-742-5046	EIN 35-1165883	330 Fountain Street PO Box 1186	Lafayette	IN	47902	USA	Family Services, Human Services	The mission of Bauer Family Resources is "Creating brighter tomorrows by strengthening children and families today."		See schedule o head start and early head start are federally funded programs that offer free pre-school and child care services to families living at or below the federal poverty guidelines. Special consideration is given to children with disabilities; living in foster care, homeless, or receiving public assistance. Services include case managers to support families be successful. Services include pregnant women's program, homebased early head start services, centered based early head start classrooms and head start preschool classrooms. In 2014 early head start served 174 children and families (including pregnant women and home based families). The head start program served 317 families. Of these 6% were foster children, 1% were homeless and 6% were receiving public assistance. The organization received 16,282 in in-kind support from the community in 2014.   see schedule o family centered services includes programs and services funded by state contracts and grants. In bauer's counseling division, master's level therapists and bachelor's level case managers provide services to families involved with the child welfare system. Services, provided in-home, including counseling, case management, supervised visitation and support for fathers. In 2014 295 families participated in counseling division services. Of these, 160 had their cases successfully closed during the calendar year. Homebuilders, a short-term, intensive case management program for families with involvement with child welfare or juvenile probation, provided services to 186 individuals in 2014 for a total of 1,022 units of service. Community partners is a child abuse prevention program that offers case management services to families with children. In addition to case management, the program can meet concrete needs of families. In 2014 more than 17,069 adults and children were impacted by community partners. The program paid more than 117,000 for concrete needs (utilities, buying beds, etc. ) and counseling fees for participants. Voca provides advocacy services to victims of crime. In 2014, 457 individuals were reached and 2,105 units of services were provided.   youth and family services include the remainder of the organization's programs and in 2014 included youth development and teen court. A food pantry was offered in partnership with a local church. During 2014, youth development offered both after school and summer programming. There were 524 youth who were members of the youth development program, receiving more than 50,000 units of service throughout the year. Meals and snacks were provided to participants during all programs. Services include homework help, stem and art activities, and recreation. A reading program and basketball program also is available to participants. The summer includes weekly field trips. The food pantry, operated in partnership with church women united, served 128,556 meals to 17,306 individuals in 2014.		children and families.	
Indianapolis Symphony Orchestra Foundation Inc	http://www.indianapolissymphony.org	(317) 262-1100	EIN 35-1812636	32 E Washington St Ste 600	Indianapolis	IN	46204	USA	Arts & Culture, Single Organization Support	The indianapolis symphony orchestra foundation, inc. (the "iso foundation") was formed in september 1990 for the purpose of educating the public and providing financial and other support to the indiana symphony society, inc. (the "society"), an indiana not-for-profit corporation that operates the indianapolis symphony orchestra. It is the general practice of the society to transfer contributions raised, other than annual fund contributions, to the iso foundation unless a donor specifically requires the contribution to be maintained by the society. All fundraising expenses are recorded and reported in the society's accounts.		Provide support to indiana symphony society, inc.			
