name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Geographic areas served	Results	Target demographics	Direct beneficiaries per year
Hospice Of North Iowa	http://www.mercynorthiowa.com/hospicepalliative-care	(641) 422-6208	EIN 42-1173708	232 2nd St Se	Mason City	IA	50401	USA	Hospices, Human Services	Providing care for terminally ill patients	Hospice of north iowa (hni) began in 1981 and cared for its first patient in the fall of 1982. It was one of the first hospices in iowa and remains one of the three largest hospices in the state. In 1997, hni became a wholly owned subsidiary of mercy medical center-north iowa, which is now a division of mercy health services -iowa,corp. Hni served 800 patients during fy14 in a 10-county service area across north central iowa. The hni office is located in mason city and includes a 6-bed inpatient unit.   the mission statement for hni is as follows:we, hospice of north iowa and trinity health, serve together in the spirit of the gospel as a compassionate and transforming healing presence within our communities. Hospice of north iowa provides compassionate care for all those affected by end of life.   see schedule o for additional information. Community benefit:hospice provides end of life care to all patients regardless of their ability to pay. Most patients are covered by medicare. However, reimbursement by medicare for hospice services does not cover all costs. As a result, hni provides a subsidy to medicare to cover the costs of providing the medicare benefit to its patients. Hni provides bereavement services to anyone from its service area who wishes to access these services, regardless of whether the individual has been involved with hospice during the death of a loved one. These services are provided free of charge. Hni also provides a multitude of educational programs to the community each year on subjects related to advance directives, end of life care, the medicare hospice benefit, and bereavement. While some of these require a small fee from participants, most are completely subsidized by hni and are free to participants. The following are specific examples of programs and services provided to the community:bereavement support groups-hni offers bereavement support groups in mason city, hampton, and charles city on a regular basis for anyone in the service area who is grieving-regardless of prior involvement with hni. Education for professionals-hni staff provide education in such topics as pain and symptom management to professional staff in nursing homes and small area hospitals. This not only improves care to hospice patients but also to other patients with similar problems in these facilities.				
Virginia Gay Hospital Health Care Foundation	http://www.vghinc.com	(319) 472-6255	EIN 42-1391891	502 N 9th Ave	Vinton	IA	52349	USA		To maintain, develop, increase and extend the facilities and services of virginia gay hospital, inc. In vinton, iowa.	The mission statement of virginia gay hospital healthcare foundation is the continuation of health and medical care to the people of virginia gay hospital service area. Our concern for humanity is demonstrated by a commitment to obtain and distribute funds through the virginia gay hospital healthcare foundation that will promote, maintain and restore the health of the individuals it serves. The virginia gay hospital healthcare foundation acquires and administers charitable gifts for the benefit of virginia gay hospital and clinics. The tree of lights annual giving is our primary fundraiser. The foundation uses the funds it raises and receives to purchase state-of-the-art equipment, enhance facilities, and develop special programs to help virginia gay hospital and clinics remain in the forefront of medical care. The goal of the foundation is to bring an ever-increasing quality of health care to the community.				
Esna Village Network	http://		EIN 26-4077841	16781 Tanglewood Dr	Clive	IA	50325	USA	International, International Relief						
Pottawattamie County Development Corporation	http://	(712) 325-1000	EIN 42-1459560	1228 S Main St	Council Blfs	IA	51503	USA	Economic Development, Urban & Community Economic Development	Redevelopment of underutilized	Through the downtown revitalization fund, pottawattamie county development corporation provides technical assistance, funding source identification, and historic renovation consulting. The corporation also provides gap financing and forgivable loans for the renovation of historic buildings or the redevelopment of vacant properties in downtown council bluffs, ia.   pottawattamie county development corporation is focused on redeveloping challenging underutilized properties to eliminate blight and environmental contamination. Our expertise includes property assembly, pre-development, environmental remediation and monitoring, property development, and management.				
Sealed With A Kid Inc	http://	(712) 364-2061	EIN 42-1397376	312 Main St	Ida Grove	IA	51445	USA	Child Day Care, Children & Youth	Provide child care services to families in the area.	Provide child care services to families in the area.				
Kossuth County Hospital Foundation	http://		EIN 42-1324032	111 N Dodge St	Algona	IA	50511	USA	General Hospitals, Health						
National Ttt Society-Iowa Gc Knoxville	http://		EIN 42-1154784	1676 135th Pl	Knoxville	IA	50138	USA							
Loras College	http://www.loras.edu	(563) 588-7100	EIN 42-0680412	1450 Alta Vista St	Dubuque	IA	52001	USA		Loras, as a catholic liberal arts college, creates a community of active learners, reflective thinkers, ethical decision makers and responsible contributors in diverse professional, social and religious roles.	Scholarships and grants to students  instruction and academic support provided to full and part time students (1,547 full time equivalent students).   student services, including student development, intercollegiate athletics and other services.   other program services include auxiliary programs such as housing and food service, research, public service and institutional support.				
Muscatine Community Y	http://www.muscatiney.org	(563) 263-9996	EIN 42-0680340	1823 Logan St	Muscatine	IA	52761	USA	Human Services, Young Mens or Womens Associations	The muscatine community y, a membership movement, strengthened by diversity, nourished by its christian values, is dedicated to the empowerment of men, women, boys and girls and the development of spirit, mind and body to attain a common vision of dignity for all.	Health promotion services: promotes and supports physical health and well-being of all ages through sports and exercise. Included in this program service are adult member use of the facility for open gym, raquetball and use of the exercise area.   aquatics: promotes and supports life-long health and personal growth of all ages and capabilities through mastery and practice of individual group skills in the pool environment. Included in this program service is swim classes, water exercise classes, member use of the swimming pool for open and lap swim and pool rental to outside groups.   character development: provides opportunities for self-discovery and skill development to promote growth into responsible adulthood for young people 0-18 years of age in an environment that values their diversity, leadership and point of view. Included in this program service are youth sports programs of soccer and basketball, teen leaders club, middle school fun nights, youth and teen member use of the facility and kid's club.				
Stanley Union Church Union Protestant Church Of Stanley	http://		EIN 42-1193568	Local	Stanley	IA	50671	USA							
Husky Booster Club Hoover High School	http://	(515) 242-7300	EIN 42-1149660	4800 Aurora Ave	Des Moines	IA	50310	USA		Support student activities and school needs.	Renovations for school auditorium  facility improvements to the school, athletic venues and stadium  principal's fund - to pay for teacher equipment, athletic safety equipment and supply requests.   post prom - a drug and alcohol free alternative event following prom that gives our students a fun event to attend and avoid situations where drugs and alcohol may be present.   funds to the des moines school district activities director awards banquet.				
Bethany Baptist Church	http://		EIN 42-1189752	PO Box 64	Manson	IA	50563	USA							
