name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs
Kansas Humane Society	http://www.kshumane.org	316-524-9196	EIN 48-0554339	3313 N Hillside	Wichita	KS	67219	USA	Animal Protection & Welfare,Animals	The Kansas Humane Society is a community resource for pets and people, dedicated to enhancing the welfare of all companion animals.					Since 1888, the Kansas Humane Society has been committed to helping the lost, abandoned and homeless animals in our community. For over 125 years, we have helped hundreds of thousands of Wichitas pets by providing them care, comfort, hope, and most importantly, a second chance at a new life.The Kansas Humane Society is a community resource for pets and people by offering an array of services to promote the human/animal bond, including pet adoption; dog training; behavior consultation; pet supplies; social media outreach including mobile apps, spay/neuter services for the pets of low income families; youth education and community outreach; as well as private cremation and other end of life services for pets. The Kansas Humane Society is a non-profit 501(c)(3) organization and receives no federal, state or local tax dollars, support from the Humane Society of the United States, is not a United Way agency, and depends entirely on private donations and fees for service.
Allegro Choirs Of Kansas City Inc	http://www.allegrokc.org	(913) 422-0469	EIN 46-0494358	110 W 3rd St	Bonner Spgs	KS	66012	USA	Arts & Culture,Singing & Choral Groups	Choir members receive weekly vocal instruction and perform concerts for local, regional, and international audiences.					Choir members performed public concerts locally, regionally, and internationally.  choir members received weekly vocal instruction in preparation for concert performance.
Heartland Therapeutic Riding Inc	http://heartlandtherapeuticriding.org	(913) 897-3939	EIN 43-1115070	Po Box 391	Stilwell	KS	66085	USA	Animal-Related,Animals,Developmentally Disabled Centers,Disabilities,Equestrian,Health,Human Services,Rehabilitative Care,Sports	Riding school for handicapped persons					Riding school servicing approximately 100 handicapped individual during the year
Forever Friends Animal League	http://		EIN 48-1250695	PO Box 9361	Shawnee Msn	KS	66201	USA	Animal Protection & Welfare,Animals						
Franklin Community Council, Inc.	http://www.franklinkansas.com		EIN 48-0790296	P. O. Box 43	Franklin	KS	66735	USA	Arts & Culture,Community Improvement & Capacity Building,Community Recreational Centers,Historical Organizations,Physical Fitness & Community Recreational Facilities,Sports	After a devastating tornado in May, 2003 we organized the Franklin Community Council, Inc., which is a non-profit organization dedicated to strengthening our community and surrounding areas both now and for future generations. Our mission is to improve the quality of life within the community of Franklin and surrounding areas. We serve as a catalyst for change, an innovator to solve problems and will work to partner with other local groups and resources for solutions to current and emerging community needs   We encourage community participation that will result in successful responses to community challenges and opportunities.  We promote community-building programs and events that inspire community pride and unity. We provide individuals and businesses opportunities to make charitable investments that directly benefit the Franklin community.Franklin Community Council, Inc. seeks to be among the finest communities  in Kansas. It will provide effective, efficient and affordable services leading to a safe, secure and healthy community, an environment for growth, and promote a favorable quality of life.	Built the Franklin Community Center & Heritage Museum and a community park which includes a walking path, playground and memorial garden		Thousands	Southeast Kansas	
St John The Baptist Catholic Church	http://		EIN 48-0707388	401 N Ridge Ter	Hanover	KS	66945	USA							
National Society Of Daughters Of The American Revolution	http://www.dar.org		EIN 48-6117443	9924 Edith Ave	Kansas City	KS	66109	USA	Arts & Culture,Education,Historical Organizations,History Museums,Libraries	The objectives of the National Society Daughters of the American Revolution are historic preservation, promotion of education and patriotic endeavor.					
Doorstep Inc	http://www.doorsteptopeka.org	(785) 357-5341	EIN 48-0734624	1119 Sw 10th Ave	Topeka	KS	66604	USA		With the assistance of faith-based organizations, community members and groups, doorstep, inc. Will provide short-term emergency aid to families and individuals in need; and provide information on services to promote long term self-sufficiency for our clients.					Doorstep provides emergency services, along with a variety of additional services to the poor and needy in the community.
Rainbows United, Inc.	http://www.rainbowsunited.org	(316) 267-5437	EIN 48-0793004	3223 North Oliver Avenue	Wichita	KS	67220	USA	Child Day Care,Children & Youth,Developmentally Disabled Centers,Disabilities,Education,Human Services,Preschools	Rainbows was founded in 1972 by Linda Weir Enegren to provide developmental training for children with severe, multiple disabilities who, without self-help skills, were ineligible for special education services through public schools.Over time, Rainbows' focus has shifted to early intervention services for children with a wide range of abilities and needs, ages birth to five.  Rainbows meets community needs by identifying children with developmental delays and disabilities and linking them with early intervention services that promote their development and prepare them for kindergarten.  The agency also offers a high quality early childhood literacy rich  environment for typically developing young children through integrated classrooms. Rainbows meets the needs of families of infants and toddlers with disabilities and developmental delays through home based early intervention services.  Family support and training are woven throughout Rainbows' service offerings.A variety of support services are also available to school age children and youth with disabilities through the agency's community outreach program.		children with special needs and their families	3,400 children	Sedgwick and Butler Counties	bringing together community resources and providing customized services for
JUNCTION CITY CARING PLACE	http://JCCARINGPLACE.ORG	785-238-4428	EIN 74-3138544	1013-B 8th Street	Junction City	KS	66441	USA		  Provide a faith-based central resource center in Junction City, KS.  Serve the local community, churches, military and local businesses.  Assist and Empower families in need.					
Kingdom Promotions	http://www.kingdompromotions.org	(785) 632-3357	EIN 64-0910430	407 Lane St	Clay Center	KS	67432	USA	Christianity,Homeless & Housing,Housing & Shelter,Religion,Religion-Related	Creative fundraising for nonprofit projects and ministries; distributing funds and helping disenfranchised youth and adults; holding christian festivals to meet spiritual and social needs of community.					Creative fundraising for nonprofit projects and ministries; distributing funds and helping disenfranchised youth and adults; holding christian festivals to meet spiritual and social needs of community.
Concordia Foursquare Church	http://		EIN 91-2089266	129 W 6th St	Concordia	KS	66901	USA							
Chanute Ministerial Alliance	http://		EIN 23-7440318	916 S Evergreen Ave	Chanute	KS	66720	USA							
Plumb Place	http://	(620) 342-1613	EIN 48-0559092	224 E 6th Ave	Emporia	KS	66801	USA	Homeless & Housing,Housing Support	To assist women in need by providing safe, affordable housing and opportunities for success.					Providing housing for handicapped and working single women.
Sawyer Memorial Housing Inc	http://	(316) 321-4300	EIN 48-1071672	Po Box 230	El Dorado	KS	67042	USA	Homeless & Housing,Senior Citizens Housing & Retirement Communities,Seniors						Elderly housing
Mennonite Brethren Foundation	http://		EIN 48-1092804	315 S Lincoln Box 220	Hillsboro	KS	67063	USA	Religion						
