name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Results	Target demographics	Direct beneficiaries per year
Phoenix Theatre Inc Of Bowling Green Kentucky	http://	(270) 781-6233	EIN 61-1124620	545 Morris Aly	Bowling Green	KY	42101	USA	Arts & Culture, Theater	To enrich the cultural life of bowling green and the surrounding region through the production of high quality theatre and other performing arts events.		Operation of a public theatre for the residents of south central kentucky to encourage and foster the arts and professional development of actors			
Central Kentucky Japanese School Inc Parents Association	http://		EIN 61-1117128	264 Richardson Pl	Lexington	KY	40509	USA							
Heart To Heart Rescue	http://		EIN 45-5446038	3044 Bardstown Rd Suite 233	Louisville	KY	40205	USA	Animal Protection & Welfare, Animals						
Murray State University Foundation	http://www.murraystate.edu/foundation	(270) 809-3017	EIN 61-6053844	100 Nash House	Murray	KY	42071	USA	Education	Enhancement of murray state university by assisting in fundraising, collecting contributions to the university for student scholarships, faculty support, and special projects, managing scholarship disbursements, and investment management.		Improvement and enhancement of murray state university by assisting in fundraising, collecting contributions, aiding donors with estate and planned giving and establishing endowments, and disbursement of funds to the university to be used for scholarships, endowed professorships, faculty support, and other expenditures on behalf of the students and faculty.   providing recreation for the convenience of the students, faculty, staff, and alumni of murray state university, as well as the community and region, through the operation of miller memorial golf course. The university golf team utilizes the course as its practice facility and home course.			
Janice Holt Giles And Henry Giles Foundation Inc	http://		EIN 61-1308708	1251 Magnolia St	Bowling Green	KY	42104	USA	Arts & Culture, Historical Organizations						
Hospice Of Lake Cumberland Inc	http://www.hospicelc.org	(606) 679-4389	EIN 31-1118731	100 Parkway Dr	Somerset	KY	42503	USA	Hospices, Human Services	Hospice of lake cumberland offers compassionate care to patients and families struggling to cope with a life-threatening illness.		Hospice of lake cumberland, inc. Is a nonprofit health care organization serving terminally ill patients in seven counties in kentucky. It is the mission of hospice of lake cumberland, inc. , through the provision of resources, guidance, and presence, to meet the physical, emotional and spiritual needs of the terminally ill and their families, and thus empower these persons to experience peace and dignity in the final stage of life. This care is provided by an interdisciplinary team of professionals and trained volunteers. During the year 2014, hospice of lake cumberland, inc. Served 186 patients.			
Midway Free Public Library	http://		EIN 61-1143120	PO Box 4160	Midway	KY	40347	USA	Education, Libraries						
Bethel Mennonite Camp	http://		EIN 61-1359994	2773 Bethel Church Rd	Clayhole	KY	41317	USA	Christianity, Religion						
South Eastern Water Assoc Inc	http://		EIN 61-1282354	Po Box 458	Somerset	KY	42502	USA		SALE OF WATER TO MEMBERS OF THE ASSOCIATION. AT THE END OF THE PERIOD THERE WERE MORE THAN 7,500 MEMBERS					
Celebration Church Of God	http://		EIN 62-1611635	300 Lucky Debonair	Hopkinsville	KY	42240	USA							
