name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Target demographics	Direct beneficiaries per year	Results	DomesticViolence Emergency Shelter
Victory And Power Ministries Inc	http://		EIN 72-1139148	6940 Harry Dr	Baton Rouge	LA	70806	USA								
Pool of Siloam Medical Ministry, Inc.	http://www.poolofsiloam.org		EIN 20-0171332	4140 Greenwood Rd	Shreveport	LA	71109	USA	Ambulatory & Primary Health Care, Community Health Systems, Health	We share the love of Jesus by reaching out to the medically underserved.  Everyone, regardless of income or situation, is entitled to adequate health care.  We believe that health is defined as physical, emotional, mental and spiritual well-being.  By building Christ-centered relationships, fostering trust and providing necessary tools of awareness, education, excellent medical care and assistance with mediations, we can empower persons to take responsibility for their own well-being.  Our success can be measured in the life-changing words, "Lord, I believe."		We provide basic medical care to adults with no insurance, Medicaid or Medicare.  Our services include our medical clinic, dental clinic, women's health clinic, diabetic eye clinic, and counseling.  In 2007, there were 997 appointments for patients in our clinic.  Additionally, we provided approximately 1,000 other services, including the Patient Assistance Program as well as information and referrals.				
Animal Rights For Life	http://		EIN 58-1618372	10 Dauterive Ct	Kenner	LA	70065	USA								
Southern Mutual Housing Development Corporation	http://	(337) 367-3277	EIN 72-1322831	3602 Old Jeanerette Rd	New Iberia	LA	70563	USA	Homeless & Housing, Housing Support	To build healthy and prosperous rural communities in louisiana						
North Central Louisiana Substance Abuse Center Inc	http://		EIN 72-0952068	Po Box 505	Ruston	LA	71273	USA								
Ladies Auxiliary Of The Deutsches Haus	http://		EIN 72-0813473	4536 Meadowdale St	Metairie	LA	70006	USA								
Foundation Health Services Inc	http://		EIN 72-1248744	PO Box 40018	Baton Rouge	LA	70835	USA	Human Services, Seniors, Supportive Housing for Older Adults							
Lafayette Parish Bar Foundation	http://	(337) 237-4700	EIN 58-1875564	Po Box 2194	Lafayette	LA	70502	USA	Crime & Law	Provide legal information to the community through a legal library maintained for the community; providing information on law and legal services available for low income residents of the community.		Provide legal information to the community through a legal library maintained for the community; providing information on law and legal services available for low income residents of the community.				
Goodwill Industries of North Louisiana, Inc.	http://www.goodwillnla.org	318 868 4701	EIN 72-0460816	800 W 70th St	Shreveport	LA	71106	USA	Goodwill Industries, Human Service Organizations, Human Services, Job Training	Founded in 1902 by Rev. Edgar Helms, Goodwill Industries'' primary mission is to place people in productive and competitive jobs.	26 Parishes North Louisiana	Goodwill Industries of North Louisiana, Inc. provides job training and job placement services to persons with disabilities and other barriers to employment.  We teach people to work and help people find jobs.	Low income adults as well as youth in the North Louisiana area Between the ages of 12 and up.	over 2500 families served each year	2009 Statistics   Served Total 2469 Some of which includes:  At Risk Youth           709  Persons with Disabilities 1033  Ex-Offenders  976	
NEXT GENERATION MINISTRIES	http://nextgenclubs.com/	504-885-0980	EIN 72-1314271	5000 W Esplanade Suite 112	Metairie	LA	70006	USA	Big Brothers & Big Sisters, Boys & Girls Clubs, Children & Youth	Providing moral and character education clubs to middle and high school campuses across the Southern Region of the United States, beginning in New Orleans and spreading out as we go.	Greater New Orleans area	Character and Moral Education	Middle schools and High schools	Over 4,000 students per week for 30 weeks.	Presently hold our weekly clubs in 47 schools speaking to over 4200 students.  Our 10 staff members and 65 volunteers from the community serve as mentors to these students as they connect with us through our lessons. Our motto is "change the campus, change the culture"!  We are doing this	
Infinity Initiative	http://		EIN 27-2874887	11416 Manorwood Dr	Baton Rouge	LA	70815	USA	Education, Literacy, Remedial Reading & Encouragement							
Eunice Care Center, Inc.	http://		EIN 72-1108968	300 South Street	Eunice	LA	70535	USA	Child Day Care, Children & Youth							
Shir Chadash Conservative Congregation	http://www.shirchadash.org	504-889-1144	EIN 72-1448252	3737 W Esplanade Ave N	Metairie	LA	70002	USA	Judaism, Religion	Shir Chadash Conservative Congregation is a family-oriented, egalitarian conservative congregation that is committed to strengthening, celebrating and enriching Jewish life through a diverse program of Torah (study), Avodah (worship) and Gmilut Hasadim (deeds of loving kindness) in order to address the needs of congregants and to enhance the life of the larger community.						
Common Ground Relief, Inc.	http://		EIN 06-1816720		New Orleans	LA	70117	USA	Civil Rights, Disaster Preparedness & Relief Services, Economic Development, Housing Development, Construction & Management							
NEW ORLEANS SPEECH & HEARING CENTER	http://www.noshc.org	(504) 897-2606	EIN 72-0443103	1636 Toledano St	New Orleans	LA	70115	USA	Health, Rehabilitative Care	To improve the communication of children and adults who are affected by speech-language and hearing disorders, in order to improve their quality of life and help them connect with others.		Autism Summer Camp, Language to Literacy, Listening for Success, Stuttering Support Group, Bilingual Group				
Paws of NE Louisiana Inc	http://		EIN 68-0557163	351 Murray Cir	West Monroe	LA	71292	USA	Animal Protection & Welfare, Animals							
The Jewell Parkerson Lowe Foundation Inc	http://	(337) 232-4357	EIN 58-1857420	Po Box 3668	Lafayette	LA	70502	USA								
Save Our Cemeteries, Inc.	http://www.SaveOurCemeteries.org	504-525-3377	EIN 51-0138358	1539 Jackson Avenue Suite 415	New Orleans	LA	70130-5896	USA	Arts & Culture, Cultural & Ethnic Awareness, Historical Organizations, History Museums	Founded in 1974, Our mission is to preserve, protect, and promote the historic cemeteries of New Orleans through restoration, education, and advocacy.   In 1974, the Archdiocese of New Orleans announced a plan to destroy the wall vaults surrounding St. Louis Cemetery No. 2 and replace them with a chain-link fence. The preservation community was incensed.  Save Our Cemeteries was created in response to this threat, but the organization quickly realized the problem of cemetery neglect was not limited to just one cemetery.	The greater New Orleans metro area.	Education: tours and lectures(open to the public) are held throughout the year with topics ranging from jazz funerals to voodoo to yellow fever epidemic. Our guided cemetery tour allows the visitor a glimpse into the hisorical past of new orleans. Each year save our cemeteries holds a seminar covering a wide range of topics to educate tour guides with historically accurate knowledge.   restoration: save our cemeteries conducts cemetery restoration work each year as part of its mission. Grants, donations,tours and fundraisers support these endeavors. Projects include the restoring of abandoned tombs, landscaping, and making capital improvements. Also, proper restoration techniques for historic tombs are provided to tomb owners and cemetery operators.			To date, Save Our Cemeteries (SOC) has performed millions of dollars worth of capital improvements in New Orleans' cemeteries. Educated tens of thousands of visitors/tourists on the history, culture, significance and impact of New Orleans' historic cemeteries through educational cemetery tours and lectures.	
Louisiana Wildlife Agents Association Inc	http://www.lwaa.org		EIN 72-1130460	281 Lansdown Dr	Houma	LA	70360	USA	Animals	To foster, protect and promote the welfare and interest of all classified commissioned wildlife enforcement agents, active or retired; to encourage and promote the constant improvement of public service rendered by the office of enforcement of la dept. Of wildlife & fisheries; and to engage in any other lawful activity permitted by internal revenue code of 1986 section 501(c)(3).		Publication and distribution of the louisiana game warden magazine: three issues of the magazine were published and distributed to the organization's members, retirees, elected state district court judges, district attorneys, state senators, state representatives, sheriffs, and the state governor free of charge. Businesses that purchased ad space in the magazine also receive a copy. The magazine provides members a forum to share experiences encountered as a wildlife agent, experiences as lwaa members, and current issues that affect the louisiana wildlife agent profession. The magazine also serves as a tool to keep the public and public officials aware of the services that wildlife agents provide each day to the general public and general hunting and boat safety issues that are beneficial for all individuals to be aware of.   hosting the annual louisiana wildlife agents association convention: approximately 114 members of the louisiana wildlife agent's association attended the annual conference which takes place over a weekend. The conference is the only event held by the organization at which a large portion of the members are present simultaneously. The organization takes this opportunity to inform and educate the members regarding issues that are important to them as louisiana wildlife agents. Speakers at the conference include public officials and staff from the louisiana department of wildlife and fisheries headquarters. A pistol match and a golf tournament are held to provide networking and team-building. Statistics of the ldwf enforcement division are shared. Various awards are given to show appreciation and provide encouragement, including the "agent of the year" awards.   children's t-shirt program: wildlife agents handed out approximately 3,100 free t-shirts to children wearing life jackets that were encountered during random boat safety inspections on the water. The t-shirts are inscribed with the slogan "i got caught wearing my life jacket. " the goals of the program include encouraging parents and children to practice safe boating habits and to showcase the agents' duties in a positive manner to the public.				
Tater Tot Big Dog Rescue Inc	http://		EIN 27-2879125	Po Box 704	Independence	LA	70443	USA	Baseball & Softball, Sports							
Church Of Scientology	http://		EIN 72-1304939	102 Huggins Rd	Lafayette	LA	70506	USA								
Joy House Ministries	http://		EIN 58-2010773	5993 Toria Dr	Alexandria	LA	71303	USA								
Friends Of The Algiers Courthouse	http://	(504) 391-0667	EIN 72-1306631	Po Box 741056	New Orleans	LA	70174	USA	Human Service Organizations, Human Services	Preservation and restoration		Preservation, restoration, and maintenance of the algiers courthouse.				
Youth Outreach Services	http://		EIN 04-3717195	7903 Arcadian Shores Dr	Shreveport	LA	71129	USA	Human Service Organizations							
