name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Results
Kieve-Wavus Education, Inc.	http://www.kievewavus.org	207.563.5172	EIN 23-7352599	PO Box 169 42 Kieve Road	Nobleboro	ME	04555	USA	Children & Youth, Education, Educational Services, Youth Development Programs	Kieve-Wavus Education empowers people to contribute positively to society by promoting the values of kindness, respect for others, and environmental stewardship, through year-round experiential programs, camps for youth and adults, and guidance from inspirational role models.		8,000 middle schools students	Primarily Maine and New England with our Leadership School program.	Founded in 1982, Kieve's Leadership School  educates young adolescents, primarily from rural Maine schools, to make healthy decisions about drugs and alcohol, relationships, and peer pressure. Students develop self-confidence and gain encouragement to pursue their dreams. Kieve Camp for Boys - 26 day residential and wilderness tripping camp Wavus Camp for Girls - same model as boys' camp. The Leadership School - experiential learning program that serves approx. 8,000 kids per year The Kennedy Learning Center specializes in non-profit and corporate teambuilding and leadership programs. These programs are facilitated with by our highly trained staff and counselors. 9/11 Family Camp - for surviving families affected by the events of 9/11. For the past 6 years we have offered a Veterans Camp for deployed veterans and their families.	
Landing School Of Boatbuilding And Design	http://www.landingschool.edu	(207) 985-7976	EIN 01-0355980	286 River Rd	Arundel	ME	04046	USA		The school's mission is to effectively prepare men and women for careers in the marine industry as practical designers, builders and systems technicians who work professionally on today's vessels, adapt to the industry's evolving technology and appreciate the traditions of the past.				Marine systems - teaches the skills and knowledge necessary to install, maintain and repair modern boat systems using established industry standards.   yacht design - teaches the technical design process for both power- and sailboats from concept through preliminary design.   boatbuilding program - teaches students construction techniques for traditional and modern boats using wood and composite materials.   sale of boats and other revenue	
Maine Children's Health Program	http://		EIN 01-0487199	22 Bramhall Street	Portland	ME	04102	USA	Community Clinics, Health						
Boothbay Region Land Trust Inc	http://		EIN 01-0371869	Po Box 183	Boothbay Hbr	ME	04538	USA	Environment, Land Resources Conservation						
Oxford County Mental Health Services	http://		EIN 01-0466967	150 Congress St	Rumford	ME	04276	USA	Mental Health, Mental Health & Crisis Intervention	To improve the quality of life of those who are affected by mental illness.				Crisis center provides county wide emergency out-patient mental health services on a 24/7 basis at agency offices, hospitals and other locations  pnmi (private non-medical institution) residence and rehabilitation programs for people suffering from chronic and persistent mental illness.   community service including case management program, medication management services and out patient therapy services.   social club for adults who may have mental health or any kind of physical or emotional challenge. It is open every day.	
Information Technology Exchange	http://www.itec3.org	207-338-4233	EIN 55-0788650	156 Searsport Ave	Belfast	ME	04915	USA	Computer Science, Education, Ethnic &  Immigrant Centers, Human Services, Immigration, Technology	Our Mission is to increase technology access and literacy for individuals, families, and non-profits. We believe that everyone deserves equal opportunity and access to technology.	All individuals, libraries, nonprofits		Technology Access and Literacy	PCs for Maine - providing technological support to individuals and nonprofits along with affordable computers and other technology.  Give I.T. Get I.T. - our donation network that connects donors and other sponsors with those who cannot afford a computer to help them with school, work, or any other professional task.	
Celebration Barn Theater	http://www.celebrationbarn.com	(207) 743-8452	EIN 23-7321583	190 Stock Farm Rd	South Paris	ME	04281	USA	Arts & Culture, Arts Education	Education in performing arts				Students receive training from master performers in the arts and utilize what they have learned in performances for the public. There were 78 students during 2014 who exhibited their newly learned skills in 15 public performances  audience attendees for these performances totaled 1110	
IRIS NETWORK	http://www.theiris.org	(207) 774-6273	EIN 01-0196359	189 Park Avenue	Portland	ME	04102	USA	Disabilities, Eye Diseases, Blindness & Vision Impairments, Eye Diseases, Blindness & Vision Impairments Research, Health	The iris network helps people who are visually impaired or blind attain independence and community integration.				Vision rehabilitation services program: the rehabilitation services program evaluates consumer needs based upon vision loss and develops a program of services which allows the individual to carry on the functions necessary to maintain the level of independence desired. Program services may include one or more of the following components: social work/counseling; personal adjustment counseling; and vision rehabilitation therapy. The vision rehabilitation therapy component addresses multiple areas of learning including communications, adaptive kitchen skills, home management, personal management, recreation, orientation and mobility training, and the use of video magnification equipment.   assisted living program: the iris network provides assisted living services to certain visually impaired or blind residents of iris park apartments. Iris park apartments features (30) one and two bedroom independent living apartments which are separately owned but managed by the iris network. Visually impaired or blind tenants are able to live as independently as they desire, schedule their own activities, and create a personal plan for assisted living services. The iris network offers vision rehabilitation therapy to provide tenants support in all areas of independent living.   low-vision clinic program: the low-vision clinic provides visually impaired persons with the skills and tools to better utilize their remaining vision. After a low-vision examination, an ophthalmologist or optometrist develops a specialized treatment program for each client administered by an occupational therapist with specialized training in low-vision services. The program helps individuals maximize the use of their remaining vision by training each client in the skills required to use optical aids and equipment such as magnifiers to read the newspaper, telescopes to focus on distant signs, and light-filtered lenses to reduce glare.	
Lewiston-Auburn Youth Soccer Association	http://www.laysa.org	(207) 786-7808	EIN 22-2635702	Po Box 898	Auburn	ME	04212	USA		Soccer program for youth.				Soccer program for youth - about 1,200 participants.	
Alpha One Services Inc	http://		EIN 04-3343152	127 Main Street	South Portland	ME	04106	USA	Centers to Support the Independence of Specific Populations, Human Services						
