name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Direct beneficiaries per year	Geographic areas served	Programs	Target demographics
Seec Corporation	http://www.seeconline.org	(301) 576-9000	EIN 52-1557285	8905 Fairview Rd Ste 300	Silver Spring	MD	20910	USA	Developmentally Disabled Centers, Disabilities, Employment Preparation & Procurement, Homeless & Housing, Housing Support, Job Training, Vocational Rehabilitation	To help people with intellectual and developmental disabilities direct their lives with dignity, choice, authority and responsibility.				Community and employment network: provides weekday supports to approximately 80 adults. People spend half of their day in vocational activities (paid employment, volunteering, and/or job-readiness activities). The other half of the day is dedicated to personal development, fitness, and the pursuit of interests. All supports are provided in the community.   community living: provides individuals with the support they need to live in the community in homes of their own. Approximately 30 people receive seec's residential supports.   workforce development: provides community-based employment supports to approximately 125 people, including 36 interns participating in project search, a school-to-work unpaid internship program.	
Peace of Mind Services, Inc.	http://www.peaceofmindservices.org	410-779-6331	EIN 30-0538028	940 Madison Ave	Baltimore	MD	21201	USA	Children & Youth, Family Services, Human Service Organizations, Youth Development Programs	Our mission is to help children and their parents become more educated, financially independent and productive citizens nationwide.   Through Education  Through Support  Through Encouraging, Enhancing Strengthen and Support			Baltimore city	Mentoring program, after school and summe program, prfessional development program. Outreach services	at risk youth in baltimore city, homeless families and needy individuals in baltimore city
Singing Sensations Youth Choir	http://sensationalsingers.org	(443) 465-7042	EIN 26-1693260	3704 Burmont Ave	Randallstown	MD	21133	USA	Arts & Culture, Music	To serve underprivileged youth in drama arts				The organization is engaged in inspirational musical performances for underprivileged youth	
Home Builders Care Foundation, Inc.	http://www.hbcf.org	301-776-6212	EIN 52-1389604	11825 W. Market Place	Fulton	MD	20759	USA	Homeless & Housing, Housing Development, Construction & Management, Housing Support, Philanthropy, Private Grantmaking Foundations	The mission of the Home Builders Care Foundation (HBCF) is to give back by utilizing the skills and resources of building industry members on shelter-related construction for the homeless and others at-risk.  Our efforts help community non-profits and local governments meet the challenges of caring for our neighbors in need.    We leverage our industrys strengths to save agencies thousands of dollars in the construction process.	Since our inception in 1984, HBCF has:  * Contributed more than $20,000,000 worth of materials and labor to supportive housing and shelter projects in Maryland and the District. The total value of our projects is estimated to be more than double that amount. * Delivered more than 1,500 beds and units of respectable shelter and housing for our most vulnerable citizens. These units serve thousands in need on an annual basis. * Collaborated with over 90 local nonprofits on projects. * Averaged a rate of 87% of our total expenses going directly to program services	house 76 persons in crisis	Maryland	Our work empowers these agencies to focus resources on direct client services that lead to stability. Nearly all of our partnering agencies receive funding for program operations, but maintenance and improvement funds are harder to come by. We help make projects feasible.   * We have transformed once-abandoned apartments and single family homes to develop new units of housing for families seeking housing stability. * We have built new shelters for the homeless, including the 135-bed Home Builders Care Assessment Center in Montgomery County.  * We have made safe and comfortable scores of group homes and transitional housing facilities by making energy-efficient and accessible improvements.	build housing for the homeless and families in crisis
Maryland Society for Sight Inc	http://www.mdsocietyforsight.org	410-243-2020	EIN 52-0591662	1313 W Cold Spring Lane	Baltimore	MD	21209	USA	Eye Diseases, Blindness & Vision Impairments, Health	To prevent blindness and preserve sight in the state of Maryland.	For more than 101 years we have provided the citizens of Maryland with advocacy, screenings and education aimed at preventing loss of sight.	20,000	State of Maryland	The goal of the Maryland Society for Sight is to reach all MArylanders through the following programs: Rosalie S. Sauber Preschool Vision Screening Program Mobile Eye Care for the Homeless Adult Vision and Glaucoma Awareness Program Eye Health and Safety Education Program	Preschool Children in  Central Maryland Adults in Maryland at risk for eye disease Homeless and Indigent in Maryland All ages to prevent blindness
Benevolent Buddhist Temple Inc	http://		EIN 26-4303387	10411 Motor City Dr Ste 500	Bethesda	MD	20817	USA	Buddhism, Religion						
Salute Military Golf Association / SMGA	http://www.smga.org	301-500-7449	EIN 65-1296873	P.O. Box 83893	Gaithersburg	MD	20883	USA	Golf, Human Service Organizations, Military & Veterans Organizations, Sports, Veterans	The SMGA's mission is to provide rehabilitative golf experiences and family inclusive golf opportunities for post 9/11 wounded war veterans in an effort to improve the quality of life for these American heroes. Eligible veterans include those wounded or injured in post 9/11 military operations, including those with Post-Traumatic Stress Disorder (PTSD) and/or Traumatic Brain Injury (TBI).	SMGA is proud to have impacted so many our our nations young men and women. Here are some of our highlights to date.  Given more than 2000 private lessons to post 9/11 wounded and injured veterans; Provided more than 800 sets of individually fitted clubs to wounded warriors; Hosts more than 80 golf clinics each year; Operates at nine affiliates/chapters nationwide; Recognized by the Bush Center as a leading military service organization; Operates the American Golfer Program; and Is proud to have three Patriot Award winners as teaching professionals.	Given more than 2000 private lessons to post 9/11 wounded and injured veterans; Provided more than 800 sets of individually fitted clubs to wounded warriors; Hosts more than 80 golf clinics each year;	Operates at eight affiliates/chapters nationwide; HQ is in Olney, MD	The SMGAs mission is to provide rehabilitative golf experiences and family inclusive golf opportunities for post 9/11 wounded war veterans in an effort to improve the quality of life for these American heroes. Eligible veterans include those wounded or injured in post 9/11 military operations, including those with Post-Traumatic Stress Disorder (PTSD) and/or Traumatic Brain Injury (TBI).	Empowering Wounded Veterans, One Fairway at a Time.
Rock Creek Conservancy	http://www.rockcreekconservancy.org	3015793105	EIN 20-3874333	4300 Montgomery Ave Suite 304	Bethesda	MD	20814	USA	Environment, Environmental Beautification, Natural Resources Conservation & Protection, Recycling	Rock Creek Conservancy exists to restore Rock Creek and its parklands as a natural oasis for all people to appreciate and protect.				The conservancy worked to reduce polluted runoff, the top threat to the health of rock creek. The conservancy added conservation landscaping on two institutional properties. This project helped to reduce erosion and the re-introduction of native plants species to rock creek and demonstrate how property owners can take steps to protect local streams. The conservancy conducted a large scale tree planting in rock creek park to help stabilze stream banks and repopulate the understory which reduces erosion thereby slowing sediment pollution. The conservancy also supported a youth conservation corps which focused on invasive removal and trail improvement to facilitate better water flow over rock creek trails.   the conservancy engaged 4,496 volunteers in over 10,950 hours of service to protect rock creek and revitalize rock creek park. The organization held its sixth annual rock creek extreme cleanup, a watershed-wide trash cleanup in april. Over 2,180 volunteers came out for cleanups at 76 locations and hauled 2,380 bags of trash and 9 tons of junk from rock creek's streams and parks. The conservancy also streangthened and expanded its "stream team" program, in which volunteers have adopted over 51 sections of park or creek for community-based environmental stewardship. The teams held over 100 events, including trash cleanups, invasive plant removal, and plantings. We also saved 4,013 trees from english ivy.   the organization worked to educate government officials, community groups, and property owners about challenges facing rock creek and its parkland, and what people can do to help. Outreach included a newsletter, monthly email newsletters, presentations, meetings, social media, and response to calls and emails, school visits and community fairs.	
MID-ATLANTIC GREAT DANE RESCUE LEAGUE INC	http://www.magdrl.org	443-773-2639	EIN 52-1177018	PO Box 285	Hanover	MD	21077	USA	Animal Protection & Welfare, Animal Training, Animals	MAGDRL is staffed completely by volunteers. Like all humane groups, MAGDRL is in the unique position of helping both humans and pets. In our case, the pets are Great Danes and mixed Dane dogs, and the people are all those who have or want the companionship of the breed or, often, just dogs in general				Rescue of great danes from abuse or abandoment. Rescue includes medical care, food and board of great danes until they can be placed in good homes. Organization also provides education on care of dogs.	
National Foundation for Cancer Research	http://www.NFCR.org	1-800-321-CURE	EIN 04-2531031	4600 East West Highway Suite 525	Bethesda	MD	20814	USA	Cancer, Cancer Research, Health, Medical Disciplines, Medical Disciplines Research	The National Foundation for Cancer Research (NFCR) was founded in 1973 to support cancer research and public education relating to the prevention, early diagnosis, better treatments and ultimately, a cure for cancer. NFCR promotes and facilitates collaboration among scientists to accelerate the pace of discovery from bench to bedside. NFCR is committed to Research for a Cure - cures for all types of cancers.	40 years of supporting cancer research!   Today, we stand proudly beside more than 11 million cancer survivors living in the United States.  Since 1973, we have provided more than $320 million to fund cancer research and prevention education. NFCR has allowed some of the world's brightest scientists to take initial steps toward breakthrough discoveries, laying the groundwork for the development of many of today's most innovative and effective cancer therapies.  NFCR is making a difference in the lives of millions of cancer patients and their families worldwide.	cancer patients, survivors and their loved ones	cancer research	funding cancer research programs all over the world.	The National Foundation for Cancer Research affects people all over the world - we all know someone who has been touched by cancer.  Our discoveries in the laboratory turn into life-saving cancer treatments, many of which you read about in the news today!  To learn more, visit www.NFCR.org.
Jubilee Association of Maryland, Inc.	http://www.jubileemd.org	(301) 949-8626	EIN 52-1102174	10408 Montgomery Ave 2nd Floor	Kensington	MD	20895	USA	Developmentally Disabled Centers, Disabilities, Group Homes, Human Services, Residential Care & Adult Day Programs	Jubilee Association of Maryland provides opportunities and support for people with developmental disabilities to live in and enrich their community while fulfilling their personal, family, and spiritual needs.		150	Montgomery County, Maryland	Residential - provided community residential services to adults who have developmental disabilities and live in residences owned by jubilee association of maryland.   community supported living arrangements (csla) - provided community residential services to adults with developmental disabilities who live in residences that the individual client rents, leases or owns.   various programs including autism support, retiring at home, housing development and private funding.   montgomery county and state iss - individual support services to provide low levels of community residential services to adults who have developmental disabilities and live in residences that the individual client rents, leases or owns.	
Marian House, Inc.	http://www.marianhouse.org	410-467-4246	EIN 52-1243849	949 Gorsuch Ave	Baltimore	MD	21218	USA	Counseling, Homeless & Housing, Homeless Shelters, Mental Health, Religion, Religion-Related	Marian House was founded in 1982 by the Sisters of Mercy and the School Sisters of Notre Dame in response to a community need. Marian House is a holistic, healing community for women and their children who are in need of housing and support services. We provide a safe, sober, and loving environment that challenges women to respect and love themselves, confront emotional and socioeconomic issues, and transition to stable and independent lives.		143 women and 102 children.	Better Waverly, Baltimore City	Housing, education, life skills, job readiness, counseling services and other necessary support services for women and their families.	Women who are homeless and suffering from the negative effects of addiction, trauma, mental illness, and incarceration to find their independence and become contributing members of the community.
Highlands School Inc	http://www.hsmd.org	(410) 836-1415	EIN 52-1849251	2409 Creswell Rd	Bel Air	MD	21015	USA	Education, Primary & Elementary Schools, Special Education	The highlands school is an independent, non-profit harford county school designed to remediate students with learning differences including, reading and math disabilities, speech and language deficiencies, and attention deficit disorders, who have average to above average academic potential, but who are struggling to learn by conventional teaching methods. The children who enroll in our school are not achieving academically at their age level and/or manifest difficulties in one or more areas of skill development, including language, reading and spelling, perceptual motor integration and organization/study skills. It is the highlands school's goal to help each student discover how they learn and bring them up to grade level.				The highlands school is a state-of-the art, independent day schoollocated in bel air, maryland. The school is a regional resource forfamilies with bright and creative children in kindergarten through 8thgrade who struggle with dyslexia, language based learning differencesand attention deficit/hyperactivity disorder (adhd). The school'smission is to provide a positive environment focused on teachingstudents how to use their strengths to overcome frustrations andachieve academic and social successes. Through an individualized andmultisensory approach to learning, the school aims to equip studentswith the skills and strategies needed to become successful independentlearners. In addition to the full-time school year program, the school offers a 5-week summer program, tutoring services for children, adolescents and adults, and executive function training. The school has the capacity for 125 students.	
Minaret of Freedom Institute	http://		EIN 52-1850442	4323 Rosedale Ave	Bethesda	MD	20814	USA	Civil Liberties, Civil Rights, Health, International, Promotion of International Understanding, Public & Societal Benefit, Public Health	to promote the ideals of justice and free trade which is an essential common interest of Islam and the West, to demonstrate the Islamic origins of an essential common interest of Islam and the West, to demonstrate the Islamic origins of modern values such as the rule of law and market economics, to educate both Americans and Muslims world wide in the importance of liberty and free markets, and to advance the status of Musliim people by promoting a sympathetic environment in the					
Youth Enterprise Services Inc	http://	(410) 372-0272	EIN 52-2019078	5005 Liberty Heights Ave	Baltimore	MD	21207	USA	Children & Youth, Children & Youth Services	To provide a structured living environment to disadvantage at risk youth.				To provide a structured living environment to disadvantaged and at risk youth.	
Gaithersburg HELP, Inc.	http://gaithersburghelp.org	(301) 216-2510	EIN 23-7413600	301 Muddy Branch Road	Gaithersburg	MD	20878	USA	Emergency Assistance, Food, Food Programs, Human Services, Transportation Assistance	Gaithersburg HELP is an all-volunteer organization which was founded in 1968 by a consortium of Gaithersburg congregations to provide emergency assistance to area residents in need of food, medical prescriptions, infant needs, transportation for medical services, financial assistance to prevent eviction or utility cutoff and to provide referrals to providers of services not available through HELP.  More than 30 years later our mission remains the same, meeting the increasing emergency needs of the Gaithersburg area.		5,560 emergency situations	Gaithersburg	Food, Infant Needs, Prescription Funding, Transportation, Financial Support and Referrals	area residents in need of emergency services
Curepsp Inc	http://www.curepsp.org	(410) 785-7004	EIN 52-1704978	30 E Padonia Rd Ste 201	Lutherville	MD	21093	USA	Health, Medical Disciplines	Increase awareness of progressive supranuclear palsy, corticobasal degeneration, and other atypical parkinsonian disorders; fund research toward treatment, cure and prevention; educate healthcare prof; and provide support, info and hope for affected persons and their families.				Goals of the research program: curepsp advances the understanding of progressive supranuclear palsy (psp), corticobasal degeneration (cbd) and closely related brain diseases by funding research focusing on: a) identifying the causes and risk factors for these disorders, b) developing early stage diagnostic tests, and d) developing treatments or interventions to ameliorate symptoms and to prevent, slow, halt or reverse disease progression.   goals of programs and education: 1. Curepsp serves the needs of patients and caregivers managing with psp, cbd, and other atypical parkinsonian disorders in order to maintain wellbeing and quality of life; serves as the core and link to a network of support, ensuring accessibility of information, education and counsel for each patient and caregiver confronted by psp and cbd; provides support services through patient/caregiver educational resources, support networks, volunteer development, professional collaborations, on-line resources, webinars, social media, national conferences, and international leadership. 2. Curepsp provides scientific and clinical resources regarding the specific nature of the psp, cbd, and other atypical parkinsonian disorders-including their diagnoses, symptoms, and treatments-to neurologists, physical therapists, occupational therapists, speech-language pathologists and nurses. 3. Curepsp serves as a unified voice and advocate on various public policy issues for individuals affected with psp, cbd and other atypical parkinsonian disorders.   goals of the communications and public awareness program: curepsp expands the general public's awareness of psp, cbd, and related brain diseases through use of various print and web-based media, providing education and general information. Curepsp educates the public and governmental leaders about research and an improved quality of life for people living with psp, cbd and other atypical parkinsonian disorders.	
Team Wench Inc	http://		EIN 26-1791188	PO Box 604	Savage	MD	20763	USA							
Hiding Place Inc	http://www.hidingplacemd.com	(410) 882-2217	EIN 52-1940412	1607 Cromwell Bridge Rd	Baltimore	MD	21234	USA	Homeless & Housing, Homeless Centers, Homeless Shelters, Religion, Religion-Related, Single Parent Agencies	The hiding place is a residential facility located in towson, md. It assists women facing crisis situations and unplanned pregnancies who have no support service structure to aid them. Many are homeless, facing issues such as domestice violence or substance abuse. At the hiding place, the woman is loved, cared for and encouraged in a healthy environment.				Operating a shelter and providing services such as g. E. D. Classes, career counseling, substance abuse counseling, etc. . .	
