name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Direct beneficiaries per year	Target demographics	Geographic areas served	HandReach works at three levels:	Individuals:	Institutions:	Society:	TO	GirlsEyeView	Get Up Get Down	Video Vanguards
Paws 4 A Cure	http://www.paws4acure.org		EIN 26-3992807	321 Main Street Box 1821	Wakefield	MA	01880	USA	Animal Protection & Welfare, Animals, Veterinary Services	The mission of Paws 4 A Cure is to provide financial assistance to qualified families throughout the United States who cannot afford veterinary care for their beloved furry family members without our help.  Paws 4 A Cure helps dogs and cats with all injuries and illnesses.  Paws 4 A Cure does not discriminate against breed, age, weight or diagnosis.  Paws 4 A Cure is a public, nonprofit organization recognized as tax-exempt under Internal Revenue Code section 501(c)(3). We do not receive any government funding. Paws 4 A Cure relies solely on the support and contributions of individuals who care about animals.   Paws 4 A Cure is an all volunteer organization.	The mission of paws 4 a cure is to provide financial assistance for canine and feline owners who cannot afford veterinary care for their beloved furry family member otherwise.			Paws 4 A Cure helps dogs and cats with all injuries and illnesses.	Paws 4 A Cure provides assistance throughout the United States.								
Worcester Chamber Music Society Inc	http://www.worcesterchambermusic.org	508-217-4450	EIN 20-8538873	9 Irving Street	Worcester	MA	01609	USA	Arts & Culture, Music	The Worcester Chamber Music Society cultivates an appreciation of chamber music through concerts and community events, and commits to nurturing youth through comprehensive educational programs.	We perform fifteen concerts per season in Worcester and the surrounding towns in Worcester County. Our concerts are accessible and affordable including free admission for children under 17. We provide free tickets to area senior centers.  Our inner-city music program, Neighborhood Strings, provides free lessons and instruments to under-served youth in Worcester's Main South and Downtown neighborhoods.  Our Chamber Music Camp is an intensive, fun 2-week camp for youth and adults located on the campus of Clark University.			The Worcester community	Worcester, MA								
RememberUs.org	http://www.RememberUs.org		EIN 46-4239560	247 South St	Needham	MA	02492	USA		We are dedicated to work on remembering the loss of innocent lives during WWII in Eastern Europe. One mass grave at a time.	Our maintenance projects include Identifying burial sites. Planting Memorial parks. Creating commemorative plaques and signs. Fixing water and electrical fire damage in the Room of Tragedy. Assisting with renovation projects. Supporting day-to-day maintenance operations. Our educational activities include: Helping digitize archive materials related to the Shoah. We will set up infrastructure to publicize all newly discovered and recently declassified information. Educating in the United States and Ukraine through exhibitions, free public lectures, and conferences at schools and universities. We will work with schools and university to teach young generations about genocide, acceptance beliefs and traditions, tolerance, and the value of human live. Supporting research related to the extermination of the Jewish population of Ukraine and other parts of Eastern Europe during the period of Nazi occupation. Translating materials into English and other languages.	Our flagship project is Drobitsky Yar Memorial in Kharkov, Ukraine. We aim to spread the story of the Drobitsky Yar  the unknown story of a a horrific place of mass torture and execution in the past. Deteriorating conditions of this memorial is heartbreaking.We have identified, planed and started to implement several improvement projects at the Drobitsky Yar Memorial.	With your donations we were able to fund the re-sealing of over 100 sq, meters of stone roof. This work took over 150 man hours. Also, we were able to plant 4 meta-sequoia trees near 4 mass graves.	We are dedicated to work on remembering the loss of innocent lives during WWII in Eastern Europe. One mass grave at a time.	Kharkov, Ukraine								
Animal Shelter Inc	http://www.sterlingshelter.org		EIN 04-3236868	17 Laurelwood Rd	Sterling	MA	01564	USA	Animal Protection & Welfare, Animals, Veterinary Services	TO PROVIDE CARE AND RESCUE TO ANIMALS WHILE ATTEMPTING TO PLACE THEM WITH APPROPRIATE ADOPTIVE HOMES	For a List of the several dozen programs for pets and people pls click here http://www.sterlingshelter.org/humane-society  We're YOUR Local Animal Shelter... There's a place in your community where the hungry are fed, the homeless are sheltered, and the abandoned are given care. Its your local animal shelter, right here in Sterling, MA. Where we provide comfort and care for our community's unwanted animals. We offer many other services too, for pets and their people. To do all this, we rely on the support of people like you. Here are a few ways you can help animals, especially those in our care...Give a little bit... Donate food or towels or old blankets and other needed supplies to us. Lend a hand and become a volunteer. Find that special someone here waiting for a home - ADOPT! Help spread the word about our program. Be a responsible pet owner. Vote for the animals. Support legislation that protects animals. Report animal cruelty. Teach your children respect for animals.		2000 dogs and cats find loving homes.	The shelter exists to provide humane sheltering and high quality medical care for stray, unwanted, abused and neglected animals and to find loving, lifelong homes for orphaned pets. Our staff is dedicated to finding good homes for adoptable pets and we continue to promote responsible pet ownership and to improve the quality of life for the animals and people in our community. The Shelter is supported entirely by donations from private individuals and through surrender and adoption fees. The Animal Shelter, Inc. does not receive support from the United Way or from federal, state or local governments. Our on-site veterinary clinic cares for over 2,000+ animals that come through our shelter yearly and provides a low/no cost spay/neuter, general wellness program assisting local animal control officers, shelters and breed rescues.	All of New England and beyond								
Cowan Slavin Foundation Corp	http://		EIN 04-6130077	80 Higgins Rd	Framingham	MA	01701	USA															
Asian University For Women -Auw- Support Foundation	http://www.asian-university.org	(617) 914-0500	EIN 36-4483980	1100 Massachusetts Avenue Suite 300	Cambridge	MA	02138	USA	Education	Located in chittagong, bangladesh, the asian university for women (auw) is based on the firm belief that higher education provides a critical pathway to leadership development, economic progress, and social and political equality. (continued on schedule o)the university educates promising young women from diverse cultural, religious, ethnic and socio-economic backgrounds from across south and south east asia and the middle east-with a particular emphasis on the inclusion of women from poor, rural, and refugee populations. At the heart of the university's mission is the civic and academic goal to cultivate successive generations of women leaders who possess the intellectual and personal skills and resources to address the challenges of their communities' social and economic advancement. The asian university for women support foundation (auwsf), incorporated as a non-profit organization based in the united states, serves as the planning and fundraising organization for this effort.	Second graduation:on may 17, 2014, auw held its second commencement ceremony, conferring on 131 young women who have now begun their lives as auw alumnae. There were 70 bachelor of arts and 61 bachelor of sciences degrees awarded. Kathy matsui of goldman sachs japan and member of the auw support foundation board of directors delivered the keynote address. H. E. Mr. Abul hassan mohamood ali, m. P. Foreign minister of bangladesh was the chief guest. The students who graduated represented 12 countries: afghanistan, bangladesh, bhutan, cambodia, china, india, myanmar, nepal, pakistan, palestine, sri lanka, and vietnam. (continued on schedule o)faculty and administration:in the 2013-2014 academic year, following the departure of jinnie garrett, former dean of life sciences, auw appointed two new associate deans: professor genevieve gamache (phd university of victoria, canada) and professor andrea phillott (phd central queensland university, australia). Auw also welcomed new faculty members: john stanlake (now access academy co-director) and edwin cruz-rivera (phd university of north carolina chapel hill, united states). Auw has also established a new center for international programs, under the supervision of professor herman salton (phd trento university, italy and professor sarah shehabbudin (phd harvard university, united states). The center organizes study abroad programs for undergraduates and international collaboration opportunities for visiting faculty. In the 2013-2014 academic year, 3 auw students studied abroad in the united states. Internship program:in july and august 2013, 73 students completed summer internships and projects. These experiences are crucial for preparing students for their professional careers and gaining work experience prior to graduation. Summer 2013 internship sites included: li & fung (hong kong), government of afghanistan, l'oreal (india and vietnam), general electric international (bangladesh), exim bank (bangladesh), and sarus international (cambodia). Alumnae placements:the class of 2014 has been successful in securing jobs or offers of admission to graduate degree programs in their home countries and abroad. Examples of 2014 job placements include: world bank (bangladesh), save the children (sri lanka), united states peace corps (cambodia), medical action myanmar, emirates technical safety and development center (dubai), government of afghanistan. Examples of 2014 graduate degree placements include: university of guelph (canada), university of trento (italy), university of indonesia, and latrobe university (australia). Student recruitment and admissions:in recruiting for the 2013-2014 academic year, we continued to recruit from our recently added countries syria, palestine, malaysia, and indonesia. The auw student body represents 15 different countries: afghanistan, bangladesh, bhutan, cambodia, china, india, indonesia, malaysia, myanmar, nepal, pakistan, palestine, sri lanka, syria, and vietnam. For the 2013-2014 academic year, there were 945 applicants, 127 of which were offered admission. In the 2013-2014 academic year, there were 494 students at auw, 131 of whom graduated in may 2014. Special programs:auw organized and hosted a number of special programs for students in the 2014 fiscal year:-october 2013: durga puja. Students celebrated and shared the hindu holiday with peers. -october 2013: blood drive. Auw activists' club organized the blood drive on campus. -november 2013: career fair. Auw career development center organized the fair with 17 companies and organizations visiting campus to attend. -december 2013: religious plurality discussion. Students who identify as buddhist, muslim, christian, atheist, and hindu discussed stereotypes and learned about each other's beliefs. -february 2014: sports day. Students competed in karate, cricket, and volleyball. -may 2014: national sexual and reproductive health rights seminar. Sponsored by the netherlands embassy and the embassy of sweden and taking place at auw, this seminar covered topics on sexual and reproductive health rights for men and women in the developing world, barriers to accessing adequate health care, and developing an action agenda.												
Limitless Horizons Ixil, Inc.	http://www.limitlesshorizonsixil.org		EIN 26-4296182	2 Weld St.	Boston	CA	02131	USA	Children & Youth, Economic Development, Education, Microfinance, Rural Economic Development, Youth Development Programs	Limitless Horizons Ixil creates opportunities for the indigenous youth, women, and families of Chajul, Guatemala, to develop the academic and professional skills needed to effect change in their lives and community.	a Youth Development Program incorporating a wide array of personal and academic support services, and the first and only public library in Chajul.		60 Ixil Maya youth to continue their education and participate in youth development activities, as well as nearly 1,600 registered library members.	indigenous youth, women, and families	Chajul, Quich, Guatemala								
Multi-Arts, Inc.	http://www.multi-arts.org	(413) 584-7951	EIN 20-1356307	3 Bristol Lane	Hadley	MA	01035	USA	Arts & Culture, Arts Education, Arts Services, Performing Arts Schools	For over sixteen years, Multi-Arts, an innovative arts program for children ages 4-18, has fulfilled its mission of inspiring, guiding, and educating youth in the performance and visual arts. What started as a summer camp for twelve children in the director's garage has grown to be a year-round program that inspires hundreds of students each year through an outreach network that includes public spaces and schools in a number of communities, a beautiful website, and, most recently, through the Children's theater company. There is no other organization in this area doing what we do so effectively to engage young people in becoming published and presenting artists.	Innovative arts program for children 4-13 years old.		over 300 students. 10 children art exhibitions.		Western Massachusetts								
Furniture Trust Organization Inc	http://www.thefurnituretrust.org		EIN 26-2607677	308 Congress Street	Boston	MA	02210	USA	Environment, Recycling	OUR MISSION:  The Furniture Trust is driven to make a positive, community impact with used office furnishings, while providing the most economical and environmentally responsible solutions to local businesses. We provide companies of all sizes with a proven process for decommissioning that maximizes the value of unwanted furniture assets. Leveraging our sustainable network, The Furniture Trust connects donated, office furnishings with local schools and nonprofits.													
James And Beatrice Salah Family Foundation For The Town Of Canton	http://	(781) 828-2250	EIN 04-3292638	742 Washington Street	Canton	MA	02021	USA	Philanthropy, Private Grantmaking Foundations		Educational scholarships to the students of canton, ma and civic contributions to the town of canton, ma												
