name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Target demographics	Results	Direct beneficiaries per year	
Global Projects for Hope, Help and Healing	http://www.globalprojects.org	313-205-7300	EIN 	17136 Wildemeres	Detroit	MI	48221	USA		To empower and assist the underserved and impoverished people who experience economical, mental health and social problems.	Greater Detroit Metro area, Oakland County					
Vision Hope Community Development Corporation Inc	http://www.visionhope.org	(586) 791-3590	EIN 01-0701611	31700 Couchez St	St. Clair Shores	MI	48082	USA	Homeless & Housing, Low-Income & Subsidized Rental Housing	TO PROVIDE AN OUTDOOR EXPERIENCE WHERE FOSTER CHILDREN CAN PARTICIPATE IN ACTIVITIES THAT THEY GENERALLY DO NOT HAVE AN OPPORTUNITY TO ENJOY	our local commubites	Champions for Life Kids' Camp	abused and abandoned children in the foster care system		120+ children	
Almost Home Animal Rescue League	http://	(248) 932-1965	EIN 32-0034753	5600 W Maple Rd Ste B211	W Bloomfield	MI	48322	USA	Animal Protection & Welfare, Animals			During the current year we boarded over 400 new animals and more than 350 animals were adopted. In addition we housed and furnished veterinary services for all the animals we boarded.				
Insideout Literary Arts Project	http://insideoutdetroit.org	313-965-5332	EIN 31-1428704	2111 Woodward Ave Suite 507	Detroit	MI	48201	USA	Arts & Culture, Arts Education, Education, Literacy, Remedial Reading & Encouragement	InsideOut Literary Arts Project places professional creative writers as teachers and mentors in schools to engage K-12 students in the pleasure and power of poetry and literary self-expression. InsideOut uses innovative classroom techniques and celebrates students creativity by providing performance opportunities and publishing their work.		Writing workshops for students, including in-school writers, residencies, professional publications of student work, and public presentations.				
GRAND RAPIDS INITIATIVE FOR LEADERS	http://www.grileadership.org	616-301-6697	EIN 26-3903305	PO Box 7865	Grand Rapids	MI	49510	USA	Protestant, Religion	Our mission is to strengthen leaders to transform communities.	strengthening leaders to transform communities	GRIL U Youth Development, Adult Leadership Program, Ambassador Club, Community Leadership Traingings	youth, adults, schools and community	What if you could impact Grand Rapids economy and the lives in your community by improving your leadership or the leadership of others?  Whats in it for Participants? Through GR Initiative for Leaders (GRIL), participants learn balance, accountability, interdependence, diversity, empowerment, and leverage in the Ambassador Club School-Based Program, Adult Leadership Program, and GRIL U Faith-Based Program  all 9-month long programs held during the school year.  GRIL also offers 90 minute Community Leadership Trainings on the above to all interested leaders.  Milestones: To date, 99% of our teen graduates have a high school diploma. 61% are in college. The difference between our high school grad rate and the state average (76%) amounts to thousands saved in incarceration and unemployment costs.  Spiritual Mandate: Jesus replied: Love the Lord your God with all your heart and with all your soul and with all your mind. This is the first and greatest commandment. Matthew 22: 37  38  Diversity Statement:  GR Initiative for Leaders (GRIL) continues to be intentional in demonstrating cultural sensitivity within our organization. We place diversity related issues as paramount and recognize that both systems and individuals must be aware and culturally responsive within our work, particularly within our effort in championing social justice.  To that end, GRIL is pleased to announce that after completing the rigorous assessment set forth by Partners for a Racism-Free Community, we have recently been bestowed the distinction of full partner. We invite you to join us in this journey to create a racism-free organization leading to a racism-free community.  Special thanks to W.K. Kellogg Foundation and the DeVos Family Foundation/DeVos Urban Leadership Initiative, and all of our donors without whose support, our efforts wouldnt be possible.	To date, 99% of our teen graduates have a high school diploma. 61% are in college. The difference between our high school grad rate and the state average (76%) amounts to thousands saved in incarceration and unemployment costs.	
TransGender Michigan	http://www.transgendermichigan.org	517-420-1544	EIN 75-3060029	429 Livernois St	Ferndale	MI	48220	USA	Civil Rights, Civil Rights, Social Action & Advocacy, Intergroup & Race Relations, Lesbian & Gay Rights, LGBTQ, Race	Transgender Michigans primary mission is to provide advocacy, support and education while serving to create coalitions in the state of Michigan to unify and empower transgender and gender non-conformist communities.	Michigan		Transgender communities of Michigan			
Friends of the Rouge	http://www.therouge.org	(313) 792-9900	EIN 38-2672879	4901 Evergreen Road 220 Academic Support Center	Dearborn	MI	48128	USA	Environment, Water, Water Resources, Wetlands Conservation & Management	The mission of Friends of the Rouge is to promote restoration and stewardship of the Rouge River ecosystems through education, citizen involvement and other collaborative efforts, for the purpose of improving the quality of life of the people, plants and animals of the watershed.		Promotion of the restoration of the rouge river watershed through public education and participation.				
Dream Project	http://www.thedream-project.org		EIN 06-1774023	3200 Livernois Rd	Troy	MI	48083	USA	Children & Youth, Homeless & Housing, Housing & Shelter, International, International Development, Youth Development - Religious Leadership	Missionary support		The mission of the organization is to proclaim the gospel as well as provide support to helping the poor				
Dreamcatchers for Abused Children	http://www.dreamcatchersforabusedchildren.com	(810) 275-0755	EIN 35-2331592	P.O. Box 142	Peck	MI	48466	USA	Civil Rights, Domestic Violence, Education, Educational Services, Family Violence Shelters, Homeless & Housing	Our mission is to educate the public on child abuse symptoms, intervention, prevention, statistics, reporting, and helping victims locate the proper resources necessary to achieve a full recovery.	United States	*Family-to-Family Project *Peer-to-Peer Project *Child Abuse Reporting Classes *Use Your Voice Seminar *Project Education *Community Outreach Programs *BlogTalk Radio Outreach Programs	Abused & neglected children ~ Worldwide  Our hope is to further serve the public, educate parents and caregivers, and support survivors of emotional, physical and sexual abuse. There are millions of children suffering in silence, living in shame, and fearing for their lives. We know firsthand, their pain is real. We believe all children were created to be happy, healthy and loved. It is our duty at Dreamcatchers for Abused Children to protect and be a voice for the worlds children.	Dreamcatchers for Abused Children has enjoyed a significant growth within the last two-years with many top-named sponsors representing us. Last year, Dreamcatchers provided services and resources to the community reaching over 40,000 members; an outstanding record of achievement. Dreamcatchers staff has doubled in an effort to effectively administer new campaigns, as well as manage the organization's growing responsibilities.  We have over 17 different networking sites and Dreamcatchers was nominated one of the "Top 50" Early Childhood Blogs--Children's Rights (by: Ultra Healthy--UltraSoundTechSchool.org) and was also accepted into the National Assocation of Professional Women (NAPW). THE PASO DIGITAL FILM FESTIVAL is currently promoting our book & organization through Mr. Benford Standley.  Dreamcatcher BlogTalk Radio Show successfully launched at the beginning of 2010. Our show runs Monday--Friday (11pm EST) and is hosted by Laurie Ann Smith, Donna Kshir, Star Myers & Trina Davidson: www.blogtalkradio.com/dreamcatchers  Since our founding in 2007, Dreamcatchers has relied on the support of the individuals, supporters and sponsors who have provided financial contributions each year.    In addition to the countless of hours provided by our highly dedicated team of Board of Directors, Regional Directors and Volunteers who unselfishly dedicate their time and energy, daily, to educate the public by hosting online seminars, posting child abuse headlines, BlogTalk Radio Shows, hosting a 24 hour hotline and 24 hour help service, and providing vital resources to enable a full recovery and rebuild the lives of those affected by abuse.	Community Outreach Program:  Dreamcatchers for Abused Children was able to create and maintain a 24-hour online help service available to men, women, teens and children in need of assistance, resources, emergency or crisis through email.  A team of DFAC mentors worked around the clock, 24 hours a day, 7 days a week, to maintain this online help service to assist and help men, women, teens and children in need of assistance, resources, emergency or crisis.  To date, this program has been extremely successful, answering and providing value and vital assistance, reaching 35-100 people per day.  Dreamcatchers answers hundreds of emails and phone calls a day which are handled amongst the board members, regional directors and volunteers. We reach out and assist victims and survivors through our many networking sites, provide resources to churches, schools, college professors, LEO's, and many others public businesses.	
Community Prescription Support Program Inc	http://	(989) 752-6000	EIN 30-0270211	100 S. Jefferson Avenue Suite 101	Saginaw	MI	48607	USA	Health, Health Care	"People helping people access assistance for prescription medications" Provide services for and partner with individuals who are uninsured or underinsured and/or have a low income or no income to maintain their health thus remaining compliant with medications, minimizing the risk of hospitalizations, reducing debilitating health issues and staying alive.	Residents of Saginaw County Michigan or individuals who access health care in Saginaw County or individuals who access a provider with a Saginaw County affiliation i.e. HDI, Covenant Hospital, St. Mary's of Michigan	ALL SERVICES ARE FREE Prescription Medications Durable and/or Disposable Medical Equipment and/or Supplies Advocacy Referrals Education Bridging short term Mental Health Support Diabetic Education Medicare Specialist - Support and Resources Community Outreach	Individuals who are uninsured or underinsured and/or who have a low income or no income	Currently our focus is on shorter processing times for medications and paperwork to ensure clients are served in a timely manner and allow for greater number of clients to be assisted	800 (approx) clients are provided services annuallyAverage of 35 walk in clients a day	
