name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Results	Target demographics	Direct beneficiaries per year	
Ethiopian Community In Minnesota	http://www.ethiomn.org		EIN 41-1885932	265 Oneida St. Suite 209	Saint Paul	MN	55102	USA	International, International, Foreign Affairs & National Security		Minnesota	job and housing search, smooth transition of Ethiopian immigrants to integrate to the community in MN, writing support letters for immigration, colleges and others, advocacy on behalf of Ethiopians here in Minnesota, celebrating Ethiopian New Year and Adwa Victory ...		immigrants from Ethiopia	over 400 Ethiopians getting jobs, housing, provided support letters	
ROSEVILLE STRING ENSEMBLE	http://www.rosevillestrings.org	651-483-5094	EIN 37-1436673	1140 Brooks Ave W	Roseville	MN	55113	USA	Arts & Culture, Bands & Ensembles, Music	The Roseville String Ensemble was formed in 1998 to bring together amateur string players in the Roseville area to learn and perform ensemble music in settings that foster personal growth and satisfaction, and to provide opportunities to contribute to the community through the art of music.	Northern suburbs of St. Paul, MN and surrounding area	Free fall, spring and Christmas concerts; Lullaby Concert for babies and toddlers; annual winter workshop providing coaching for our string players; annual summer chamber music program offering our players additional opportunities to grow.	Our fall concert featured soloist Shahzore Shah, tenor and member of the male vocal ensemble Cantus. Nov. 9 we presented our first Lullaby Concert for babies through preschoolers at the Roseville Barnes & Noble store, a community hub, and attracted at least 150 kids and parents.	Music lovers of all ages; adult amateur string players.	850	
Blackhawks Of St Paul	http://www.blackhawksoccer.org	(651) 645-1185	EIN 36-3354216	875 Orchard Ave St	Stpaul	MN	55104	USA		The blackhawks provide amateur soccer tournaments, camps, practice, training, and uniforms to approximately 1,025 individuals.		The blackhawks provided amateur soccer tournaments, camps, practice, training, and uniforms to approximately 1,025 individuals.				
Food Allergy Support Group of  Minnesota	http://www.FoodAllergySupportMN.org	(612) 567-3274	EIN 20-5756755	4737 County Road 101 #102	Minnetonka	MN	55345	USA	Allergy-Related Diseases, Health, Public Health	We empower families affected by food allergies by providing support, education, and a community to build personal connections.		educational support group meetings, webinars, food-safe events for families, YES (Youth Empowered by Support) program for kids, annual Food Allergy Resource Fair, comprehensive & interactive website		Children with food allergies and their caregivers		
HMONG AMERICAN PARTNERSHIP	http://www.hmong.org	(651) 495-9160	EIN 41-1667580	1075 Arcade Street	St Paul	MN	55106	USA	Family Services, Group Health Practices, Health, Human Service Organizations, Human Services	Hmong American Partnership (HAP) is a social service and community development organization whose mission is to empower the community to embrace strengths of our cultures while achieving our potential. HAP was established to address the needs of Minnesota's growing population, and has since expanded to serve community members from a wide variety of cultural and ethnic groups.	Twin Cities Metropolitan Area and nationally in California, MIssouri, Arkansas, Oklahoma, North Carolina and Washington D.C.	Transportation: Transportation is one of the biggest barriers to accessing programs and services. As a result of this, HAP provides transportation to participants across all program areas. In 2011, due to cultural, language, and communication barriers, hap was called upon to extend its transportation service to school age children. During the 2015 school year, hap transported over 1,700 students between their homes and four Hmong charter schools. Having bilingual staff who could communicate with students and parents was necessary in order to build trust and foster greater program outcomes.    Education and Training: Adult Basic Education classes include English language and literacy, math, digital literacy and job preparation classes. In 2015, HAP served more than 454 adult learners in these classes. The Hmong Karen Youth Pride out-of-school-time program operated in five elementary and middle schools in 2015 and provided quality after school instruction and in school support to more than 294 students in grades 2-8.   Employment Services: Includes employment assessment, job search, job placement and retention, support services, and hands-on job skill training. HAP is a provider of the Minnesota Family Investment Program (MFIP) in Ramsey and Hennepin counties, as well as the refugee employment services (res) and refugee social services (rss) programs of the Minnesota Department of Human Services. In 2015, we provided employment services to over 2,000 participants and placed 671 in employment.		Empower the community to embrace the strengths of our cultures while achieving our potential	15,000 clients within the Twin Cities Metropolitan area	
Tamarisk Inc	http://www.tamarisk.org	(763) 572-1950	EIN 41-1735540	15531 Central Ave Ne	Ham Lake	MN	55304	USA	Health, Health (General & Financing), Hospitals, Senior Centers, Seniors	Tamarisk's mission is to create a caring presence and safe haven for persons, and their families, faced with life-threatening illness. Tamarisk volunteers attend to non-medical needs while providing much needed respite to caregivers.		Respite care programs: tamarisk provided training to volunteers to provide non-medical care and comfort to people with terminal illness and to their families.				
Anoka Community Concert Association	http://		EIN 41-1468140	15333 Rhinestone St Nw	Ramsey	MN	55303	USA								
Holy Trinity Church & Ministry	http://		EIN 27-0215783	1115 E 19th St	Minneapolis	MN	55404	USA	Christianity, Religion							
Ka Joog Nonprofit Organization	http://		EIN 		Minneapolis	MN	55454	USA								
Langenfeld Foundation	http://		EIN 20-5031429	Po Box 533	Hastings	MN	55033	USA	Philanthropy, Private Grantmaking Foundations							
