name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs
Sally Kate Winters Family Services	http://www.sallykatewinters.org	(662) 494-4867	EIN 64-0761099	Po Box 1233	West Point	MS	39773	USA		A local emergency shelter to house and provide counseling, medical, and psychological services to person under eighteen years of age, and to provide assistance to families in north mississippi.					See #1 above
Armed Services Ymca Of The Usa	http://www.asymca.org/branches/meridian_mississippi.html		EIN 72-1380551	PO Box 370	Marion	MS	39342	USA	Human Services, Military & Veterans Organizations, Physical Fitness & Community Recreational Facilities, Sports, Veterans, Young Mens or Womens Associations	The mission of the Armed Services YMCA is to enhance the life of military personnel and their family members in spirit, mind and body, by providing programs that strengthen families, and are relevant to the unique challenges of military life.					
American Inns Of Court Foundation	http://		EIN 64-0861707	701 N Main St Ste 228	Hattiesburg	MS	39401	USA							
Open Season Sportsman Club	http://		EIN 26-4000532	29 Heatherland Dr	Poplarville	MS	39470	USA	Fishing & Hunting, Sports						
Mississippi State Medical Association Foundation Inc	http://www.msmaonline.com	(601) 853-6733	EIN 57-0906060	Po Box 2548	Ridgeland	MS	39158	USA		The organization provides funding for medical research, educational programs for physicians and others as well as educational assistance for medical students. In addition, the organization provides grants to medical professionals whose practices have been impacted by disaster.					Provision of educational programs for physicians and others as well as educational assistance for medical students.   the physician leadership training academy provides a training program that utilizes mentoring, organizational education, and skills traning to prepare physicians to excel as leaders in their own practice, organized medicine and in the public policy arena.
Gary Bowlin Evangelistic Association Inc	http://		EIN 64-0639384	Po Box 869	Summit	MS	39666	USA							
Toastmistress Clubs International Delphi	http://		EIN 23-7075908	118 Forest Dr Rte 3	Greenville	MS	38703	USA							
Tennis Foundation Of Mississippi	http://	(601) 981-4421	EIN 64-0774263	Po Box 5388	Jackson	MS	39296	USA		Promote the growth and excellence of amateur tennis in the state. Encourage and support programs of the mississippi tennis association. Provide financial support to mississippi players, both junior and adult for national events. Promote sportsmanship, recreation and health through the playing of tennis.					Provided support for junior tennis players and league teams to compete in national tournaments.   provided support for the mississippi children's museum thhough fundraising activities.   held a junior tennis tournament to encourage development of players and the advancement of the game of tennis in the state of mississippi.   grant made to mississippi tennis association for the advancement of that organization
Mississippi Association Of The Deaf Incorporated	http://		EIN 64-0880739	775 N Bierdman Rd	Pearl	MS	39208	USA							
Wingard Home Ministry	http://wingardhome.org	601-355-9589	EIN 	1279 N. West St.	Jackson	MS	39202	USA		Our mission is to spread the gospel of Jesus Christ through actions and involvement in the lives of folks who are homeless, battered, displaced, abandoned, run-a-way, or throw-a-way. Our services include housing, food, re-education on budgeting and job ethics, counseling, clothing, personal care items, & group Christian meetings four times a week. Their stay at our campus is determined by their rate of "growth" and desire to change for the better. They must be willing to find and secure full-time employment and follow rules.		homeless families, battered women, run-a-ways, and parents (with children) who need to get back on their feet. Our average population is 42 folks (usually a quarter of those are children). We house, feed, clothe, and counsel the folks who live at the home	literally hundreds of homeless folks and families to get back on their feet.	the State of Mississippi, but take referrals from anywhere on the planet	these to most effectively assist every one god sends to our door.
