name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Target demographics	Direct beneficiaries per year	Geographic areas served
Willmore Lodge Foundation	http://	(573) 964-1011	EIN 43-1809312	1 Willmore Lodge Lane	Lake Ozark	MO	65049	USA	Centers to Support the Independence of Specific Populations, Human Services	Historical site preservation & operation	The foundation renovated and operates willmore lodge, a designated historical site for the benefit of the public. Tours and information are provided on a daily basis. Gross receipts are from furnishing of facilities related to the foundations charitable purpose.				
South Central Missouri Community Action Agency	http://	(573) 325-4255	EIN 43-0839302	Po Box 6	Winona	MO	65588	USA	Community & Neighborhood Development, Economic Development	Community services to the needy.	Head start: pre-school for low-income children.   low-income home energy assistance: utility assistance for low-income families.   weatherization: weatherize homes for low-income families, with the goal of improving living conditions and saving utility costs.				
Bollinger County Museum of Natural History	http://www.bcmnh.org	573-238-1174	EIN 30-0122947	207 Mayfield Drive	Marble Hill	MO	63764	USA	Arts & Culture, History Museums	Provide professional quality exhibits of natural history artifacts and periodical displays of  past cultures, by means of educational, thought provoking exhibits  that will  provide the public  with  a  desire  to  continue  to explore  the  past, while preparing the way of the future.	Outreach presentations, teaching trunks, summer day programs (vary).	We spent a lot of time this year fundraising to pay for upkeep to our building and seeking to find funding to provide an elevator so all our visitors may have access to both floors of our building.	We strive to serve all income levels at a low cost that people from all different economic levels can afford. We provide a small fund for underprivileged children to get their entrance fees to the museum paid through.	We have around 5,000 people visit the museum a year in a good year.	We serve all within driving distance for a normal day trip and visitors to the area from all across the United States. We even draw visitors from Australia, Japan, Hawaii, and other areas, when they are visiting in the day trip area. A normal drive of perhaps 2 to 2.5 hours. With a radius of about 100-125 miles.
The Mission Continues	http://www.missioncontinues.org	314-588-8805	EIN 20-8742553	1141 S. 7th Street	Saint Louis	MO	63104	USA	Community Coalitions, Employment Preparation & Procurement, Job Training, Military & Veterans Organizations, Veterans	The Mission Continues engages veterans facing the challenge of adjusting to life at home to find new missions. We redeploy veterans in their communities so the legacy of this generation will be one of action and service. The Mission Continues focuses veterans spirit of service and harnesses the skills they learned in the military through two action-orientated programs: the Fellowship Program and the Service Platoon Program.	Through the Fellowship Program, post-9/11 veterans continue serving through six-month community service fellowships. For 26 weeks, Mission Continues Fellows volunteer for 20 hours a week at a nonprofit organization of their choice. They also complete a curriculum designed to propel them into their next phase of life, whether its meaningful employment or higher education. Fellows receive a living stipend while serving.  Mission Continues Service Platoons are teams of 30 to 45 veterans, of all generations, and active duty, guard and reservist service members. Platoons work together on the local level to tackle a specific mission in the community. In Washington, D.C., a platoon strives to reduce hunger among inner-city youth. In Phoenix, a platoon aims to eradicate veteran homelessness. Twenty-five platoons are launching across the country in 2014, solving problems here at home.	The Mission Continues has awarded 840 fellowships to post-9/11 veterans across 48 states. These veterans have contributed more than $7 million worth of services.   91% of Fellows said they increased their professional network through the experience, and 100% of Fellows believe they are pursuing a meaningful new mission.	A Mission Continues Fellow is a post-9/11 veteran who has accepted the challenge to continue their service to our country by serving their community.	Fellows have served at more than 500 nonprofits, including the Boys and Girls Club, Equest Therapeutic Horsemanship, Growing Washington and The Humane Society,	We serve veterans nationwide.
EQUINE-ASSISTED THERAPY INC	http://Equine-AssistedTherapy.org	314 221 3642	EIN 20-0319917	3369 Highway 109	Wildwood	MO	63038	USA	Animals, Counseling, Developmentally Disabled Centers, Disabilities, Health, Mental Health	Equine-Assisted Therapy, Inc has but one purpose; that is to provide horsemanship experiences to persons with mental, physical, and psychological disabilities in order to enhance the quality and productivity of their lives.		In 2010 we purchased 15 acres on Highway 109 in Wildwood, MO.  Our efforts over the past year have been to turn a former tree nursery into the future site of an indoor riding arena and education center where our students can ride in any weather.		150+	St. Louis area
Douglas County Historical and Genealogical Society Inc	http://		EIN 43-1380606	PO Box 986	Ava	MO	65608	USA	Arts & Culture, Arts, Culture & Humanities						
The Kansas City Boys Choir A Not- For-Profit Corporation	http://www.kcboyschoir.org	(816) 474-7464	EIN 43-1750131	Po Box 412551	Kansas City	MO	64141	USA	Arts & Culture, Theater	To train young boys in the art of music, to present quality concerts of traditional choral literature, and to engage in all other related activities conducive to the furtherance of these purposes.	Concert performances. The choir performs a winter and spring concert and also performs at various private/community events.   personal development programs for the choristers. This includes school tutors, music camp and classes on etiquette, self-esteem, personal grooming, and money management.				
Socialheart Inc	http://		EIN 46-1903542	3134 Karnes Blvd	Kansas City	MO	64111	USA	Philanthropy, Public Foundations						
Camp Barnabas	http://www.campbarnabas.org	417-476-2565	EIN 43-1700240	P O Box 3200	Springfield	MO	65808	USA	Arts & Culture, Camps, Children's Museums, Children & Youth, Children & Youth Services, Health, Rehabilitative Care, Sports	Our mission is to provide life-changing opportunities to people wtih special needs and chronic diseases - and those who serve them - in a Christian camp setting	See our web site - www.campbarnabas.org - for a full listing of all our camps.	Summer 2012 will see almost 1,500 campers having the Barnabas experience with the help of over 2,300 volunteers and 130 summer staff. This happens in four different locations through 12 weeks of overnight camp and one week of day camp. And we have waiting lists for almost every week of camp. So we continue to seek ways to offer this chance to even more children with special needs and chronic diseases.	Children with special needs and/or chronic illnesses that prevent them from attending a typical summer camp	1,500	United States
Presser Hall Restoration Society	http://www.presserpac.com	(573) 581-5592	EIN 43-1465122	900 S Jefferson St	Mexico	MO	65265	USA	Arts & Culture, Historical Societies & Historic Preservation	Operation of historic performing arts center	Operation of historic performing arts center				
