name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Target demographics	Geographic areas served	Results	Direct beneficiaries per year	 
Montana Congress Of Parents Teachers Students	http://		EIN 84-1370806	PO Box C	White Sulphur Springs	MT	59645	USA								
Missoula Ski Education Foundation	http://www.msefskiteam.org	(406) 721-6481	EIN 51-0204168	Po Box 7046	Missoula	MT	59807	USA		Education	To provide ski racing instruction to youth ages 5-18 at levels of ability ranging from beginning to advanced. Approx 90 youth served.					
Church Of The Open Bible	http://		EIN 81-0416387	Po Box 309	Hardin	MT	59034	USA								
Ramsey Keller Memorial	http://www.kisses2heaven.com	(406) 655-1676	EIN 45-4856391	4382 Laredo Pl	Billings	MT	59106	USA	Health	Providing financial and emotional support and resources to parents who have lost a baby/child by contracting with funeral homes to pay for the expenses of children funerals.	Payment of funeral costs associated with the death of a child  supporting organizations that pursue research with a goal of preventing/eliminating infant and child loss to death					
Missions To America Incorporated	http://		EIN 82-0489226	591 Grantsdale Rd	Hamilton	MT	59840	USA	Religion, Religion-Related							
Praise Chapel Troy Montana	http://		EIN 26-3269956	314 Riverside	Troy	MT	59935	USA	Christianity, Religion							
Becky Eiker Foundation	http://		EIN 81-0510804	1220 Morning Glory St	Helena	MT	59601	USA	Arts & Culture, Arts, Culture & Humanities							
Lutheran Bible Camp Inc	http://www.christikon.org	(406) 656-1969	EIN 81-0367727	1108 24th St W	Billings	MT	59102	USA		Lutheran bible camp, inc. D. B. A. "christikon" mission is to offer an outdoor based church camping program of religious activities and education for youth, families and adults, developmentally disabled adults, and at-risk youth. It is the mission of christikon to awaken and nurture faith in christ-exploring god's creation and the adventure of life together.	During the summer of 2014, the church camping program offered by christikon served 578 registered guests:240 in youth programs (residential, backpacking, at-risk youth)-for a total of 1,314 camper days;180 in its family/adult programs-for a total of 415 camper days; and 52 in its program for developmentally disabled adults-for a total of 165 camper days. In addition, christikon facilities were used for retreats sponsored by ministries of member congregations, through the fall months of 2014. 69 people were sponsored for a total of 126 camper days.					
Tamarack Grief Resource Center Inc	http://www.tamarackgriefresourcecenter.org	(406) 541-8472	EIN 26-2278278	405 S 1st St W	Missoula	MT	59801	USA	Mental Health, Mental Health Treatment	Tamarack grief resource center strengthens and honors individuals,families and communities throughout their journey with grief.	In 2014 tamarack grief resource center (tgrc) served nearly 3300 participants in grief support and education programs--an increase of 46% from 2013. Tgrc offered over 10,630 hours of direct service extending support to more schools, organizations, and families throughout the region. 2014 programs included five annual camps and retreats, grief groups in partnership with schools and hospitals, community workshops, consultations and counseling, and training seminars. Programs were available to anyone likely to benefit regardless of ability to pay.					
Craighead Environmental Research Institute	http://www.craigheadresearch.org	406-585-8705	EIN 52-0810968	201 S Wallace Ave. Suite B2D	Bozeman	MT	59715	USA	Animals, Biological & Life Sciences, Environment, Land Resources Conservation, Wildlife Preservation & Protection	Our mission is to maintain healthy populations of native plants and wildlife,  along with vibrant, healthy human communities in sustainable, functioning ecosystems.	The craighead institure continued its work as a fiscal sponsor, working with organizations specializing in conservation, and natural resources.   ci continued its pika research throughout montana that includes three interrelated programs, including citizen science, pika population monitoring and pika connectivity. Specific accomplishments included a fourth year of gathering citizen science pika data from around the state of montana, continued monitoring of pika colonies in gallatin county and the completion of connectivity field work in the gallatin canyon.   ci continued development and implementation of wild planner tools. During 2014, this included projects in both madison county, montana, and canmore, british columbia. Madison county planners used the tools to assess subdivision regulations and the tools are also being used by other conservationists within the state. The wild planner tools have been instrumental in the madison redevelopment program that began in 2014. Ci is partnering with the sonoran institute and future west on this project. The british columbia project focused on determining animal connectivity in and around a planned resort and golf course near banff. The results from this project highlighted areas of connectivity for wildlife and the increase in urban sprawl, and the development has currently been tabled due to local opposition.   the organization continued various conservation research, education, and outreach projects, centered in bozeman, mt.		Western US and Canada, International			
Spirit Of The Valley Metropolitan Community Church	http://		EIN 84-1414547	1108 1st St W	Billings	MT	59101	USA	Religion, Religion-Related							
