name	url	telephone	tax_num	street	locality	region	postcode	country	Causes
St Pauls Episcopal Church	http://		EIN 66-0675303	Po Box 50661	Saipan	MP	96950	USA	
Ever Green Church Inc	http://		EIN 66-0719769	Po Box 502960	Saipan	MP	96950	USA	Christianity, Religion
Pacific Sustainability Inc	http://		EIN 66-0827254	Svrb Box 7269	Saipan	MP	96950	USA	Energy Resources Conservation & Development, Environment
Cornerstone Christian Church Inc	http://		EIN 99-0012472	Po Box 504579	Saipan	MP	96950	USA	Christianity, Religion
Marianas Baptist Church	http://		EIN 98-0040227	Saipan	Saipan	MP	96950	USA	
Life In The Son Christian Fellowship	http://		EIN 66-0679596	Po Box 504295	Saipan	MP	96950	USA	Protestant, Religion
Marianas Psychiatric Foundation	http://		EIN 31-1777750	PO Box 7920	Saipan		96950		Mental Health, Mental Health & Crisis Intervention
Karidat	http://		EIN 98-6020933	Po Box 500745	Saipan	MP	96950	USA	Human Service Organizations
Saipan Baitus Salam Jam-E-Masjid Inc	http://		EIN 66-0725962	Po Box 503708	Saipan	MP	96950	USA	Religion, Religion-Related
Soka Gakkai International-Cnmi Inc	http://		EIN 66-0651154	Po Box 505066	Saipan	MP	96950	USA	Buddhism, Religion
Chinese Bible Church International Inc	http://		EIN 66-0561373	Po Box 500087	Saipan	MP	96950	USA	Education, Elementary & Secondary Schools, Literacy
Saipan Evangelical Church Inc	http://		EIN 66-0707901	Po Box 503103	Saipan	MP	96950	USA	Christianity, Religion
Saipan-Palan Evangelical Church	http://		EIN 99-3006811	Po Box 5072	Saipan	MP	96950	USA	Christianity, Religion
Marianas Christian Church	http://		EIN 66-0734471	Po Box 8091	Saipan	MP	96950	USA	Christianity, Religion
Korean Presbyterian Church Of Saipan	http://		EIN 98-0096930	Po Box 501526	Saipan	MP	96950	USA	Christianity, Religion
Latte Training Academy	http://		EIN 66-0815181	Po Box 504490	Saipan	MP	96950	USA	Education, Vocational & Technical Schools
Gospel Light Baptist Church	http://		EIN 66-0613448	Po Box 7773	Saipan	MP	96950	USA	Protestant, Religion
World Mission Church Inc	http://		EIN 66-0736385	Po Box 505246	Saipan	MP	96950	USA	Religion, Religion-Related
Northern Marianas Crime Stoppers Program Inc	http://		EIN 66-0813510	Po Box 503783	Saipan	MP	96950	USA	Crime & Law, Crime Prevention
Pacific Homes Mission	http://		EIN 66-0841392	Po Box 500688	Saipan	MP	96950	USA	Human Service Organizations
Saipan Tennis Association	http://		EIN 99-3003095	PO Box 7455	Saipan		96950		Racquet Sports, Sports
Spirituality Of International Mission Training Center	http://		EIN 66-0631215	Po Box 505236	Saipan	MP	96950	USA	Protestant, Religion
Missions Connection Ministry	http://		EIN 66-0682852	Pmb 943 Box 100005 Ste 101	Saipan	MP	96950	USA	Christianity, Religion
Saipan Tae Pyung Yang Church Inc	http://		EIN 66-0766814	Po Box 502877	Saipan	MP	96950	USA	Christianity, Religion
Northern Marianas Housing Corporation	http://		EIN 66-0516427	Po Box 500514	Saipan	MP	96950	USA	Homeless & Housing, Low-Income & Subsidized Rental Housing
Northern Marianas College Lab School Parent Advisory Council	http://		EIN 77-0631735	PO Box 5848 Chrb	Saipan		96950		Education, Parent & Teacher Groups
Shalom Church	http://		EIN 66-0722922	Po Box 7126	Saipan	MP	96950	USA	Protestant, Religion
Northern Marianas Sports Foundation	http://		EIN 66-0834960	Ada Gymnasium Beach Road	Saipan	MP	96950	USA	Education
Tinian Muslim Community Ins	http://		EIN 66-0769604	Po Box 0695	Saipan	MP	96950	USA	Islam, Religion
Diocese Of Chalan Kanoa	http://		EIN 98-6018461	Po Box 500745	Saipan	MP	96950	USA	
Saipan Jesus Love Church	http://		EIN 66-0722849	Po Box 10000 Pmb 603	Saipan	MP	96950	USA	Protestant, Religion
Ace Education	http://		EIN 66-0740042	7718 Svrb	Saipan	MP	96950	USA	Education, Educational Services
Nmi Council For The Humanities	http://		EIN 66-0487631	Po Box 506437	Saipan	MP	96950	USA	
Islands Mission Community Inc	http://		EIN 66-0704420	7718 Svrb	Siapan	MP	96950	USA	Protestant, Religion
Good News Church Of Saipan Inc	http://		EIN 66-0711321	Po Box 506691	Saipan	MP	96950	USA	Christianity, Religion
Christian Bible Fellowship Church	http://		EIN 66-0735422	Po Box 7274	Saipan	MP	96950	USA	Christianity, Religion
Grace Christian Academy Tinian	http://		EIN 66-0491729	Po Box 520422	Tinian	MP	96952	USA	
Grace Christian Academy-Rota	http://		EIN 91-2046474	Po Box 1194	Rota	MP	96951	USA	
Mariana Islands Nature Alliance	http://		EIN 66-0664562	Po Box 506645	Saipan	MP	96950	USA	Environment, Water, Water Resources, Wetlands Conservation & Management
Saipan Church Of Christ	http://		EIN 99-3000079	Po Box 500549	Saipan	MP	96950	USA	Christianity, Religion
Upper Room Intl Fellowship Inc	http://		EIN 66-0530087	Po Box 504543	Saipan	MP	96950	USA	Christianity, Religion
Mount Carmel School	http://		EIN 98-6018566	Po Box 500006	Saipan	MP	96950	USA	Education, Elementary & Secondary Schools, Literacy
Pacific Ombudsman For Humanitarian Law	http://		EIN 66-0804748	Po Box 502452	Saipan	MP	96950	USA	Crime & Law, Crime & Legal-Related
Favor Presbyterian Church Of Saipan	http://		EIN 66-0729110	Po Box 505719	Saipan	MP	96950	USA	Religion, Religion-Related
Yedam Mission Center	http://		EIN 66-0722490	Po Box 505899	Saipan	MP	96950	USA	Protestant, Religion
Grace Christian Academy-Saipan	http://		EIN 98-6021168	Po Box 500643	Saipan	MP	96950	USA	
Northern Marianas Judiciary Historical Society	http://		EIN 77-0613996	Po Box 502165	Saipan	MP	96950	USA	Arts & Culture, Historical Organizations
Cnmi Mission Aviation Organization Inc	http://		EIN 66-0711535	Po Box 503581	Saipan	MP	96950	USA	Christianity, Religion
Ayuda Network Inc	http://		EIN 36-3984497	Po Box 503019	Saipan	MP	96950	USA	Human Services
Grace Christian Ministries Of The Assemblies Of God	http://		EIN 98-0086141	Po Box 502140	Saipan	MP	96950	USA	Protestant, Religion
Victorious Christian Church	http://		EIN 66-0764009	Po Box 506236	Saipan	MP	96950	USA	Christianity, Religion
General Council Of The Assemblies Of God Of The Nmi	http://		EIN 66-0733558	Po Box 502140	Saipan	MP	96950	USA	Christianity, Religion
Micronesian Legal Services Corp	http://		EIN 98-6018560	Po Box 5551	Saipan	MP	96950	USA	International, International Development
Nurturing Transformative And Sustainable Communities	http://		EIN 66-0776794	Po Box 5240	Saipan	MP	96950	USA	Victims Services
Saipan Building & Fixing Computer Users Group	http://		EIN 66-0793184	Po Box 5525	Saipan	MP	96950	USA	Job Training
Pacific Marine Resource Institute Inc	http://		EIN 68-0588582	Po Box 10003 Pmb 1156	Saipan	MP	96950	USA	Education
Northern Marianas Protection & Advocacy Systems Inc	http://		EIN 66-0499069	Po Box 503529	Saipan	MP	96950	USA	Human Services, Personal Social Services
Educational Theatre Association	http://		EIN 66-0745632	Svrb 7649	Saipan	MP	96950	USA	
Friends Of The Marianas Trench Monument	http://		EIN 66-0748743	Po Box 10001 Pmb 360	Saipan	MP	96950	USA	Environment, Natural Resources Conservation & Protection
Saipan Swim Club	http://		EIN 66-0665567	Po Box 5100	Saipan	MP	96950	USA	Sports, Swimming & Other Water Recreation
