name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Results
CenterPointe Inc	http://www.centerpointe.org	402-475-8717	EIN 47-0550702	2633 P St	Lincoln	NE	68503	USA	Mental Health, Mental Health Treatment, Substance Abuse Treatment	CenterPointe meets people where they are and supports them to gain control of their lives. By treating the whole person, mental health and addiction can be addressed together in real time.	Adults 18 and over in the southeastern part of Nebraska.	1,384 individuals		Long and short-term residential treatment for adults Outpatient treatment for adults Day treatment services for adults Transitional housing and supportive services for homeless veterans Community Support and Case Management services Intensive home-based services for adults with severe mental illness Peer Support services Transitional, subsidized and permanent housing	It is our goal that people involved in our services will have less need for higher levels of care like the Crisis Center, Detox and emergency room care.  In 2009-2010, only 20% of the people we serve required higher levels of care.   Fully 80% were able to live in the community without higher levels of care.  For more outcome measurements, check out the "Measuring our Success"  section of our website.
Boone County Historical Society Inc	http://		EIN 47-0632388	Po Box 414	Albion	NE	68620	USA							
Quail Unlimited Inc Chapter 221	http://		EIN 58-2029079	903 8th St	Fairbury	NE	68352	USA							
Tabitha Inc	http://www.tabitha.org	(402) 483-7671	EIN 47-0377998	4720 Randolph St	Lincoln	NE	68510	USA	Health, Home Health Care	As a nonprofit organization serving 28 counties in southeast Nebraska, Tabithas love embraces a society where everyone is valued and empowered to live life to the fullest with compassionate at-home support, innovative living communities, exceptional rehabilitation, health care and hospice services.				The tabitha nursing and rehabilitation center (tnrc) has 215 beds in operation and tabitha of crete nursing center has 44 beds in operation and both facilities provide long term care. Tnrc and tabitha at crete provide skilled nursing care with rehabilitation programs including physical, occupational, and speech therapy. Tabitha nursing and rehabilitation center operates units that provide alzheimer's and dementia services and hospice inpatient service. Staff in these units have been specifically trained to provide optimal care in these areas. In addition, spiritual counseling, social workers, coordinated activities, and continual health care planning are provided at no additional cost to the patient. Tabitha at the landing is a collaboration between tabitha and the landing and was created to de-institutionalize the "nursing home culture" from the inside out. With the belief that meaningful lives are ones with choices, our organizations set out to create a place where seniors could enjoy all the comforts of home-including the ability to direct their own care and lifestyle-and remain as independent as possible while doing so. Our innovative approach means that residents have free will to live life exactly as they please. They rise, sleep and eat at the time of their choosing. Their menu is custom-made and personally served, with 24-hour access to meals and snacks. At most mealtimes, residents and staff alike come together at the large, family-style dining table to share the warmth of food and conversation. Hobbies and leisure activities are encouraged and often become shared interests among residents. Inclusive group outings are offered frequently, but never required. Family, friends and visitors are welcome-anytime and every time. Birthdays and holidays are house-wide events-there is no shortage of celebrating here!   tabitha's hospice program provides care for terminally ill persons and their families so that the patient is able to stay at home in most situations in a comfortable environment while giving their family members an opportunity to renew and enhance their relationship to the patient and each other. The inter-disciplinary team approach allows comprehensive and intensive information-sharing, problem solving, and service delivery. Services include medical director, visiting nurses, social workers, home health aides, spiritual counselors, consulting pharmacists and nutritionists and bereavement counselors.   tabitha's home health agency provides licensed and certified home skilled nursing, home health aides, rehabilitation therapy (physical, speech and occupational), and social work visits to those whose injury or illness can be safely managed in the home. Family members are trained to supplement professional care if desired. The agency also provides health screening clinics and blood pressure checks in the communities it serves. The home health agency provides services to communities in all or parts of 28 counties including the surrounding lancaster county. Home care specialties of tabitha supplements medicare/medicaid home health care and medicare certified hospice programs by providing non-medicare covered services such as bath and personal care aides to assist with bathing, grooming, and other daily living activities. Homemakers help with light cleaning, laundry, grocery shopping and food preparation. Screened, trained and insured rn's, lpn's, and home health aides assist with medication set-ups, dressing changes, foot and diabetic care. When you need a friendly face to visit with, call on one of our loving companion caregivers. 24-hour caregivers are available day or night with reduced sleep-over rates. Transportation assistants can drive you to appointments and errands. Tuck-in service helps with bed-time care.   all other services include: the meals on wheels program which provides hot noon meals prepared by tabitha staff and delivered by volunteers to residents in lincoln and parts of lancaster county who are recovering from an illness, regaining strength after a hospital stay, physically unable to prepare their own meals, or who need assistance to remain living independently. It provides meals to any disabled or elderly person in need regardless of ability to pay. The walter project is a hud project in lincoln that has 100 units and provides affordable (rent based on income), comfortable, and covenient housing in a secure setting with the maintanance and yard work provided, planned activities, health care planning services, transportation and 24 hour emergency monitoring to aid residents in case of distress are provided free of charge to residents. Tabitha adult day service is intended to be a home away from home for loved ones who need care and support during the day while you work. On those occassions when you need respite, tabitha adult day services is there for you. Adults are offered the opportunity to interact with others and enjoy activities with others and enjoy activities which foster happier, healthier, and meaningful lives. We provide a loving nurturing environment that honors each person's history, dignity, and self-worth. Tabitha in crete: the gardens, we create a warm, home-like settings for those who want to live life with choices. Whether you desire an active social schedule or a more relaxed way of life, our respect for each other's individuality and dignity is at the center of all we do. We are located in a quiet residential area in close proximity to the local hospital, doctor's offices and shopping centers. Our assisted living neighborhood includes: 8 studios, 26 deluxe studios, 12 one-bedroom suites designed to fit your lifestyle. Our rural setting has small-town feel, yet is close enough to lincoln to take advantage of all the exciting opportunities that a larger city has to offer. Gracepointe assisted living provide maintenance-free residences, around-the-clock personal care, enriching activities focused on health and wellness, and leading edge technology in a welcoming, secure living community. Gracepointe offers several floor plan options in spacious and comfortable one- and two-bedroom suites. You will enjoy: * community dining rooms * fireplace lounge * library and media den * community living rooms * pub-style gathering place * private dining room * beauty salon and barbershop * outdoor patios and walking paths * secure, underground parking * paid utilities * innovative healthsense technology * 100% wifi coverage * 24-hour on-site emergency response personnel. Gracepointe caregivers compassionately meet your physical and emotional needs so you feel secure and at home. We work in small teams, serving specific gracepointe "neighborhoods" where residents and staff can develop caring, family-like relationships. When family caregivers need some time off, elders can enjoy loving, compassionate care at gracepointe for two weeks or longer in our fully furnished respite care suites. Our commitment to memory care starts with two key ingredients-grace and love. Gracepointe memory care suites are an ideal solution for adults with memory loss who are not in need of skilled nursing care, yet require assistance with the activities of daily living. We strive to let each resident live as independently as possible while providing comprehensive care and compassionate support. Every detail, from the nostalgic design of the building to secure monitoring and creative recall activities, has been developed to provide a comfortable, safe and enriching lifestyle. Voicecare supports independent living with a secure, reliable emergency response system. Clients simply wear a personal activator button. When pressed, voicecare will contact designated responders such as family, neighbors or emergency response personnel.	
Reach And Teach Trust	http://		EIN 52-1303043	1209 Prospect	Norfolk	NE	68701	USA							
Women's International Bowling Congress, Inc.	http://		EIN 51-0222300	PO Box 243	Benkelman	NE	69021	USA							
Celebrate Singers, Inc.	http://		EIN 47-0625644	1056 Sunrise	Seward	NE	68434	USA							
College Entrepreneurs Organization Inc	http://		EIN 47-0771431	206 Morrill Hall	Lincoln	NE	68508	USA	Education, Student Services						
Mt Calvary Lutheran Church	http://		EIN 47-6006876	5529 Leavenworth St	Omaha	NE	68106	USA							
Farm Safety 4 Just Kids	http://www.fs4jk.org/		EIN 47-0807851	222 W Utica, PO Box 129 Partners For Kids Safety Chapter/Cargill	Ravenna	NE	68869	USA	Camp Fire, Children & Youth, Education, Elementary & Secondary Schools, Literacy, Youth Development Programs	The mission of Farm Safety 4 Just Kids is to promote a safe farm environment to prevent health hazards, injuries, and fatalities to children and youth.					
