name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year
Mountain View Lutheran Church	http://		EIN 88-0106726	9550 W Cheyenne Ave	Las Vegas	NV	89129	USA							
Boulder City Foursquare Church	http://		EIN 88-0109798	571 Adams Blvd	Boulder City	NV	89005	USA							
High Desert Parrot Society Inc	http://		EIN 26-0341191	5270 La Terra Ave	Pahrump	NV	89061	USA	Animals, Bird Sanctuaries						
Ymca Of Southern Nevada	http://www.lasvegasymca.org	(702) 877-9622	EIN 88-0059266	4141 Meadows Ln	Las Vegas	NV	89107	USA	Human Services, Physical Fitness & Community Recreational Facilities, Religion, Religion-Related, Sports, Young Mens or Womens Associations	The ymca of southern nevada has served the local community for over 69 years through its mission to put christian principles into practice through programs that build healthy spirit, mind and body for all. Our programs for youth development, healthy living and social responsibility are designed to meet the most pressing challenges of our community. Such challenges include increased rates of obesity, especially in children, affordable quality childcare and a significant economic downturn.				Programs for youth development: the ymca of southern nevada is committed to nurturing the potential of every child and teen. We help young people form positive skills and relationships that lead to healthy behaviors and educational achievement. Programs such as preschool, school-age childcare, after-school enrichment and sports help children develop skills and healthy living habits now and into the future. In 2014, the y served more than 19,000 children and teens, comprising 40% of our overall membership. Our childcare programs include before- and after-school care, day camps on school staff development days and summer camp. For all of those programs our staff focuses on asset building and youth development. Instruction covers character building, healthy living and physical activity. After-school programs include homework assistance and a healthy snack. In 2014, in partnership with vegas pbs and andson foundation, the y expanded our summer learning loss program to all four branches. Students can lose up to three months of learning during the summer months, starting their new school year off behind where they left off. The y offers summer reading and stem-based classes for all summer campers ages 5-11 as part of their summer camp experience. In 2014, more than 1,500 children attended y summer camp. We also continued our state-licensed preschool program and started researching the possibility of adding a full-day preschool class at one of our locations in 2015. Established in 2010, our affordable program exposes 3-to-5-year-olds to an educational process of learning through creative play. Preschool includes songs, stories, letter and number exploration, creative and dramatic play, and motor development in nurturing environments. The y's four core values of caring, honesty, respect and responsibility are incorporated into every activity. Our goals are aligned with united way's commitment to education and focus on school readiness. We are proud to be a community partner using the onlinecor. Net assessment instrument. A respected institution for swim lessons, the y teaches children to swim with an emphasis on safety and health. Swim lessons build skills, promote safety and boost confidence as children progress at their own pace, which breeds success. Our parent-child program offers learning opportunities for babies as young as 6 months. In a desert climate with a large number of personal and community pools, knowing how to swim is the key to preventing drowning and the earlier one starts, the better. In 2014, 38% of the y's swim lesson participants were under the age of 5. In addition, the y offers free community swim days including a partnership with paragon pools' float like a duck event providing pool safety tips and resources to anyone who comes. Family programs foster togetherness in a safe, welcoming environment. Our 2014 we continued the tradition of our healthy kids day, hosted events like our annual halloween at the y and offered family fun nights and additional community events at no or low cost.   programs for healthy living:the y is a leading voice on health and well-being, as we bring families together, encourage positive lifestyle choices and foster connections through fitness, sports, fun and shared interests. In 2014, we served 51,200 men, women and children through healthy living activities. We provided $411,000 of direct financial assistance to families for health enhancement and wellness programs. As a result, people of every age and fitness level receive the support, guidance and resources they need to achieve greater health in spirit, mind and body. It's critical as our nation struggles with an obesity crisis, families grapple with work/life balance and individuals search for fulfillment. Our programs are inclusive and designed to meet the needs and interests of those we serve, including special populations. We develop programs to meet special needs populations and families by building meaningful relationships and creating small communities of participants with like goals, backgrounds and needs. This model improves the likelihood that participants will continue their health and wellness activities and meet their physical and emotional goals. Examples include traditional fitness classes revamped specifically for older, active adults such as senior yoga therapy and adult pickleball, aquatics classes for cardiac and stroke patients, bodypump and boot camp classes for the seriously fitness minded, family wellness classes and health seminars. The y also offers y-kids classes designed specifically to help youth get active and form healthy habits while having fun. Classes are scheduled in the 5-6pm and 6-7pm hours when parents come to the y after work. The program allows parents to focus on their wellness goals while their children are engaged in structured activities that offer fun and variety. During a week, a child may cycle, swim, play racquetball or tennis, climb and do youth hip-hop aerobics or yoga. Kids learn skills, gain confidence, make friends and burn calories. This enables parents and children to both reap the benefits of a healthy, physical workout at the same time and in the same facility. The result is less time traveling to multiple locations for classes and more family time together. In 2014 we continued our work on the y's diabetes prevention program launched in 2011. Based on research funded by the national institutes of health and the centers for disease control and prevention, this program reduces the risk by 58 percent. Participants in the program learn how to eat healthier, increase physical activity and lose a modest amount of weight in order to reduce their chances of developing the disease  programs for social responsibility:the y is committed to supporting our neighbors and providing opportunities for people of every age to give and join in. Y initiatives help southern nevada address important issues and the support of our volunteer and donors make our work possible. Through partnerships with other organizations we are able to provide our facility and other resources to help them extend their reach and services into the community. Partnerships include bringing our y after-school programs directly to charter and private school campuses so students wouldn't have to be taken off-site, working with the united way on preschool curriculum, and working with other nonprofits to promote awareness for the summer food service program. In addition, we proudly provided portions of our state-of-the-art facilities so other civic, nonprofit and worship groups could affordably host gatherings and events. These community service events helped them further their missions and provide their knowledge and services to the community at large. In 2014, approximately 10,000 individuals attended worship services, job and health fairs, financial and tax preparation seminars at our y locations. At the center of our efforts that make our programs possible, is a dedicated group of volunteers. This group includes our local volunteer board of directors, comprised of 30+ influential leaders representing all industries. They champion our y annual campaign fundraising efforts that in 2014, thanks to support from private and corporate donors, brought in over $800,000. Half of those funds were used to provide direct financial assistance to 34,000 individuals who used it for memberships, summer camp, youth programs, sports leagues swim lessons and dozens of other activities designed to help people reach their full potential. The rest subsidized memberships and programs, keeping the y affordable and accessible for individuals of every age, ability and fitness level and enabling us to keep our promise to the community that no one was turned away due to an inability to pay. The y also offers american red cross lifeguard training and certification. In 2014 we certified 426 lifeguards. These guards gained marketable skills, making them attractive job candidates for the y and las vegas' recreation centers, water parks and resortsthe y is proud to be a partner in the department of defense and armed services ymca's military membership program which offers free y memberships to qualified military groups and their families. For those who don't qualify for the dod program, the y offers our own 50% off membership fees to all military personnel, veterans and their families. In 2014, active military personnel and veterans made up 19% of the y's membership. Supporting our commitment to create healthier communities, in 2014 the y continued its participation in the summer food service program (sfsp). During the summer, kids are at an increased risk of going hungry. More than 180,000 low-income children locally receive free or reduced-price meals through the national school lunch program. Yet only 6% of these children participate in sfsp in clark county which provides free meals to children during summer when school is not in session. The y served more than 23,000 lunches in the summer of 2014. This included not only children participating in y summer camp or other y programs, but any child in the community.   other revenue including investment, interest and similar items.	
Las Vegas Jr. Basketball Club	http://		EIN 88-0312611	1770 Westwind	Las Vegas	NV	89102	USA							
Pacific Planetarium Association Inc	http://		EIN 94-3048910	3200 E Cheyenne Ave	N Las Vegas	NV	89030	USA							
Nevada Fair Housing Center Inc	http://		EIN 88-0343851	4015 S El Capitan Way	Las Vegas	NV	89147	USA	Homeless & Housing, Housing & Shelter	FAIR HOUSING OPPORTUNITIES & ASSISTANCE					
Reno High School Alumni Association	http://	(775) 825-2586	EIN 88-0348443	Po Box 5807	Reno	NV	89513	USA	Community Service Clubs					Maintain and furnish reno high school alumni center on the school grounds and continue recognition of students, alumni and faculty  assist students to obtain higher education through reno high school scholarship committee	
Temple Beth Or Reno	http://	775-322-5542	EIN 27-0387394	2580 Cityview Ter	Reno	NV	89512	USA	Judaism	We do not aspire to just to learn about G-d - it's to experience G-d through Jewish practice and text study. Our mission is to inspire Jewish practice among participants who are Jewish or those considering becoming a Jew by Choice. We recognize diverse personal philosophies, practices and needs while working towards the growth of our Jewish community.	Classes  Talmud, j101, Baal Shem Tov, 3 Elko Shabbatons.  Book Discussion  TS and TEE  Speaker Event   Stand With Us Global Day of J Learning (Nov) partner with TS and TEE Promote interfaith relationships (Food Pantry  Muslim, NTHI) Team Leader for Chevre Kaddisha for Women Annual Training for Chevre members Pastoral Counseling and Misc. Referral and Questions  Innovations  Progressive Mezzuzah Party  Thanksgiving, movies for community at UNR, HHD instruments like harp, saz and oud. Minister to sick, dying, hospital and hospice visits  weekly Life Cycle: Bris-2, Bnei Mitzvah-4, Weddings-7, Funerals-10	Jews in northern Nevada/California		Shabbat and Holiday services, Talmud class, Bnei Mitzvah, Judaism 101 class, much more this fall.	100
Miracle Horse Rescue, Inc.	http://www.Miraclehorse.com		EIN 88-0488512	2091 W. Quail Run Rd	Pahrump	NV	89060	USA	Animal Protection & Welfare, Animals	Miracle Horse Rescue founded in 2001, was established because of abuse and neglect within the equine world.  Miracle Horse Rescue is a Rescue/Sanctuary which provides care, love and rehabilitation to equines that have suffered varying degrees of abuse and neglect.  The goal of Miracle Horse Rescue is to rehabilitate each horse to the best of it's ability and to locate responsible, caring homes through our established adoption program developed for the sole purpose of protecting the horse.  For those horses unable to be rehabilitated due to various reasons, they will live out the remainder of their lives at the Miracle Horse Facility.  This is a NO KILL/NO SLAUGHTER facility and a horse is only humanely euthinazed upon the advisement of a Qualified Equine Veterinarian to end undue pain and suffering. Miracle Horse Rescue has established a new program which began January 8th, 2006.  This program is available to the public free of charge and we are instructing "Responsible Horse Ownership and Care", additionally we are instructing "Horse Safety and Basic Horsemanship Skills"  We are utilizing postive interaction with rescued horses which gives the general public first hand information on the abuse and neglect that is occuring in the equine industry.		horses in need	rescue	We have provided rescue and sanctuary to equines of all types and conditions  We are dedicated to the preservation and welfare of abused, neglected and unwanted horses since 2001.  We provide them with food, shelter and veterinarian care.  Our facility gives horses the opportunity to live out the remainder of their lives in peace and tranquility	two mares that were slaughter bound.  One mare was in foal and gave birth on May 14th, 2013 to a healthy little mule.  They are able to live receiving care and love.  The overall goal is to locate and adopt the horses at our facility to forever, committed  homes.  Due to the strain on the economy, adoptions are down however the horses still receive the love and care they so justly deserve.
