name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs
Sources And Resources, Inc.	http://		EIN 02-0466380	120 Wilton Rd	Peterborough	NH	03458	USA							
Holiday Center Inc	http://		EIN 02-0275423	27 Green Sq	Berlin	NH	03570	USA	Health, Public Health						
Wildlife Heritage Foundation Of New Hampshire	http://www.nhwildlifefoundation.org	(603) 496-2778	EIN 26-0223745	Po Box 3993	Concord	NH	03302	USA	Animals, Wildlife Preservation & Protection	To enhance through private financial support, the critical conservation programs of the new hampshire fish & game department, so that people and wildlife will benefit for generations to come.					To support conservation and education through the nh fish and game department.
Balsams Culinary School Inc	http://		EIN 02-0484236	1000 Cold Spring Rd	Dixville Notch	NH	03576	USA	Education, Vocational & Technical Schools						
New England Grassroots Environment Fund Inc	http://www.grassrootsfund.org	(603) 905-9915	EIN 03-0364677	Po Box 611	Newmarket	NH	03857	USA	Environment	Support grassroots environmental work.					Grant making - the organization provided grants to over 120 organizations to fund community involvement in projects addressing a variety of new england environmental issues.   education and outreach - the organization conducted a number of conferences and workshops targeting both grantees and the general public addressing a variety of mission-related projects.
Seacoast Ballet Company Inc	http://		EIN 22-2490803	13 Mitchell Rd	Lee	NH	03824	USA							
Greater Nashua Transportation Services, Inc.	http://		EIN 02-0342660	8 Terry St	Nashua	NH	03060	USA	Human Services, Transportation Assistance						
The Interfaith Choir	http://		EIN 22-2857116	Po Box 325	East Derry	NH	03041	USA							
Vocational Partnership Foundation Region 15 Vocational Education	http://		EIN 22-2584968	530 S Porter St	Manchester	NH	03103	USA		THE PRIMARY OBJECTIVE IS TO AID REGION 15 VOCATIONAL EDUCATION (MANCHESTER SCHOOL OF TECHNOLOGY) IN THEIR PURSUIT OF EXCELLENCE THROUGH PROVIDING FUNDS FOR THEIR IDENTIFIED PROGRAMS.					
Headrest Inc	http://www.headrest.org		EIN 23-7256865	14 Church St	Lebanon	NH	03766	USA	Counseling, Hot Lines & Crisis Intervention, Mental Health, Substance Abuse Dependency, Prevention & Treatment	Our Mission Statement:To assist those who are addicted, in crisis or without support by developing, maintaining and delivering effective programs.					Outpatient CounselingCMRDCrisis Hotline
Upper Saco Valley Land Trust	http://www.usvlt.org	(603) 356-9683	EIN 02-0521030	Po Box 424	North Conway	NH	03860	USA	Farmland Preservation, Food	The organization works with local landowners to permanently protect lands and waters that define its community and enrich the quality of life by purchasing, managing, negotiating, and developing conservation easements in the upper saco valley region of northern new hampshire and western maine.					The organization protects the local environment and the original natural habitat through acquisition, development, and monitoring of conservation easements as well as promoting education and awareness of the protection of natural resources.
Laconia Kiwanis Charities Fund	http://		EIN 02-0486720	Po Box 757	Laconia	NH	03247	USA	Centers to Support the Independence of Specific Populations, Human Services	The Laconia Kiwams Charities Fund was formed on August 19, 1997 for the purpose of, but not limited to assisting needy persons, particularly young people, through the expending of funds directly for such purposes or by the furnishing of funds to other organizations for charitable or educational purposes. The organization will conduct all of its activities in the greater Laconia, New Hampshire area.					
Salem Youth Hockey	http://www.salemsaints.org	(603) 560-3318	EIN 02-0361259	Po Box 1594	Salem	NH	03079	USA	Sports, Winter Sports	To provide youths from salem nh and surrounding areas an ice hockey program.					Served youths in salem nh and surrounding areas in organized, supervised, recreational and competitive ice hockey programs.
American College Of Workers Compensation Counsel	http://		EIN 02-0471574	PO Box 719	Manchester	NH	03105	USA							
