name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Programs	Direct beneficiaries per year	Geographic areas served
Community Hope, Inc.	http://www.communityhope-nj.org	973 463-960	EIN 22-2647038	959 Route 46 East, Suite 402	Parsippany	NJ	07054	USA	Homeless & Housing, Homeless Shelters, Mental Health, Mental Health Disorders, Residential Care & Adult Day Programs, Residential Mental Health Treatment	Community Hope's mission:  Creating a brighter future for individuals recovering from mental illness and substance abuse by providing housing and services in a dignified, respectful, and person-centered way.			Consumer programs: the organization provides residential facilities, including housing & support services to persons living with mental illness. The organization serves the adult & youth residents of morris sussex & warren counties as well as housing for veterans. The community residences are staffed 24 hours per day by professional counselors who provide aid with daily living skills, crisis intervention and medication monitoring. These counselors assist residents in transitioning back into the community and workforce after psychiatric hospitalization.   veterans program: hope for veterans is a transitional housing program developed by community hope for veterans having honorably served our country in time of need who have since fallen upon hard times. Opened in 2004 with 70 beds, it is the largest and most comprehensive program for homeless veterans in new jersey. The goal of the hope for veterans initiative is to provide a safe, supportive environment wherein former servicemen and women can start rebuilding their lives. In december 2007, a new wing opened to accommodate a continuous waiting list of homeless veterans seeking entry into the program. Today, the program serves 95 veterans daily.   ssvf - supportive services for veteran families is a homeless prevention program designed to assist low-income veteran families in maintaining their housing and/or rapidly re-housing homeless veterans and their families in sussex, warren, somerset, morris and passaic counties, new jersey. Veteran families will receive case management to assist them in developing a housing stability plan which may include support services, financial assistance and access to support benefits. Candidates: veteran families who meet any of the following categories:- currently residing in permanent housing, and at risk of becoming homeless. - currently homeless or- recently exited permanent housing and scheduled or able to become a resident of permanent housing within 90 days.		
Ywca Of Central New Jersey	http://		EIN 22-1489918	232 E Front St	Plainfield	NJ	07060	USA	Children & Youth, Children & Youth Services, Human Services, Physical Fitness & Community Recreational Facilities, Sports, Young Mens or Womens Associations	The YWCA is a women's membership movement nourished by its roots in the Christian faith and sustained by the richness of many beliefs and values. Strengthened by diversity, the Association draws together members who strive to create opportunities for women's growth, leadership and power in order to attain a common vision: peace, justice, freedom and dignity for all people. The Association will thrust its collective power toward the elimination of racism wherever it exists and by any means necessary.					
Newark Bait & Fly Casting Club	http://		EIN 22-2188373	1067 Ledgewood Rd	Mountainside	NJ	07092	USA	Recreational Clubs, Sports						
The National Association Of Jewish Chaplains Inc	http://WWW.NAJC.ORG		EIN 06-1288389	50 Eisenhower Drive	Paramus	NJ	07652	USA	Judaism, Religion	* To advance the well being of Jewish Chaplains, provide fellowship, develop mutual support, exchange ideas and programs, and advocate the role & work of chaplaincy.* To promote professional standards of chaplaincy training with focus on Jewish concerns & issues.*To represent Jewish Chaplains in national and local secular and Jewish institutions.					
Robbinsville Education Foundation Inc	http://		EIN 22-3514011	155 Robb-edinburg Rd	Robbinsville	NJ	08691	USA	Philanthropy, Public Foundations						
Jersey Animal Coalition Inc -Jac-	http://www.jaconline.org	(973) 762-2442	EIN 22-2942416	7 Warner Rd	Maplewood	NJ	07040	USA	Animal Protection & Welfare, Animals	The organization's mission is to rescue and provide care for lost and abandoned pets until permanent, loving homes can be found.			Jersey animal coalition, inc. Provides service to lost and abandoned pets, including intake from towns of south orange and maplewood. Approximately 500 pets were served during the year. Jersey animal coalition, inc. Provides neutering of adult pets at intake that require such service.		
YMCA of Montclair	http://www.montclairymca.org	(973) 744-3400	EIN 22-1487617	25 Park Street	Montclair	NJ	07042	USA	Human Services, Young Mens or Womens Associations	See schedule opart iii question 1the ymca of montclair is a not for-profit organization that welcomes all people. Our purpose is to promote the moral, social and physical development of children, youth, adults and families in our community. We are dedicated to the values of caring, honesty, respect and responsibility. Our programs emphasize personal growth, foster a positive sense of self worth and encourage social responsibility.			See schedule o part iii - 4a. Youth developmentthe program goals at the ymca of montclair are to help children grow in self-reliance, confidence and self-esteem while building new skills. Our 6,600 youth are served through classes at our geyer family branch (ages 6 months to kindergarten) and our park street branch (ages 6 and above) where they can learn how to swim or dance, play sports, explore the arts and more. Teens are provided the opportunity to grow into strong adults through our programs designed just for them starting with our 7th grade initiative that offers many programs specific to their age and includes a complimentary ymca membership and swim lessons with demonstrated need. Our leader's club serves teens through high school where they receive leadership training and learn the importance of social responsibility and service to others. Our ymca is primarily supported by membership dues and program fees; school age child care, camp, swim lessons, youth enrichment programs. When people show demonstrated need, we afford them financial assistance gained from contributions from others so all can partake in the healthy lifestyles promoted at the y. Our school age child care program provides a safe and nurturing environment for over 1,100 children through our before and after school programs at 26 different sites. Over 2,550 campers are served daily adventures through our 9 summer camp programs, including our camp at the lake a day camp set on 40 acres in west milford, nj. Our 550 staff members promote an understanding and appreciation of individual differences. Ymca's have a unique approach in their work with families. The goal of the family programs at the geyer family branch is to help the 2,492 individuals that make up a family grow spiritually, mentally and physically together. To accomplish this goal, program activities bring children and families together to grow personally, strengthen positive values, appreciate diversity. They become better leaders and supporters by building developmental assets, leading healthy lives and improve personal and familial relationships. This all occurs most importantly, while having fun, enjoying life and each other.   see schedule o part iii - 4b. Healthy livingdue to the rising obesity rates among our nation's children, the ymca of montclair has partnered with a statewide ymca initiative, healthy u, which educates over 1,100 children and their families on creative ways to include physical exercise in their day and build healthy nutritional habits. We serve almost 5,000 adults through our 153 group exercise class offerings each week. Our classes are for beginners to advance which allow members to work at their own pace to lose weight, increase endurance, and socialize and more. The ymca aquatics programs are part of the ymca's overall goal of building healthy spirit, mind and body. In addition to providing specific swimming and water safety skills, they promote good health through regular exercise for children, active older adults and individuals with special emphasis to those with physical and mental challenges. They also promote teamwork, self-confidence and leadership. The ymca of montclair offers a variety of programs ranging from the basics of water safety, swimming skills to stroke development, water rescue and competitive swimming. We also offer educational workshops, as well as exercise classes to over 800 senior members, keeping their minds sharp and fostering a sense of belonging. With the shared program center for seniors and teens within our park street branch, we offer our senior's a community gathering place during the day and raise their level of connectivity and community. We hold a variety of events for seniors including game tournaments, lectures, arts and crafts and community service opportunities. After school, the space is a resource for teens offering homework help and a place to gather in a supervised environment. The space contains computers/ipads equipped with internet access, a large screen tv and a kitchenette. Perhaps the most important aspect of the ymca of montclair's active older adult program is that it offers the feeling of belonging to a community.   see schedule o part iii - 4c. Social responsibilitythe ymca movement has always had a mission of developing healthy spirit, mind and body for everyone. Ymca's are run by and for the community. The y serves a diverse population of ethnicities and socioeconomic classes. The 12,561 members we serve afford the ymca of montclair a unique opportunity to adjust to their changing needs in order to build a stronger community. Strengthening our community is a critical part of the ymca mission and in implementing our mission the ymca of montclair also provides services to thousands of non-members throughout our community at no cost. Outreach programs are offered at fees affordable to the community at large, with financial assistance available for those with demonstrative financial need. The ymca of montclair community also provides $405,395 of aid to families who demonstrate need. We also collaborate with other social service organizations through several hundred volunteers on projects such as food drives, coat and clothes collections, holiday meal and gift collections and distribution. Participants develop self-confidence, improve physical fitness, learn acceptance of others, and engage in teamwork and sportsmanship. Through the challenges set for them, children learn the values of self-discipline, goal setting and personal commitment. The ymca philosophy emphasizes personal development rather than the importance of winning.		
The Appel Farm Arts and Music Center	http://www.appelfarm.org	(856) 358-2472	EIN 22-2235002	PO Box 888 457 Shirley Rd	Elmer	NJ	08318	USA	Arts & Culture, Arts Education, Performing Arts, Performing Arts Schools	Appel Farm has a strong commitment to arts education for people of all ages, which it achieves through outstanding arts classes and professional development for teachers.   It also presents music that derives from a foundation of social awareness, as well as multicultural traditions.  Indeed, the Center's founders regarded the arts not only as a vehicle for self expression, but as a means and a catalyst to create community, influence social change by teaching young people about the importance of participating in the democratic process, and embracing the right to the free expression of ideas.  In conjunction with this core ideology, the goals of Appel Farm are to create a warm, vibrant, supportive environment for creativity, and a place where people are accepted for who they are - a place of tolerance and respect.			Appel farm's residential summer arts camp transforms the lives of children and professional artists from around the world. With an extensive scholarship program, at-risk youth from inner cities such as newark, camden and the southern new jersey region join with children from all backgrounds to receive high quality arts instruction from arts educators and working artists in a non-competitive and nurturing environment.   conference facility - appel farm arts partners with regional organizations to hold on-site conferences and retreats.   arts education in the schools and community: appel farm partners with south jersey school districts to offer arts education programs, including long-term residencies, curricular partnerships, after-school programs, and professional development for teachers. Appel farm partners with social service and community organizations to provide art making opportunities for the sake of improving heath and well-being. Appel farm also offers its own series of arts classes, workshops, concerts and festivals on-site.		
Prepare for Success Program Inc.	http://www.weprepare.info		EIN 45-2932759	PO Box 8055	Hillside	NJ	07205	USA				women and girls	Lead out Loud Mentoring Group for Girls age 11-17 Kismet Star and internship program for young ladies 18 and up Cookie Crumbs Chronicles a networking and support group for women 25 and up	12 young ladies through mentoring	Newark
Red De Apoyo Inc	http://victimasectas.com	+1  908 379-8081	EIN 47-3290867	PO Box 24	Hampton	NJ	08827	USA	Counseling, Mental Health	To prevent the danger caused by coercive groups that use a variety of psychological techniques to brainwash the people who don't know anything about how these techniques could persuade and control their will. A psychophysiological and scientific education is offered to orient people about the consequences and health related risk factors related to the long term exposure to hostile organizational environments through the use of coercive persuasion. The principal advice and orientation is based on the scientific information and findings published by the National Institutes of Health, the National Library of Medicine, National Institutes of Health, the Health & Human Services, discoveries and research published by scientists from the world most prestigious universities.		To help a former or an active member of a group that uses coercive persuasion techniques to control people's will. Also, to orient and provide counseling for the families and loved ones of those who developed traumas, disorders, or experienced a drastic change in their personality due to the maltreatment and abuse of the coercive techniques used by those groups.	Radio shows, courses, seminars, conferences, orientation and counseling to alert, preserve and promote physical and psychological health, through the psychophysiological education about the consequences and health related risk factors related to the long term exposure to hostile organizational environments that use coercive persuasion to control people's wills. The Corporation is organized exclusively for charitable, religious, educational, and scientific purposes.  This is an exempt organization under section 501(c)(3) of the Internal Revenue Code.		Service offered to people of all communities and from different countries
