name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs
Friends Of The Cumbres & Toltec	http://www.cumbrestoltec.org	(505) 880-1311	EIN 85-0363487	4421 Mcleod Rd Ne Ste F	Albuquerque	NM	87109	USA	Arts & Culture, Historical Societies & Historic Preservation	Friends of the cumbres and toltec scenic railroad is dedicated to the historic preservation, restoration and interpretation of the cumbres and toltec scenic railroad as a living museum. The friends envision another century of narrow gauge steam railroading with the cumbres and toltec scenic railroad being widely recognized as one of the world's premier "living" museums for historic, steam railroad operation, preservation and interpretation and industrial heritage. The friends also envisions the railroad to be the world's best and most popular tourist steam railroad experience. Responsibility for and leadership of the historic preservation and museum functions of the cumbres and toltec scenic railroad will rest with the friends, to be known and respected internationally as the best non-profit, historic railway preservation and museum organization in the world.					Interpretation and restoration - many thousands of people were benefited by the interpretation of the organizations historic property. This is done through the newsletter to libraries and members, and through walking tours guiding visitors through the railyard. Restoration benefits the historic museum collection and it is estimated that close to 100,000 people visit the railyard properties each year. The major portion of the expenses were for various materials to preserve and restore the historic equipment and properties.
Sikh Dharma Worldwide	http://		EIN 52-1038060	Po Box 1388	Espanola	NM	87532	USA		Sikh Dharma provides spiritual teachings and inspiration to the local Sikh population.					Weekly services and community meals for approximately 300 people. The programs are open to all.
Faith Comes By Hearing	http://www.faithcomesbyhearing.com	800-545-6552	EIN 85-0223225	2421 Aztec Rd NE	Albuquerque	NM	87107	USA	Christianity, Community Improvement & Capacity Building, Public & Societal Benefit, Religion	Faith Comes By Hearing is dedicated to making the Gospel of Jesus Christ available to people of all nations, tribes, and tongues through Audio Bible recordings and listening groups. We provide Scriptures in audio form because over 70% of the world''s population are oral communicators and do not-or cannot-use the printed word in their daily lives. We give these Audio Scriptures free of charge to individuals and listening groupsbecause more than half of the world lives in poverty and cannot afford Bibles. As ofJanuary 2013, we offer Scripture recordings in over 700 languages, with more recordings added each month.					Faith Comes By Hearings Audio Bible indigenous language recording program produces word-for-word, multi-voice, dramatized audio recordings of theBible, (primarily the New Testament), in different languages. Faith Comes By Hearing works with various Bible translation organizations, obtaining their permission to record the translations. Once we obtain permission, we assign the recording to one of the strategically located recording teams. The Audio New Testament is then recorded with dozens of indigenous speakers of the language and with constant word-for-word proofing and quality control procedures. After the field recording is completed, it is then mastered, edited, and made available free of chargefor Biblelistening.
Readwest Inc	http://www.readwest.org	505-892-1131	EIN 85-0381570	PO Box 44508	Rio Rancho	NM	87174	USA	Adult Education, Education, Literacy, Preschools, Remedial Reading & Encouragement	ReadWest's mission is to provide quality one-to-one tutoring to adults seeking to transform their lives through enhanced literacy skills.		adults learn to read, write and speak English	400 adults in our community improve their literacy skills	We serve clients in West Side Albuquerque and Rio Rancho, New Mexico.	one to one tutoring with trained, certified volunteer tutors.
David Fellers Healing Art Foundation	http://		EIN 26-2691321	1513 Willys Knight Dr Ne	Albuquerque	NM	87112	USA	International, International Development		We have provided 22 people with wheelchairs and 5 people with prosthetic legs.	At this time we are working in Nicaragua. This is the second poorest country in the western hemisphere next to Haiti.	We can help as many disabled people has we have funds to support		
ORGAN TRANSPLANT AWARENESS PROGRAM OF NEW MEXICO	http://www.otapnm.com		EIN 04-3654972	Po Box 37217	Albuquerque	NM	87176	USA	Education, Health, Organ & Tissue Banks, Scholarships, Scholarships & Student Financial Aid	Promoting Organ Donor Awareness; Supporting organ transplant & tissue transplant candidates, recipients, organ donors and their families.		Bring awareness to the need for organ Donors	3 students with scholarships and many people going through the transplant process.	State of New Mexico	Scholarships for High School Seniors and Support group for organ and tissue transplant recipients, candidates, organ donors and their families.
Angel Fire Community Foundation	http://		EIN 85-0261515	Po Box 41	Angel Fire	NM	87710	USA							
Carlsbad Literacy Program	http://		EIN 85-0396723	Po Box 3112	Carlsbad	NM	88221	USA	Education						
New Mexico Veterns Assistance Foundation Inc	http://		EIN 85-0398711	Po Box 80596	Albuquerque	NM	87198	USA							
Valley View Christian Church	http://		EIN 85-0375768	Po Box 1145	Edgewood	NM	87015	USA							
New Mexico Community Development Loan Fund	http://www.loanfund.org	(505) 243-3196	EIN 85-0377424	Po Box 705	Albuquerque	NM	87103	USA	Economic Development, Employment, Homeless & Housing, Housing & Shelter, Job Training	The loan fund was formed to encourage and facilitate the investment of capital in low-income new mexico communities through individuals, religious and communitiy organizations, foundations, governmental entities, lending institutions and others. The loan fund places particular emphasis on assisting low-income, minority and woman-owned businesses and those who meet other special requirements and are unable to access affordable loans from traditional sources such as banks.					The loan program encourages and facilitates the investment of capital in low-income new mexico communities by individuals, religious and community organizations, foundations, governmental entities, lending institutions and others.
Brothers Of Christ International	http://		EIN 75-1633367	Po Box 1	Alamogordo	NM	88311	USA	Christianity, Religion						
Mt Taylor Guidance Services	http://		EIN 85-0392627	P O. Box 2	Grants	NM	87020	USA	Crime & Law, Inmate Support						
Desert Diamonds Booster Association Inc	http://		EIN 74-2836007	Po Box 67033	Albuquerque	NM	87193	USA	Amateur Sports, Sports						
Usa Track & Field Inc	http://www.usatfnm.org	(505) 908-8996	EIN 85-0384864	5227 Purcell Dr Ne	Albuquerque	NM	87111	USA		To encourage, improve, and promote the sport of anateur track and field in the state of new mexico.					Hosted state and regional meets for cross country and track & field in conjunction with athletic clubs in nm - we have a total of 1100 members ranging in ages from 5 to 90 years  mandatory workshop and convention attendance for officers and managing directors  managing wages
Participa	http://		EIN 74-2829624	Po Box 2565	Corrales	NM	87048	USA	Human Service Organizations, Human Services						
Arrow Of Life Corporation	http://		EIN 52-1948703	4541 Trumbull Ave Se	Albuquerque	NM	87108	USA	Human Services						
Epilepsy Support And Education Services Inc	http://		EIN 85-0452975	2202 Menaul Ne Ste A	Albuquerque	NM	87107	USA	Counseling, Education, Educational Services, Epilepsy, Health, Mental Health	LAB Epilepsy Research Group was founded by three educated, intractable "epileptics".  We have each lived with epilepsy for the past 30 years and feel the time has come for all people with epilepsy to not have to be ashamed or feel guilty about their epilepsy.  We are working to "Facilitate The Acceptance Of Epilepsy" (TM) through various inservices in the community, teaching people how to best handle a seizure without shaming the person and without costing them unnecessary trips to the emergency room.  We also facilitate an epilepsy support group that currently meets once a month.  This is the first place many people meet another person with epilepsy and realize they "are not alone".  We have published three "update letters" to date that discuss living with and accepting epilepsy to make life a little better.					
Watermelon Mountain Ranch Inc	http://www.wmranch.org	5057710140	EIN 85-0480585	1512 Deborah Rd SE Ste 203	Rio Rancho	NM	87124	USA	Animal Protection & Welfare, Animal-Related, Animal Training, Animals	The mission of Watermelon Mountain Ranch is to make a positive difference in the lives of abandoned, abused and unwanted animals through rescue, recovery, compassionate care and permanent placement into loving homes. It is our belief that all living creatures should be treated with respect therefore we promote the positive benefits of the animal and human bond through children's education, interactive and therapeutic programs.		the abandoned and abused animals of New Mexico.	over 3000+ animals were directly touched and assisted in finding their furever homes.	the greater Albuquerque metro area. To include Rio Rancho, Los Lunas, Santa Fe, greater Sandoval County.	adoption clinics, low cost spay and netuer, shot clinics for the public, humane education, outreach for youth at risk and many more.
Catholic Charities Gallup Inc	http://	(505) 327-0074	EIN 85-0225263	Po Box 3146	Gallup	NM	87305	USA		Provide emergency food, shelter, and other assitance to indigents, and social services					To provide food,clothing, shelter,and other emergency services, transitional living, foster, care,and behavioral health services to the people in northwestern new mexico and northeastern arizona
BATTERED FAMILIES SERVICES INC	http://	(505) 722-6389	EIN 85-0295059	207 S Strong Dr	Gallup	NM	87301	USA	Domestic Violence, Family Violence Shelters, Homeless & Housing	To provide comprehensive services to those who experience domestic violence and sexual assault.					Battered families services houses victims/survivors of domestic violence and sexual asssault and their children up to 90 days. During that time they provide for their basic necessities, food, clothing, referrals to community agencies, assist with garnering income support, gathering documents and crisis calls. Total clients served-259, days of emergency shelter-3440.   legal services- established this department to assist survivors of domestic violence iwth civil legal issues (temporary and permanent orders of protection, child support and custody, paternity, divorce) to date we have provided numerous hours of legal assistance to clients.   batterer intervention program - conduct 2 groups at our offices and one group at the jail. Groups average 10 participants each. My brother's place is a 52 week batterer intervention program that provides case management services for perpetrators of domestic violence.   transitional housing- we have six apartments availabe and all but one has been rented the entire fiscal year. Apartmnents are rented as low income housing to survivors of domestic violence.
Agape Outreach Ministries	http://		EIN 85-0288888	5402 Centro Sw	Albuquerque	NM	87105	USA							
