name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs			Our Black HerStory Project
The Resolution Project, Inc.	http://www.resolutionproject.org	(212) 626-6504	EIN 26-4394051	1120 Avenue of the Americas 4th Floor	New York	NY	10036	USA	Citizen Participation, Economic Development, International, International Economic Development, Microfinance, Philanthropy	The Resolution Project, Inc. is a U.S. 501(c)3 non-profit dedicated to fostering youth leadership development around the world through collaborative social entrepreneurship.  Our Mission is to develop socially-responsible young leaders and empower them to make a positive impact today.	Resolution currently has 28 Fellows on all 6 inhabited continents. Fellows have founded and lead ventures in diverse, high-impact fields such as education, healthcare, human rights, water resources, and sustainability.	University Students, Professionals	32	Global	The Social Venture Challenge is an annual social venture capital competition, designed to identify and support teams of young people from around the world who offer strong solutions to pressing social issues. Founded in conjunction with Ashoka, the SVC rewards outstanding innovation, initiative, and enterprise among participating venturers.			
Bobbi And The Strays Inc	http://	(718) 845-0779	EIN 11-3444285	80-36 Cooper Avenue	Glendale	NY	11385	USA	Animal Protection & Welfare, Animal Services, Animals	Provide rescue & care for stray animals					Provide rescue and care for strayed animals  provide rescue & care for stray animals			
Support Connection Inc	http://www.supportconnection.org	800-532-4290	EIN 13-3900612	40 Triangle Center Suite 100	Yorktown Heights	NY	10598	USA	Breast Cancer, Cancer, Counseling, Human Services, Mental Health	Support Connection''s primary mission is to provide emotional, social and educational support services to women, their families and friends affected by breast and ovarian cancer. The support provided enables women to help each other and empowers them to become their own healthcare advocates.		Women living with breast and ovarian cancer, as well as their families and friends.			Women with breast and ovarian cancer, or anyone needing information about these diseases, can come to our office or call us 5 days a week, 9 am - 5 pm NY time, and speak directly with a trained Peer Counselor, a cancer survivor who has traveled the journey already. Calls received after hours are returned the next business day. We have a toll-free number (800-532-4290) for information and support, making this service readily available to anyone nationwide.Peer Counselors offer information about breast and ovarian cancer, ongoing emotional support, community resources and referrals, connections to other women with similar situations. There are no limits on our peer counseling services. This individualized, free support is available as often as you need it, for as long as you need it, regardless of where you are on your journey through diagnosis, treatment and recovery.This survivor-to-survivor approach is central to our philosophy; it sets us apart and makes our services both effective and powerful. As one of our Peer Counselors said: We have walked the walk. We have heard the words 'you have cancer,' felt the fear and anxiety, tried to find some sanity in it all and gone through the tests, the surgeries and the treatments. Just like the women who call, we have held the pieces of a cancer diagnosis together and continued raising our kids, working and maintaining households. We ourselves are women whose lives could not stop for cancer.			
New Heights Youth Inc	http://www.newheightsnyc.org	212-426-4667	EIN 20-1903332	2472 Broadway PMB 112	New York	NY	10025	USA	Children & Youth, Youth Development Programs	To educate and empower promising inner-city youth to be leaders, champions and student-athletes by developing the skills necessary for success in high school, college and life.		Youth ages 10-18 from many of the the most underserved neighborhoods in NYC	210 youth	NYC area	College Bound			
Calvary Food Pantry Cny	http://	(315) 252-7772	EIN 55-0883343	90 Franklin St	Auburn	NY	13021	USA	Food, Food Banks & Pantries	Food pantry					Calvary food pantry was established in 1985. We are one of thirteen food providers to the needy, active in cayuga county.			
American Composers Orchestra Inc	http://americancomposers.org	(212) 977-8495	EIN 13-2838450	244 West 54 St Ste 805	New York	NY	10019	USA	Alliances & Advocacy, Arts & Culture, Arts Education, Symphony Orchestras	Performance, presentation, commissioning, recording and dissemination of american music for symphony orchestra;professional development for american composers; educational activities about american music for students and the general public.					Presented 3 concerts of music by american composers at carnegie hall. Commissioned and gave world premiere performances of 4 new works by american composers as well as additional regional premiers and performances of seldom-heard early 20th century works. Held new music readings to provide professional development and public exposure for 24 emerging composers. Provided in-school and after-school music education lessons and workshops with 5 partner schools around new york city, reaching 2,000 students. Released two albums of world premiere recordings of music by contemporary american composers, making these available online free-of-charge to the public. Maintained archive of rare recordings of american music performed by the orchestra. Maintained website and produced electronic media and publications (videos, audio excerpts, newsletters) to educate the public and disseminate information about american orchestral music.			
Make It Count Foundation Inc	http://makeitcountfoundation.org	(631) 258-9021	EIN 27-2037456	PO Box 370	West Islip	NY	11795	USA	Homeless & Housing, Housing Development, Construction & Management	We serve as a catalyst for sustainable change within the lives of those we serve by ensuring that their fundamental housing, health, and educational needs are met. Make it count envisions a world where all people have the best opportunity to realize their maximum potential.					Housing - from returning veterans to hard-working families, make it count is committed to providing access to safe, medically appropriate, and affordable housing renovations to those who need it most.   education - through our backpacks for education program, scholarships, and grants & technical assistance to schools, make it count helps young scholars and gifted youth who have not only shown promise in an academic or extracurricular capacity, but who also would otherwise lack access to further growth without this necessary financial assistance.   health - through emergency relief initiatives and programs like bikes for fitness, make it count foundation supports individuals and their families who seek understanding and assistance in managing their own health. Additionally, we serve to inspire and motivate those on their own personal journey towards a healthy lifestyle in order to achieve their optimal health.			
MaleSurvivor: National Organization Against Male Sexual Victimization	http://www.malesurvivor.org		EIN 41-1831829	4768 Broadway #527	New York	NY	10034-4916	USA	Mental Health, Mental Health Associations, Sexual Assault Services	We are committed to preventing, healing and eliminating all forms of sexual victimization of boys and men through treatment, research, education, advocacy and activism.	Every day MaleSurvivor provides hope, healing, and support to thousands of people through our programs:  Weekends and Days of Recovery - In 2015 we held our 65th weekend healing retreat; since 2001 more than 1,300 survivors have attended a MaleSurvivor retreat.  Professional Training and Outreach - In 2015, we conducted trainings for over 4,000 professionals in the military, law enforcement, and child advocacy.   Online Resources - In 2015 more than 100,000 users have visited our website, accessing more than 2 million pages of content.   Every day MaleSurvivor changes lives for the better.  "A true gift...The experience resonates loudly in my daily life. It is awe inspiring what can take place in just a few short days. It is worth every penny, and more."  -- Sequoia 2015 WoR participant	provide Hope, Healing, and Support to male survivors of sexual trauma and their partners in recovery	more than 120 male survivors who attended a MaleSurvivor organized recovery event; more than 3000 professionals who attended a MaleSurvivor traiing, and more than 100,000 users who accessed more than 2 million pages on our website in the past year	primarily in the US and Canada	Weekend of Recovery International conference Discussion board and Chat Room Resource Directories Professional Trainings Community Awareness			
Endabuse4good Inc	http://beautycaresnyc.org		EIN 26-2134272	59 Chelsea Piers Ste 201	New York	NY	10011	USA	Centers to Support the Independence of Specific Populations, Domestic Violence, Family Violence Shelters, Homeless & Housing	Women who have been battered are often ashamed, blame themselves, or are convinced they did something wrong. We offer them a renewed sense of self-esteem and worth with a Day of Beauty where they are able to feel glorious, loved and lovely.								
Children of Promise NYC	http://cpnyc.org	(718) 483-9290	EIN 83-0440009	9005 199TH St 6th Fl	Jamaica	NY	11423	USA	Crime & Law, Inmate Support	To provide children of incarcerated parents with the guidance, support, and resources necessary to effectively develop leadership skills, form positive social relationships and enhance academic performance. This innovative after school program and summer day camp infuses mental health with the best practices of youth development.					After-school - developing the intellectual, social and emotional competencies of children of imprisoned parents and promoting healthy decision making and critical thinking skills by providing them with a safe place to learn and interact with other children in similar situations.   therapeutic services - offering behavioral assessments and counseling to children of imprisoned parents and their family where they can safely explore their past traumas, recognize their present accomplishments and move forward toward future goals.   summer camp - providing educational, cultural and arts-based programming and recreational activities in a day camp provided during the summer months to decrease the summer learning loss experienced by many children.   project dream (directing realities through exposure, access & monitoring) - providing children of imprisoned parents with one-to-one matches with screened and trained mentors, who participate in trips and activities which help to break the cycle of intergenerational incarceration			
Futures and Options	http://www.futuresandoptions.org	212-601-0002	EIN 13-4063658	120 Broadway Suite 1019	New York	NY	10271	USA	Children & Youth, Education, Job Training, Secondary & High Schools, Youth Development Programs	Futures and Options empowers New York Citys underserved youth to explore careers. Through career development and paid, mentored internships, our model program enables New Yorks underserved youth to gain much needed access to the economic mainstream, work readiness training and support from caring adults. At the same time, private and nonprofit businesses are connected to a pipeline of promising, motivated and diverse young interns. We reach out to teens at a formative time of their lives, guiding them to further their education and become contributing citizens.citizens of the community. Through paid educational internships, this model program enables businesses and not-for-profits to gain access to promising, motivated and diverse young interns, who in turn gain much needed access to the economic mainstream, career development and support from caring adults.	Since its inception in 1995, F&O has served over 4,500 New York City youth and coordinated paid, mentored internship placements at over 500 private and nonprofit businesses.  Thanks to ongoing support from F&O staff, 94% of participants have successfully completed their internships.    Historically, over 90 percent of F+O students graduate from high school on time and attend college. Recent data from the National Student Clearinghouse on college persistence indicates that F+O program graduates are achieving success in college, with 60 percent or more of our college age alumni still enrolled in school.	F+O youth come from low and moderate income families. 67% qualify for free lunch. In FY2014, our student population was 45% African American, 26% Hispanic, 11% Asian/Pacific Islander, 9% multi-ethnic, and 4% Caucasian, 5% other; 51% female and 49% male.	Last year, F+O served 628 youth by providing work-readiness training and college preparatory services.	NYC	the Internship Program, Career Essentials, Bridge to Work, the College Guidance Initiative, the College Success Program, the CE Alumni Network and On the Road.			
Creative Alternatives Of New York	http://www.cany.org	(212) 222-1969	EIN 13-3204610	153 W 27th St Ste 300	New York	NY	10001	USA	Arts & Culture, Arts Education, Children & Youth, Mental Health, Mental Health & Crisis Intervention, Youth Development	Creative alternatives of new york partners with leading social service agencies and health care institutions to provide therapeutic theatre programs for traumatized and at-risk populations.					Creative alternatives of new york (cany) provides an effective intervention for children and adults who have endured life trauma. Partnering with agencies across greater metro new york, cany uses drama therapy to help veterans with ptsd; refugees from war; children and youth with histories of abuse and violence; women survivors of domestic violence; and adults with hiv. Additionally, cany provides training workshops in drama therapy to creative arts therapists, social workers, educators, youth workers and actors.			
ASAP (Americans Serving Abroad Projects)	http://www.americansservingabroad.com		EIN 47-1151284	3745 South Street Road	Marcellus	NY	13108	USA	Arts & Culture, Cultural & Ethnic Awareness, Health, International, International Cultural Exchange, International Exchange	A.S.A.P. (Americans Serving Abroad Project) Inc. is a non-profit organization dedicated to improving the health and education of  deprived, resource limited rural communities in Ghana Africa. We accomplish this goal through short term mobile healthcare mission trips and a concurrent vulnerable children's program. We believe that change comes with positive human interactions and a sharing of culture, knowledge and understanding.	To date our teams have served over 3500 individuals	deprived rural communities	over 1000 individuals	Ghana, Africa	a free mobile healthcare clinic to give health exams, screenings, treatment and education with an emphasis on women and children. We also run a vulnerable children's program to provide educational and recreational supplies, education regarding health and hygiene practices, and inspiration to stay in school.			
