name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year	Education 	Improving Grades & GPAs:	Improving Physical Fitness & Health:	Juvenile Drop out Prevention:	Activities that Strengthen Families
UNITED WAY OF IREDELL COUNTY INC	http://www.uwiredell.org	(704) 872-3000	EIN 56-0792674	1835 Davie Avenue Suite 401	Statesville	NC	28677	USA	Federated Giving Programs, Philanthropy	The United Way of Iredell County improves our community and its people by uniting partners to meet local health and human service needs.		improve the education, financial stability and health of everyone across our community.	Iredell County, NC	mobilizing resources to fund strategically targeted programs with a high impact and ability to change lives for the better.  We also lead community collaborative initiatives focused on ending hunger, improving health and youth literacy.	Over 80,000 individuals across our service area.					
A Cure In Sight	http://acureinsight.org	919-885-5264	EIN 46-1274306	40 Cornerstone Dr	Franklinton	NC	27525	USA	Health	A Cure In Sight, a designated 501 C 3 non profit dedicated to raising ocular melanoma awareness and helping patients find and pay for needed treatment.	A Cure In Sight along with the Ocular Melanoma Foundation funded the first $10,000 to start the patient registry at Jefferson University.  A Cure In Sight has given over $50,000 to help patients who are financially struggling after their diagnosis of ocular melanoma.  A Cure In Sight has funded over $50,000 in research for ocular melanoma.	To help ocular melanoma patients with resources and financial support.	globally	Cure Companions, OMG ocular melanoma getaway, Financial assistance, supporting ongoing research.	50+ patients with food, gas, housing, insurance premiums, medical bills and 2 research projects					
Put On The Brakes Inc	https://putonthebrakes.org/home	704-720-3806	EIN 26-2176362	7140 Weddington Rd Ste 120	Concord	NC	28027	USA	Children & Youth, Education, Educational Services, Youth Development	Put On The B.R.A.K.E.S. (Be Responsible And Keep Everyone Safe)is a non-profit 501(c)3 whose mission is to prevent injuries and save lives by training and educating teenage drivers and their parents about the importance of safe and responsible driving.	According to a recent study of B.R.A.K.E.S. trained students over a 5 year period our students are 64% LESS likely to be involved in a car crash.			To provide education and training to inexperienced, young drivers through driving schools. These schools teach safe driving techniques and the dangers of distracted driving.						
Cherokee Indians Of Robeson County	http://	(910) 359-0181	EIN 46-0487190	1521 Opal Rd	Red Springs	NC	28377	USA	Protestant, Religion	We provide native first peoples, nations, tribal cultural ceremonies, religious, spiritual and community needs and out reach services under our tribal constitution, tribal laws and government. These services include food assistance ,assistance with utilities, housing needs, health care services, church services, child welfare act assistance, transportation needs and we do this with volunteers and provide services to low income and or no income persons. We strive to not leave any person out of benefits resources no matter their race, creed or color. Native american indians have first preference in all activities but the assistance is not limited to native american indians.				The community out research service programs provided food, housing, auto,transportation , clothing and health care needs for community residence.   the artist and cultural program to support cultural and spiritual arts and crafts by providing tools , equipment and teacher directed classes to promote and support these activities. The community cultural, spiritual heritage taught assured a continued historical and modern school of thought for the future generations. This program shared these cultural items with other communities for the enrichment of communities that are not aware of the native cultural heritage of our communities. General arts,crafts,song and dance were show cased as well with a native cultural flare. General education tutoring for students of all ages even college level.   new community building for meetings, classes and programs for our community members. Built improvements to the older arts and craft building bath rooms and showers. Update the well water system. This includes paid utilities for all activities.						
United Way of the Greater Triangle Inc	http://www.unitedwaytriangle.org	(919) 460-8687	EIN 56-1949103	2400 Perimeter Park Dr Ste 150 Ste 150	Morrisville	NC	27560	USA	Federated Giving Programs, Philanthropy	TO IMPROVE LIVES BY MOBILIZING THE CARING POWER OF COMMUNITIES.				Community impact achieved through community impact investments in the areas of health, education, and financial stability ready for life # youth participating in character building programs will demonstrate leadership, personal responsibility and conflict resolution and life skills. 8,326 #youth provided services will avoid bullying, violence, court involvement or disciplinary actions. 916 # parents will improve interactions with their children. 1,301 # youth will understand the consequences of high risk behavior. 3,062 # adults with intellectual and developmental disabilities will receive support; and # will achieve their vocational goals. 298 # adults seeking help to improve their literacy will increase their english proficiency and reading skills. 600 ready for school through training and support, # early childhood education professionals will improve their teaching practices in the classroom for the educational benefit. 2,428 # of children screened will be ready for kindergarten. 904 # families will receive child care services information and referrals. 2,059 % of the children receiving child care scholarships will be enrolled in high quality care programs (4-5 stars). 2,059 success in school # youth participating in academic support programs will improve their school attendance and study habits 1,651 # students will improve their grades 1,334 # who perform at grade level 183 # who advance to next grade 1,688 # students will improve on standardized test scores. 325 basic needs # pounds of food distributed 36,749,803 # meals will be served to the hungry and malnourished. 18,235,427 #articles of clothing will be distributed to those in need and to those who have been displaced. 24,088 services for seniors and people with disabilities will allow # to continue to live independently. 17,524 access to care # under-insured people will receive medical supplies or prescriptions to deal with their health issues. 11,808 mental health care will be provided to # under-insured individuals to improve their well-being. 4,818 # people who receive substance abuse treatment will reduce their dependencies 6,948 # people will receive primary health care. 5,567 # people receiving care will avoid inappropriate hospitalization or re-hospitalization 6,667 # people with chronic health conditions that will improve their health status 14,836 crisis prevention & response # adults and children seeking help for neglect, abuse and violence will improve their skills and get the support they need to stay safe. 9,748 # families of armed services members will be assisted with their personal crises. 396 # units of blood will be collected to help save lives. 57,778 # people that receive disaster assistance 1,053 # volunteers are prepared to serve their community 2,276 # people who have committed violence will be supported so that 90% avoid re-arrest within 12 months 445 financial management # of individuals will receiving financial education services will demonstrate new skills to help them improve their financial situation 2,626 affordable housing # households that are at risk of losing their homes will receive prevention assistance (wake only) 740 # of the above will maintain their housing for six months (wake only) 740 # homeless households will move into permanent housing 923 and # will maintain it for 12 months 324 sustaining employment # increase employment related income through programs and job supports 1,252 # will become employed 1,087 # who enter a job training program will complete it 417 # will successfully apply for benefits 2,160  community campaign  emergency shelter grant - organization serves as a fiscal agent for the wake county continuum of care which operates homeless shelters and provides rapid re-housing services for citizen experiencing or near homelessness. Grant funds are claimed on behalf of the continuum on a reimbursement basis from the state of north carolina under an award from the federal department of housing and urban development.						
EXPRESSIONS OF FAITH MINISTRY	http://www.freewebs.com/expfaithministry		EIN 02-0679393	PO Box 34071	Charlotte	NC	28234	USA	Arts & Culture, Christianity, Performing Arts, Religion	We are a 501(c)3, not for profit, Christian evangelistic organization and ministry.  Our purpose is to inspire , to change , to motivate, and to encourage people  to draw near to and submit their lives to Christ as we minister to them through performing arts.   We have dedicated ourselves to outreach in our community, surrounding areas, and beyond creating events where all are welcome and the Spirit of God can have its way.  We are also looking for individuals, who are interested in using their talent, in this way, to become a part of our ministry and organization. Our ministry also provide food and clothing outreaches to area shelters and daycares to help the less fortunate & those in need.										
LGBT Center Of Raleigh Inc	http://www.lgbtcenterofraleigh.com	9198324484	EIN 26-2998186	324 South Harrington Street	Raleigh	NC	27603	USA	Children & Youth, Civil Rights, Homeless & Housing, Homeless Shelters, Leadership Development, Lesbian & Gay Rights, LGBTQ, Youth Development Programs	To strengthen individual and community development through social and educational activities; to facilitate the incubation of supportive services and groups; and to identify needs and advocate for resources benefiting the diverse population of lesbian, gay, transgender and bisexual people, their friends and supporters within and beyond central North Carolina.	Too many to name!	the LGBTQ community and Allies	Raleigh	SAGE Raleigh, Youth, Triangle Plus, Allies,  Trans* Initiative, and many more.	over 10000 people					
Dare Education Foundation	http://www.dareeducationfoundation.org	252-255-5545	EIN 01-0597318	PO Box 959	Kitty Hawk	NC	27949	USA	Education, Student Services	Making great ideas in education come to life by funding initiatives that enhance the experiences of students and teachers in Dare County.		students in our public schools	Dare County, NC	21st Century Skills innovative classroom grants; scholarships for AVID students; student enrichment activities for AVID students; stipends for tutors (regardless of whether they are themselves in the AVID program) that assist AVID students; partial reimbursements for teachers to get National Board Certified; partial reimbursements for teachers to take classes towards advanced degrees; affordable teacher housing in Kill Devil Hills and Hatteras; etc.	by investing over $100,000.00 back into our County's public school system					
Community Alliance	http://		EIN 27-0945083	Po Box 481590	Charlotte	NC	28269	USA	Children & Youth, Community Recreational Centers, Family Services, Neighborhood Centers, Sports, Youth Development Programs											
HEAVEN AND EARTH ANIMAL RESCUE TEAM INC	http://		EIN 20-3373818	PO Box 897	Youngsville	NC	27596	USA	Animal Protection & Welfare, Animals											
Elna B Spaulding Conflict Resolution Center Inc	http://www.spaulding-crc.com	(919) 680-4575	EIN 56-0938146	634 Foster St	Durham	NC	27701	USA	Human Service Organizations, Human Services	Help people resolve conflict through communication, cooperation and understanding.				The elna b. Spaulding durham mediation center (dmc) is an expansion of our mission to eliminate the causes of violence. Mediation services are provided to the courts and the general public in an effort to model positive dispute resolution methods and to provide a peaceful and conversational context outside of the legal system in which people can develop solutions to their conflicts.						
Hope Gardens	http://		EIN 35-2511326	180 E Cameron Ave	Chapel Hill	NC	27514	USA	Food, Food, Agriculture & Nutrition											
Environmental Educators Of North Carolina	http://		EIN 56-1715308	Po Box 4904	Chapel Hill	NC	27515	USA	Environment											
EPILEPSY INSTITUTE OF NORTH CAROLINA	http://www.eiofnc.org		EIN 56-1729488	1311 Westbrook Plaza Drive Suite 100 PO Box 24458	Winston Salem	NC	27114	USA	Epilepsy Research, Health	EIofNC is committed to providing highly individualized medical, social, psychological and educational services to our patients with epilepsy and other neurological disorders. We are dedicated to enriching the quality of life of our patients and to providing unlimited access to the diagnoses, treatment and on-going support necessary to live their lives in the least restrictive setting possible.	Services provided to our patients include diagnosis, treatment, long-term care, education, and pharmacy assistance programs.  Medical and psychological services are now available.  Specialized services include investigational drug research, vagus nerve stimulator therapy, neuro-psychological testing and services, EEG services, and social services consultations.	the Epilepsy Institute of North Carolina (EIofNC) is that children and adults challenged with epilepsy and other neurological disorders have unlimited access to the diagnoses, treatment and on-going support necessary to live their lives as freely as possible from their medical challenges.	The State of NC	Seizures Dogs, Epilepsy Community						
Valley River Humane Society Inc	http://www.valleyriverhumanesociety.org		EIN 58-1320604	Po Box 658	Murphy	NC	28906	USA	Animal Protection & Welfare, Animals	Shelter and care of homeless animals				Shelter and care of homeless animals with emphasis on adoption and education						
Southern Appalachian Highlands Conservancy	http://www.appalachian.org	(828) 253-0095	EIN 62-1098890	34 Wall Street Suite 502	Asheville	NC	28801	USA		To conserve the unique plant and animal habitat, clean water, and scenic beauty and places for people to enjoy outdoor recreation in the mountains of western North Carolina and east Tennessee for the benefit of present and future generations. We achieve this by forging and maintaining long-term conservation relationships with private landowners, owning and managing land and encouraging strong, healthy local communities.	Over 70,000 acres protected to date.	We provide important benefits to our environment, communities and economies by preserving the natural, cultural and agricultural heritage of western North Carolina and east Tennessee. Conservation improves the quality of life and preserves healthy land for food and recreation.	10 Counties in Western North Carolina and East Tennessee	SAHC works cooperatively with landowners in our region to protect significant lands for future generations.  SAHC is saving special places to hike, bike, camp, boat, hunt and fish. Our work is critical to sustain healthy communities and enhance resiliency of ecological systems.	We continue to protect acres of globally significant ecosystems, water quality in streams and rivers, beloved recreation sites and working farms.					
Transitions Of Lake Norman Inc	http://		EIN 26-3247540	PO Box 265	Mooresville	NC	28115	USA	Children & Youth, Youth Development Programs											
Bestfriends Pet Adoptions	http://www.bfpa.org		EIN 56-2118790	Po Box 5305	Cary	NC	27512	USA	Animal Protection & Welfare, Animals	Best Friend Pet Adoption wants to place all animals in loving homes where the dog or cat will be treated as a valued family member.  Comprised of entirely of volunteers, we place the dogs and cats in foster homes where they can be socialized and given quality interaction with people until a loving home can be found.										
Prevent Child Abuse Rowan	http://		EIN 56-2200514	130 Woodson St	Salisbury	NC	28144	USA	Child Abuse Prevention, Crime & Law, Domestic Violence	Child abuse treatment and education toward prevention				Child abuse treatment and education toward prevention						
Promise to Protect Inc	http://www.protect.org	(865) 525-0901	EIN 74-3127927	46 Haywood St Ste 315B	Asheville	NC	28801	USA	Disaster Aid, Safety Education	The organization is dedicated to the protection of children from abuse and neglect, as				During 2014, the organization made significant progress in the following 4 major program areas: (1) advocacy: won increased public spending for law enforcement to interdict child exploitation. These new resources resulted in the rescue of thousands of additional children. (2) child rescue tech: innovation to advance r&d to combat child exploitation. (3) h. E. R. O. Corps: worked with u. S. Department of homeland security and u. S. Special operations command to recruit, train and place wounded veterans within federal law enforcement combatting child exploitation. (4) transparency: publicizing data from the courts and child protection system and innovating new ways to hold public servants accountable for the protection of children.						
Orange County Rape Crisis Center	http://www.ocrcc.org	919-968-4647	EIN 58-1356356	1506 E. Franklin Street Suite 302	Chapel Hill	NC	27514	USA	Crime & Law, Mental Health, Sexual Abuse Prevention, Sexual Assault Services	The mission of the Orange County Rape Crisis Center is to stop sexual violence and its impact through support, education, and advocacy.  The Center envisions a just and equitable world free of sexual violence and all other forms of oppression.	The following statistics are from our 2014-2015 fiscal year:  We served 524 survivors, providing support to survivors and their loved ones as well as offering resources for professionals and community members.  We offered 15 support groups and workshops, some in English and some in Spanish. Nearly 100 percent of participants reported that our groups helped them feel less alone in their experience and more supported in their healing process.  We provided 898 Community Education programs to 13,614  youth and adults. In addition to Safe Touch and Start Strong programs in local K-12 schools, the CE team worked more closely than ever with Client Services staff to deliver community-wide education opportunities, bringing customized programs to faith communities, neighborhoods, and families across the county.		Orange County, North Carolina	The Center provides 24-hour crisis intervention services to survivors of sexual violence. Our services include our 24-Hour Help Line, support groups, workshops, and therapy referrals. Additionally, the Center offers educational programs for both raising awareness about sexual violence and teaching prevention skills.						
Pick 42 Foundation ~ Neighbors Helping Neighbors	http://www.nhn4kids.org	704-565-9335	EIN 47-4339440	5610 Fenway Drive	Charlotte	NC	28273	USA	Children & Youth	Pick 42 Foundation, Inc. ~ Neighbors Helping Neighbors (NHN) primary mission is to help children. We believe that by impacting the lives of children, it will ultimately aid the entire family, community and nation overall. Having been exposed to the many needs of the Belmont Community, Charlotte, NC, we have designated this community specifically for our various charitable outreach programs.	2 Successful Toy Drives & Shopping experience - see our You Tube video...  Next program is iRoom Makeover 4 Kids - currently looking for donations and sponsors	Our primary mission is to help children. We believe that by impacting the lives of children, it will ultimately aid the entire family, community and nation overall. Having been exposed to the many needs of the Belmont Community, Charlotte, NC, we have designated this community specifically for our various charitable outreach programs.	Charlotte, NC - Belmont COmmunity	iRoom Makeover 4 Kids Toy Drive & Shopping Experience	224 Children					
Cancer Center For Detection And Prevention	http://		EIN 94-3065923	333 Fayetteville St Ste 1500	Raleigh	NC	27601	USA	Cancer, Cancer Research, Education, Graduate & Professional Schools, Health, Philanthropy, Private Grantmaking Foundations	To support and provide cancer and disease focused detection, prevention, relief, research and education										
Alliance Medical Ministry Inc	http://www.alliancemedicalministry.org	(919) 250-3320	EIN 56-2168673	101 Donald Ross Dr	Raleigh	NC	27610	USA	Community Clinics, Health	To provide affordable primary medical care to low income, uninsured working families.				Provide medical services for uninsured low income individuals. A total of 243,574 was donated to the organization in the form of professional services (110,291)and lab work and mammography services from rex hospital(165,238).   provide medical services for uninsured low income individuals						
Raising Raiders	http://www.raisingraiders.org	757-897-7215	EIN 46-1828345	201C ALSTON BLVD  PMB #47	Hampstead	NC	28443	USA		Our mission is to support, encourage and develop the personal and professional resiliency of MARSOC families, while strengthening, developing and defining a sense of culture and unity within the MARSOC community.		the Families of MARSOC	Jacksonville NC	the Annual Raising Raiders Initiative and the Year Round Always Beside You Grant to assist MARSOC Families.	the Families of MARSOC by providing a DynaSplint,2 BP cuffs, 3D MSOB soccer jerseys,2D MSOB spouses kickball banner,2 "Mom's Night Out" events, gifts to Kids Club members on their special day, photos with Gunny Claus,3D MSOB softball jerseys, $3,000 to a schoolhouse for a fallen Raider's family,S.S. bracelets to Gold Star families,team dinner for a Celebration of Life,$4,399 for preschool,$1,159 for college tuition,$375 for CDA Boards,$400 for Boys and Girls Club and $115 for tennis lessons.					
Birthchoice	http://www.supportbirthchoice.org	919-781-5433	EIN 23-7170521	3820 Merton Drive Suite 219	Raleigh	NC	27609	USA	Civil Rights, Family Services for Adolescent Parents, Reproductive Rights, Right to Life, Women, Womens Rights	Birthchoice will provide help, hope, and education to any pregnant woman.  We believe it is the right of every child to be born.  Empowering Women to Make Informed Decisions			Raleigh to the Atlantic Coast							
Hands Across The Sea Inc	http://	(630) 440-7912	EIN 30-0393934	2324 Winding River Dr	Charlotte	NC	28214	USA		Promote humanitarian aid project				Because of the economy we cut way back and concentrated on veteran needs, liquidating printers donated from blockbusters						
Paws4People, Inc.	http://paws4people.org	910-632-0615	EIN 54-1948479	1121C-324 Military Cutoff Road	Wilmington	NC	28405	USA	Animal Training, Animals, Crime & Law, Military & Veterans Organizations, Public & Societal Benefit, Rehabilitation Services for Offenders, Veterans	Educating and empowering people to utilize Assistance Dogs to transform their lives.	paws4people has more than 500 highly trained Assistance Dogs providing support in areas such as mobility and psychiatric service, educational and rehabilitative assistance, and social therapy. Together, these Dogs have made more than 1,000,000 therapeutic contacts.	Veterans, Service Members, and their dependents, and civilians (children, adolescents, and adults) with physical, neurological,psychiatric, or emotional disabilities.	Nationwide	The paws4vets Assistance Dog Placement Program places Medical Alert Assistance Dogs-Psychiatric, Mobility Assistance Dogs ,and Specialized Partner Dogs with Veterans, Service Members, and military dependents living with physical, neurological, psychiatric, or emotional disabilities.						
Celebrate Life08	http://		EIN 27-1655222	2124 Thornfield Rd	Charlotte	NC	28217	USA	Breast Cancer											
Maiden Rosenwalt Community Development Corporation	http://		EIN 80-0251711	Po Box 834	Maiden	NC	28650	USA	Economic Development, Urban & Community Economic Development											
THE CROSSNORE SCHOOL	http://www.crossnoreschool.org	828-733-4305	EIN 56-0567980	PO Box 249 100 D A R Drive	Crossnore	NC	28616	USA	Adoption, Children & Youth, Children & Youth Services, Residential Care & Adult Day Programs	The Crossnore School's mission is to provide a Christian sanctuary of hope and healing where students in need rise above their circumstances and excel both in school and in life.		children from families in crisis	western North Carolina	residential group foster care, adoptions, and outpatient therapy/medications clinic.						
Carolina Waterfowl Rescue	http://www.carolinawaterfowlrescue.com		EIN 20-1938232	PO Box 1484	Indian Trail	NC	28079	USA	Animal Protection & Welfare, Animals, Veterinary Services, Wildlife Preservation & Protection	A. To provide a wild animal facility for the rescue, treatment, and release of sick, injured, and orphaned native wildlife and other waterfowl;  B. To educate the public about and to promote understanding of the local wildlife and their habitats;  C. To increase awareness of and appreciation for the value of wildlife and the environment, and to protect these natural resources.  D. To promote the highest standards in all activities of the wildlife rehabilitator profession;  E. To promote networking, communication, and cooperation among rehabilitators, wildlife organizations, and facilities on local, statewide, and national levels.										
