name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Programs	Target demographics	Direct beneficiaries per year	Geographic areas served
Community Senior Citizens Of Davenport	http://		EIN 45-0352440	Po Box 35	Davenport	ND	58021	USA							
Prairie Public Broadcasting, Inc.	http://www.prairiepublic.org	(701) 241-6900	EIN 45-0276899	207 N 5th St. PO Box 3240	Fargo	ND	58108	USA	Arts & Culture, Media & Communications, Radio, Television	Prairie Public Broadcasting, Inc., provides quality television, radio and public media services that educate, involve, and inspire the people of the prairie region.		In addition to a roster of PBS and NPR programs, Prairie Public is a leader in providing award-winning, locally produced programs including "Indian Pride," "Prairie Crosses," "Prairie Voices: Iron Crosses of the Great Plains," "Scandinavian Traditions," "The Old Red Trail," and other documentaries on the history and culture of the people of the prairie. Informative programs including "Old to New: Remodel, Restore, Revitalize" and "Stewards of the Land" examine the most important issues that face our prairie people. Television interview program "Prairie Pulse" and radio interview program "Hear It Now" provide in-depth discussions with newsmakers, authors, performers, and experts in politics, culture, arts, and education. "Red River Showcase" travels across the region to spotlight the interesting people and places of Manitoba, North Dakota, and Minnesota. Local music programs, including "Soundcheck" and "The Old Red Trail Concert," feature talented area musicians.The "Rural Meth Awareness Project" was a series of television and radio programs that examine issues of importance in the fight against methamphetamine. These programs serve a primarily rural audience comprised of 700,000 residents spread across the 85,000+ square mile coverage area of North Dakota, eastern Montana, north western Minnesota. We also serve the population of Winnipeg, Manitoba.			
Childrens Village-Family Service Foundation Inc	http://www.thevillagefamily.org	(701) 451-4900	EIN 45-6013464	Po Box 9859	Fargo	ND	58106	USA	Human Services	The children's village family service foundation exists to provide permanent support for the activities and programs of the village family service center.		The children's village foundation exists to provide permanent support for the activities and programs of the village family service center.			
Maple River Senior Citizens Inc	http://		EIN 45-0333647	221 3rd Ave	Enderlin	ND	58027	USA							
Women's International Bowling Congress, Inc.	http://		EIN 36-3360551	Hc 2 Box 14	Grenora	ND	58845	USA							
Rolette Ambulance Service Inc	http://	(701) 246-3817	EIN 45-0320710	Po Box 565	Rolette	ND	58366	USA	Emergency Medical Services & Transport, Health	Rolette ambulance service works in conjunction with the heart of america medical center of rugby north dakota to provide quality ambulance service for the community of rolette northe dakota and its surrounding rural area.		Ambulance service has met its goals using trained emts to supervise volunteers			
Northern Plains Ballet	http://		EIN 45-0450143	1125 E Main Ave	Bismarck	ND	58501	USA	Arts & Culture, Ballet						
Badlands Crime Stoppers Inc	http://		EIN 36-3407244	2475 State Ave N	Dickinson	ND	58601	USA	Children & Youth, Crime & Law, Crime & Legal-Related, Crime Prevention, Youth Violence Prevention	Founded in 1979, to promote the welfare of communites throughout the country and to lessen the burdens of federal, state and local governments by:					
Fine Arts Club Of Fargo	http://	(701) 235-6264	EIN 45-0237683	601 4th St S	Fargo	ND	58103	USA		The fine arts club is a membership organization based in philanthropy which creates an environment for learning. Study sections promote increased understanding of community and world issues.		The fine arts club is a membership organization based in philanthropy which creates an environment for learning. Study sections promote increased understanding of community and world issues.			
Nelson County Council On Aging	http://		EIN 51-0178282	Po Box 613	Mcville	ND	58254	USA	Human Services, Senior Centers, Seniors						
