name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Geographic areas served	Programs	Results	Direct beneficiaries per year
People Working Cooperatively, Inc.	http://www.pwchomerepairs.org	(513) 351-7921	EIN 31-0859104	4612 Paddock Rd	Cincinnati	OH	45229	USA	Home Improvement & Repairs, Homeless & Housing	Since 1975, People Working Cooperatively''s mission has been to perform essential repairs and services so that low-income homeowners can remain in their homes in a safe, secure environment. We are proud that our services help to protect the housing community in the Greater Cincinnati and Northern Kentucky areas, ensuring that at-risk homeowners can remain in their homes and live independently in a safe, sound environment.			PWC provides opportunities for members of the community to chip in and help us help the at risk community that we serve. We have 2 major volunteer events, Repair Affair and Prepare Affair; Second Chance Saturdays where school and business groups can come out to help with repairs, and we have retired individuals that help us year round.		
Budget Meals Inc	http://		EIN 27-1293758	67 Clairedan Dr	Powell	OH	43065	USA	Food, Nutrition						
Humane Society Of Richland County	http://	(419) 774-4795	EIN 34-6538966	3025 Park Ave W	Ontario	OH	44906	USA	Animal Protection & Welfare, Animals				Provide shelter and care for cats, dogs, ferrets, snakes, rabbits, birds, turtles, lizards, and any other animal brought to, or obtained by the humane society until an appropriate home can be found.		
Tecumseh Land Preservation Association	http://www.tecumsehlandtrust.org	(937) 767-9490	EIN 31-1313236	Po Box 417	Yellow Spgs	OH	45387	USA	Environment, Land Resources Conservation	To preserve agricultural land, natural areas, water resources and historic structures in voluntary cooperation with landowners, and to educate the public about permanent land conservation. Tecumseh land preservation association assists landowners in navigating state and federal easement programs, as well as accepting donated easements on farmland and natural areas.			To preserve agricultural land, natural areas, water resources and historic structures in voluntary cooperation with landowners, and to educate the public about permanent land conservation. Tecumseh land preservation association assists landowners in navigating state and federal easement programs, as well as accepting donated easements on farmland and natural areas.   related to core mission - preserving ecologically sensitive lands and conducting educational activities.		
Humane Society Of The Ohio Valley	http://www.hsov.org/	(740) 373-5959	EIN 31-4393873	90 Mount Tom Rd	Marietta	OH	45750	USA	Animal Protection & Welfare, Animals				Housing & care of stray, unwanted,abused and/or homeless animals  pickup of stray and/or injured animals and dog tags  disposal of deceased animals, spay & neuter of animals, veterinary care of animals and public education		
Equine Partners Unlimited Inc	http://		EIN 02-0683982	12097 State Route 38 Ne	Bloomingburg	OH	43106	USA	Centers to Support the Independence of Specific Populations						
Lima Symphony Orchestra Association Inc	http://www.limasymphony.com	(419) 222-5701	EIN 34-4465022	Po Box 1651	Lima	OH	45802	USA		Performance of music related programs for the public			Perform full orchestra concerts, chamber music, ensembles and special appearances of guest artists. Average attendance at all functions is 700 - 1,000 people.		
Fisher-Nightinale Houses	http://www.fnhi.org	(937) 257-0855	EIN 31-1313382	PO Box 33871	Wright Pat	OH	45433	USA	Homeless & Housing, Homeless Shelters	TO PROVIDE SHELTER AND SUPPORT TO FAMILIES AND OUTPATIENTS IN NEED OF TEMPORARY HOUSING DURING MEDICAL TREATMENT AT WRIGHT PATTERSON AIR FORCE BASE MEDICAL CENTER			The fisher / nightingale houses, inc (fnhi) is the nonprofit entity of the wright-patterson air force base fisher houses. When a family has to travel away from home for medical treatment, it is traumatic enough, not to mention compounding the situation with finding a place to stay, the potentially high costs for the place to stay and food, as well as the loneliness of a hotel room. Whether for a few days, a month or even a year, this situation can wear on a family, financially, emotionally and physically. For our servicemen and women and their families, that is where the fisher houses step up to the challenge. In the last 24 years, these houses have served thousands of families from all branches and components (active duty, guard, reserve, retired and veterans) of the military; over 1,110 families in 2014. Guests stay in the fisher houses at no expense; the fnhi raises money to reimburse the air force for the day to day operational expenses. The average length of stay of a family in the house is 11 days. Some guests stay only for a day or two while others stay for several months or more while receiving medical treatment at the wright patterson medical center (wpmc). The wright - patterson fisher houses provide an invaluable service to our military members and their families. Most guests come from a seven state area (ohio, kentucky, west virginia, michigan, indiana, illinois and wisconsin). However, there have been guests from all over the world staying at the fisher houses as the wpmc is the largest medical center in the air force and the largest military medical center in the midwest.		
Childrens International Summer Villages Inc	http://www.cisvusa.org	(513) 674-9242	EIN 31-0616471	9200 Montgomery Road 2nd Floor	Cincinnati	OH	45242	USA		Promoting world peace			Educational programs to further, foster, and promote world peace and understanding amoung children of different nations, cultures, races and religions		
Apostolic Team Ministries International	http://		EIN 34-1589103	529 N Walnut St	Celina	OH	45822	USA	International, International Relief						
