name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	 	
Goodland Inc	http://www.goodland.org		EIN 73-0619618	Po Box 1056	Hugo	OK	74743	USA	Children & Youth, Children & Youth Services, Group Homes, Human Services, Residential Care & Adult Day Programs	Our mission is to provide the best educational environment that meets the needs of today''s youth regardless of socio-economic status.	Programs include an individualized education program for youth grades K-12, a residential program structured according to a traditional family model and technical skills training for all students.						
Other Options, Inc.	http://www.otheroptionsokc.org	405-605-8020	EIN 73-1341319	3636 NW 51st St	Oklahoma City	OK	73112	USA	Food, Food Programs, Homeless & Housing, Housing Support, Human Services, Unknown	Other Options, Inc. Friends Food Pantry Mission Statement Our mission statement is focused on non-discriminating, compassionate care to those in need. The purpose of Other Options, Inc. is to provide food,  resources, services, and education to at-risk individuals and families with a focus on those affected by HIV and AIDS. The primary program at Other Options is the Friends Food Pantry which provides nutrient dense food, nutrition formula, and toiletries to over 1,200 adults and children able to shop monthly. A delivery program for homebound and bedfast individuals/families that provides food baskets and easy to prepare meals is also in place at Other Options. Other Options, Inc 3636 NW 51st St OKC, OK  73112 405-605-8020 405-948-6531 fax Mary Arbuckle Director  crspromo@coxinet.net www.otheroptionsokc.org	Friends Food Pantry  The primary program at Other Options is the Friends Food Pantry which provides nutrient dense food, nutrition formula, and toiletries to over 1,064 adults and children able to shop weekly. It is estimated that Other Options provides 21 meals(7 breakfast, 7 lunch, 7 dinners) per client number. These men, women, and children are living below the poverty level. At least one member of the family lives with HIV or AIDS.   The Food pantry shoppers are pre-qualified by other agencies in the HIV and AIDS fields. The majority of our food is purchased with grant funds at a bulk rate from the Oklahoma Regional Food Bank.  Hours of operation are Monday 4-6pm and Saturday 10am-Noon.    Home Delivery Program   A delivery program for homebound and bedfast individuals/families that provides food baskets and easy to prepare meals is also in place at Other Options. Currently, Other Options provides home deliveries to those individuals unable to shop at the Friends Food Pantry because their illness keeps them homebound. Without the ability to provide home deliveries and transportation to the Friends Food Pantry, many of these adults and children would go without proper food supplements. Home deliveries are made on Monday morning.  Nutritional Supplement/Vitamin  Program  Other Options, clients can apply to receive a weekly supply of  nutritional supplement at no cost, they must have a doctors referral to receive supplement.  Other Options carries a variety: Ensure, Boost, Nutren, Jevity and Glucerna.  Other Options, also keeps on hand prenatal vitamins and a complete vitamin.  Other Options tries our best to meet their nutritional needs.  The HOPWA Program  The HOPWA Program was established by HUD to address the specific needs of persons living with HIV/AIDS and their families. HOPWA makes grants to local communities, States, and nonprofit organizations for projects that benefit low income persons medically diagnosed with HIV/AIDS and their families.   Humanitarian Medication Program  Other Options, Inc. an Oklahoma City-based AIDS organization joined Dr. Andersons need to provide donated medications to varies clinics.    Other Options, Inc.  acts as the channel for the Program in the US.   Medications are sent to our office  from many areas in the US and Canada.   When the medications arrive they are carefully checked by health professionals, sorted, inventoried, packed and then shipped out to over 12 different countries.  Donated medicine has played a vital role in the health of many individuals.				Other Options serves the 405-580 area code		
Oklahoma Shakespearean Festival	http://www.oklahomashakes.com	(580) 760-0760	EIN 73-1150812	1405 N 4th Ave	Durant	OK	74701	USA	Arts & Culture, Theater	Summer theatre	Provide unique entertainment, innovation eduction, and economic benefit through presentation of shakespearean plays, other productions, and various forms of artistic expression for ages 6-adult.						
Friends Of The Anadarko Community Library Inc	http://		EIN 73-1399212	Po Box 714	Anadarko	OK	73005	USA	Federated Giving Programs, Philanthropy								
Sonshine Community Church Incorporated	http://		EIN 05-0588209	Po Box 542	Sulphur	OK	73086	USA	Christianity, Religion								
Pregnancy Testing And Guidance Center Of Grady County Inc	http://		EIN 73-1346184	Po Box 1911	Chickasha	OK	73023	USA	Family Planning, Health, Reproductive Rights								
Tower Of Faith World Missions	http://		EIN 73-1130256	Po Box 10159	Enid	OK	73706	USA	Christianity, Religion								
Love Link Ministries Inc	http://www.lovelinkministries.org	(405) 239-6219	EIN 73-1394635	Po Box 2023	Oklahoma City	OK	73101	USA	Food, Food Banks & Pantries, Human Services, Neighborhood Centers, Protestant, Religion, Thrift Shops	Love link ministries, inc. Seeks to reflect the transforming love of christ, alleviate poverty, and facilitate physical, emotional, and spiritual health.	Love-link ministries helps feed hungry people. The working poor, the unemployed, disabled, and senior citizens are our target populations. Those falling through the cracks, marginalized and trying to keep their heads above water. We work with men who have been discarded by family and society. We seek to empower people and give them control of their situations. We provide a food pantry for the hungry of the greater oklahoma city area. We have a very discounted thrift store to empower people to provide for themselves, take ownership in their belongings and participate in taking responsibiity for those belongings. We offer a sober-living program from men desiring to leave drugs and alcohol behind. It is based on honesty and group accountability. The men volunteer in our food pantry and thrift store while they become sober, work on schooling, or look for employment. We do random drug testing. Several of those men still stay in touch and are doing well.						
4-H Clubs Payne County	http://		EIN 52-1205880	606 S Husband	Stillwater	OK	74074	USA									
Oklahoma City Spirit Soccer Club Inc	http://		EIN 73-1364463	5624 Nw 103	Oklahoma City	OK	73162	USA	Children & Youth, Crime & Law, Youth Violence Prevention								
