name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year	Our goals are to:
BROOKINGS HARBOR EDUCATION FOUNDATION, INC	http://		EIN 20-2781996	PO Box 4292 745 1ST STREET	Brookings	OR	97415	USA	Education			CHILDREN'S ED TO 21 YEARS OF AGE	BROOKINGS, OR	WE HAVE GIVEN GRANTS TO: ROBOTICS, ARTS( INCLUDING MUSIC AND THEATER), MATH, SCIENCE, SPECIAL NEEDS.		
Dial-A-Bus of Benton County	http://dialabus.org	(541) 753-5746	EIN 26-4836268	4077 NW Research Way	Corvallis	OR	97333	USA	Transportation Assistance	-				Demand response service: volunteer drivers transport clients to destinations requested by clients.   contract service: drivers transport developmentally disabled clients to/from vocational workshops.   service between counties: the organization provides connecting round trips between benton and lincoln counties and benton and linn counties.		
Calvin's Hats	http://www.calvinshats.com	5035100417	EIN 27-3679198	Po Box 4723	Salem	OR	97302	USA	Human Service Organizations	Calvins Hats is a non-profit organization with a mission to provide hand knit hats for babies who are born too early to survive.	We've sent out over 300 hats just in the last 6 weeks!	bless families who have lost little ones	all areas of the world	tiny hats for babies born much too soon. These hats go to hospitals across the U.S. and individual families around the world.	thousands of families as they walked a difficult journey	
Amanda Center Of Southern Oregon	http://		EIN 93-1158209	1625 Camp Baker Rd	Phoenix	OR	97535	USA								
1p36 Deletion Support & Awareness	http://www.1p36dsa.org		EIN 26-4411797	906 NE Greenwood Ave. #1	Bend	OR	97701	USA	Birth Defects & Genetic Diseases, Health	To help individuals affected by chromosome 1p36 abnormalities overcome the obstacles they face to be able to lead healthy, happy and productive lives.			USA			
Fish Of Grants Pass Inc	http://		EIN 93-1042970	941 Ne Beacon Dr	Grants Pass	OR	97526	USA	Animals, Wildlife Preservation & Protection							
Conservation Leaders Network	http://www.conservationleaders.com	(541) 366-1117	EIN 91-1813310	Po Box 261	Port Orford	OR	97465	USA	Environment, Natural Resources Conservation & Protection	The primary purpose of the conservation leaders network is to work with county commissioners to protect america's natural resources. The organization was founded by a former county commissioner in 1996.				We continued to organize county officials to advocate for clean water nationally. We generated letters from county officials in a successful initiative to urge the obama administration to initiate the clean water guidance process and then gathered letters from county commissioners expressing support of clean water during the epa's public comment period. We hosted "local officials for clean water" receptions during the national association of counties' legislative conference in washington dc in march and annual conference in portland or in july. We initiated a clean water email alert to keep county officials members abreast of progress at the national level. We continued to work on marine conservation. We advocated to protect gray whales from wave energy facilities in oregon. We also solicited letters in support of ecosystem based management from coastal officials in wa, or and ca for the pacific fisheries management council. We worked on renewable energy on federal lands, generating letters to the department of interior regarding solar development on blm lands. We brought our "conservation makes sense" booth to the national association of counties' annual conference in portland or. We also worked with pro-environment members of the national association of counties public lands and environment, energy and land use committees. One accomplishment was helping to get a "good samaritan" resolution passed unanimously through both committees, which supports allowing volunteer efforts to clean up abandoned mines. We hosted "local officials for clean water" receptions with the national wildlife federation in march and oregon wild in july. Our newsletter, "networker", went from quarterly to monthly publication; we provided members with notices of funding opportunities for counties.		
Alagille Syndrome Alliance	http://www.alagille.org	503-885-0455	EIN 93-1243619	10500 Sw Starr Drive	Tualatin	OR	97062	USA	Digestive Diseases & Disorders, Health	We support families and individuals with ALGS, provide up to date information on ALGS to patients and their health care providers, and connect patients with research opportunities. We are building a better life with ALGS through advocacy, education and research.	In 2013 we will be funding research grants and working on  collaborating with our Medical Advisory Board on a patient registry, which will assist with research initiatives. We're hosting Family Education days in Boston, Seattle, and Kansas City or Omaha. Our ALGS in the Classroom booklet is being revised and we are compiling two FAQs - one on Questions for Specialists and one on Standard of Care. We continue to welcome new families to our organization and to maintain an active presence on Facebook.	Everyone with ALGS - infants, children, teens, young adults, adults... as well as their families, care givers, and health care providers.	Worldwide	We have a website at www.alagille.org with a wealth of information and links to helpful resources, as well as a bulletin board. We are on Facebook, Twitter and YouTube, publish a quarterly newsletter, and offer several helpful publications for families including a DVD on ALGS. Every three years we host a family conference, and in the years in between we host AGS Family Education Days.		
Environment Oregon Inc	http://		EIN 20-8786506	1536 Se 11th Ave Ste B	Portland	OR	97214	USA	Environment	We conduct independent research and tough-minded advocacy to win concrete results for our environment, especially when powerful interests stand in the way of environmental progress. We focus exclusively on protecting Oregon's air, water and open spaces. We speak out and take action at the local, state and national levels to improve the quality of our environment and our lives.						
Portland Burn Survivors, Inc	http://portlandburnsurvivors.org	503-688-7990	EIN 27-0285192	1327 SE Tacoma St # 146	Portland	OR	97202	USA		Portland Burn Survivors, Inc is a non profit devoted to helping burn survivors reconstruct happy and rewarding lives.						
