name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Emerging Leaders Program	Training Wheels -	After School Program -	Summer Program
Society for Contemporary Craft	http://www.contemporarycraft.org	412-261-7003	EIN 25-1375646	2100 Smallman Street	Pittsburgh	PA	15222	USA	Arts & Culture, Arts Education	To engage the public in the creative experience through contemporary craft.		SCC was established in 1971 by Elizabeth Rockwell Raphael to broaden opportunities for craft artists. Since moving to its Smallman Street location in 1986, the organization has presented 162 exhibitions featuring the work of more than 1,325 artists. SCC is one of the few arts organizations in Western Pennsylvania that is free of charge. SCC offers a variety of outreach programs through partnerships with social service agencies that address four target audiences: children at risk and their families, the homeless, literacy students and the elderly.							
Sustainable Pittsburgh	http://www.sustainablepittsburgh.org/	412-258-6642	EIN 20-3575951	425 Sixth Ave. Ste. 1335	Pittsburgh	PA	15219	USA	Environment	"Sustainable Pittsburgh affects decision-making in the Pittsburgh Region to integrate economic prosperity, social equity, and environmental quality bringing sustainable solutions to communities and businesses.	Policy advocacy - engage partners in developing sustainable development policy recommendations and build coalitions to organize for positive change (smart growth, fix it first, targeted investments, integrated infrastructure, equitable development). Gain rapport with key decision- making bodies and partner at the decision-making table. Sustainable development practice - assist communities and businesses to implement sustainable development practices with an eye toward demonstrating bottom-line benefits/wins and linking to sp's policy agenda. Civic engagement - demystify regional planning and investment processes and build capacity for diverse civic leaders to gain a seat at decision-making tables for local and regional planning and visioning. Educate - continue to innovate a wide range of means to reach civic leaders regarding sustainable development best practice and policy opportunities while growing the organization's network of partners and community leaders.	View our yearly accomplishments at our website sustainablepittsburgh.org	Decision makers	Citizens of SWPA; SWPA businesses	Southwest Pennsylvania				
Humane Society of Berks County Inc	http://www.berkshumane.org	(610) 921-2348	EIN 23-1384936	1801 N 11TH St	Reading	PA	19604	USA	Animal Protection & Welfare, Animals	SHELTER OPERATIONS - THE ORGANIZATION OFFERS TEMPORARY SHELTER TO ANIMALS IN NEED AND PROVIDES LOW COST ADOPTION SERVICES TO RESIDENTS OF BERKS COUNTY FOR ANIMALS	Shelter operations: the organization offers temporary shelter to animals in need, provides adoption services for animals, humane treatment of animals education and assists municipalities with stray and injured animals.   clinic operations: the organization provides a low cost spay and neuter clinic and veterinary services.   shelter support programs: assists other organizations with training,financial stability and operations.								
Citizenship Counts	http://www.citizenshipcounts.org	602-412-3242	EIN 26-3224709	201 S. 25th Street Suite 515	Philadelphia	PA	19103	USA	Children & Youth, Citizen Participation, International, International Human Rights, Youth Development - Citizenship	Our mission is to educate todays youth on the tenets of citizenship, encourage them to appreciate their rights and responsibilities as Americans, and give them an opportunity to celebrate citizenship by engaging in a naturalization ceremony or participating in a service-learning project.	Our multi-disciplinary curriculum provides a unique opportunity for students to support government agencies in the hosting of a community-based naturalization ceremony, held at their schools. This curriculum also helps students learn about the process of legal immigration and the rights of being a citizen in the United States of America.  Through our program, all citizens will have an opportunity to witness naturalization ceremonies in their communities. Attending these ceremonies will provide more Americans with a deeper understanding and acceptance of the role that legal immigration has played in creating our diverse and dynamic country. After the naturalization ceremony, we encourage new citizens to engage actively with students and members of their communities at a reception hosted by students.	Citizenship Counts has a national presence amongst educators. We've seen our curriculum and services used in schools in Buffalo, Orlando, Cincinnati, Denver, Omaha, Phoenix, Minneapolis/St. Paul, San Diego, Austin, Chicago, Pittsburgh, Philadelphia, Las Cruces, Tucson, Washington DC and New York City. Student and educator responses indicate strong student learning gains in the areas of civics and citizenship education.	We work to critically engage students in the immigration and citizenship process and encourage them to become  responsible, participatory and socially-just citizens who appreciate the benefits of living in a diverse, inclusive, democratic country.	We have reached students and teachers in over 35 states.	Public, charter, and private schools across the United States.				
Gift of Sunshine Inc	http://www.thegiftofsunshine.org	(610) 838-1900	EIN 27-0044072	PO Box 246	Center Valley	PA	18034	USA	Animals, Centers to Support the Independence of Specific Populations, Developmentally Disabled Centers, Disabilities, Health, Health Care	Our mission at The Gift of Sunshine is to help disabled men, women and children live their lives to their fullest despite the daily challenges they face.	The organization is responsible for training service dogs that will provide physical assistance to mobility impaired individuals								
Animal Friends	http://www.ThinkingOutsideTheCage.org	(412) 847-7000	EIN 25-0951565	562 Camp Horne Road	Pittsburgh	PA	15237	USA	Animal Protection & Welfare, Animal-Related, Animals	To ensure the well being of companion animals, while ending overpopulation, abuse and unwarranted euthanasia.	Our Low-Cost Spay and Neuter program performed 4,140 surgeries in 2008  bringing our total to over 40,000 spay/neuter surgeries since 1993.We work with low-income pet owners, feral cat colony caretakers and pit bull owners to spay or neuter pets that otherwise wouldnt be altered.With our new state of the art mobile clinic, we also travel to smaller partner organizations, where we have performed nearly 1,000 low-cost surgeries for adoptable animals from organizations including Fayette SPCA, Washington Area Humane Society, Clarion PAWS and Butler County Humane Society.Each year, Animal Friends must raise $392,000 to operate the Low-Cost Spay and Neuter Program and significantly impact pet overpopulation in our region.								
Animal Coalition of Delaware County	http://www.acdc.ws	610-876-1479	EIN 20-1278410	3553 W Chester Pike, #144	Newtown Square	PA	19073	USA	Animal Protection & Welfare, Animals	Run entirely by volunteers, the Animal Coalition of Delaware County (ACDC) is a non-profit animal rescue organization dedicated to rescuing and finding loving homes for homeless animals. ACDC also works to educate the public regarding the necessity of spaying and neutering pets, as well as encouraging the humane treatment of companion animals throughout Delaware County, the Main Line, and the surrounding areas.	Animals (dogs,cats & rabbits) that were either found or turned over to our organization were taken in by foster parents. The animals benefitted from the donations made to the organization by receiving the vet care they needed before being adopted out to permanent homes.	Since 2004, the Animal Coalition of Delaware County has found homes for more than 1,300 animals.			Delaware County and surrounding areas				
Union County Historical Society	http://www.unioncountyhistoricalsociety.org	(570) 524-8666	EIN 23-2136493	103 S 2nd St	Lewisburg	PA	17837	USA	Arts & Culture, Historical Organizations, Museums	Education & preservation of history	Renovation of historical building  further education of membership through newsletters, publications & annual banquet & monthly programs with historical speakers. Research of publications. Local history programs for union co. Schools & historical collections.								
Nine Mile Run Watershed Association Inc.	http://www.ninemilerun.org	412-371-8779	EIN 25-1894523	321 Pennwood Avenue Suite 202	Pittsburgh	PA	15221	USA	Environment	The mission of the Nine Mile Run Watershed Association is to ensure the restoration and protection of the Nine Mile Run watershed through citizen engagement, demonstration projects and advocacy. Since 2001, NMRWA has fostered environmental stewardship and provided communities and individuals with innovative solutions for stormwater management and other environmental challenges. Our programs complement the amazing transformation of Nine Mile Run and serve as models for other watersheds.	tree plantings, stream monitoring, Urban EcoStewards training, educational workshops, volunteer sessions with businesses and schools, rain barrel installations, rain gardens, trash removal from Nine Mile Run, and green infrastructure projects, such as the Rosedale Runoff Reduction Project (rosedalerain.com).		our urban environment		Pittsburgh's East End, Wilkinsburg, Swissvale, Edgewood				
Heavens Family	http://www.heavensfamily.org		EIN 16-1739329	Po Box 12854	Pittsburgh	PA	15241	USA	Christianity, Religion	Heaven's family is working around the world to meet very pressing needs of "the least of these" among christ's body in obedience to his words found in matthew 25:31-46	Leadership development - as every year, we printed tens of thousands of christian teaching books in the languages of christian leaders and distributed them within their countries. This division of our ministry is known as shepherd serve. For more information, see shepherdserve. Org.   orphan care - as every year, we provide food, clothing, school fees, shelter and christian nurture for at least 1,000 orphans and unwanted children in eight developing nations. We made great strides in a new initiative to promote kinship care and foster care among orphans we regularly assist. This division is known as orphan's tear. For more information, see orphanstear. Org.   relief and development - as every year, we met the pressing needs of the poor in many developing nations. This includes caring for widows, refugees, victims of natural disasters, orphans, lepers, drug addicts, the hungry, the thirsty, the ill and the handicapped. For more information, see heavensfamily. Org  providing humanitarian aid; supporting mission trips that provide aid and gospel outreach; and support services that are not able to be directly allocated to the above listed programs.								
Heroes Today	http://www.heroestoday.org	412.224.7207	EIN 26-1075032	P.O. Box 3948	Pittsburgh	PA	15230	USA	Family Services, Homeless & Housing, Homeless Centers, Housing Support, Military & Veterans Organizations, Veterans	Empowering veterans for sucess, by providing Excellence in service, with a Commitment to unwavering support.	Distressed Families of Iraq/Afghanistan veterans,  Intensive Homeless Veteran Outreach,  Veteran Career Empowerment Series,  Annual Veteran Appreciation Dinner	To date Heroes today has been able to effectively provide assistance to families of Iraq/Afghanistan era veterans, outreach to multiple homeless veterans and  successfully help them get the asssitance they needed to get off the street and also help currently serving soldiers, sailors, marines and airmen.	Pittsburgh, PA - Allegheny County	100	Allegheny County				
Safe Harbor of Chester County	http://www.SafeHarborofGWC.org	610-692-6550	EIN 23-2734615	20 N Matlack St	West Chester	PA	19380	USA	Domestic Violence, Family Violence Shelters, Homeless & Housing, Homeless Centers, Housing & Shelter, Human Services, Mental Health, Mental Health & Crisis Intervention	Safe Harbor of Greater West Chester is a non-profit charitable organization, whose mission is to provide shelter, food, counseling and recovery opportunities in a structured environment to homeless single men and homeless single women in Chester County PA. Safe Harbor''s goals go beyond just feeding the homeless and providing shelter. We seek to understand each person''s background, define short-term action plans designed to address their challenges and monitor their progress in rebuilding their lives, self-esteem, and moving to a more independent way of life.	Safe Harbor of Greater West Chester provides overnight accommodations for up to 20 men and 20 women, including a hot evening meal and breakfast, showers, laundry facilities, clothing and personnel hygiene supplies.  A professional and volunteer staff, provide friendship, encouragement and support.  Resources from collaborating agencies are used for providing: case management, intensive physical and/or emotional health treatment, substance abuse counseling and treatment, job training, high school equivalency certification, direction in job searches, housing and guidance in personal financial management.		homeless single men and homeless single women		Chester County, PA				
Travis Manion Foundation	http://www.TravisManion.org	215-348-9080	EIN 41-2237951	164 E State St	Doylestown	PA	18901	USA	Human Service Organizations, Military & Veterans Organizations, Philanthropy, Public Foundations, Veterans	Travis Manion Foundation (TMF) empowers veterans and families of fallen heroes to develop character in future generations. In 2007, 1stLt Travis Manion (USMC) was killed in Iraq while saving his wounded teammates. Today, Travis' legacy lives on in the words he spoke before leaving for his final deployment, "If Not Me, Then Who..." Guided by this mantra, veterans continue their service, develop strong relationships with their communities, and thrive in their post-military lives. As a result, communities prosper and the character of our nation's heroes live on in the next generation.	THE TRAVIS MANION FOUNDATION (TMF) EMPOWERS VETERANS AND THE FAMILIES OF FALLEN HEROES TO DEVELOP CHARACTER IN FUTURE GENERATIONS. IN 2007, 1ST LT TRAVIS MANION (USMC) WAS KILLED IN IRAQ WHILE SAVING HIS WOUNDED TEAMMATES. TODAY, TRAVIS LEGACY LIVES ON IN THE WORDS HE SPOKE BEFORE LEAVING FOR HIS FINAL DEPLOYMENT, IF NOT ME, THEN WHO		Veterans, families of the fallen, and our nation's youth.	150,000+ YOUNG ADULTS, 60,000+ VETERANS & SURVIVORS, and 4,000+ VOLUNTEERS	We are a national foundation.				
YoungLives Pittsburgh	http://younglivespittsburgh.younglife.org	419-377-1058	EIN 	501 Jefferson Road	Pittsburgh	PA	15235	USA	Children & Youth, Children & Youth Services, Civil Rights, Family Services for Adolescent Parents, Right to Life	YoungLives offers hope for a bright future to teen moms, believing these girls deserve to know that God has great plans for them. The heart of the YoungLives ministry is the building of one-on-one mentoring relationships between adult Christian women and teen moms. The bridge thats built through unconditional love, friendship, and practical help paves the way for mentors to share the message of Jesus Christ.	friendship, mentoring, faith studies, camping, practical help such as providing diapers & baby clothes	We took a national survey of over 2,000 of our teen moms, and we discovered that the longer teen moms are involved in YoungLives, the greater the impact on their self-esteem, parenting skills, graduation rates, sense of hope, sense of purpose, and faith. For instance, teen moms who are involved in YoungLives for two years or more are three times as likely to graduate from high school or earn their GED as girls who have been involved for less than two months - and 58% of teen moms report accepting Christ because of YoungLives (an additional 28% report that they accepted Christ outside of YoungLives). These statistics take into account girls' age and initial behaviors, so the outcomes can all be attributed to their involvement in YoungLives. It is so exciting to finally have the numbers to prove what we have known all along: YoungLives mentoring relationships + Jesus = life change!	pregnant and/or parenting teen girls	10 to 20 teen moms and their children	Pittsburgh and surrounding areas				
Artreach, Inc.	http://www.art-reach.org	215-568-2115	EIN 23-2836787	1819 Jfk Blvd., Suite 200	Philadelphia	PA	19103	USA	Arts & Culture, Arts, Culture & Humanities, Arts Education, Arts Services	Art-Reach is committed to increasing access to the arts for traditionally underserved audiences.  Art-Reach''s primary activities to overcome financial and physical barriers and make the arts more accessible to those it serves are: The Ticketing Program, which distributes donated and discounted tickets to performing arts events, museums, and other cultural institutions. The In-Facility Program, which brings the arts directly to our constituents through on-site performances and arts activities at participating agencies and schools. The Workshop Program, which provides in-depth, participatory arts programs that address specific social needs on an as-needed basis. The Access Guide, the region''s premier resource for structural and programmatic accessibility information about arts and cultural venues and organizations, available in printed form and online at www.art-reach.org.	Each program is sensitive to the individual and group needs of member agencies by making certain of accessibility issues and appropriateness of the performance/event for particular audiences.  People of all ages, economic backgrounds, races and physical capabilities are able to enjoy arts and cultural events, when they otherwise might not be able to partake in the richness of the arts. In keeping with its central mission to overcome financial obstacles in order to make the arts more accessible, Art-Reach works to keep costs low.  Our programs remain accessible to people with low incomes.  Ticketing and Museum Programs:Art-Reach obtains donated or significantly discounted performing arts and museum tickets for distribution to participating agencies and schools serving special-needs audiences. Art-Reach matches audience members with appropriate performances, which maximizes the experience for participants and maintains good relationships with our arts partners. Over the past 19 years, Art-Reach has obtained over 187,000 donated and discounted tickets from over 125 arts organizations and distributed them to human service agencies serving traditionally underserved audiences. The Ticketing Program averages over 30 events per month, including performances for children and adults and ranging from theater to dance to museum visits. We receive approximately 10,000 tickets annually through the Ticketing Program, which gives people of all ages, economic backgrounds, races and physical capabilities access to arts and cultural events that they otherwise would not get to experience; that explore current, socially relevant issues; and that reflect the best of this region's rich cultural community. In-Facility Program:The In-Facility Program offers member agencies and schools the unique experience of having arts events carefully tailored to their needs and brought directly to their agency. This offers special-needs audience members the opportunity to interact much more directly with artists and with the artistic medium itself. Since the program's inception in 1992, Art-Reach has coordinated over 1500 In-Facility performances to date, with an average of 21 performances per month.  Art-Reach has a roster of diverse performers that includes musicians, dancers, storyteller and visual artists who are experienced and dedicated to working with special needs audiences. We periodically make additions to the Roster of Performers in order to provide our participants with diverse arts opportunities.  Workshop Program:Our Workshop Program brings performing and visual artists into facilities serving disabled and disadvantaged audiences on an ongoing basis. Access Guide:Available in printed form and online at www.art-reach.org, the Access Guide is the region's premier resource for structural and programmatic accessibility information about arts and cultural venues and organizations. Art-Reach has completed the first expansion of the online Access Guide to include more cultural venues from southeastern Pennsylvania, southern New Jersey and Wilmington, Delaware. There are now approximately 140 arts venues and organizations listed in the online Access Guide. Each new venue received a site review of its facility from a professional ADA consultant and a listing on the online Guide that details its structural and programmatic accessibility. We plan to continue to update and expand the online Guide, updating 40 current listings and adding 10 new ones this year.	Over the past 23 years, Art-Reach has distributed over 213,000 donated and discounted tickets to people who would otherwise not have had the opportunity to experience the arts. Working with over 150 cultural organizations enables those we serve to experience theater and visit museums, gardens and historical sites across the region.  In addition, Art-Reach has a roster of over 50 artists who reflect all types of performing and visual arts specialties and a diverse range of cultural and ethnic traditions, who travel to human services agencies for on-site performances. Since 2000, Art-Reach has coordinated over 2,300 on-site performances, with an average of 16 events per month.	Art-Reach provides arts and cultural experiences to traditionally underserved audiences of all ages - individuals with economic disadvantages and/or disabilities.	17,000	Greater Philadelphia, Southern New Jersey, and Northern Delaware				
YouthWorks, a Program of Goodwill of Southwestern PA	http://www.youthworksinc.org	412-281-6629	EIN 25-1837560	401 Wood Street Suite 1500	Pittsburgh	PA	15222	USA	Education, Student Services		JumpStart Success (JSS) Curriculum YouthWorks' signature job readiness and career exploration training curriculum for teenagers and young adults.  Age Up, Not Out (AUNO) Job readiness training and career exploration services for young adults ages 18-25.  GoodGuides Mentoring Career mentoring for youth ages 12-17.  HIRE Me After-school career exploration program for high school students that runs during the school year.  HIRE Capstone employment experience for active YouthWorks program participants, including paid internship and employment opportunities with local companies and nonprofit organizations.   RISE Project 8-10 weeks of free vocational training in a variety of fields, leading to a pre-apprenticeship certification through the Home Builders Institute.	Since its inception in 1994, YouthWorks has served over 20,000 youth in the Pittsburgh region and serves 1,200 youth each year, providing them with critical career building experiences such as employment, job readiness training, job shadowing, career development workshops, and job tours.  YouthWorks also funds community-based organizations to hire youth while also providing training and professional development for youth serving agencies.	underserved youth (14-25) who want to find opportunities to enter the workforce and employers that want to hire young reliable workers with a strong work ethic and develop their pipeline of future workers.	1,000-1,500	Pittsburgh and its surrounding communities				
The Foundation for Enhancing Communities	http://www.tfec.org	717-236-5040	EIN 01-0564355	PO Box 678 200 N. 3rd Street, 8th Floor	Harrisburg	PA	17108-0678	USA		To stimulate philanthropy and enhance the quality of life in the community through accumulating, managing and disbursing financial assets, and to serve as a catalyst and neutral convener to meet a wide range of community needs in the south central Pennsylvania counties of Cumberland, Dauphin, Franklin, Lebanon and Perry, and also in the Dillsburg area.	See schedule o  see schedule o  see schedule o  various special projects which are administered by temporary project committees of the foundation.		General population		Northern York County - Dillsburg Area Dauphin County Perry County Franklin County Pennsylvania Lebanon County Cumberland County				
Centre Volunteers In Medicine (CVIM)	http://www.cvim.net	814-231-4043	EIN 25-1897969	2520 Green Tech Drive Suite D	State College	PA	16803	USA	Ambulatory & Primary Health Care, Community Health Systems, Health, Health Support	MISSION:  Centre Volunteers in Medicine (CVIM) will serve and advocate for the medically underserved residents of Centre County, Pennsylvania.  BACKGROUND:  CVIM is a free-standing, community-based, non-profit organization that has been providing free medical and dental care, medications, and case management services to uninsured residents of Centre County, PA since 2003.	(1) primary medical care (2) primary dental care (3) case management services (4) medication assistance program		Qualified patients are county residents with no insurance or government-based health coverage, and have household incomes at or below the 200% of the Federal Poverty Guidelines.	1186	Centre County, Pennsylvania				
