name	url	telephone	tax_num	street	locality	region	postcode	country	Mission	Geographic areas served	Causes	Results	Target demographics	Direct beneficiaries per year	Programs
Centro De Servicios Primarios De Sa Lud Inc	http://		EIN 66-0428922	Po Box 368	Florida	PR	00650	USA							
Hogar Cuna De San Cristobal Inc	http://		EIN 66-0479465	Private Mail Boxes 428 Hc-01	Caguas	PR	00725	USA			Child Abuse Prevention, Crime & Law, Domestic Violence				
Inter American University Of Puerto Rico	http://www.inter.edu	(787) 766-1912	EIN 66-0177776	Po Box 363255	San Juan	PR	00936	USA	The universidad interamericana de puerto rico, inc. Is a higher educationinstitution pursuing quality thru academic excellence with emphasis inthe formation of people with high standards, ethical and democraticallyvalues.		Education, Universities				During the 2013-14 fiscal year, the university provided educational services for over 44 thousand student on its eleven campus and it centers. Over six thousand educational degrees were granted in several fields ofstudies ranging from associates up to doctoral degrees, optometry degrees and law degrees.
Pro Viviendas Ii Inc	http://		EIN 66-0519279	Po Box 10563	San Juan	PR	00922	USA	To preserve affordable rental nousing for moderate ana low income families.		Homeless & Housing, Low-Income & Subsidized Rental Housing				
La Perla De Gran Precio Inc	http://		EIN 66-0489388	Urb Floral Park 64 Calle Gautier Be	San Juan	PR	00917	USA	HOME (HOUSING), HEALTH CARE & REHABILITATION OF HIV+WOMEN		Mental Health, Substance Abuse Treatment				
Mennonite General Hospital Inc	http://	(787) 535-1001	EIN 66-0219758	Po Box 1379	Aibonito	PR	00705	USA	Provide to the community integrated and excellent health care services in a warmth atmosphere, without discrimination of race, color, sex, religion, political belief, nationality, age or disability.		General Hospitals, Health				Patient care- the hospital provides general health care services to patients within its geographical location. Expenses include health care and general and administrative. Medical expense assistance- the hospital provides charity care without charge of an amount less than established ratios to patients who meet certain criteria. Charges forgone based on standard rates.   patient care- the hospital provides general health care services to patients within its geographical location. Expenses includes health care and general and administrative.
Iglesia Carismatica Bethel Inc	http://		EIN 66-0491958	Carr 132 Km 14 4 Bo Tallaboa Alta	Penuelas	PR	00624	USA							
Caribean Synod Of The Evangelical Lutheran Church In America	http://		EIN 66-0226500	Rd 693 Ste 1 Pmb 359	Dorado	PR	00646	USA							
Caribe Girl Scouts Council Inc	http://		EIN 66-0200470	500 Calle Elisa Colberg	San Juan	PR	00907	USA			Children & Youth, Girl Scouts of the U.S.A.				
Hogar Aurora Inc	http://		EIN 66-0586357	5 Calle Jazmin	Aibonito	PR	00705	USA			Homeless & Housing, Housing Development, Construction & Management				
Asociacion Fomento Educativo Inc	http://		EIN 66-0372757	A48 Calle A	Guaynabo	PR	00966	USA							
Sociedad Pro Hospital Del Nino	http://		EIN 66-0204707	Po Box 2124	San Juan	PR	00922	USA							
Centro Deambulantes Cristo Pobre Inc	http://		EIN 66-0574914	Po Box 334651	Ponce	PR	00733	USA			Human Service Organizations				
Egida Ryder Inc	http://	(787) 852-2798	EIN 66-0461792	Po Box 859	Humacao	PR	00792	USA	The entity operates a 55 unit apartment project for rent for the elderly.		Homeless & Housing, Senior Citizens Housing & Retirement Communities, Seniors				The company was organized as a non-proft organization under the law of the commonwealth of puerto rico. It operates a housing project for persons age 62 or older under section 202 of the national housing act of 1959 and regulated by hud. During tne year average percentage of occupancy was 92%
Iglesia Cristiana Carismatica De Levittown Inc	http://		EIN 66-0415750	Po Box 50445	Levittown	PR	00950	USA							
Association For Computing Machinery-Interamer University Of Pr San Germain	http://www.acm.org/		EIN 22-2763213	Dept Of Math Recinio De San Germain	San Germain		00683		Founded in 1947, ACM is the world's first educational and scientific computing society. Today, our members  over 80,000 computing professionals and students world-wide  and the public turn to ACM for authoritative publications, pioneering conferences, and visionary leadership for the new millennium.		Engineering & Technology, Science & Technology, Technology				
Mata Amritanandamayi Math	http://embracingtheworld.org/		EIN 	Parayakadavu Kollam District	Kerala		00690	India	The M.A. Math was founded by the renowned humanitarian leader, Sri Mata Amritanandamayi Devi (Amma). The M.A. Math exists to help alleviate the burden of the worlds poor through meeting each of their five basic needs: food, shelter, education, healthcare and livelihood. We believe that having these needs met is the fundamental right of any human being, and that it is the responsibility of each of us to strive hard to ensure that one day, every human being can live in dignity, safety, security and peace. We also believe that everyone - rich or poor - has the power to make a difference in the life of another, and that no selfless gesture is insignificant. Rather, it is the selfless actions we perform for one another that hold the keys to true peace - peace in the individual, peace in the community, and peace among diverse cultures, nations and faiths.	India					
Centros Sor Isolina Ferre Endowment Trust	http://		EIN 66-6012774	Po Box 362708	San Juan	PR	00936	USA			Named Trusts, Philanthropy				
Asociacion Puerto Rico Quena De Diabetes	http://		EIN 66-0442165	Po Box 19445	San Juan	PR	00910	USA	Diabetes prevention, control and education		Health, Specifically Named Diseases				
Centro Cultural Y De Servicios De Cantera Inc	http://		EIN 66-0390654	Po Box 7152	San Juan	PR	00916	USA							
Consejo De Salud De Puerto Rico Inc	http://	(787) 843-9393	EIN 66-0292961	Po Box 220273 53	Mercedita	PR	00715	USA	To provide primary health care services, specially to low income individuals and families, including agricultural workers in the municipalities of ponce, peuelas, juana diaz, villalba and other adjacent areas.						Primary health care program. The activity consists in providing health care services specially to low income individuals and families, including agricultural workers in the municipalities of ponce, peuelas, juana diaz and other adjacent areas.
El Programa De Enlace Y Servicio Comunitario De Aguadilla Inc	http://		EIN 66-0571609	Po Box 4820	Aguadilla	PR	00605	USA			Children & Youth, Youth Development Programs				
