name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Target demographics	Geographic areas served	Programs	Mission	Results	Direct beneficiaries per year
Friends Of The Warwick Animal Shelter	http://		EIN 05-0520691	Po Box 9285	Warwick	RI	02889	USA	Animal Protection & Welfare, Animals				To increase public awareness and support of the Warwick Animal Shelter; To establish and operate a nonprofit organization organized and operated exclusively for educational, charitable and scientific purposes within the meaning of Section 501(c)3 of the Internal Revenue Code; To eliminate companion animal overpopulation through support of spaying and neutering programs in the Shelter and in the community; To advocate for responsible pet ownership/guardianship; To cooperate with other humane organizations with similar goals; To promote and exchange ideas among its members and other civic groups; To do any other act or thing incidental to or connected with the foregoing purposes for any other lawful purpose.		
Pta Rhode Island Congress Watters Unit	http://		EIN 05-6034679	83 Dyer Ave	Riverside	RI	02915	USA							
Hope Funds For Cancer Research	http://www.hope-funds.org		EIN 20-5799367	174 Bellevue Ave Ste 208	Newport	RI	02840	USA	Cancer, Cancer Research, Health				The mission of the Hope Funds for Cancer Research is to encourage investigation of innovative cancer treatment and detection for the most difficult-to-treat and understudied cancers. The Hope Funds for Cancer Research will support scientific and medical research programs aimed at increasing knowledge relating to both cancer care and prevention. We will support programs we believe have the highest probability of success in addressing unmet medical needs, which we will determine by rigorous scientific and economic analysis.		
Senior Enlisted Academy Alumni Association Inc	http://		EIN 05-0466764	1269 Elliot St	Newport	RI	02841	USA	Alumni Associations, Education			To provide social and educational support to the senior enlisted academy staff and students.	To act as benefactors to the senior enlisted academy		
Hopkins Hill Road Fire Department	http://	(401) 821-6866	EIN 05-0426012	1 Bestwick Trl	Coventry	RI	02816	USA				The organization provides fire and rescue services	The organization provides fire and rescue services		
The Interfaith Community Dire Emergency Fund	http://	(401) 421-7833	EIN 22-2494282	C/o Fiscal Office One Cathedral Sq	Providence	RI	02903	USA	Emergency Assistance, Human Services			Fema emergency reimbursement assistance	The purpose of the fund is to assist low income residents through individual advocacy, research, and provide emergency assistance in response to a variety of basic human needs. The fund obtains its funding through the catholic charity fund appeal, donations from the general public and grants provided by the federal government.		
William S Miller Charitable Trust B	http://		EIN 36-6779698	Po Box 1802	Providence	RI	02901	USA	Named Trusts, Philanthropy						
Block Island Economic Development Foundation Inc	http://		EIN 22-2956223	Po Box 619	Block Island	RI	02807	USA							
Leadership Rhode Island Educational Foundation	http://www.leadershipri.org	(401) 273-1574	EIN 22-2570460	1570 Westminster St	Providence	RI	02909	USA	Leadership Development			Sessions- develop, sponsor & provide educational programs and information re: the political system, history, strengths, weaknesses, problems & issues relating to ri.   member services- provide information to members re: the political system, history, strengths, weaknesses, problems & issues relating to ri.   strengthfinder - a strength based leadership program to make a significant positive impact on employee engagement in the workplace, bolster the collective self-esteem of rhode islanders and make rhode island the first strengths-based state in the country.	To provide leaders and emerging leaders with knowledge and access to resources which will enable them to positively affect their communities.		
South County Integrated Rural Transit Services, Inc.	http://		EIN 05-0386939	625 Nooseneck Hill Rd.	Wyoming	RI	02898	USA	Human Services, Transportation Assistance						
Mae Foundation	http://www.themaefoundation.org	(401) 865-6019	EIN 20-0949122	430 Academy Ave	Providence	RI	02908	USA	Human Service Organizations			Direct patient navigation & cancer survivorship to 12 cancer patients	Provide navigation & survivorship services to cancer survivors		
Mabel Norman Cerio Tr Uw Fbo Norman Bird Sanctuary Fund	http://	(401) 846-2577	EIN 05-6005003	583 Third Beach Road	Middletown	RI	02842	USA	Animals			To provide funds for operation and preservation of the norman bird sanctuary	Preservation of wildlife sanctuary		
Korean Association Of Rhode Island	http://www.rikorean.org	(401) 451-8518	EIN 05-0384058	Po Box 9142	Providence	RI	02940	USA				Promoting social welfare of the korean-american community  educating the korean-american community and improving their literacy skills	Promoting welfare of koreans		
Jewish Community Center Inc	http://www.jccri.org	(401) 861-8800	EIN 05-0258887	401 Elmgrove Avenue	Providence	RI	02906	USA	Human Services, Neighborhood Centers			Early childhood program services infants, toddler and pre-school age children ranging in age from 3 months to 5 years old. Our program is naeyc accredited and provides informal learning to develop language, physical and social skills.   children & youth (ages 6 - 17) offers after-school, school vacation and summer camp programs as well as a full range of enrichment activities and classes. The program provides opportunities to develop social and academic skills while creating a positive self-esteem in a safe setting.   our health, fitness and aquatics program provides diverse opportunities for people of all ages to improve their physical well-being through fitness and recreational activities in safe settings.   adult and senior adult program provides opportunities for self- expression through special interest classes (i. E. Health, maintenance & holocaust memorial museum).	Provide educational, social, cultural, recreational and health activities for preschoolers through senior adults, principally to individuals who live and/or work in the greater rhode island area.		
John P Burke Memorial Fund	http://www.burkefund.org	(401) 272-1350	EIN 05-6008795	One Button Hole Drive No 2	Providence	RI	02909	USA	Education, Scholarships, Scholarships & Student Financial Aid			College scholarships	Provide college scholarships to deserving students who have been associated with the sport of golf through employment at local golf courses.		
Compass School	http://compassschool.org	(401) 788-8322	EIN 75-3056013	537 Old North Rd	Kingston	RI	02881	USA	Charter Schools, Education			The organization is a charter school offering elementary education forstudents in grades kindergarten through eight.	The organization is a charter school offering education for studentskindergarten through the 8th grade.		
Be The Change Sunday Meal	http://www.btcsundaymeal.com		EIN 81-1264257	10 Brookside Ave	West Warwick	RI	02893	USA	Congregate Meals, Food, Food, Agriculture & Nutrition, Food Banks & Pantries, Food Programs	the homeless, impoversihed, and seniors	West Warwick and surrounding communities	providing a Sunday meal, toiletries, food, clothing, coats and socks, a Christmas program, and school supplies.	With the help of the community we serve a Sunday meal, collect and distribute items of need such as  toiletries, coats, socks, non perishable food to help people living on the streets, and the impoverished who are just making ends meet in the community and surrounding areas.		
Landmark Health Systems Inc	http://		EIN 22-2953008	196 Cass Ave	Woonsocket	RI	02895	USA	General Hospitals, Health				THE CHARITABLE PURPOSE OF LANDMARK HEALTH SYSTEMS, INC. IS TO ORGANIZE AND MANAGE AN INTEGRATED HEALTHCARE DELIVERY SYSTEM THAT PROVIDES HEALTH AND HUMAN SERVICES TO RESIDENTS OF NORTHERN RHODE ISLAND AND NEARBY MASSACHUSETTS, WITH THE HIGHEST ETHICAL AND QUALITY STANDARDS AND TO CARE FOR ALL PATIENTS WITH INTEGRITY AND PASSION.		
Wile Memorial Fund Trust	http://	(888) 866-3275	EIN 16-6055100	Po Box 1802	Providence	RI	02901	USA	Named Trusts, Philanthropy						
