name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs
New Life Ministries Of Hampton Incorporated	http://		EIN 57-0786780	Po Box 888	Varnville	SC	29944	USA							
Coastal Rapid Public Transit Authority, Inc.	http://		EIN 57-0761460	1418 Third Avenue	Conway	SC	29526	USA	Public Transportation Systems						
Pet Helpers Inc	http://www.pethelpers.org	(843) 795-1110	EIN 57-0802283	1447 Folly Road	Charleston	SC	29412	USA	Animal Protection & Welfare, Animals	We are dedicated to ending the senseless euthanasia of all adoptable dogs and cats by providing a safe, loving environment for them until they are adopted, providing the pulic with financial assistance for spay/neuter and emergency medical care, participating in humane education programs and preserving the welfare and rights of animals by pursuing animal cruelty prosecution and initiating animal welfare legislation.					Pet rescue, shelter, adoption and pursue legal action for cruelty to animals.   low cost spay and neuter services for public.
American Industrial Arts Student Association Booster Club Inc	http://		EIN 57-0823104	100 Rowe St	Duncan	SC	29334	USA							
Programs For Exceptional People	http://www.pephhi.org	(843) 681-8413	EIN 57-1036680	10 Oak Park Drive Bldg C-1 Box 2	Hilton Head Island	SC	29926	USA	Developmentally Disabled Centers, Disabilities, Down Syndrome Research, Health, Job Training, Sheltered Employment	The mission of programs for exceptional people is to empower adults with special needs in southern beaufort county by promoting independence and offering opportunities for social growth and maturity.					The mission of programs for exceptional people is to empower adults with special needs in southern beaufort county by promoting independence and offering opportunities for social growth and maturity.
Iwag Puppy Rescue Inc	http://		EIN 46-3607441	4340 Big Barn Dr Ste 101	Little River	SC	29566	USA	Animal-Related, Animals						
We Have Come This Far by Faith Angels With Special Needs	http://www.angelswithspecialneeds.org	803-419-5136	EIN 05-0602697	PO Box 25555	Columbia	SC	29224	USA	Children & Youth, Civil Rights, Recreational Clubs, Sports, Youth Development Programs	Our Mission is to enrich the quality of life for severely disabled children and their families by way of helping to provide opportunities of inclusion to recreational activities and advocate for their rights to greater inclusion and acceptance in recreational and socialization activity programs in their communities and every facet of society. We focus on the entire family as a unit and not just the disabled children.  Purpose Our Purpose primary is to provide cost-free opportunities of inclusion to year-round recreational and socialization activities, and advocate for greater acceptance of all disabled persons in every fact of society.	We have spent a lot of time this year fundraising to help provide funds to families of severely disabled children for inclusion to year-round recreational activities and respite care.	Low income severely disabled children and youth in the Columbia, South Carolina area between 6-19 years old.			
New Beginnings Shepherd Rescue	http://		EIN 68-0655252	6461 Old State Rd	Holly Hill	SC	29059	USA	Animal Protection & Welfare, Animals						
Mercy Care	http://www.mercyhospice.org	(843) 347-5500	EIN 58-2354948	PO Box 50640	Myrtle Beach	SC	29579	USA	Hospices, Human Services						a bi-annual childrens day camp to foster support and teach children and adolescents to cope with their grief.
Victory Point Iglesia Hispana	http://		EIN 57-0990191	3109 Leaphart Rd	West Columbia	SC	29169	USA							
Flock Together Bird Rescue Inc	http://		EIN 54-2075644	6 Sandy Hollow Rd	Windsor	SC	29856	USA	Animals, Bird Sanctuaries						
Christians Fellowship Outreach Ministries	http://		EIN 57-0824856	Po Box 1982	Columbia	SC	29202	USA							
Partners For A Better Community	http://		EIN 51-0534871	1485 Remount Rd	N Charleston	SC	29406	USA	Neighborhood Centers						
Faith Fund Tr Of The First Baptist Church Of Greenville S Carolina	http://		EIN 57-0962687	847 Cleveland St	Greenville	SC	29601	USA							
