name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs
Lennox Life Enrichment For The Elderly Committee Inc	http://		EIN 46-0371819	519 S Main St	Lennox	SD	57039	USA							
Sertoma International Sponsorship Fund	http://		EIN 46-0443328	PO Box 88657	Sioux Falls	SD	57109	USA							
Region Viii Head Start Association	http://		EIN 83-0299842	44035 107th St	Veblen	SD	57270	USA		The association coordinates meetings and travel for the association members to regional and national meetings regarding head start activities.					Regional & national meetings  regional & national meetings
Rapid City Sister City Partnership Association Incorporated	http://		EIN 46-0433812	Po Box 9672	Rapid City	SD	57709	USA	Arts & Culture, Cultural & Ethnic Awareness						
La Leche League Of Mn-Dakotas	http://www.lalecheleague.org/		EIN 46-0436894	Box 107	Rosholt	SD	57260	USA	Health, Health Care	To help mothers worldwide to breastfeed through mother-to-mother support, encouragement, information and education, and to promote a better understanding of breastfeeding as an important element in the healthy development of the baby and the mother.					
Working Against Violence Inc	http://wavi.org	(605) 341-3292	EIN 46-0355127	527 Quincy St	Rapid City	SD	57701	USA		The organization works to create a community free of domestic abuse and sexual assault through advocacy, education, and support services.					Shelter: provide temporary, emergency, safe shelter to victims of domestic violence and sexual assault. Services include: meals, personal care items, transportation, safety planning, children's needs, information and referrals, emergency financial assistance, emotional support, support groups and community partner referrals/education (financial planning and management, health and nutrition). Domestic violence: provide comprehensive case management services, such as referrals, education, emergency financial and needs assistance, and personalized action and safety plans to victims of domestic violence and sexual assault. Provide 24 hour emergency telephone support and provide trained advocates and volunteers to respond to emergency room calls. Wavi provided numberous services to 2,011 victims of domestic violence and assisted with 50 temporary protection orders in 2014. Sexual assault: provide comprehensive case management services, such as referrals, education, emergency financial and needs assistance and personalized action and safety plans to victims of sexual assault. Provide 24 hour emergency telephone support and provide trained advocates and volunteers to respond to emergency room calls. Wavi provided numerous services to 76 victims of sexual assault in 2014. Wavi provided a total of 30,592 services in 2014 and received 1,568 crisis calls on the domestic violence and sexual assault crisis lines in 2014.
Weskota Foundation	http://		EIN 46-0415751	604 1st St Ne	Wessingtn Spg	SD	57382	USA	Federated Giving Programs, Philanthropy						
International Society For The Protection Of Mustangs & Burros	http://www.ispmb.org		EIN 94-6169422	Po Box 55	Lantry	SD	57636	USA		The organization's mission is to protect, preserve and understand wild horses and burros as well as their habitat. (see schedule o number 5 for more detail)					The organization's goal is to prevent the elimination of unique herds and to find a solution that would help to raise the public's awareness of the need to protect wild horses and burros on public lands. At present, the organization is creating a model management program for wild horses in our country and currently manages four unique wild horse herds - the virginia range herd, the white sands herd, the gila herd, and the catnip herd. The organization also manages a partial herd which contains nine west douglas stallions and one mare. The white sands and gila herds are endangered and exist nowhere else but with the organization and the catnip herd is threatened and may not exist in the next few years. The virginia range horses were previously given to the cheyenne river sioux tribe to manage on their land; however, the herd (100 horses) was returned to the organization by the tribe when they could no longer keep the animals in a conservation program.
Local Indian Education Inc	http://		EIN 46-0349116	P.O. Box 130	Rosebud	SD	57570	USA	Education						
Westhills Village Foundation	http://www.westhillsvillage.com	(605) 342-0255	EIN 36-3634283	255 Texas St	Rapid City	SD	57701	USA		To carry out and further the purposes of the presbyterian retirement village of rapid city, sd.					Support provided to presbyterian retirement village of rapid city, sd
Right Turn Inc	http://www.therightturn.org	(605) 773-4755	EIN 46-0426838	124 E Dakota Ave	Pierre	SD	57501	USA	Employment Preparation & Procurement, Job Training	Provide education and employment counseling					Early childhood enrichment programs: 659 free child safety seats distributed, 3,994 free books distributed through medical clinics throughout the region, 77 early childhood classes for 514 participants and 12 parenting classes for 41 participants.   adult education and literacy program: 151 basic adult education students, 35 ged graduates, 165 received employment entry services and 12 cpr/1st aid classes for 47 participants.
Bhw Resiential Services Ii Inc	http://www.bhws.com	(605) 343-4550	EIN 36-3297912	Po Box 2104	Rapid City	SD	57709	USA		Provide low-income housing for individuals with mental and/or physical handicaps.					Low-income housing provided to individuals with mental and/or physical handicaps (22 apartments).
Evangelical Lutheran Church In America	http://		EIN 46-0374939	Po Box 168	Volin	SD	57072	USA							
Rolland School	http://		EIN 48-0360082	48088 210th St	White	SD	57276	USA	Education, Elementary & Secondary Schools, Literacy						
Yankton Area Senior Citizens Center Inc	http://yanktonseniorcenter.org	(605) 665-4685	EIN 46-0309709	900 Whiting Dr	Yankton	SD	57078	USA		The mission of yscc is to respond to the ever-changing needs of seniors and their families, to affect in positive ways their quality of life and to assist in maintaining their independence.					Senior center activities and programs include bingo, card games, sewing, crafts, woodworking, exercise, musical activities, painting, educational & entertaining programs.   nutrition for the elderly. Average daily participation is approximately 195 units of service.
Horizon Health Care Inc	http://www.horizonhealthcare.org	(605) 772-4128	EIN 46-0341255	109 N Main St	Howard	SD	57349	USA	Community Clinics, Health						Horizon health care, inc. Is a rural community health center providing medical services to rural communities in south dakota. Horizon health care consists of 17 clinics located throughout south dakota. They serve approximately 18,000 patients.   office of rural health policy (orhp) - funds focused on the further development of the prairie health information technology network allowing partner locations to support shared administrative and technology services; increasing their efficiency and improving the quality of health care they provide.
St John Lutheran Church	http://		EIN 46-6026387	Po Box 295	Montrose	SD	57048	USA							
Brown County 4-H 4-Ever Inc	http://		EIN 46-0431482	1019 1st Ave Se	Aberdeen	SD	57401	USA	Children & Youth, Youth Development - Agricultural						
Women's Aglow Fellowship	http://www.aglow.org/		EIN 46-0377532	417 Adams St	Winner	SD	57580	USA	Christianity, Religion	Aglow International is an intercultural transdenominational organization of Christian women with more than 3,500 fellowships in more than 151 nations. Our mission is to lead women to Jesus Christ and provide opportunity for Christian women to grow in their faith and minister to others. Aglow's vision to impact the lives of women worldwide is expressed in the strategic focuses of: Prayer, Evangelism, Relationship, and Reconciliation.					
South Dakota Speech Language & Hearing Assc	http://		EIN 46-0344604	Po Box 308	Sioux Falls	SD	57101	USA							
South Dakota Parent Connection	http://www.sdparent.org	(605) 361-3171	EIN 46-0385808	3701 W 49th St Ste 102	Sioux Falls	SD	57106	USA		Connecting families caring for children (birth to 26) with the full range of disabilities and special health care needs to information, training, and resources in an environment of support, hope and respect. This assistance can range from information and training to referrals or individualized assistance					South dakota parent connection, inc. , south dakota's only parent training and information center, has served the parents of children with disabilities and special health care needs for 30 years. South dakota is a state with vast rural/frontier regions and clustered urban populations on the east and west borders of the state. During the year ended september 30, 2014, the organization served more than 5,000 families and 5,000 professionals by providing training, information, referral, resource materials and technical assistance. A staff supported by peer navigator consultants deliver parent education and assistance statewide. In addition, south dakota parent connection provides a quarterly newsletter (3,400), semi-monthly e-digest (3,100), website (12,000 hits), performs outreach activities, and responds to individual requests for technical assistance from families and the professionals who work with their children.
