name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs
Lakeshore United Methodist Assembly	http://www.lakeshoreuma.com	731-584-6102	EIN 62-6002415	1458 Pilot Knob Road	Eva	TN	38333	USA		To offer ways for all to encounter life, love, and the God of grace.	The focus of  our fundraising efforts had been for Camp Scholarships and to retire the $540,000 deficient, and to start our $1,000,000 Campership endowment	Our main focus is West and Middle Tennessee and Western Kentucky. We have camps for children age 5 to 18.	The Direct Beneficiaries of Lakeshore are all of the people that we serve here at Lakeshore.		Camps, Scrapbook Retreat, Emmaus, Camp Bluebird, Confirmation Retreat.
Fairview Historical Association Inc	http://		EIN 26-0389669	7310 Old Nashville Rd	Fairview	TN	37062	USA	Arts & Culture, Historical Organizations						
Discover Life In America Inc	http://www.dlia.org	(865) 430-4757	EIN 62-1770910	1316 Cherokee Orchard Rd	Gatlinburg	TN	37738	USA	Environment, Environmental Education	Discover life in america will develop a model for research in biodiversity. Dlia will use this knowledge to develop and disseminate information to encourage the discovery, understanding, preservation, and enjoyment of natural resources.					Conducting a biodiversity research project in the great smoky mountains national park aimed at identifying and cataloging all species of life in the park including atbi web database and biodiversity boxes.
St Christopher Truckers Development & Relief Fund Inc	http://www.truckersfund.org	(865) 202-9428	EIN 26-1544498	Po Box 60763	Knoxville	TN	37930	USA	Health, Health Care	To provide assistance to professional truck drivers who are experiencing					The largest expenditure paid to beneficiaries for 2014 was for rent/mortgages  the second largest expenditure paid to beneficiaries for 2014 was for utilities  all other program expenses and items paid to beneficiaries in 2014
The Restoration House of East Tennessee	http://www.therestorationhouse.net	865-200-5406	EIN 20-5775672	8912 Town and Country Circle Suite 2	Knoxville	TN	37923	USA	Homeless & Housing, Single Parent Agencies, Temporary Housing	Helping to restore single mothers and their children back to God's good intent for their lives...	http://www.youtube.com/trhofeasttn2007#p/a/u/1/EEI1LMYudxk	Low-income single mother families with children under the age of 18 in the home	25	East Tennessee	Transformational Housing Team Mentoring Family Advocacy
Spiritual Assembly Of The Bahais Of Franklin	http://		EIN 62-1690619	2111 Quail Ct	Franklin	TN	37064	USA							
Cannon County Rescue Squad, Inc.	http://www.CannonCountyRescue.com	615-849-2730	EIN 62-1637420	618 Lehman St	Woodbury	TN	37190	USA	Disaster Aid, Search & Rescue Squads	Our primary mission is to deliver Rescue Services to the citizens of Cannon County.  The secondary mission of our organization is to provide disaster relief and support operations of our mutual partners in emergency services in Cannon, surrounding counties, and throughout the great State of Tennessee.		Motor Vehicle Collision Victims, Search and Rescue, and Disaster Response	Hundreds of Cannon County residents	Cannon County Tennessee	Vehicle Extrication (Jaws-of-Life), Land Search and Rescue, Animal Rescue, Vertical Rescue, Farm Rescue, Cave/Confined Space Rescue, Disaster Response, Adverse Weather Response, Community Outreach, and Emergency Service Training
Sports & Cultural Exchange International - SCEI	http://www.goscei.com	(931) 607-5103	EIN 95-6099028	PO Box 1000	Monteagle	TN	37356	USA		Our mission is to evangelize and disciple through short term mission outreaches using sports and other innovative platforms for God's glory.					To spread the gospel of jesus christ through short term missions using sports and other innovative platforms.
Alzheimer's Day Services of Memphis, Inc.	http://www.alzheimersdayservices.org	901-372-4585	EIN 62-1179871	3185 Hickory Hill Road	Memphis	TN	38115	USA	Alzheimers Disease, Health, Senior Centers, Seniors	The mission of the Alzheimer's Day Services of Memphis is to help persons with Alzheimer's disease and related disorders live their lives with dignity and respect while providing relief to their caregivers and support to their families.		persons with  Alzheimer's and other dementia-related illness		Memphis and the MidSouth	our therapeutic activities day programs that offers a safe, stimulating, and socializing daytime environment, while providing respite, education, encouragement and support to their caregivers and families.
Knox County Christian Womens Job Corp	http://ahandupforwomen.org	(865) 525-9696	EIN 62-1832091	Po Box 3216	Knoxville	TN	37927	USA	Philanthropy, Private Independent Foundations	Through the combination of classes, mentoring, networking, fellowship and spiritual development, to help women realize skills, self-sufficiency and faith to become what god intends them to be.					Provide mentoring and job skills training to equip women for life and employment and help them move from dependency to self sufficiency.
