name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Geographic areas served	Programs	Results	Direct beneficiaries per year	VISION: 	
Knowbility Inc	http://www.knowbility.org	(512) 527-3138	EIN 74-2902291	1033 La Posada Drive Suite 372	Austin	TX	78752	USA	Centers to Support the Independence of Specific Populations, Civil Rights, Disabilities, Disabled Persons Rights, Education, Human Services, Universities	Knowbility believes that everyone should have access to the technologies that are driving our society in education, employment, consumer and social activities.  In support of that belief, Knowbility promotes accessible information technology through training, advocacy and consulting services.We work in consultation and collaboration with schools, community technology centers, and with business and government agencies to ensure that people with disabilities are able to fully participate as producers and consumers in the information marketplace.			The Accessibility Internet Rally (AIR) program is a community collaboration that brings together the technology sector and the community of nonprofit organizations in cities throughout Texas. Knowbility recruits and trains technology professionals in how and why to make web sites that meet accessibility standards so that the sites can be used by everyone, including people with disabilities. Once trained by Knowbility, the web developer teams are matched to a local nonprofit organization. In one high energy work day, the teams build accessible web sites for the organization. Since 1998, the program has created hundreds of accessible nonprofit web sites, raised awareness of the access needs of millions of people with disabilities, improved the ability of web developers to build accessible online applications and sites, and created meaningful relationships between the tech sector and the nonprofit community.				
Peace Gospel International	http://peacegospel.org/	(713) 219-9971	EIN 76-0659778	6124 Highway 6 N Pmb 144	Houston	TX	77084	USA	Education	Through the development of small business enterprise, Peace Gospel International is empowering sustainable, native-led, mercy-based programs in Asia & Africa: caring for orphans, child trafficking victims, at-risk women and destitute children of the slums.	Orphans and widowed/destitute women	Africa/Asia/Asia Pacific	- Operate 10 orphanages in 6 nations, caring for 250+ orphans - Train 50+ widowed/destitute women in small business monthly -Educate/feed 60+ children from destitute/slum homes monthly -Operate a sex trafficking rehabilitation home in Kathmandu -Train 100s of Nepalis how to protect  themselves from traffickers -Provide fun-filled day camps, hot meals for 400+  children monthly -combat frequent power outages at our project locations with solar initiatives -support over 40 native staff members	Check out our blog to see how your donations are being used to educate orphans, empower widows, and undertake projects like installing water wells and solar panels http://www.peacegospel.org/stories/			
Family Place Inc	http://www.familyplace.org	214.559.2170	EIN 75-1590896	P.O. Box 7999 Suite	Dallas	TX	75209	USA	Child Day Care, Children & Youth, Domestic Violence, Family Violence Shelters, Homeless & Housing, Youth Development Programs	The mission of The Family Place is to eliminate family violence through intervention and proactive prevention, extensive community education, advocacy and assistance for victims and their families.			Hotline and Emergency Shelter Services The hotline, offers 24-hour crisis counseling, information and referral for victims of family violence. In 2005, we answered 6,699 hotline and crisis calls. The Family Place provides emergency shelter, counseling and emergency relief services for women and children victims of domestic violence at our Safe Campus. In 2005, we provided 25,552 service days. Transitional Housing The Family Place Supportive Living Program provides extended-stay apartments on our Safe Campus as well as subsidized housing, education, training and child care to give battered women the time and resources to build new, nonviolent lives. In 2005, we provided 32,123 service days. Child Development Center and After-school Services - This is the cornerstone of healing for fragile children. The Child Development Center at our Safe Campus provides a specialized curriculum for children five and under. By using a multidisciplined approach as well as understanding and recognizing the unique needs of traumatized children. In 2005, we provided 59,191 service hours. Outreach Services Clients who need services without shelter receive community-based group and individual counseling and support services at our Center for Women and Children, at our Metrocrest Help Center and in two offices in Dallas? largely African American Southern Sector. Our Latina Program addresses the specific needs of our Spanish-speaking clients. In 2005, we provided 13,029 service hours. Children's Services Through play therapy, group and individualized counseling, this program helps children in our residential and outreach programs learn to feel safe, to stay safe, and, most importantly, to stop hurting. In 2005, we provided 11,642 service hours. Faith and Liberty's Place - Trained professionals supervise visitation with non-custodial parents and provide monitored exchange to families in this safe, neutral, child-centered environment. Referrals come directly from the Dallas Family Courts, primarily from child custody cases in which one parent has a history of abusive behaviors toward the other parent and/or child. In 2005, we provided 3,272 service hours. Battering Intervention & Prevention Program (BIPP) -Abusers working to change their violent behavior access specialized group and individual counseling services at our Help Center/North Dallas. BIPP works closely with the criminal justice system to provide court-ordered counseling services to the community. In 2005, we provided 14,789 service hours. Youth Education and Prevention Services - Our comprehensive Youth Education and Prevention Services reach out to children and Youth, teaching them how to stop the cycle of violence through domestic violence education and leadership training. Programs include our Structured Education Program in middle and high schools, the Successful Treatment and Respect Together education and leadership program for adolescents, and a Bullyproof Program for elementary school students. Through these programs youth learn to maintain healthy relationships in every aspect of their lives. In 2005, we provided 25,939 education and service hours. Incest Recovery Services - The Family Place provides counseling for adult survivors of incest and childhood sexual abuse. In addition to core counseling services for adults, the Incest Recovery Program offers training for professionals and educational outreach about the problem of incest. In 2005, we provided 7,503 service hours.				
American Alzheimer's Research Oganization AARO Inc.	http://www.alzusa.org	888 242-4224	EIN 42-1735171	13423 Blanco Rd. #180	San Antonio	TX	78216	USA	Alzheimers Disease, Health, Neurology & Neuroscience Research, Technology	AARO has the exempt purpose to decrease suffering from Alzheimer's disease in America. There are things that can help people to age without developing memory loss, dementia, or Alzheimer's disease. Our work is to bring that information into more public awareness by providing information services that will help people learn what risk factors they may have that lead to developing Alzheimers disease. Through awareness and management of risk factors, results can be achieved that will decrease the number of people who actually develop Alzheimers disease, or at least delay the onset of the disease. The internet will be the primary means of providing this information to aging and at risk Americans.	prevent Alzheimer's disease	the United States of America	Knowledge is Prevention (KIP) that helps adults stay healthy as they age and avoid developing Alzheimer's disease.	We have helped hundreds of people to stay healthy and continue to live independently and enjoy life more by applying information from our KIP Program (Knowledge is Prevention).	hundreds of people by direct contact, coaching and training in healty living.		
Rescue Bank	http://www.rescuebank.org		EIN 83-0460930	2401 Fountain View Dr Ste 622	Houston	TX	77057	USA	Animal Protection & Welfare, Animals	Rescue bank supports animal rescue and rehabilitation groups by providing services and supplies that make them more self-reliant and improve their standards of care.			Pet food distribution: charitable organizations engaged in animal rescue and rehabilitation received food products collected/purchased, stored and redistributed by rescue bank. Rescue bank is building a network of grocery and pet product manufacturers, distributors and retailers from whom surplus, damaged or late-dated goods can be solicited. The network is intended to serve both ongoing needs of rescue groups and be available for emergency response.   grants: charitable organizations engaged in animal rescue received cash grants for spay/neuter or other vet services. Charitable organizations engaged in animal rescue received cash grants for vet services and community outreach for dogs rescued from puppy mills and a "dumping ground" in houston.   operating supplies and equipment: several rescue organizations received office equipment, crates, carriers, towels, and other non-food items collected, stored and distributed by rescue bank. Rescue bank has an ongoing program for soliciting used and recycled items that can be used in the animal care or administrative operations of its clients.				
Amsha Africa Foundation	http://www.amshaafrica.org	972-746-1478	EIN 26-3259654	P.O. Box 798043	Dallas	TX	75379	USA	Community & Neighborhood Development, Economic Development, Environment, Human Services, International, International Relief	AmshaAfrica Foundation is determined to enhance the living standards andcommon good of people within some of the world''s poorest villages andslums in Africa by reducing chronic social concerns such as hunger,disease, illiteracy,unemployment, substandard housing, and poorsanitation.	Low income communities in Africa that live below the $2 a day threshold.		Water, Sanitation, & Hygiene (WASH) Program  Water, sanitation, and hygiene are all critical to reducing the burden of water-borne diseases. We work with a community based groups to find effective sanitation approaches that will contribute to a world where children and families lead healthier, more productive lives.  We aim to develop scalable business models and technologies capable of moving communities we work with from unsustainable to sustainable sanitation services across the sanitation value chain. We invest in technologies and methods for increasing sustainable access to clean water and hygiene.  Child Abuse Prevention Program   We work with our partner organization in an effort to stop child abuse and neglect and educate communities in Kenya. We support children who are forced to work for their survival and work with schools in Income Generating Activities to support children under situations that would lead to neglect and drop outs.  Our program helps create child protection teams within rural communities and helps create an organization of lawyers that offer free legal services to children whose rights have been violeted. We also participate in research activities on children's right, such as street children.  "Dear Friend" Pen Pal Program  The goal of the Dear Friend pen pal program is to sustain long-term, 1:1 relationships between as many pair of U.S. and Kenyan children as possible, and to help all participating children achieve literacy goals, heighten their cultural awareness, and feel the joy of knowing another child across the world cares about them.  This project will preserve the art of letter writing for our generation's children, teaching them to communicate well through the written word.	Our Water, Health, and Sanitation programs has reduced school dropouts significantly in areas that we serve since the high level of school dropout was directly related to water shortage since kids had to trek for miles to fetch water, with water availability, parents were able to ensure that their children attend school. Dropout rates reduced significantly in some communities and school attendance rates shot up to almost 100%.  Child Abuse Prevention Program Successes:  Amsha Africa Foundation has created an organization of  20 lawyers that offer free legal services to children whose rights have been violated in Kenya. These lawyers have successfully provided free legal services on 42 cases and have 120 cases that are being worked on.  Amsha Africa Foundation has worked with over 12 community based groups and helped create child protection teams within rural communities. These child protection teams have helped reduce child in some rural communities by over 95% according to our surveys.  The Foster care program has encouraged and facilitates foster carers to look after children in need. There are currently 6 foster cares that AAF has helped form and the success of the children taken in these foster homes has grown exponentially from their previous abusive homes.  Dear Friend Penpal Program Success: More than 200 children from the Kenya, the U.S., and Europe are currently participating in this program and from the surveys their supervising adults have provided, the program is extremely popular and successful. A number of children have significantly improved their cultural awareness and letter writing skills. A mother in the U.S. said that her 8 year old child wants to grow and join the peace corp and is now immensely interested in helping other under previledged children from Africa from the experience gained from this program	5,000		
Animal Guardians Of America	http://www.AnimalGuardians.com	(972) 398-2123	EIN 75-2804232	7000 Independence Pky 160 169	Plano	TX	75025	USA	Animal Protection & Welfare, Animal-Related, Animals	Founded in January 1999, Animal Guardians of America (AGA) is a nonprofit 501 (c) (3) educational organization offering support and information to the Dallas community on the issues of animal protection. The mission of AGA is to promote care, compassion and protection for all animals. This worthy organization directs its efforts towards the prevention of cruelty to animals.  It involves itself in educating the public on animal matters by distributing literature and holding workshops; by answering calls for help with animal problems, and by bringing attention to incidents involving animal cruelty.							
Heart Of Texas Spca Hotspca	http://		EIN 74-2956981	Po Box 691403	San Antonio	TX	78269	USA	Animal Protection & Welfare, Animals								
Achievement Center of Texas	http://www.achievementcenteroftexas.org	972-414-7700	EIN 75-1339397	2950 N Shiloh Rd	Garland	TX	75044	USA	Developmentally Disabled Centers, Disabilities, Human Service Organizations, Human Services, Job Training	The Achievement Center provides special needs day care, day habilitation (functional living skills training), arts exploration, educational assistance and community inclusion for children and adults with special needs to help them improve their quality of life.	children and adults with disabilities	Garland, Texas	Functional living skills training Exploring Special Arts Sensory Motor Training Early Childhood Education		140 students with special needs learn functional living skills for greater independance and a higher quality of life.		
Ecom Foundation For Development of Origin Resources	http://www.ecomfoundation.com	(214) 252.5351	EIN 01-0775179	13760 Noel Rd., Suite 500	Dallas	TX	75240	USA	International, International Development	The ECOM foundation is committed to providing a sustainable relationship to ensure the social, economic, health and environmental wellbeing of rural growers, their families and communities in underdeveloped countries.  United together, we can make a difference in their lives !	support the global soft commodity farming communities from a social, educational, and health perspective.	El Salvador, Guatemala, Mexico, Tanzania, Peru, Nicaragua, Kenya, Uganda, India, Madagascar, Papua New Guinea	ECOM Satellite Schools, Daisy School, Grounds for Health, Basic Needs, Educate!, Water Well Projects, Pueblo a Pueblo		children and adults in farming communities, women susceptible to cervical cancer		
