name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs
Ten Thousand Villages, Utah	http://saltlakecity.tenthousandvillages.com	(801)485-8827	EIN 87-0640518	1941 S 1100 E	Salt Lake Citv	UT	84106	USA	  Arts & Culture, Arts, Culture & Humanities	We provide vital income to entrepreneurial artisans and their families in developing areas of the world by marketing their handicrafts, telling their stories, and promoting economic justice through fair trade.	For every $2,000 spent at our store, an artisan entrepreneur and his or her family is supported for a year. So far in 2010, over 65 families around the world have been helped by the Salt Lake City store.				Volunteer Program Children's Cultural Program Fair Trade Coalition
BALLET WEST	http://www.balletwest.org	801-869-6900	EIN 87-0264274	50 West 200 South	Salt Lake Cty	UT	84101	USA	  Arts & Culture, Ballet	Ballet West inspires and empowers a broad community locally and globally through presentation, training and education in the art form of ballet.		entertain and excite audiences	505 year-round academy students and 1112,896 students, teachers, and community members through education and outreach programs	Utah and worldwide	great classical ballets, historical masterpieces, and new cutting-edge creations with the highest standards of artistic and professional excellence.
Salt Lake City Volunteers For Fire Prevention	http://		EIN 74-2425044	2398 North Temple	Salt Lake Cty	UT	84116	USA							
Big Brothers-Big Sisters Of Utah Inc	http://www.bbbsu.org	(801) 313-0303	EIN 87-0336168	2121 S State St Ste 201	Salt Lake Cty	UT	84115	USA	  Big Brothers & Big Sisters, Children & Youth, Education, Vocational & Technical Schools	Big brothers big sisters of utah's vision is that all children achieve success in life. Our mission is to provide children facing adversity with strong and enduring, professionally supported 1-to-1 relationships that change a child's life for the better, forever. 					We partner with parents/guardians, volunteers and others in the community and hold ourselves accountable for each child in our program achieving: o higher aspirations, greater confidence, and better relationships o avoidance of risky behaviors o educational success in 2014, big brothers big sisters of utah served more than 3,000 children, volunteers and families by providing and supporting 1,123 kids ages 6-17 with caring adult mentors. Big brothers big sisters of utah is focused on the safety, quality and sustainability of its mentoring relationships, and will continue to measure its impact on children, volunteers and families in the community. 
Nemelka Family Foundation	http://		EIN 74-2383104	899 S Artistic Cir	Springville	UT	84663	USA							
International Asso Res On Epstein Barr Virus & Asso Diseases Inc	http://		EIN 59-2821283	1359 E Perrys Hollow Rd	Salt Lake Cty	UT	84103	USA							
Bethel Chapel	http://		EIN 87-0461004	Po Box 1639	Vernal	UT	84078	USA							
Word Alive Family Church Inc	http://		EIN 87-0440422	4040 W 5085 S	Kearns	UT	84118	USA							
Deseret International Foundation	http://www.desint.org	801-687-9699	EIN 77-0222786	1282 E Cambridge Ct	Provo	UT	84604	USA	  Community Health Systems, Health, Philanthropy, Private Independent Foundations	 Focus on life altering medical debilities that can be easily remedied.  Develop in-country, local management to oversee permanent and year- roundprograms.  Use the local professionals  fusing humanitarian work with an improvement in medical capacity.  Make working with us easy  excess bureaucracy and paperwork will impede progress.  Provide the best care at the lowest achievable cost.  Promote volunteerism, and enthusiastically develop creative ways to leverage and finance operations (trade and barter).					We adapt to the needs of the country.
American Indian College Fund	http://		EIN 87-0458096	PO Box 16	Midway	UT	84049	USA							
Executive Women International Business Career Development Progra	http://		EIN 74-2456820	515 S 700 E Ste 2A	Salt Lake Cty	UT	84102	USA							
Sparta United Soccer Club	http://www.spartaunited.org	(801) 947-5897	EIN 87-0544692	1691 E 6670 S	Salt Lake Cty	UT	84121	USA	  Baseball & Softball, Sports	Provide the best soccer training in a positive atmosphere. Prepare the player to face the challenges of competition with dignity, humility and honor. Promote the values of hard work, determination and cooperation as necessary to achieve success in the game and in life. 					Provide professional coach and staff to train volunteer coaches in soccer rules and skills of the game who in turn coach and train the players. Provide affiliation with utah youth soccer association uysa, register teams in league competition, schedule playing fields, practices, games and furnish supplies, etc. Lines, 5-16, 22-24 of part ix  provide air fare and lodging for professionals and volumteer leaders to provide coaching and training at other3 tournaments and the nike summit a convention. Line 17, of part ix
Bluedove Foundation	http://		EIN 94-2928684	8804 S 1595 E	Sandy	UT	84093	USA							
VALLEY MENTAL HEALTH INC	http://www.vmh.com	801-263-1726	EIN 87-0533564	5965 South 900 East	Salt Lake Cty	UT	84121	USA	  Group Homes, Human Services	To obtain funds and property by gift, bequest or devise, or by other fund- raising acivities, and will invest and reinvest the same and apply the income and principal thereof to carry out the mission of valley mental health, inc. , an exempt organization			18,000	Intermountain West	Expenses were incurred to provide housing and other services for the mentally ill.   expenses were incurred to provide services for autistic individuals. 
Music Makes Music	http://		EIN 27-1356991	2719 S Beverly St	Salt Lake Cty	UT	84106	USA	  Education						
International Church Of The Foursquare Gospel	http://		EIN 94-3198934	1010 S 400 E	Salt Lake Cty	UT	84111	USA							
Burma Humanitarian Mission	http://burmamission.org	435-487-9244	EIN 26-3268421	3395 E Deer Hollow Circle	Sandy	UT	84092	USA	  Centers to Support the Independence of Specific Populations	Burma Humanitarian Mission supports community-based healthcare and education projects that improve the lives of the children of Burma and their communities.  We empower people around the world to exercise their health to advocate for a healthy and vibrant Burma where the human rights of all people are honored.    	BHM will provide over one million doses of medicine in 2012.  We estimate that with every two dollars spent on our medical programs one life is saved.  	Villagers in eastern Burma, particularly children under 17	50,000+ people for medical programs, 500,000+ for education programs	eastern Burma, western Thailand	Backpack Health Worker training Medicines & supplies for mobile medic teams Medicines & supplies for fixed clinics Supporting the education of refugee & migrant youth from Burma Empowering youth leadership Empowering refugee communities in the US Advocating for the ethnic minorities of Burma Empowering at risk girls to stay free of the sex and drug trade Enabling people in the US to  exercise their health while advocating for the peoples of Burma
Brown Blair Research Corp.	http://		EIN 87-0337212	1185 N 1699 E	Logan	UT	84321	USA							
Evangelical Lutheran Church In America	http://		EIN 87-0242854	175 S 700 E	Salt Lake Cty	UT	84102	USA							
Catholic Foundation Of Utah	http://www.dioslc.org/foundation	(801) 328-8641	EIN 87-0519551	27 C Street	Salt Lake City	UT	84103	USA	  Philanthropy, Public Foundations	Promotes the strength and viability of the catholic diocese of salt lake city					The catholic foundation of utah is organized to service the current and long-term needs of the roman catholic church, parish communities and church agencies and programs. The foundation will help educate and train new priests and religious leaders, supplement school salaries and tuition costs, purchase land and buildings and anchor poor and rural parish communities. 
