name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Results
Tree Farm Management Group	http://		EIN 30-0093292	Po Box 8436	Essex Junction	VT	05451	USA	Camps, Sports	Management of Public Recreational Facility.					
Tinmouth Land Trust Inc	http://		EIN 22-2948279	123 Upper Gulf Rd	Middletwn Spg	VT	05757	USA							
New England Tropical Conservatory Inc	http://www.oneworldconservationcenter.org	(802) 447-7419	EIN 04-3140998	Po Box 4715	Bennington	VT	05201	USA	Environment, Natural Resources Conservation & Protection	New england tropical conservatory (d/b/a the one world conservation center) is actively engaged in broad-based education and research pursuits, focused on its local ecosystems, their biodiversity, preservation and role in promoting a sustainable world environment.				Local services offered at netc's one world conservation center: seminars, workshops and lectures for adults: 325 persons children's programs: 600 persons norman & selma greenberg conservation reserve, 96 acre nature preserve with trails and interpretive materials: 3,300 persons school programs, learning modules to help junior high students gain observation and inquiry skills initiates: 12 teachers served.	
Vermont Association For Family & Community Education Inc	http://		EIN 03-6013174	PO Box 158	E Middlebury	VT	05740	USA							
Change The World Kids Inc	http://	(802) 457-2622	EIN 03-0531488	1046 Atwood Ln	Woodstock	VT	05091	USA	Children & Youth, Youth Development Programs	Education				Conservation programming	
Westminister Sandlot League	http://		EIN 03-0345599	24 James Rd	Putney	VT	05346	USA	Baseball & Softball, Sports						
The Champlain Adaptive Mounted Program	http://www.vtchamp.org	(802) 372-4087	EIN 22-2856443	57 E Shore Rd	South Hero	VT	05486	USA		To provide therapeutic recreational horseback riding lessons for individuals with physical, emotional and/or mental disabilities.				To provide horseback riding lessons to individuals with physical, emotional and/or mental disabilities.	
Upper Valley Waldorf School	http://www.uvws.org	(802) 296-2496	EIN 03-0312346	Po Box 709	Quechee	VT	05059	USA	Education, Primary & Elementary Schools	To cultivate a balance of intellectual achievement, spiritual growth, physical development, and personal responsibility through a classical education that reflects an understanding of the growing child.				The school continued to cultivate a balance of intellectuall achievement, spiritual growth, physical development, and personal responsibility through a classical education that reflects an understanding of the growing child. The organization had 155 students in pre-k through grade 8 enrolled in the program.	
Essex Community Museum Society, Inc.	http://		EIN 23-7354331	51 Park Street	Essex Jct	VT	05452	USA	Art Museums, Arts & Culture						
Lukanas Dream Company	http://		EIN 20-3094192	Po Box 17	Bethel	VT	05032	USA	AIDS, Health						
