name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs
WOMEN'S COALITION OF ST CROIX INC	http://www.wcstx.org	340-773-9272	EIN 66-0392626	45 Fisher Street	Christiansted	VI	00820	USA	Unknown	The Women's Coalition of St. Croix provides advocacy, programs and services to end all forms of violence and oppression by promoting equality for all.	-We graduated 43 students with high school diplomas from Project Link since its inception two years ago. -The "Brick Buy Brick" campaign was begun by a volunteer to encourage community support to rebuild our fire-damaged building. We have raised over $6,000 so far this year. -Our Transitional Housing Program has assisted 16 survivors and their children to complete the program and obtain to permanent housing	all victims of crime; victims/survivors of domestic violence, sexual assault, dating violence and stalking women and their children; families in need of emergency food, rent or utility assistance; neighborhood children, high school dropouts	2400	St. Croix, USVI	Transitional Housing Program - survivors are provided with rental assistance in secure housing and continue to receive supportive services for up to 12 months after leaving Sojourner House Project Link - high school completion program for dropouts After school, tutoring and summer camp programs Victim/Survivor support groups for domestic violence and teen sexual assault
Love Of Christ Ministries Inc	http://		EIN 66-0739583	2a-310 Estate Altona	St Thoams	VI	00802	USA	Protestant, Religion						
Core Foundation	http://		EIN 66-0764897	6345 Smith Bay Rd Unit B07	Charlotte Amalie	VI	00802	USA	Environment, Water, Water Resources, Wetlands Conservation & Management						
Holy Trinity Lutheran Church	http://		EIN 66-0403258	Po Box 365	Frederiksted	VI	00841	USA							
Crime Stoppers Usvi	http://		EIN 66-0710156	Po Box 176	Christiansted	VI	00821	USA	Disaster Aid						
St Croix Reformed Church Inc	http://		EIN 66-0514247	Rr 1 Box 6125	Kingshill	VI	00850	USA							
Sour Sop Pan Lab Inc	http://		EIN 66-0486581	Po Box 222712	Christiansted	VI	00822	USA							
Virgin Islands Tennis Association	http://		EIN 66-0508487	Po Box 308146	St Thomas	VI	00803	USA	Basketball, Sports						
St Mark Coptic Orthodox Church Inc	http://		EIN 66-0470505	Po Box 11397	St Thomas	VI	00801	USA							
New Image Foundation Corporation	http://		EIN 52-2060639	Po Box 303120	St Thomas	VI	00803	USA	Job Training						
Calypso Incorporated	http://		EIN 66-0410076	6201 Sunny Isles	Christiansted	VI	00820	USA	Arts & Culture, Music						
Water Island Civic Association Incorporated	http://		EIN 66-0384025	1 Water Isle	St Thomas	VI	00802	USA	Community & Neighborhood Development, Economic Development						
Virgin Islands Housing Management Inc	http://		EIN 66-0718680	3202 Demerara Plz Ste 200	St Thomas	VI	00802	USA	Homeless & Housing, Housing Development, Construction & Management						
Cirras Cloud	http://www.cirrascloud.org	602-321-5421	EIN 27-0248797	7272 Estate Misgunst #6 Suite 2 & 3	St. Thomas	VI	00802	USA	Family Services, Human Service Organizations, Religion, Religion-Related	To assist military members and their families by helping with symptoms of PTSD and offering "deserving families" an opportunity to win an all expenses paid Caribbean Getaway.	Since 2009 we have helped hundreds of military families.  We have incorporated in 3 states, to include Arizona, California and the US Virgin Islands.	Military families reconnect.	Over 300 families	Worldwide	We work with military members suffering from symptoms of PTSD and offer "deserving families" an opportunity to win an all expenses paid Caribbean Getaway.
Lash Entertainment	http://		EIN 66-0713524	Po Box 2526	Kingshill	VI	00851	USA	Arts & Culture						
St Thomas-St John Interscholastic Athletic Association Inc	http://		EIN 66-0404308	Po Box 8075	St Thomas	VI	00801	USA	Education, Parent & Teacher Groups						
International Gospel Center Of St Thomas Inc	http://		EIN 66-0563892	Po Box 304934	St Thomas	VI	00803	USA	Protestant, Religion						
St George Village Botanical Garden Of St Croix Inc	http://www.sgvbg.org	(340) 692-2874	EIN 67-0259922	127 Estate St George	Frederiksted	VI	00840	USA	Botanical Gardens & Arboreta, Environment	To promote knowledge of, respect for and the responsible use of plants, especially the plants of st. Croix and the eastern caribbean.					Conservation-conserve the native plant species of st. Croix as well as threatened species of other caribbean islands suited to local environmental conditions.   preservation-maintaining the ethno-botanical history of st. Croix through living, graphic and structural displays.   education-providing better understanding of the island's botanical and cultural heritage and the horticultural potentials for contemporary gardening in the virgin islands.
