name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Humanitarian AidTrips and On-Site Assistance: 
SERVE, Inc.	http://www.serveinc.org/	703-368-2979	EIN 51-0215304	10056 Dean Drive	Manssasas	VA	20110	USA	Emergency Assistance,Food,Food Programs,Human Service Organizations,Human Services	SERVE, Inc., a non-profit community organization, together, with volunteers, donors, and public/private partners is dedicated to strengthening the Prince William County, Manassas and Manassas Park community through comprehensive programs and partnerships that provide basic needs and promote economic independence for homeless and underprivileged individuals and families.	Family Emergency Shelter: Provides temporary emergency shelter for 60 homeless men, women and children nightly and includes a comprehensive case management and child services program. In FY 2008, almost 20,000 nights of shelter were provided for over 543 individuals. Approximately 7,500 of those nights were provided to children. Community Transitional Housing: Operates 11 transitional housing units in the Prince William/Manassas area. Eligible families and individuals receive subsidized housing and intensive support services for up to 24 months. Food Distribution Center: Provides emergency food assistance that effectively prevents hunger in the local community. SERVE receives food donations from individuals, local grocery stores, area farmers and markets, and through food drives run by dozens of churches and community groups. We distributed over $1.2 million worth of donated food to over 700 households monthly. Life Skills Training Program: Promotes independence by providing clients with basic skills for living. Training includes classes in word processing, employment development, household maintenance, budgeting, parenting, and other important skills that give individuals the ability to achieve independence. Emergency Assistance: Provides financial counseling and assistance for rent, utilities, medical prescriptions, and transportation. Almost 400 households received an average of $225 in financial aid. More than $73,000 in cash assistance was provided for our communitys most vulnerable citizens. EA also processes vouchers for free supplemental food, school supplies and provides information and referral about resources throughout the county. In total, the Emergency Assistance office provided 8,343 individuals with a variety of aid throughout the year. Holiday Signature Programs:Signature programs such as Operation Turkey, Adopt-a-Family, and Secret Santa Shop provided special assistance during the holidays. In 2007, Operation Turkey provided Thanksgiving baskets to 3,894 individuals representing 1382 households. Secret Santa Shop provided 22 shelter children with unwrapped gifts to give their family members. Because of the generosity of the community, parents were able to shop also. Fifty families were adopted for the holidays in SERVEs Shelter, Transitional Housing and Emergency Assistance programs.	Each year, the SERVE Family Care Shelter assists over 600 people. In an average month, SERVE provides food to 750 families and financial assistance to 300 people. We serve those in our community who are low-income or vulnerable due to a n unexpected crisis in their lives.	We provided direct services to over  8,300 people this year, helping them with shelter, food and housing.	Prince William County, Manassas, Manassas Park		
Navy-Marine Corps Relief Society	http://www.nmcrs.org	(800) 654-8364	EIN 53-0204618	875 N Randolph Street No 225	Arlington	VA	22203	USA	Emergency Assistance,Financial Counseling,Human Service Organizations,Military & Veterans Organizations,Veterans	The mission of the navy-marine corps relief society is to provide, in partnership with the navy and marine corps, financial, educational, and other assistance in the form of interest-free loans and grants to members of the naval service of the united states, eligible family members, and survivors when in need; and to receive and manage funds to administer these programs.					Financial assistance - provides interest free loans and grants to active duty and retired navy and marine corps members, dependents and survivors based on financial need.  volunteer program - provides training, refreshments, recognition, reimbursement for mileage, and child/elder care to volunteers who deliver society services to clients.  education program - provides a variety of interest free loans and grants to eligible active duty, spouses and dependent children of active duty members and children of retired service members based on need.  non-financial assistance programs provide clients with layettes, budget counseling, visiting nurse, and thrift shop services based on need.	
Congressional District Programs, Inc.	http://cdprograms.org		EIN 65-0970090	6201 Leesburg Pike Ste 403	Falls Church	VA	22044	USA	Philanthropy,Philanthropy, Voluntarism & Grantmaking Foundations,Public Foundations	CDP's mission is to empower people to help people through targeted charitable programs which restore, rebuild and maintain our national heritage through charitable, educational, scientific, or religious actions worldwide.						
Blue Ridge Wildlife Center	http://www.blueridgewildlife.org	(540) 664-9494	EIN 54-1996991	P O Box 326	Millwood	VA	22646	USA	Animal Protection & Welfare,Animals,Philanthropy,Philanthropy, Voluntarism & Grantmaking Foundations,Veterinary Services,Wildlife Preservation & Protection	The Blue Ridge Wildlife Center is a wildlife conservation organization dedicated to preserving native wildlife. Our wildlife hospital rescues, rehabilitates, then releases injured, orphaned, and sick native wildlife, of which most have been harmed by human development. Our organization monitors and controls wildlife diseases and toxins and keeps the community informed about the health of our wildlife and our environment. We offer wildlife environmental education programs and informational newsletters that increase understanding of the valuable role of wildlife in our environment.					We rescue, giveveterinary care to,and rehabilitate over 1,500injured, orphaned, and ill native wild animalsfrom Northern Virginia and Eastern West Virginia every year.These animals arebrought to usby the public, animal control officers, SPCAs and animal shelters, veterinary offices, and the police and game wardens.	
MILITARY FAMILY SUPPORT CENTERS INC	http://www.milfamily.org	(540) 983 - 1766	EIN 20-2821271	PO Box 1122	Salem	VA	24153	USA		Military Family Support Centers, Inc. is a singular organization with infinite possibilities. Our objective is to meet the ever changing needs of military families. The MFSC believes it is not just the family member that wears a uniform who serves this country. We believe it is the entire family who faces the uncertainties of military service, who struggle through deployments, mobilizations, and peace time. Therefore, we strive to address the daily burdens placed on these families, physically, financially, mentally, and socially. We strive to provide a large range of services and family events to meet the diverse needs of our military community		military families	over a thousands individuals	the United States	our zero cost commissary, our zero cost mobile commissary where we bring food, diapers, and toiletries to the troops.  We hold family centered events at least once a month.  We assist with home and car repairs, with a special focus on helping the spouses of deployed service members.  Other assistance is available and will be assessed based on need and available funds.	
GuideStar	http://www.guidestar.org	(757) 229-4631	EIN 54-1774039	4801 Courthouse Street Ste 220	Williamsburg	VA	23188	USA	Philanthropy,Philanthropy, Charity & Voluntarism Promotion	GuideStar seeks to revolutionize philanthropy and nonprofit practice by providing information that advances transparency, enables users to make better decisions, and encourages charitable giving.Progress in American philanthropy and nonprofit practice is constrained by the absence of extensive information about the practices of nonprofit organizations. Before GuideStar, donors lacked the information to initiate their philanthropy and follow the progress of organizations to which they give; nonprofits and their boards had no means to study and/or compare their own operating practices and results with those of similar organizations; and nonprofits, government agencies, and grants administrators suffered from the requirements of burdensome and duplicative reporting systems. By securing the collaboration of all of these audiences, GuideStar is now building the common, open information infrastructure required to eliminate these inefficiencies and ensure a more effective allocation of society's resources.		Anyone that wants information about charities.		All	Enabling Better Decisions:Through our free website, data services, and software products, GuideStar offers tools to help individuals and organizations make better, more confident decisions. Our free website, data services, and software products ultimately increase the impact of all philanthropy. In 2014, 350,000 easily searchable, digitized nonprofit records were added to the GuideStar database, increasing the total number to more than 4.5 million. The vast majority (99.9%) of GuideStar users leverage GuideStar data and tools at no charge, thanks to generous support received through grants, foundations, membership, sales, and donations. GuideStar allows users to be more informed donors, giving them access to more than just IRS Form 990 data.  Advancing Transparency: GuideStar believes that the more people understand about the philanthropic sector, the more effectively and efficiently it will operate and the more support it will receive. GuideStar creates value by using advanced information technology to make more information about nonprofits available to the public, donors, foundations, nonprofits, government agencies, and service providers. In 2014, GuideStar enabled users of www.GuideStar.org to obtain some level of information on more than 2.4 million tax-exempt organizations, including 8.6 million 990 images. GuideStar also increased the reach of our platform for updating Nonprofit Profiles, enabling nonprofits to share their organizations full and most up-to-date story. From 2008 through September 2015, more than 115,000 nonprofits have provided information about their programs, finances, and impact in their GuideStar Nonprofit Profile. More than 45,000 nonprofits have updated information within the most recent two years. encouraging charitable giving: the philanthropic sector relies on public interest in philanthropy and public trust in nonprofit organizations to encourage charitable giving. Guidestar builds public trust through its on-line distribution of data on the exempt and legal status, financial data, compensation practices and impact of nonprofits, and through information provided by nonprofit managers. This information is also made available to a vast network of other organizations, including community foundations (through the donoredge platform) working in the sector.   Encouraging Charitable Giving: The philanthropic sector relies on public interest and trust in nonprofit organizations to encourage charitable giving. GuideStar builds public trust through the nonprofit information it provides online. Information includes exempt and legal statuses, finances, and compensation practices of nonprofits pulled from the publicly available IRS Forms 990 and from more updated, in-depth information provided directly to GuideStar by nonprofit managers. Through these profiles, nonprofits have increased access to donations; more than 20,000 nonprofits have chosen to collect donations through GuideStar.org.GuideStar supports community foundations in their fundraising efforts through its DonorEdge platform. In 2015 there were 18 community foundation members using this service.GuideStar is also developing new tools to ensure that nonprofit information is available to donors wherever and whenever they need it. This is facilitated by the development and launch of several Application Programing Interfaces (APIs) in 2014. These APIs share GuideStars nonprofit information across the digital world. Our distribution partners  including VolunteerMatch, AmazonSmile, and the donor advised funds of Fidelity, Schwab, and Vanguard  are using GuideStar APIs to ensure donors have the most up-to-date, complete information about nonprofits.	
Godparents For Tanzania	http://www.godparents4tz.org	(910) 398-2762	EIN 56-2352150	Po Box 20221	Roanoke	VA	24018	USA	Education,Scholarships,Scholarships & Student Financial Aid	Godparents for tanzania creates opportunities to live lives of self-sufficiency and promise by investing in education and building relationships between sponsors and tanzanian youth. In 2014, godparents for tanzania provided scholarships to 58 primary, secondary, vocational, college and university students in tanzania. Godparents for tanzania also provided a grant to one education project in 2014.					In 2014, godparents for tanzania provided scholarships totaling $100,501 to 58 tanzanian students who would not otherwise be able to continue their education. These students come from the kilimanjaro and arusha regions of tanzania and study at schools in tanzania.  in 2014, godparents for tanzania provided a grant award of $3403 to an education project in tanzania. The grant was award to hai institute of technology, a vocational training school near moshi, tanzania.	
Self Knowledge Base & Foundation	http://		EIN 30-0559436	43803 Michener Dr	Ashburn	VA	20147	USA	Personal Social Services							
Lost Fantasy Stables & Animal Rescue (Lost Fantasy Rescue)	http://www.lostfantasystables.org/	276.613.1920	EIN 20-0425889	Private home/foster homes (email for directions)	Ceres	VA	24318	USA	Animal Protection & Welfare,Animals	We are a all volunteer 501c3 (since 2004) non profit animal rescue organization that works with the rescue, adoption, transport & sanctuary of companion animals & equines in need. We pull from local (and non local) high kill shelters as well as accepting owner surrendered animals in need. We also work within our community to offer help with spay/neuter & vetting needs for people wishing to keep their pets but who can't afford the costs. We have a program in place for pet food donations as well as doghouses/bedding (during winter months for pets kept outside) for owners who need a little help to keep their pets with them rather than turning them in to the shelters. We have a hospice program in place for animals needing a final stage of life home as well.  We take medical needs dogs that other rescues turn down (currently treating several HW+ dogs) as well as the harder to place breeds. We work from foster homes/no physical shelter building (no boarding kennels) and all animals are in homes waiting for their families to find them.	We placed almost 600 animals last year (2015) into other rescues & private homes.	animals residing in kill shelters as well as owner surrendered animals. We also take in medical needs animals that other rescues deny (currently working with several HW+ dogs).  We also help with senior dogs & cats in kill shelters to give them a hospice home for their end of life.  We also work with horse rescue (and other farm animals) on our farm.	500+ dogs & puppies and 45 cats & kittens (2015)	rural SW Virginia	spay/neuter assistance, help with medical costs that owners cannot afford, pet food & bedding/doghouse assistance in a effort to keep pets in their homes rather than having them surrendered to a shelter.	
Aikido in Fredericksburg	http://www.aikidoforpeace.org	(540) 582-9600	EIN 20-1098960	6147 Hickory Ridge Rd	Spotsylvania	VA	22551	USA	Arts & Culture,Education,Educational Services,Physical Fitness & Community Recreational Facilities,Recreation & Sports,Sports	We embody conflict resolution, self-improvement, and community service through the teachings of the nonviolent art of AIKIDO.					Ongoing and individual instruction furthered public understanding of aikido and developed educated members.  special education seminars furthered public understanding of aikido, developed educated members, & educated other aikidoists. Organized national and regional seminars and a series of ongoing classes for senior citizens. Intensive program for live in and outside students.  maintained training facility for 25 weekly classes and special events black belt programs 4038 educational materials 663	
