name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Results		We Provide Essential Resources.	We Advocate for Change.	We Counter the Marriage-Only Movement.	We Educate People About the Issues.	Honor Them Foundation, Inc. 	All gave some and some gave all.
National Womens Coalition Against Violence & Exploitation	http://www.NWCAVE.org	(360) 852-8019	EIN 45-5514142	P.O. Box 872494	Vancouver	WA	98687	USA	Crime & Law, Domestic Violence, Human Service Organizations, Human Services, Human Trafficking, Protection Against Abuse	NWCAVE helps to inform, educate and prevent violence and exploitation against women and children nationally and internationally.  Whether human trafficking, domestic violence, sexual assault, sexual violence, stalking, bullying, hate crimes and all other forms of violence and exploitation against women and children, NWCAVE strives to keep the public informed and educated on how we can live in a more civilized society free of violence.	women, children and families.	women, children and families in Washington, Oregon, Califorina, Colorado and Indiana.  We also helped women internationally through our partnership with Free the Girls.	United States of America	our national missing children's division, media council, training & conference institute, speakers bureau, Gift of Lift bra program and our NWCAVE's Community Resource Center provide programs and services locally, nationally and internationally.	We have a DREAMa World without Violence & Exploitation, we hope you do too!  Contact us to learn more www.NWCAVE.org.							
Burned Children Recovery Foundation	http://www.burnedchildrenrecovery.org	1-800-799-BURN 	EIN 91-1538856	409 Wood Place	Everett	WA	98203	USA	Ambulatory & Primary Health Care, Health	Providing Hope and New Beginnings to Burned Children since 1989, We Let Know Child Walk Alone	We serve low income families with burned children under the age of eighteen.	5000	United States	Burned survivors services: Emotional and financial aid to burned children and their family.  Phoenix House: 10 Bed recovery center where burned children come and learn how to deal with what has happened to them after fire and burns have changed their lives forever.  National Burned Children Camp Phoenix: Providing a fun and educational expireance for burned children since 1990.  Fire safety education: Distributes 100,000 Fire booklets annualy and attends area Safety Fairs.	The Burned Children Recovery Foundation has helped over 114,000 children learn how to live behind the scars and move on to a full and productive lives.							
Days for Girls International	http://www.DaysforGirls.org	360-220-9388	EIN 45-3934671	1610 Grover Street Suite B22	Lynden	WA	98264	USA	Children & Youth, Children & Youth Services, Civil Rights, Health, Public Health, Women, Womens Rights	Days for Girls mission is to reverse the cycles of poverty and violence by building efficient, direct and effective means for girls and women worldwide to improve their dignity, health and standing in their communities with access to sustainable menstrual health management and reproductive health knowledge for every girl and woman. Everywhere. Period.	girls and women have more opportunity, health and dignity	Over 15,000 women and girls	global communities	Days for Girls International is creating a more dignified, humane and sustainable world for girls and women through advocacy, sustainable feminine hygiene and menstrual health awareness, education.. Women and girls discover their potential and self-value, are equal participants and agents of social change and are given opportunities to thrive, grow and contribute to their communitys betterment while ensuring quality sustainable feminine hygiene for every woman and every girl. Everywhere. Period.	Days for Girls International has helped over 100,000 women live with independence by providing washable feminine hygiene solutions to impoverished women who had previously gone without.  An estimated twice that many have been made possible by training and encouraging other NGO's to do likewise							
Jconnect Seattle	http://www.jconnectseattle.org		EIN 		Seattle	WA	98105	USA		Jconnect Seattle creates a meaningful Jewish life for 21-32 year olds through diverse communities and innovative experiences.												
NAMI Greater Seattle	http://www.nami-greaterseattle.org	800-782-9264	EIN 91-1043712	802 NW 70Th Street	Seattle	WA	98117	USA	Mental Health	Our mission is to address the unmet needs of individuals with serious mental illness and their family members through education, advocacy, support and referral.	Our target demographic is those whose lives are impacted by serious and persistent mental illness, including consumers, family members, loved ones and caregivers.	9016	Greater Seattle	In Our Own Voice, Family to Family, Peer to Peer, support groups, Hofmann Houses for women and men, Educating the Next Generation	We provide all of our educational programming free of charge with two part time office staff, one full time director, a budget of just over $176,000 annually and a 98% volunteer workforce.  Our agency overhead for 2010 was 10.4%							
Homeward Pet Adoption Center	http://www.homewardpet.org	425-488-4444	EIN 91-1526803	PO Box 2293 13132 NE 177th Place	Woodinville	WA	98072	USA	Animal Protection & Welfare, Animals	Our mission is to give homeless animals a second chance through our rescue, shelter, and adoption programs.		Over 1400 dogs and cats.		1) Adoptions- making lifelong matches 2) Foster - giving more animals an opportunity 3) Low Cost spay/neuter:  providing  low cost spay & neuter assistance to families in need.  4) Homeward Pet Food Bank - providing pet food and supplies to our community with pets in need. Helping to keep pets in their homes!	Our second year in our new, bigger facility has us on a path to help over 1600 dogs and cats in 2013.							
Thurston County Sheriffs Jeep Patrol	http://tcjeeppatrol.org		EIN 91-0980489	PO Box 7381	Olympia	WA	98507	USA		Our mission includes Search and Rescue (SAR) and assisting County Emergency Services in the event of flooding, wind and snowstorms and earthquakes. During inclement weather we provide free transportation for medical personnel and patients.	the residents of Thurston County	Lewis and Mason County in addition to the missions we had in Thurston County.	Olympia	Mobile 4x4 Search & Rescue								
Liddle Kidz Foundation	http://www.liddlekidz.org	(818) 209-1918	EIN 26-4331328	PO Box 872664 Tina Allen	Vancouver	WA	98687	USA	Health, Health Care	Liddle Kidz Foundation Global uses the power of touch to reach the worlds most vulnerable children with experiences of appropriate nurturing touch that they often lack.  With nurturing, compassion and touch therapy, children will develop and reach their full potential.  We strive to address their critical tactile needs by working directly with their families and healthcare providers in pediatric hospitals, hospices, and orphanages to provide comprehensive nurturing services, consultation, education, program development and support. We are committed to furthering the development of touch therapy services for vulnerable and underserved populations internationally. Through education and support we work to create replicable and sustainable change.  Children are our greatest gift and should be treated with extraordinary care!	infants, children and their caregivers worldwide		Worldwide	Pediatric massage program development  pediatric and infant massage education prorgrams delivered to parents and professionals								
Auburn Noon Lions Foundation	http://		EIN 20-5333184	102 E Nain	Auburn	WA	98002	USA	Community Clinics, Health													
Hospitality House	http://		EIN 91-2006859	1419 Sw 150th St	Burien	WA	98166	USA	Homeless & Housing, Homeless Shelters													
Help Animals India	http://www.helpanimalsindia.org	(206) 937-6079	EIN 26-3681514	19215 32nd Avenue Ne	Seattle	WA	98155	USA	Animal Protection & Welfare, Animals, Environment, Wildlife Preservation & Protection	The Challenge for Indias Animals  Despite some of the best animal protection laws in the world and a renowned heritage of reverence for life, modern India is a country where millions of animals suffer severe neglect or abuse.  Overpopulation, poverty, pollution, superstition, apathy and ignorance all contribute to their plight. In a country where human misery and impoverishment remain high, the welfare of destitute animals is a low priority. Help Animals Indias Contribution  Indias animals have strong indigenous allies. The nation is blessed with many dedicated animal welfare organizations.  Help Animals India seeks out the best of these under funded organizations to provide financial and practical assistance where it can make the most difference.  We strive not only to achieve immediate benefits for Indias animals, but to nurture an enduring culture of animal protectionism.  Our goal is for all animals to live the lives they would choose for themselves.				Spay/neuter and rabies vaccinate street dogs and cats; rescue animals from the street; rescue wildlife and prevent poaching; anti plastic bag campaign, promote vegan diet;	We managed to buy 4 ambulances for the needy groups that had no vehicle to rescue animals with!  We helped build and support a sanctuary for over 1300 animals - the VSPCA!							
WPPC Nepal	http://www.wppcnepal.org/index.php		EIN 	PO Box 85412	Seattle	WA	98145	USA		Fighting against human trafficking and changing lives one woman, one child at a time.	Survivors of human trafficking and at-risk women and children	25 children are currently at our safe home, and 12 women have graduated our vocational training school this year.	Hetauda, Nepal	WPPC Nepal runs a safe home for rescued children ages of 2-19, which provides 24/7 care by our host family to any child welcomed to the WPPC family. Each child, through donations, gets their school fees covered so they can receive a good education. At the safe home, the children are placed in a loving and nurturing environment where they can get help with their homework, the comfort of a family, and individual trauma treatment. In addition, WPPC runs a vocational training school for rescued women to gain employable skills such as sewing and jewelry-making so that they may support themselves and their families. To prevent trafficking in the community, WPPC Nepal staff hosts frequent awareness and education programs throughout to Nepal to bring attention to the estimated 12,00-15,000 girls ages 6-16 trafficked in Nepal every year.								
Operation Write Home	http://operationwritehome.org		EIN 26-3439833	35205 13TH Pl Sw	Federal Way	WA	98023	USA	Military & Veterans Organizations, Veterans	Supporting our nation's armed forces by sending blank handmade greeting cards to write home on, as well as cards of gratitude to encourage them.	Deployed service members	approx 1000 units receiving boxes every 5 weeks	Worldwide, wherever heroes are deployed		Over a million cards sent for heroes to write home on!							
Shared Hope International	http://www.sharedhope.org	(360) 693-8100	EIN 91-1938635	Po Box 65337	Vancouver	WA	98665	USA	Human Services	Shared hope international exists to rescue and restore women and children in crisis. We are leaders in a worldwide effort to prevent and eradicate sex trafficking and slavery through education and public awareness.				Domestic public educationsee federal supplemental information  domestic partnerssee federal supplemental information  international partnerssee federal supplemental information								
Cocoon House	http://www.cocoonhouse.org	(425) 259-5802	EIN 91-1497667	2929 Pine St	Everett	WA	98201	USA	Children & Youth, Children & Youth Services, Emergency Assistance, Homeless & Housing, Homeless Shelters, Human Services	The mission of cocoon house (the agency) is to empower young people, families and the community to break the cycle of homelessness through outreach, housing and prevention. To carry out this mission the agency has developed a continuum of services to serve homeless, at-risk and highly disconnected youth and their families in snohomish county, providing housing, prevention and street outreach services.				Housing servicesemergency shelter: the agency operates two emergency shelters for teens 13-17, one in everett with 8 beds and one in monroe with 6 beds. Transitional housing: the agency operates a transitional housing program in everett, providing 20 beds to teen 13-17. There is a second transitional housing program in arlington, providing 5 beds to teen mothers 13-17 and their children / infants. Available services at housing programs include intensive case management, drug/alcohol assessment/ counseling/treatment, mental health counseling, education support, job readiness training, parenting support and education (as needed for teen parents) and life skills training as well as housing, food, and basic needs for youth who have no other housing options.   street outreachstreet outreach program: the street outreach program features mobile outreach and a teen drop-in center to engage and assist youth ages 12-24 in snohomish county. Staff conduct street outreach, street level case management, ongoing intensive case management and connect youth to a multitude of resources in the community including onsite drug and alcohol treatment and connection with worksource at the drop-in center.   prevention services for parents and teensproject safe: cocoon house project safe is focused on helping parents develop skills to strengthen families and ultimately prevent youth from disconnecting with the family. Services include: phone consultation, parenting classes, support groups and resources and referrals for parents of teens 11-20. Wayout: wayout is an interactive workshop for teens and parents or guardians, designed specifically to serve low-risk youth offenders referred by the juvenile courts. Today the program receives referrals from a wide variety of agencies.								
End Violence Against Women (EVAW) International	http://www.evawintl.org	509-684-9800	EIN 75-3095110	PO Box 33	Addy	WA	99101	USA	Civil Rights, Crime & Law, Education, Victims Services, Women, Womens Rights	We inspire and educate those who respond to gender-based violence, equipping them with the knowledge and tools they need to support victims and hold perpetrators accountable.  We promote victim-centered, multi-disciplinary collaboration, which strengthens the response of the criminal justice system, other professionals, allies, and the general public -- making communities safer.				International Conference on Sexual Assault, Domestic Violence and Stalking - held annually in various locations throughout the United States (i.e. 2011 Chicago, 2012 San Diego, 2013 Baltimore, 2014 Seattle).  On-Line Training Institute (OLTI) - launched February 2007 to provide comprehensive training to individuals around the world.								
Pats Memorial Research Fund	http://		EIN 91-2151687	2101 Yarrow Rd	Wenatchee	WA	98801	USA	Health													
