name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Results	Target demographics	Direct beneficiaries per year
Praise Cathedral Family Worship Center	http://		EIN 55-0697175	PO Box 678	N Martinsvlle	WV	26155	USA							
Prevention Strategies Inc	http://		EIN 55-0739007	1712 Loudon Heights Rd	Charleston	WV	25314	USA	Asthma, Health						
Hampshire County Pet Adoption Program Inc	http://www.hcpap.com/		EIN 55-0771829	PO Box 109	Highview	WV	26808	USA	Animal-Related, Animals	Hampshire County Pet Adoption Program is a 501(c)3 non-profit rescue run by a group of dedicated volunteers. HCPAP is not a shelter but a foster organization. Founded on October 1, 1999, we have specialized in dog rescue, however, we rescue cats sometimes, too.   Our mission and purpose is to rescue pets that need help. These pets may be homeless, unwanted or neglected. We then provide them with veterinary care, proper nutrition, socialization, training and love. Ultimately, it is our goal to find a great home for every pet that comes our way.					
Tri-County Ymca Inc	http://www.tri-countyymca.org	(304) 757-0016	EIN 55-0702900	Po Box 737	Scott Depot	WV	25560	USA	Human Services, Physical Fitness & Community Recreational Facilities, Religion, Religion-Related, Sports, Young Mens or Womens Associations	The tri-county ymca's mission is to put christian principles into practice through programs that build healthy spirit, mind and body for all.		Health enhancement and well- being for all - the y is a leading voice on health and well-being. We bring families closer together, encourage good health, and foster communication through fitness, sports, fun, and shared interests. We offer a welcoming atmosphere where participants feel comfortable engaging in various activities. As a result in 2014, 16,028 individuals in our community are receiving the support, guidance, and resources they need to achieve greater health in spirit, mind, and body. This is particularly important as our nation struggles with an obesity crisis, families struggle with work/life balance, and individuals search for personal fulfillment. Our programs are accessible, affordable, and open to all faiths, backgrounds, abilities, and income levels. Financial assistance is available for those who cannot afford full fees.   child care and summer day camp - the y offers state licensed, quality childcare that is committed to nurturing the potential of every child and youth. We believe that all kids deserve the opportunity to discover who they are and what they can achieve. Thats why we help young people cultivate the values, skills, and relationships that lead to positive behaviors, better health, and educational achievement. Our programs such as after school care, vacation day care, and summer day camp, offer a range of experiences that enrich cognitive, social, physical, and emotional growth. Our programs provide learning activities that provide challenges, education, self-respect, and spiritual awareness. Our day camp program provides a reverence for nature and respect for the inter-relatedness of all living things on earth. Our programs are open to all, regardless of income, abilities, or background so that children appreciate diversity and develop lifelong values and respect for all individuals. Financial assistance is available for those who cannot afford full fees. In 2014, 963 youth between the ages of four to 14 years of age benefited from these programs. Our organization received a fair market value $101,084 of contributed rent for the use of school buildings for the after school program and storage.   youth instructional and sports programs- the ymca's philosophy is that everyone participates and that fun and fair play are a priority. Our programs help develop self-esteem and the core values of caring, respect, responsibility, and honesty. Youth gain specific skills and acquire new knowledge, as well as a sense of belonging. Our programs promote teamwork, interaction, and the development of social and physical skills. In providing these types of programs, tri-county ymca realized that there was an audience in our service area which lacked programs of this nature. We now offer our challenger sports programs for children and young adults with physical, developmental, and intellectual disabilities. Challenger programs provide the opportunity to these individuals to learn, grow, and thrive through recreational and social opportunities. Challenger programs are an opportunity for children with special needs to play organized activities, learn new skills, and be on a team where everyone is accepted. All youth are welcome to participate in any of our youth instructional and sports programs regardless of their income, abilities, or background. Financial assistance is available for those who cannot afford full fees. In 2014, 1,686 children and young adults participated in these programs.   day care and various miscellaneous programs			
ALL OF US INC	http://wonderfulpeople.net		EIN 34-1558337	99 Woodside South Lane	Berkeley Springs	WV	25411	USA	Unknown						
Mount De Chantal Visitation Academy Inc	http://		EIN 55-0718056	410 Washington Ave	Wheeling	WV	26003	USA							
Helping Hands Community Resource Center	http://		EIN 55-0694728	Po Box 5005	Beckley	WV	25801	USA	Community & Neighborhood Development, Economic Development						
Prestera Foundation For Behavioral Health Services Inc	http://		EIN 62-1317504	5600 Us Route 60	Huntington	WV	25705	USA	Community Mental Health Centers, Mental Health						
St Barbaras Memorial Nursing Home Inc	http://	(304) 534-5220	EIN 55-0458916	Po Box 9066	Monongah	WV	26555	USA		As health care providers we have the opportunity and the responsiblity to change the resident's lives through exceptional care in a kind and loving environment. This cannot be compromised.		Community church related nursing home which is a fifty-seven (57) bed skilled nursing facility.			
St Francis De Sales Central Grade School	http://		EIN 55-0608171	41 Guthrie Ln	Morgantown	WV	26508	USA							
Lewis County Honor Guard	http://		EIN 65-1312839	144 Crane Camp Rd	Walkersville	WV	26447	USA	Military & Veterans Organizations, Veterans						
Kanawha Valley Senior Services Inc	http://www.kvss.org	(304) 348-0707	EIN 55-0626556	2428 Kanawha Blvd E	Charleston	WV	25311	USA	Human Services, Senior Centers, Seniors	Provide programs of service ranging from in-home personal care needs, to educational and social functions for older citizens, both well and frail, of the kanawha valley.		Community care program: kvss provides an indoor care program, funded by the medicaid program that makes personal assistance available to eligibile adults.   title iii: older americans act funds that cover social support activities including social service representatives, transportation, assessments, etc. Kvss also makes caregiver training available to family members providing care.   lighthouse: kvss provides for in-home assistance for seniors who have functional needs in their homes who do not qualify for other programs.   various: include senior support/day care, transportation, and other programs that benefit senior citizens.			
Please Save A Cat	http://		EIN 26-0452972	Po Box 128	Maxwelton	WV	24957	USA	Animal Protection & Welfare, Animals						
Middlebourne-Tyler County Volunteer Fire Deparement Inc	http://		EIN 55-0687167	Po Box 67	Middlebourne	WV	26149	USA		Fire & rescure serices		Fire & rescue services provided to approximately 45 of tyler county residents			
Evangelical Lutheran Church In America	http://		EIN 55-0711108	210 9TH St	Glendale	WV	26038	USA							
Braxton Community Coalition Inc	http://		EIN 55-0721452	Po Box 76	Flatwoods	WV	26621	USA		Distribute food and other items as neede		Provides planning coordination evaluation and implementation for braxton county wv this county has a population of approx 14000 we act as a fiscal agent to distribute fema  food and shelter funds for approved organizations other grants are used for drug and alcohol awareness and other issues effecting the youth in braxton county the christmas  project provides clothing toys household items and other support to the youth and senior population at christmas			
Stocoraleigh County Veterans Memorial Association	http://		EIN 14-1912266	PO Box 1045	Coal City	WV	25823	USA	Arts & Culture, Historical Organizations						
Visions Vessels And Victory Inc	http://		EIN 31-1754815	1263 Wv Highway 5 E	Glenville	WV	26351	USA	Personal Social Services	The purpose of the organization is to provide relief to poor and otherwise disadvantaged members of the community by the distribution of food and consumable commodities.		The organization distributed 286,267 pounds of consumable food items to the general public at no charge.			
Parkersburg Development Corporation	http://		EIN 55-0608699	PO Box 1683	Parkersburg	WV	26102	USA	Community & Neighborhood Development, Economic Development						
Assemblies Of God	http://		EIN 55-0660323	PO Box 355	Teays	WV	25569	USA							
Friends Of The Gilmer Public Library Inc	http://		EIN 55-0738695	214 Walnut St	Glenville	WV	26351	USA							
Doddridge County Senior Citizens Center Inc	http://		EIN 55-0532008	417 W Main St	West Union	WV	26456	USA	Human Services, Senior Centers, Seniors	Serve the elderly of doddridge county		Services to the elderly of doddridge county west virginia provide social, health, and medical care, transportation, chore service, and nutrition site.			
Women's Aglow Fellowship	http://www.aglow.org/		EIN 51-0238727	3512 Elwood Ln	Weirton	WV	26062	USA	Christianity, Religion	Aglow International is an intercultural transdenominational organization of Christian women with more than 3,500 fellowships in more than 151 nations. Our mission is to lead women to Jesus Christ and provide opportunity for Christian women to grow in their faith and minister to others. Aglow's vision to impact the lives of women worldwide is expressed in the strategic focuses of: Prayer, Evangelism, Relationship, and Reconciliation.					
Ss Peter And Paul School Trust Fund	http://	(304) 469-3682	EIN 55-0692292	129 Elmore St	Oak Hill	WV	25901	USA				Donated to ss peter & paul catholic school to provide assistance where needed			
