name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Variety Freedom Program	Variety Future Kids Program	Chatter Matters! Communication Camp
Growing Power Inc	http://www.growingpower.org	(414) 527-1546	EIN 39-1876495	5500 W Silver Spring Dr	Milwaukee	WI	53218	USA	Environment, Natural Resources Conservation & Protection	Growing power is a national nonprofit organization and land trust supporting people from diverse backgrounds, and the environments in which they live, by helping to provide equal access to healthy, high-quality, safe and affordable food for people in all communities.					Growing power supports the development and sustainability of community-based food systems by helping to provide equal access to healthy, high-quality, safe and affordable food for people in all communities. Growing power implements this mission by providing hands-on training, on-the-ground demonstration, outreach and technical assistance through the development of community food systems that help people grow, process, market and distribute food in a sustainable manner.			
Hartford Wrestling Club Inc	http://		EIN 39-1627836	Po Box 270437	Hartford	WI	53027	USA										
Toddlers And Kids On A Mission	http://toammke.org	414-630-5675	EIN 47-4327441	PO Box 170694	Whitefish Bay	WI	53217	USA	Children & Youth, Philanthropy, Philanthropy, Charity & Voluntarism Promotion, Voluntarism Promotion, Youth Community Service Clubs, Youth Development - Citizenship	Our mission is to empower children of all ages to work with their caregivers to build relationships and strengthen the Milwaukee community through partnerships and service experiences in an inclusive environment.  Our vision is to instill the belief in our children that they are responsible for and capable of being dynamic and change-making citizens within their community.  Toddlers and Kids on a Mission strives to provide an environment where all children and families feel safe and affirmed, valued and reflected. We are unaffiliated with any faith traditions or other organizations. We partner with diverse, established, and effective organizations within Milwaukee that, like us, recognize the capability of children to make change, serve others, and build relationships.	Toddlers and Kids on a Mission has introduced hundreds of young children to hands-on, empowering, and respectful service opportunities at inspirational Milwaukee organizations. Along with that, they've given parents of young children a chance to engage in service opportunities alongside their family- thus modeling acts of kindness in real time.	our natural environment, schools, neighborhoods, the elderly, and  more	200 children and 10 local agencies	the Milwaukee area	reading buddy programs, yard clean-ups,			
New Hope Center Inc	http://www.newhopeinc.org	(920) 849-9351	EIN 39-1052724	Po Box 189	Chilton	WI	53014	USA		Rehabilitation of handicapped					Inspire freedom and independence in the lives of people with disabilities. Approximately 107 persons benefited under these services.			
Invasive Plants Association Of Wisconsin Incorporated	http://www.ipaw.org	(608) 266-9276	EIN 39-2020468	Po Box 5274	Madison	WI	53705	USA	Energy Resources Conservation & Development, Environment	To promote better stewardship of the natural resources of wisconsin by advancing the understanding of invasive plants and encouraging the control of their spread.					The invasive plants association of wisconsin held a conference to strengthen management of invasive species, especially prevention, control and containment. Around 700 attendees came to see 220 oral presentations and 24 posters. The conference had several interesting and informative field trips, workshops and concurrent sessions.			
Quarter Moon Acres Inc	http://		EIN 46-4870622	1347 55th Ave	Amery	WI	54001	USA	Health, Rehabilitative Care									
Linda and Gene Farley Center for Peace Justice and Sustainability I	http://www.farleycenter.org	(608) 845-8724	EIN 27-2195454	2299 Spring Rose Road	Verona	WI	53593	USA	Civil Rights, Civil Rights, Social Action & Advocacy	The farley center is dedicated to socially progressive change, community partnership, environmental sustainability, peace and social justice. Its mission is to promote ecological justice via education, demonstronstration and research.					Agricultural our farm incubator program provided educational support to 9 aspiring, ethnically diverse farmers. Ta to farmers focused on development of organic produce farming and technical skills, as well as learning marketing management of their 100 csa customers and two farmer market venues. Land and equipment is provided to the farmers at no charge. Additionally educational workshops are taken around the state to minority farmer groups and most incubator workshops are open to area farmers to participate, reaching dozens of farmers around wisconsin. Our land link program works to match aspiring farmers with landowners who offer land use at reduced prices or for free. Learning communities and networks are fostered with provide farmer peer support.   peace and justice center the center is used as a welcoming space for non-profit groups for meetings and day retreats. Regular educational offerings are held at the center that focus on environmental sustainability, peace, and social justice issues. We work collaboratively with a variety of community groups with similar missions to the farley center, to enlarge the impact of their work.   nature preserve twenty seven acres of land are set aside as a nature preserve which offers school and community groups a place to learn about sustainable ecology. Additionally the land is used for a natural burial grounds, demonstrating an ecologically sound cemetery.			
Butternut Area Historical Society Inc	http://		EIN 01-0644736	Po Box 411	Butternut	WI	54514	USA	Education, Educational Services									
St Vincent De Paul Society Of Milwaukee	http://www.svdpmilw.org		EIN 39-0806406	9601 W Silver Spring Dr	Milwaukee	WI	53225	USA	Family Services, Food, Food Programs, Human Service Organizations, Human Services, Thrift Shops	In 1833, the St. Vincent de Paul Society was founded in Paris. Frederic Ozanam, a 20 year old university student, is considered the principal founder of the Society because of his leadership within a small group of similarly-minded students. Their model of visiting the poor of the Paris slums was adopted widely, reaching Milwaukee in 1849. St. Vincent de Paul "conferences," as the volunteer groupings are called, were established in several Milwaukee Catholic parishes. In 1914, enough conferences existed to form a "council." This allowed for legal incorporation and the ability to take on broader activities. Over the years, activities have taken the form of thrift stores, meal programs, shelters, and helping centers. These programs have been generously supported not only by the Catholic community, but also by other faiths and the broader community. Most programs, although professionally staffed, maintain a largely volunteer component. Professional staff assists volunteers through training and are available for consultation.								
Mptv Friends Inc	http://		EIN 39-6081120	700 W State St	Milwaukee	WI	53233	USA	Arts & Culture, Single Organization Support, Television	Milwaukee Public Television educates, informs, entertains and stimulates the imagination of adults and children alike.  We make the best use of noncommercial media and related services to enhance the quality of life in our community by encouraging people to consider issues and explore ideas, and by inspiring a continued  sense of wonderment.  The Channel 10/36 Friends helps to secure the financial viability of Milwaukee Public Television by promoting and generating community support for its programming and related activities.								
