name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs
Wyoming Council On Economic Education	http://		EIN 83-0287806	Po Box 1162	Afton	WY	83110	USA							
Church Of The Open Bible	http://		EIN 83-0272745	Center and Main Streets	Edgerton	WY	82635	USA							
Campbell County Humane Society	http://		EIN 83-0239686	PO Box 502	Gillette	WY	82717	USA							
Albany County Public Library Foundation	http://	(307) 721-2580	EIN 83-0240069	310 S 8th St	Laramie	WY	82070	USA		Provide equipment/books/etc to the library					The foundation receives donations and revenue from special events. The funds are then used to purchase equipment, books, etc for the albany county library
Women's International Bowling Congress, Inc.	http://		EIN 83-0323841	2610 Indiana Crt	Green River	WY	82935	USA							
Pronghorn Power Booster Club	http://		EIN 83-0284207	Po Box 86	Farson	WY	82932	USA	Education						
Protection & Advocacy System Inc	http://www.wypanda.com	(307) 632-3496	EIN 83-0236172	7344 Stockman Street	Cheyenne	WY	82009	USA		The organization advocates for the rights of mentally and developmentally disabled individuals in the state of wyoming.					Information and referral services of program and casework representation for disabled clients. Served approximately 551 clients during fy ended september 30, 2015.
BRAVE C A T S CHILDREN AND THEIR STRUGGLES INC	http://		EIN 46-5472918	302 E 20th Ave	Torrington	WY	82240	USA	Children & Youth, Youth Development Programs						
The Gillette Chamber Music Society	http://	(307) 686-7003	EIN 83-0286905	5201 Tarry St	Gillette	WY	82718	USA		Foster, promote, support & present choral music.					Formal concerts benefiting the public presented at churches,schools,community orgs & a foreign goodwill trip to promote fine choral music. Est 5000 persons.   presented four christmas choral concerts in conjunction with a dinner/fundraiser for 517 persons. Tickets available and sold to general public.
Pioneer Counseling Services	http://www.pioneermhc.com	(307) 789-7915	EIN 83-0255515	350 City View Dr Ste 206	Evanston	WY	82930	USA	Community Mental Health Centers, Mental Health	Counseling services					To provide community based mental health services to the uinta county area including outpatient care, home based care, residential living and vocational services.
Biodiversity Conservation Alliance	http://www.voiceforthewild.org	307-742-7978	EIN 83-0308354	215 S 3rd St., Ste. 114 PO Box 1512	Laramie	WY	82073	USA	Animals, Environment, Natural Resources Conservation & Protection, Protection of Endangered Species, Science & Technology, Technology	BCA is dedicated to protecting wildlife and wild places in Wyoming and surrounding states, particularly on public lands. Wyoming has some of the healthiest ecosystems in the lower 48, but they are under intense attack by industrialization. BCA is dedicated to conserving our regions rich natural heritage by calling attention to abuses of the land, empowering the public to get involved, and pressuring government agencies to protect land, wildlife, fish and plants.BCA works to protect imperiled native species and clean water and air for the benefit of wildlife and the public for generations to come.	Top Ten On-the-Ground Successes in 20 Years:  1. Protected Rock Creek Roadless Area on the Medicine Bow National Forest from the huge Threemile Timber Sale (15,000 acres).  2. Protected all roadless areas from commercial timber sales, secured five new Research Natural Areas totaling 15,480 acres, and achieved the first official Wilderness recommendation in Wyoming in nineteen years for Rock Creek (18,859 acres) through our Keep the Medicine Bow Wild Campaign.  3. Protected Duck Creek Roadless Area (12,330 acres) on Thunder Basin National Grassland from habitat destruction by oil and gas development.  4. Won $60,000 through successful lawsuit settlements to fund additional black-footed ferret restoration in Shirley Basin (85 ferrets) and Thunder Basin National Grassland (reintroduction imminent).  5. Saved the Miracle Mile blue-ribbon trout fishing area, North Platte River and Seminoe Reservoir water quality from the waste water from 1,240 coalbed methane wells and helped create stringent new state regulations for wastewater deposition in high class waterways.  6. Gained protection for four new Research Natural Areas of high biological value in the Black Hills National Forest totaling more than 2,200 acres and increasing the protected acreage in the Black Hills by more than 20% through our Black Hills Protection and Restoration Campaign.  7. Protected 5,000 acres of the Sand Creek Roadless Area of the Black Hills from the Cement Timber Sale and placer mining.  8. Directed public attention to Adobe Town (the crown jewel of Wyomings desert wilderness) and achieved Very Rare or Uncommon status through the state Environmental Quality Council, protecting the entire 180,000 acres from uranium and oil shale mining.  9. Protected the spectacular East Fork of the Encampment River Roadless Area (7,429 acres), including the Coon Creek area old-growth forest from clearcutting and several huge industrial logging projects.  10. Reduced the amount of trees cut on the Medicine Bow National Forest from an unsustainable 28 million board feet per year to 4-5 million board feet per year, a level estimated by the Forest Service to be sustainable, from 1998 to 2008.	Sensitive native species of Wyoming and their habitats.		Wyoming and surrounding states.	Conservation advocacy
Historic Trails Resource Conservation & Development Area	http://		EIN 83-0306851	5880 Enterprise Ste 100	Casper	WY	82609	USA	Environment, Natural Resources Conservation & Protection						
Jackson Youth Skating Inc	http://www.jyhockey.org	(307) 733-2862	EIN 83-0291408	Po Box 4822	Jackson	WY	83001	USA	Children & Youth, Youth Centers & Clubs	To develop skating and hockey skills in jackson wyoming youth					Provide hockey opportunity for 255 kids in jackson wyoming
Bethel Outreach Ministries	http://		EIN 84-1413309	314 E 6th St	Cheyenne	WY	82007	USA	Crime & Law, Inmate Support						
Trinity Lutheran Church	http://		EIN 83-0310139	1004 Willow St	Wheatland	WY	82201	USA							
Arapahoe Lutheran Mission	http://		EIN 84-1412337	PO Box A	Arapahoe	WY	82501	USA							
Wyoming Heritage Foundation	http://wyomingbusinessalliance.com	(307) 577-8000	EIN 74-2254800	145 S Durbin St Ste 101	Casper	WY	82601	USA							Promotion of activities sponsored by the wyoming business alliance. The foundation provided services related to a public forum and the leadership wyoming program.
Compassionate Friends, Inc.	http://		EIN 36-4093690	PO Box 798	Ft Laramie	WY	82212	USA							
National Society Colonial Dames Xvii Century	http://		EIN 83-0283365	407 W 2nd Ave	Cheyenne	WY	82001	USA							
