org_name	org_url
KultureCity	/org/kulturecity
Hand in Paw	/org/hand-in-paw-2
Make Way Partners	/org/make-way-partners
Episcopal Communities Foundation, Inc. dba Episcopal Place	/org/episcopal-communities-foundation-inc-dba-episcopal-place
Dannon Project	/org/dannon-project
Steel Magnolias Breast Cancer Support Group Inc	/org/steel-magnolias-breast-cancer-support-group-inc
Free2Be (Free2Be LGBTQ Resource Center & Free2Be Safe Anti-Violence Project)	/org/free2be-free2be-lgbtq-resource-center-free2be-safe-anti-violence-project
Carlisa, Inc.	/org/carlisa-inc
Still Serving Veterans	/org/still-serving-veterans
Cansurvive Gyn Cancer Support Group	/org/cansurvive-gyn-cancer-support-group
Kerusso Foundation Inc	/org/kerusso-foundation-inc
Better Basics, Inc.	/org/better-basics-inc
EPISCOPAL HOUSING FOUNDATION INC dba Episcopal Place	/org/episcopal-housing-foundation-inc-dba-episcopal-place
Aide for Animals	/org/aide-for-animals
Southern Poverty Law Center, Inc.	/org/southern-poverty-law-center-inc
Healing Place-A Center For Grieving Children & Families	/org/healing-place-a-center-for-grieving-children-families
Hospice of West Alabama Inc	/org/hospice-of-west-alabama-inc
Walker Area Community Foundation	/org/walker-area-community-foundation
Basset Hound Rescue of Alabama	/org/basset-hound-rescue-of-alabama
K-9s 4 Kids	/org/k-9s-4-kids
The Haven	/org/the-haven-1
Family Of A Vet Inc	/org/family-of-a-vet-inc
The Kentuck Museum Association, Inc.	/org/the-kentuck-museum-association-inc
Ashland Housing Development Corporation	/org/ashland-housing-development-corporation
Eastern Shore Choral Society Inc	/org/eastern-shore-choral-society-inc
Jimmy James D Bulger Enterprises Inc	/org/jimmy-james-d-bulger-enterprises-inc
Cancer Awareness Network for Children Inc	/org/cancer-awareness-network-for-children-inc
True To The Red White And Blue	/org/true-to-the-red-white-and-blue
Heals Inc	/org/heals-inc
Prodisee Pantry Inc	/org/prodisee-pantry-inc
Alabama Blues Project	/org/alabama-blues-project
Fathers of St Edmund Southern Missions Inc DBA Edmundite Missions	/org/fathers-of-st-edmund-southern-missions-inc-dba-edmundite-missions
Ruth and Naomi Senior Outreach	/org/ruth-and-naomi-senior-outreach
Community Kitchens of Birmingham	/org/community-kitchens-of-birmingham
Humane Society Of Shelby County	/org/humane-society-of-shelby-county
Autism Spectrum Counseling Center	/org/autism-spectrum-counseling-center
Downtown Jimmie Hale Mission	/org/downtown-jimmie-hale-mission
Three Hots and a Cot	/org/three-hots-and-a-cot
Forgotten Felines Inc	/org/forgotten-felines-inc-2
Ability Plus Inc	/org/ability-plus-inc
Inside-Out Ministries, Inc.	/org/inside-out-ministries-inc-2
Veterans of Vietnam MC HQ	/org/veterans-of-vietnam-mc-hq
Dream Acres Equine Sanctuary	/org/dream-acres-equine-sanctuary
Wings of Life Inc	/org/wings-of-life-inc
Lunches for Learning	/org/lunches-for-learning
New Generation Mentoring Organization	/org/new-generation-mentoring-organization
Christianaires Ministries Inc	/org/christianaires-ministries-inc
Santa America Inc	/org/santa-america-inc
The Cooperative Downtown Ministries, Inc.	/org/the-cooperative-downtown-ministries-inc
Owasso Foundation	/org/owasso-foundation
Fight 4 Life Fitness Boxing Minitries	/org/fight-4-life-fitness-boxing-minitries
Renaissance Theatre Inc	/org/renaissance-theatre-inc
Oasis Counseling For Women And Children	/org/oasis-counseling-for-women-and-children
Exchange Center for Child Abuse Prevention	/org/exchange-center-for-child-abuse-prevention
Alabama Wildlife Center	/org/alabama-wildlife-center
The Freestyle Percussion Foundation, Inc.	/org/the-freestyle-percussion-foundation-inc
Sav-A-Life Shelby Inc	/org/sav-a-life-shelby-inc-1
Safehouse Of Shelby County Inc	/org/safehouse-of-shelby-county-inc
Children's Dance Foundation	/org/childrens-dance-foundation
United Methodist Childrens Home	/org/united-methodist-childrens-home-1
Diamond Federated Club Inc	/org/diamond-federated-club-inc
SNAP Spay/Neuter Action Project	/org/snap-spay-neuter-action-project
Red Mountain Search Dog Association	/org/red-mountain-search-dog-association
PAWS OR Pet Awareness and Welfare Shelter	/org/paws-or-pet-awareness-and-welfare-shelter
Wounded Warrior Family Foundation	/org/wounded-warrior-family-foundation
ONEONTA FOUNDATION FOR EDUCATIONAL RESOURCES INC	/org/oneonta-foundation-for-educational-resources-inc
The Find HOPE Here Project	/org/the-find-hope-here-project
Humane Society Pet Rescue and Adoption Center	/org/humane-society-pet-rescue-and-adoption-center
Ludwig Von Mises Institute For Austrian Economics Inc	/org/ludwig-von-mises-institute-for-austrian-economics-inc
aTeam Ministries	/org/ateam-ministries
Angels Arms Animal Rescue And Transportation Services	/org/angels-arms-animal-rescue-and-transportation-services
Individual & Family Support Of South Alabama	/org/individual-family-support-of-south-alabama
Vision Education Program	/org/vision-education-program
GRACE HOUSE MINISTRIES INCORPORATED	/org/grace-house-ministries-incorporated
First Light, Inc.	/org/first-light-inc-1
Victory Health Partners Inc	/org/victory-health-partners-inc
North Alabama Wildlife Rehabilitators	/org/north-alabama-wildlife-rehabilitators
Two By Two Rescue	/org/two-by-two-rescue
Childcare Resources	/org/childcare-resources
AZALEA CITY CAT COALTION	/org/azalea-city-cat-coaltion
Humane Society Of Elmore County Inc	/org/humane-society-of-elmore-county-inc
Pets Are Worth Saving Inc	/org/pets-are-worth-saving-inc-2
Alabama Spay Neuter Clinicincorporated	/org/alabama-spay-neuter-clinicincorporated
Huffman Community Development Corporation	/org/huffman-community-development-corporation
Babywearing International Inc	/org/babywearing-international-inc-2
Alzheimer's-Autism Outreach Group	/org/alzheimers-autism-outreach-group
BROKEBUTNOTFORLONG INC	/org/brokebutnotforlong-inc
Operation Stand Down Huntsville Inc	/org/operation-stand-down-huntsville-inc
Jefferson Avenue Church Of Christ	/org/jefferson-avenue-church-of-christ
Alabama Pug Rescue And Adoption Inc	/org/alabama-pug-rescue-and-adoption-inc
Bucket Foundation	/org/bucket-foundation
Birmingham Museum of Art	/org/birmingham-museum-of-art
Warrior Baseball Association Inc	/org/warrior-baseball-association-inc
Hospice Of Montgomery Inc	/org/hospice-of-montgomery-inc
Ozanam Charitable Pharmacy Inc.	/org/ozanam-charitable-pharmacy-inc
League For Animal Welfare Inc	/org/league-for-animal-welfare-inc
TAP INC	/org/tap-inc
EQUAL JUSTICE INITIATIVE	/org/equal-justice-initiative
Crisis Center Inc	/org/crisis-center-inc-3
Montgomery Metro Baseball League	/org/montgomery-metro-baseball-league
Semper Fi Community Task Force	/org/semper-fi-community-task-force
National Association For The Advancement Of Colored People	/org/national-association-for-the-advancement-of-colored-people-1707
AFTERALL RESOURCES & DEVELOPMENT	/org/afterall-resources-development
Exchange Club Center for the Prevention of Child Abuse-Jefferson County AL, Inc.	/org/exchange-club-center-for-the-prevention-of-child-abuse-jefferson-county-al
Shoals Earth Month Incorporated	/org/shoals-earth-month-incorporated
Dig Deep Give Well Inc	/org/dig-deep-give-well-inc
Red Elephant Club Of Mobile Inc	/org/red-elephant-club-of-mobile-inc
United Saints For Education Making An Effort Inc	/org/united-saints-for-education-making-an-effort-inc
Covered Bridge Players	/org/covered-bridge-players-1
Fairhope Single Tax Corporation	/org/fairhope-single-tax-corporation
Progressive Agriculture Foundation	/org/progressive-agriculture-foundation
Caring Now For Kids With Cystic Fibrosis Inc	/org/caring-now-for-kids-with-cystic-fibrosis-inc
Safe Haven No Kill Animal Rescue	/org/safe-haven-no-kill-animal-rescue
Acoe Foundation Inc	/org/acoe-foundation-inc
Ozark-Dale County Humane Society	/org/ozark-dale-county-humane-society
Coral Reef Foundation Inc	/org/coral-reef-foundation-inc
Sunshine Golden Retriever Rescue Corp	/org/sunshine-golden-retriever-rescue-corp
Greater Birmingham Humane Society	/org/greater-birmingham-humane-society
Revive Frisco City Inc	/org/revive-frisco-city-inc
American Institute Of Holistic Theology	/org/american-institute-of-holistic-theology
Nexus Energy Center	/org/nexus-energy-center
Alabama Childhood Food Solutions	/org/alabama-childhood-food-solutions
FRIENDS OF THE OLD METHODIST CHURCH MUSEUM OF DAPHNE INC	/org/friends-of-the-old-methodist-church-museum-of-daphne-inc
ALABAMA ART CASTING INC	/org/alabama-art-casting-inc
Citizens For The Welfare Of Animals In Clay County	/org/citizens-for-the-welfare-of-animals-in-clay-county
South Alabama Equine Rescue & Rehabilitation	/org/south-alabama-equine-rescue-rehabilitation
Keep Athens-Limestone Beautiful Inc	/org/keep-athens-limestone-beautiful-inc
Arc Of Alabama	/org/arc-of-alabama
B B Comer Memorial Public Library Foundation Inc	/org/b-b-comer-memorial-public-library-foundation-inc
Department Of Alabama Veterans Of Foreign Wars Of The United States	/org/department-of-alabama-veterans-of-foreign-wars-of-the-united-states-31
Eternal Word Television Network Inc	/org/eternal-word-television-network-inc
Collat Jewish Family Services	/org/collat-jewish-family-services
Christian Mission Center Incorporated Of Enterprise	/org/christian-mission-center-incorporated-of-enterprise
Elmore County Habitat For Humanity	/org/elmore-county-habitat-for-humanity
Weeks Bay Foundation Inc	/org/weeks-bay-foundation-inc
Jefferson County Library Cooperative Inc	/org/jefferson-county-library-cooperative-inc
Alabama Veterans Museum & Archives	/org/alabama-veterans-museum-archives
United Cerebral Palsy Of West Alabama Inc	/org/united-cerebral-palsy-of-west-alabama-inc
New Life Christian Center Inc	/org/new-life-christian-center-inc-10
The Way 2 Serve Inc	/org/the-way-2-serve-inc
American Charities Foundation Inc	/org/american-charities-foundation-inc
Disabled American Veterans	/org/disabled-american-veterans-1124
Hope Inspired Ministries Inc.	/org/hope-inspired-ministries-inc
Wannabe Rescued	/org/wannabe-rescued
Casa Association Of Alabama	/org/casa-association-of-alabama
Brendas Brown Bosom Buddies Inc	/org/brendas-brown-bosom-buddies-inc
Alabama Reclamation Association	/org/alabama-reclamation-association
Art 4 All	/org/art-4-all
GIRL SCOUTS OF SOUTHERN ALABAMA INC	/org/girl-scouts-of-the-deep-south-council
World Refiners Community Center Inc	/org/world-refiners-community-center-inc
Semper Fi Rescue	/org/semper-fi-rescue
Lincoln Village Preservation Corporation	/org/lincoln-village-preservation-corporation
Henry County Veterans Memorial Park	/org/henry-county-veterans-memorial-park
Tracy Dent Foundation	/org/tracy-dent-foundation
Mega Missions Inc	/org/mega-missions-inc
Faith Broadcasting Inc	/org/faith-broadcasting-inc
Birmingham Landmarks Inc	/org/birmingham-landmarks-inc
Athens-Limestone Kidney Association Inc	/org/athens-limestone-kidney-association-inc
Lincolnite Club	/org/lincolnite-club
Safeplace Inc	/org/safeplace-inc
Feed My Sheep Ministries	/org/feed-my-sheep-ministries
Arc, Inc. of Jefferson County	/org/arc-inc-of-jefferson-county
Positive Choices	/org/positive-choices-1
Athens-Limestone Emergency Food And Shelter Bank Inc	/org/athens-limestone-emergency-food-and-shelter-bank-inc
Jefferson Alcoholic Foundation Inc	/org/jefferson-alcoholic-foundation-inc
Fantasy Playhouse Childrens Theater	/org/fantasy-playhouse-childrens-theater
Save A Pet Rescue Adoption And Transport Inc	/org/save-a-pet-rescue-adoption-and-transport-inc
Eagles Nest Ministries Inc	/org/eagles-nest-ministries-inc-1
Health Services Inc	/org/health-services-inc
Rainbow Omega Inc	/org/rainbow-omega-inc
Shoals Outdoor Drama Association Inc	/org/shoals-outdoor-drama-association-inc
Child Protect Inc	/org/child-protect-inc
Volunteer Connections Of Central Alabama Inc	/org/volunteer-connections-of-central-alabama-inc
Riley Family Children's Ministries, Inc.	/org/riley-family-childrens-ministries-inc
Freshwater Land Trust	/org/freshwater-land-trust
Civil Air Patrol	/org/civil-air-patrol-21
BROTHER BRYAN MISSION	/org/brother-bryan-mission
Ymca Of The Shoals Inc	/org/ymca-of-the-shoals-inc
Easter Seals Alabama Inc	/org/easter-seals-alabama-inc-6
Pickens County Partners In Education Foundation	/org/pickens-county-partners-in-education-foundation
Birmingham Police Athletic Teams Inc	/org/birmingham-police-athletic-teams-inc
Aarons Hope Ministries Inc	/org/aarons-hope-ministries-inc
Respect Organization	/org/respect-organization
Aid To Inmate Mothers Inc	/org/aid-to-inmate-mothers-inc
THOMAS-HINES EDUCATIONAL TRAINING CENTER	/org/thomas-hines-educational-training-center
LIGHTHOUSE COMMUNITY DEVELOPMENT CORPORATION	/org/lighthouse-community-development-corporation
Bayside Medical Missions And Educational Outreach Inc	/org/bayside-medical-missions-and-educational-outreach-inc
Alabama Association Of Nonprofits	/org/alabama-association-of-nonprofits
CHRISTIAN SERVICE MISSION	/org/christian-service-mission
Point Of Grace	/org/point-of-grace-1
Ministry Center At Green Springs	/org/ministry-center-at-green-springs
BE LATINO CORPORATION	/org/be-latino-corporation
United States Corps Of Chaplains	/org/united-states-corps-of-chaplains
BRIGHTER DAY COMMUNITY OUTREACH SERVICES INC	/org/brighter-day-community-outreach-services-inc
Tri-Coastal Community Outreach	/org/tri-coastal-community-outreach
Inside Out Overcomers Outreach Inc	/org/inside-out-overcomers-outreach-inc
Alabama Ears Encouraging Alabama Rabbit Support	/org/alabama-ears-encouraging-alabama-rabbit-support
Alabama Usa Youth Enhancement Alumni	/org/alabama-usa-youth-enhancement-alumni
Heritage Training And Career Center	/org/heritage-training-and-career-center
New Rising Star Community Support Corporation	/org/new-rising-star-community-support-corporation
Redeemed Christian Church Of God Jesus House Inc	/org/redeemed-christian-church-of-god-jesus-house-inc
Arc Of Shelby County Inc	/org/arc-of-shelby-county-inc-1
WILLOW FARMS ALL BREED CANINE EQUINE RESCUE INC	/org/willow-farms-all-breed-canine-equine-rescue-inc
Sacred Healing Circle	/org/sacred-healing-circle
Land Trust of North Alabama	/org/land-trust-of-north-alabama
Greater Birmingham Ministries Inc	/org/greater-birmingham-ministries-inc
Black Warrior Riverkeeper Inc	/org/black-warrior-riverkeeper-inc
Spay-Neuter Action Project	/org/spay-neuter-action-project-1
Atap Community Development Corporation	/org/atap-community-development-corporation
The Camp At Sunshine Farm	/org/the-camp-at-sunshine-farm
National Childrens Advocacy Center Inc	/org/national-childrens-advocacy-center-inc
United For Life Foundation	/org/united-for-life-foundation
Mcrae Learning Center Inc	/org/mcrae-learning-center-inc
Alabama Citizens For Life	/org/alabama-citizens-for-life
Community Husk Corporation	/org/community-husk-corporation
Alga Funeral Services Education Inc	/org/alga-funeral-services-education-inc
Ability Workers Of Alabama Inc	/org/ability-workers-of-alabama-inc
U Turn Intervention Program Inc	/org/u-turn-intervention-program-inc
Rise Up Ministries Inc	/org/rise-up-ministries-inc
Tears Teens Empowerment Awareness With Resolutions	/org/tears-teens-empowerment-awareness-with-resolutions
Peace, Love and Animals	/org/peace-love-and-animals
Humbled Hearts Incorporated	/org/humbled-hearts-incorporated
Cameron Ministries Inc	/org/cameron-ministries-inc-1
Tie And Doll Inc	/org/tie-and-doll-inc
Christian Service Center Inc	/org/christian-service-center-inc-2
San Inc	/org/san-inc
Marys Shelter	/org/marys-shelter-2
Mission Birmingham	/org/mission-birmingham
Independent Reading Counseling Services Inc	/org/independent-reading-counseling-services-inc
Center Of Hope	/org/center-of-hope-4
Canebrake Memorial Golf Tournament Inc	/org/canebrake-memorial-golf-tournament-inc
Cyber Workforce Corp	/org/cyber-workforce-corp
Children and Parents Everywhere, Inc.	/org/children-and-parents-everywhere-inc
Rashel Foundation	/org/rashel-foundation
Destiny School Of Kingdom Expansion Inc	/org/destiny-school-of-kingdom-expansion-inc
LEE COUNTY AUTISM RESOURCE AND ADVOCACY	/org/lee-county-autism-resource-and-advocacy
Crisis That Resolve Interactive Behavior Solutions - Cribs	/org/crisis-that-resolve-interactive-behavior-solutions-cribs
Big Oak Ranch Inc	/org/big-oak-ranch-inc
