org_name	org_url
Vaccination News A Nonprofit Corporation	/org/vaccination-news-a-nonprofit-corporation
Seward Association For The Advancement Of Marine Science	/org/seward-association-for-the-advancement-of-marine-science
Straw for Dogs	/org/straw-for-dogs
Alaska Arts Southeast Inc	/org/alaska-arts-southeast-inc
Beans Cafe Inc	/org/beans-cafe-inc
Forget Me Not Mission II	/org/forget-me-not-mission-ii
North Star Youth Court	/org/north-star-youth-court
Kenai Watershed Forum	/org/kenai-watershed-forum
Brave Heart Volunteers	/org/brave-heart-volunteers
Armed Services Ymca Of The Usa	/org/armed-services-ymca-of-the-usa
Law Project For Psychiatric Rights Inc	/org/law-project-for-psychiatric-rights-inc
Alaska Network On Domestic Violence And Sexual Assault Inc	/org/alaska-network-on-domestic-violence-and-sexual-assault-inc
Friends of the Campbell Creek Science Center	/org/friends-of-the-campbell-creek-science-center
Hospice Of The Central Peninsula Inc	/org/hospice-of-the-central-peninsula-inc
Green Star of Interior Alaska	/org/green-star-of-interior-alaska
Alaska Multiple Sclerosis Center Inc	/org/alaska-multiple-sclerosis-center-inc
North America Outdoor Institute	/org/north-america-outdoor-institute-1
Real Alaskan Alpine Club	/org/real-alaskan-alpine-club
Afghan Child Project	/org/afghan-child-project
ALASKA COMMUNITY ACTION ON TOXICS	/org/alaska-community-action-on-toxics
Alaskas Healing Hearts	/org/alaskas-healing-hearts
Girdwood 2020	/org/girdwood-2020
Challenge Alaska	/org/challenge-alaska
Alaska Tennis Association Inc	/org/alaska-tennis-association-inc
Matanuska Valley Sportsmen Inc	/org/matanuska-valley-sportsmen-inc
Valdez Museum And Historical Archive Association Incorporated	/org/valdez-museum-and-historical-archive-association-incorporated
Polynesian Association Of Alaska Inc	/org/polynesian-association-of-alaska-inc
Anchorage Waldorf Education Association Inc	/org/anchorage-waldorf-education-association-inc
Iditarod Trail Committee Inc	/org/iditarod-trail-committee-inc
Great Land Trust Inc	/org/great-land-trust-inc
Anchorage Community Theatre Inc	/org/anchorage-community-theatre-inc
Pet Pride Of Alaska Incorporated	/org/pet-pride-of-alaska-incorporated
Talkeetna Historical Society	/org/talkeetna-historical-society
HANNAH MINISTRIES INC	/org/hannah-ministries-inc-1
Southcentral Foundation	/org/southcentral-foundation
Stuart Lutton Scholarship Fund	/org/stuart-lutton-scholarship-fund
Friends Of Recycling	/org/friends-of-recycling-1
South East Alaska Land Trust	/org/south-east-alaska-land-trust
Children's Surgical Centre	/org/childrens-surgical-centre
Homer Community Food Pantry	/org/homer-community-food-pantry
Alaska Association For Historic Preservation Inc	/org/alaska-association-for-historic-preservation-inc
INSTITUTE OF THE NORTH	/org/institute-of-the-north
Habitat For Humanity International Inc	/org/habitat-for-humanity-international-inc-1477
Rotary International	/org/rotary-international-7500
Love In The Name Of Christ Of The Tanana Valley	/org/love-in-the-name-of-christ-of-the-tanana-valley
Downtown Soup Kitchen	/org/downtown-soup-kitchen
Girdwood Inc	/org/girdwood-inc
Kachemak Heritage Land Trust Inc	/org/kachemak-heritage-land-trust-inc
Christian Mission Ministry Inc	/org/christian-mission-ministry-inc
JUNEAU ARTS AND HUMANITIES COUNCIL	/org/juneau-arts-and-humanities-council
ZONTA YELLOW ROSE FOUNDATION	/org/zonta-yellow-rose-foundation
Alaska Legal Services Corporation	/org/alaska-legal-services-corporation
Kenai Peninsula Fair Association	/org/kenai-peninsula-fair-association
Tanana Chiefs Conference	/org/tanana-chiefs-conference
Sitka Conservation Society	/org/sitka-conservation-society
Alaska Raptor Rehabilitation Center Inc Arrc	/org/alaska-raptor-rehabilitation-center-inc-arrc
Alaska Missions And Retreats	/org/alaska-missions-and-retreats
Fairbanks Rescue Mission Inc	/org/fairbanks-rescue-mission-inc
Kitty And K-9 Connection - - A New Leash On Life	/org/kitty-and-k-9-connection-a-new-leash-on-life
ALASKA WORLD AFFAIRS COUNCIL	/org/alaska-world-affairs-council
Alaska Society For Prevention Of Cruelty To Animals	/org/alaska-society-for-prevention-of-cruelty-to-animals
Alaska Assistance Dogs	/org/alaska-assistance-dogs
Ascent Russian Orphan Aid Foundation	/org/ascent-russian-orphan-aid-foundation
Tba Theatre Inc	/org/tba-theatre-inc
Anchorage Cooperative Preschool Inc	/org/anchorage-cooperative-preschool-inc
Little Bears Playhouse	/org/little-bears-playhouse
Mid-Valley Seniors Incorporated	/org/mid-valley-seniors-incorporated
Alaska Pta	/org/alaska-pta-70
Friends Of Alaska Casa	/org/friends-of-alaska-casa
Spenard Church Of Christ	/org/spenard-church-of-christ
Northern Lights Swim Club Boosters	/org/northern-lights-swim-club-boosters
Han Ma Um Zen Center Of Alaska Inc	/org/han-ma-um-zen-center-of-alaska-inc
Church Of Christ	/org/church-of-christ-120
Toastmasters International, Inc.	/org/toastmasters-international-inc_3667
Alaska Buddhist Society-Hwei Yuan Town	/org/alaska-buddhist-society-hwei-yuan-town
Alaska Pta	/org/alaska-pta-66
Alaska Baptist Convention Inc	/org/alaska-baptist-convention-inc
Civil Air Patrol, Inc.	/org/civil-air-patrol-inc-1
Juneau Community Garden Assoc	/org/juneau-community-garden-assoc
Anchorage Community College Alumni Association	/org/anchorage-community-college-alumni-association
Alaska Rural Electric Cooperative Association Educational Foundation	/org/alaska-rural-electric-cooperative-association-educational-foundation
Seward Composite Squadron	/org/seward-composite-squadron
Alaska Statewide Special Education Conference	/org/alaska-statewide-special-education-conference
Alaska Center For Land Reform Inc	/org/alaska-center-for-land-reform-inc
Little League Baseball Inc	/org/little-league-baseball-inc-147
Alaska Pta	/org/alaska-pta-101
Eagle Wings Community Church	/org/eagle-wings-community-church
Cordova Family Resource Center	/org/cordova-family-resource-center
Peninsula Dancers, Inc.	/org/peninsula-dancers-inc
Interior Youth Basketball Inc	/org/interior-youth-basketball-inc
Anchorage Horse Council Inc	/org/anchorage-horse-council-inc
International Ministerial Association, Inc.-Revival Tabernacle	/org/international-ministerial-association-inc-revival-tabernacle
Jim Martin Scholarship Fund	/org/jim-martin-scholarship-fund
Alaska Pta	/org/alaska-pta-36
Anchorage Post Society Of American Military Engineers Benjamin B	/org/anchorage-post-society-of-american-military-engineers-benjamin-b
Horizons Unlimited	/org/horizons-unlimited
Juneau Youth Football League Inc	/org/juneau-youth-football-league-inc
Mcgrath Road Baptist Church	/org/mcgrath-road-baptist-church
Baxter Bible Church Efca	/org/baxter-bible-church-efca
Alaska Junior Theater Inc	/org/alaska-junior-theater-inc
Affinity Films Inc	/org/affinity-films-inc
National Spiritual Assembly Of The Bahais Of Alaska Tok	/org/national-spiritual-assembly-of-the-bahais-of-alaska-tok
Voice For Christ Ministries Incorporated	/org/voice-for-christ-ministries-incorporated
Alaska Pta	/org/alaska-pta-21
Pta Alaska Congress	/org/pta-alaska-congress_62338
Until That Day Church	/org/until-that-day-church
Safe And Fear-Free Environment	/org/safe-and-fear-free-environment
Talkeetna Bible Church	/org/talkeetna-bible-church
North Pole Christian School	/org/north-pole-christian-school
Trinity Baptist Church Of Fairbanks Alaska	/org/trinity-baptist-church-of-fairbanks-alaska
Eagle Historical Society Of Alaska	/org/eagle-historical-society-of-alaska
Nick Begich Scholarship Intern Fund	/org/nick-begich-scholarship-intern-fund
Anchorage Grace Brethren Church Inc	/org/anchorage-grace-brethren-church-inc
Anchorage Bible Fellowship	/org/anchorage-bible-fellowship
Juneau International Folk Dancers	/org/juneau-international-folk-dancers
Perseverance Theatre Incorporated	/org/perseverance-theatre-incorporated
South Kachemak Corp., Inc.	/org/south-kachemak-corp-inc
Alaska Pta	/org/alaska-pta-19
National Spiritual Assembly Of The Bahais Of Alaska Assembly Of Hoona	/org/national-spiritual-assembly-of-the-bahais-of-alaska-assembly-of-hoona
Spiritual Assembly Of The Bahais Of Palmer	/org/spiritual-assembly-of-the-bahais-of-palmer
Last Frontier Toastmasters Club	/org/last-frontier-toastmasters-club
American Friends Of Claremont Fan Court School	/org/american-friends-of-claremont-fan-court-school
Association Of Alaska School Board	/org/association-of-alaska-school-board
Pta Alaska Pt Higgins	/org/pta-alaska-pt-higgins
Mustang Hockey Association	/org/mustang-hockey-association
Tundra Tykes Incorporated	/org/tundra-tykes-incorporated
Toughlove Of Kodiak Island	/org/toughlove-of-kodiak-island
Haines Senior Citizens Center Inc	/org/haines-senior-citizens-center-inc
American Guild Of Organists	/org/american-guild-of-organists-235
Alaska Pta	/org/alaska-pta-92
