org_name	org_url
American Samoa Swimming Association	/org/american-samoa-swimming-association
Amerika Samoa Humanities Council	/org/amerika-samoa-humanities-council
South Pacific Mini-Games Foundation, Inc.	/org/south-pacific-mini-games-foundation-inc
First Tongan Baptist Church Of Ilili	/org/first-tongan-baptist-church-of-ilili
The Sisters Of Nazareth Of American Samoa	/org/the-sisters-of-nazareth-of-american-samoa
Emmanuel Baptist Church	/org/emmanuel-baptist-church-7
Le Vaomatua Inc	/org/le-vaomatua-inc
Samoa Korean Baptist Church	/org/samoa-korean-baptist-church
Tautua Samoa Association	/org/tautua-samoa-association
Happy Valley Baptist Church	/org/happy-valley-baptist-church-1
South Pacific Baptist Association	/org/south-pacific-baptist-association
South Pacific Academy	/org/south-pacific-academy
Samoa Baptist Academy	/org/samoa-baptist-academy
American Samoa Veterans War Memorial Incorporation	/org/american-samoa-veterans-war-memorial-incorporation
New Apostolic Church Of Tafuna As	/org/new-apostolic-church-of-tafuna-as
New Apostolic Church Of Pago Pago As	/org/new-apostolic-church-of-pago-pago-as
American Samoa National Olympic Committee	/org/american-samoa-national-olympic-committee
American Samoa Equestrian Federation	/org/american-samoa-equestrian-federation
Native American Samoan Advisory Cou	/org/native-american-samoan-advisory-cou
Alofa Tunoa Samoa Medical Supply	/org/alofa-tunoa-samoa-medical-supply
The Coalition Of Reef Lovers Inc	/org/the-coalition-of-reef-lovers-inc
Intersections Inc	/org/intersections-inc-1
St Peter Chanel Parish Fagasa	/org/st-peter-chanel-parish-fagasa
Marist St Josephs Old Pupils - American Samoa Incorporated	/org/marist-st-josephs-old-pupils-american-samoa-incorporated
Le Vasa	/org/le-vasa
Governor Tauese Sunia Leadership Foundation	/org/governor-tauese-sunia-leadership-foundation
Harvest Vision Church Inc	/org/harvest-vision-church-inc
Ina Ilau A Tama Ita I Inc	/org/ina-ilau-a-tama-ita-i-inc
National Air Traffic Controllers Association	/org/national-air-traffic-controllers-association-214
Pago Pago Commercial Fishermen Association	/org/pago-pago-commercial-fishermen-association
Charity And Hope Ministries	/org/charity-and-hope-ministries
Womens Community Action Program	/org/womens-community-action-program
Hope House	/org/hope-house-2
Fofo County Coalition	/org/fofo-county-coalition
Boys And Girls Club Of American Samoa	/org/boys-and-girls-club-of-american-samoa
American Samoa Alliance Against Domestic And Sexual Violence	/org/american-samoa-alliance-against-domestic-and-sexual-violence
American Samoa Community Cancer Coalition	/org/american-samoa-community-cancer-coalition
Graspp - God Restores And Saves Precious People	/org/graspp-god-restores-and-saves-precious-people
T K Tilo Lighthouse Bible College Inc	/org/t-k-tilo-lighthouse-bible-college-inc
Alofa Mo Meaola	/org/alofa-mo-meaola
Flowers Of Tomorrow	/org/flowers-of-tomorrow
Pala Lagoon Swimming Center Inc	/org/pala-lagoon-swimming-center-inc
American Samoa Legal Aid Inc	/org/american-samoa-legal-aid-inc
Pacific Horizons School Inc	/org/pacific-horizons-school-inc
Teen Challenge American Samoa	/org/teen-challenge-american-samoa
American Samoa Association Of Paddlers	/org/american-samoa-association-of-paddlers
Lealaifuaneva Peter Reid Charitable Foundation Ltd	/org/lealaifuaneva-peter-reid-charitable-foundation-ltd
Pacific Island Ministries	/org/pacific-island-ministries
Tafuna Baptist Church	/org/tafuna-baptist-church
American Samoa Organization On Aging Inc	/org/american-samoa-organization-on-aging-inc
Heart Of Worship Ministry	/org/heart-of-worship-ministry
Pago Pago Baptist Church	/org/pago-pago-baptist-church
Manumalo Inc	/org/manumalo-inc
Back On Track	/org/back-on-track-1
Football Federation Of American Samoa	/org/football-federation-of-american-samoa
A Better Community Organization	/org/a-better-community-organization
American Samoa Chinese Community Association Inc	/org/american-samoa-chinese-community-association-inc
American Samoa Adventist Media Inc	/org/american-samoa-adventist-media-inc
Toe Afua Mai Matua Samoa Incorporation	/org/toe-afua-mai-matua-samoa-incorporation
Malosiaga Mo Samoa	/org/malosiaga-mo-samoa
Business & Professional Women Of Pago Pago	/org/business-professional-women-of-pago-pago
Kanana Fou High School Pta	/org/kanana-fou-high-school-pta
American Samoa Seniors Association Tofa Mamao	/org/american-samoa-seniors-association-tofa-mamao
Fagaitua Hs Alumni Association	/org/fagaitua-hs-alumni-association
Sooula Aso Lelei	/org/sooula-aso-lelei
Grace Ministry	/org/grace-ministry-1
American Samoa Adventist Media Inc	/org/american-samoa-adventist-media-inc
Toe Afua Mai Matua Samoa Incorporation	/org/toe-afua-mai-matua-samoa-incorporation
Malosiaga Mo Samoa	/org/malosiaga-mo-samoa
Business & Professional Women Of Pago Pago	/org/business-professional-women-of-pago-pago
Kanana Fou High School Pta	/org/kanana-fou-high-school-pta
American Samoa Seniors Association Tofa Mamao	/org/american-samoa-seniors-association-tofa-mamao
