org_name	org_url
Veteran Tickets Foundation - Vet Tix	/org/veteran-tickets-foundation-vet-tix
Center for Biological Diversity Inc	/org/center-for-biological-diversity-inc
Oasis Sanctuary Foundation, Ltd.	/org/oasis-sanctuary-foundation-ltd
ICAN, International Cancer Advocacy Network	/org/ican-international-cancer-advocacy-network
Friends of Saguaro National Park Inc	/org/friends-of-saguaro-national-park-inc
Equine Wellbeing Rescue Inc.	/org/equine-wellbeing-rescue-inc
Hacienda De Los Milagros, Inc.	/org/hacienda-de-los-milagros-inc
Arizona Russian Center	/org/arizona-russian-center
Arizona Animal Welfare League, Inc.	/org/arizona-animal-welfare-league-inc
Teen Lifeline Inc	/org/teen-lifeline-inc-1
Journeys End Ranch Animal Sanctuary	/org/journeys-end-ranch-animal-sanctuary
SARSEF: S. AZ Research, Science & Engineering Foundation (SciEnTeK-12)	/org/sarsef-s-az-research-science-engineering-foundation-scientek-12
Northern Jaguar Project	/org/northern-jaguar-project
Watershed Management Group Inc	/org/watershed-management-group-inc
Arizona Lions Camp Tatiyee Inc	/org/arizona-lions-camp-tatiyee-inc
The Hermitage Cat Shelter	/org/the-hermitage-cat-shelter
Sky Island Alliance	/org/sky-island-alliance
Forever Young Foundation	/org/forever-young-foundation
Tranquility Trail Animal Sanctuary	/org/tranquility-trail-animal-sanctuary
S H I E L D Foundation	/org/s-h-i-e-l-d-foundation
HopeKids	/org/hopekids
HALO Animal Rescue	/org/halo-animal-rescue
Furever Friends Rescue	/org/furever-friends-rescue
Second Chance Center For Animals	/org/second-chance-center-for-animals
Arizona Humane Society	/org/arizona-humane-society
The BREAST CANCER SOCIETY INC	/org/the-breast-cancer-society-inc
Face in the Mirror Foundation	/org/face-in-the-mirror-foundation
GAP Ministries	/org/gap-ministries-1
Arizona Myeloma Network	/org/arizona-myeloma-network
Happily Ever After League Inc	/org/happily-ever-after-league-inc
Arts Express	/org/arts-express
Kaitys Way	/org/kaitys-way
New Way Academy	/org/new-way-academy
Phoenix Women's Chorus	/org/phoenix-womens-chorus
Lost Our Home Pet Foundation Inc	/org/lost-our-home-pet-foundation-inc
Keepers of the Wild	/org/keepers-of-the-wild
Dreamchaser PMU Rescue & Rehabilitation	/org/dreamchaser-pmu-rescue-rehabilitation
World Genesis Foundation	/org/world-genesis-foundation
Visionquest 20/20	/org/visionquest-20-20
Make-A-Wish Arizona	/org/make-a-wish-arizona
Tell Me A Good Story	/org/tell-me-a-good-story
Gabriel's Angels	/org/gabriels-angels
Goodwill Industries of Central Arizona	/org/goodwill-industries-of-central-arizona
Handi-Dogs, Inc.	/org/handi-dogs-inc
Turn Your Life Around (TYLA) Inc	/org/turn-your-life-around-tyla-inc
Anthem Pets Animal Rescue	/org/anthem-pets-animal-rescue
Cancer Fund of America, Inc.	/org/cancer-fund-of-america-inc
Child & Family Resources, Inc.	/org/child-family-resources-inc
MASK (Mothers Awareness on School-age Kids)	/org/mask-mothers-awareness-on-school-age-kids
Unified Progress International (UPI) Education Inc.	/org/unified-progress-international-upi-education-inc
Raising Special Kids	/org/raising-special-kids
Yavapai Humane Society	/org/yavapai-humane-society
Tucson Wildlife Center	/org/tucson-wildlife-center
Rockstar Canine Rescue & Sanctuary	/org/rockstar-canine-rescue-sanctuary
Actors Theatre of Phoenix	/org/actors-theatre-of-phoenix
Scottsdale International Film Festival Inc	/org/scottsdale-international-film-festival-inc
100 Club of Arizona	/org/100-club-of-arizona
The Freecycle Network	/org/the-freecycle-network
Spotlight Youth Theatre	/org/spotlight-youth-theatre
Stepping Stones Foundation, Inc.	/org/stepping-stones-foundation-inc
Liberty Wildlife Rehabilitation Foundation, Inc.	/org/liberty-wildlife-rehabilitation-foundation-inc
Casa Center for Positive Social Change	/org/casa-center-for-positive-social-change
Stepping Stones Foundation, Inc.	/org/stepping-stones-foundation-inc
Make Way For Books	/org/make-way-for-books
Kingman's Healing Hooves	/org/kingmans-healing-hooves
Ecosa Institute	/org/ecosa-institute
CO+ Foundation	/org/co-foundation
Arizona Autism United	/org/arizona-autism-united
Future for Kids	/org/future-for-kids
Child Crisis Arizona	/org/child-crisis-arizona-1
Sexto Sol Center For Community Action	/org/sexto-sol-center-for-community-action
Arizona Small Dog Rescue	/org/arizona-small-dog-rescue
ICAN: Positive Programs for Youth	/org/ican-positive-programs-for-youth
Shoebox Ministry, Inc.	/org/shoebox-ministry-inc
Let there Be Hope Medical Research Institute	/org/let-there-be-hope-medical-research-institute
Down Syndrome Network	/org/down-syndrome-network
Animals in Disaster (AID),Empty Bowl Pet Food Pantry, Disaster Service Inc	/org/animals-in-disaster-aid-empty-bowl-pet-food-pantry-disaster-service-inc
St. Mary's Food Bank Alliance	/org/st-marys-food-bank-alliance
Singleton Moms	/org/singleton-moms
KEEP SEDONA BEAUTIFUl	/org/keep-sedona-beautiful
Dancers and Health Together Inc	/org/dancers-and-health-together-inc
The Cultural Cup Food Bank	/org/the-cultural-cup-food-bank
Casa Council Helping Children of Mohave County	/org/casa-council-helping-children-of-mohave-county
Vets4Vets	/org/vets4vets-2
Foundation for Children With Microcephaly	/org/foundation-for-children-with-microcephaly
Childhelp Inc	/org/childhelp-inc
Cochise Canine Rescue	/org/cochise-canine-rescue
Matthews Crossing	/org/matthews-crossing
Friends of Public Radio Arizona	/org/friends-of-public-radio-arizona
Starbright Foundation	/org/starbright-foundation-1
Matthews Crossing	/org/matthews-crossing
Starbright Foundation	/org/starbright-foundation-1
Hearts That Purr Feline Guardians	/org/hearts-that-purr-feline-guardians
Heard Museum	/org/heard-museum
Higher Ground A Resource Center	/org/higher-ground-a-resource-center
Sun Cities 4 Paws Rescue	/org/sun-cities-4-paws-rescue
Good News India	/org/good-news-india-1
Southwest Autism Research and Resource Center	/org/southwest-autism-research-and-resource-center
North Country Conservancy Inc	/org/north-country-conservancy-inc
Maggies Place Inc	/org/maggies-place-inc
Interfaith Community Services	/org/interfaith-community-services
Arizona Trail Association	/org/arizona-trail-association
Wild at Heart Inc	/org/wild-at-heart-inc
Arizona Asthma Coalition	/org/arizona-asthma-coalition
Chrysalis Shelter For Victims of Domestic Violence Inc	/org/chrysalis-shelter-for-victims-of-domestic-violence-inc
Arizona Womens Education and Employment Inc	/org/arizona-womens-education-and-employment-inc
Actors Youth Theatre	/org/actors-youth-theatre
Free Arts for Abused Children of Arizona	/org/free-arts-for-abused-children-of-arizona
Animal Defense League of Arizona	/org/animal-defense-league-of-arizona
Ajs Best Friends Persian & Himalayan Rescue	/org/ajs-best-friends-persian-himalayan-rescue
Arouet Foundation	/org/arouet-foundation
Resolution Horse Company	/org/resolution-horse-company
Cancer Response Team	/org/cancer-response-team
Positive Network Alliance Inc	/org/positive-network-alliance-inc
Scott Foundation	/org/scott-foundation-1
Petfinder Com Foundation	/org/petfinder-com-foundation
International Pain Foundation	/org/international-pain-foundation
Assistance League of Tucson, Inc	/org/assistance-league-of-tucson-inc
Yavapai Casa for Kids Foundation	/org/yavapai-casa-for-kids-foundation
Empowerment Through Sports	/org/empowerment-through-sports
Tempe Community Action Agency	/org/tempe-community-action-agency
Family Unification Support Services, Inc.	/org/family-unification-support-services-inc
Blueprint Education	/org/blueprint-education
Save the Family	/org/save-the-family
Hearts for Love Worldwide Inc	/org/hearts-for-love-worldwide-inc
Daring Adventures	/org/daring-adventures
San Pedro River Arts Council	/org/san-pedro-river-arts-council
Alliance Defending Freedom	/org/alliance-defending-freedom
Bridging-AZ Furniture Bank, Inc.	/org/bridging-az-furniture-bank-inc
Empire Ranch Foundation	/org/empire-ranch-foundation
Foundation for Homeless Cats	/org/foundation-for-homeless-cats
Environmental Fund for Arizona	/org/environmental-fund-for-arizona
Petsmart Charities Inc	/org/petsmart-charities-inc
K2 Adventures Foundation	/org/k2-adventures-foundation
Mutt Matchers & Friends	/org/mutt-matchers-friends
MusicaNova Orchestra	/org/musicanova-orchestra
Steps to Recovery Homes	/org/steps-to-recovery-homes
Sojourner Center	/org/sojourner-center
Esperanca, Inc.	/org/esperanca-inc
Arizona American Saddlebred Foundation	/org/arizona-american-saddlebred-foundation
Jewish Voice Ministries International	/org/jewish-voice-ministries-international
Answers for Life Pregnancy Center	/org/answers-for-life-pregnancy-center
Tucson International School	/org/tucson-international-school
Boat Angel Donation Center	/org/boat-angel-donation-center
Desert Hockey Development	/org/desert-hockey-development
Phoenix Metropolitan Opera	/org/phoenix-metropolitan-opera
Parent Aid - Child Abuse Prevention Center, Inc.	/org/parent-aid-child-abuse-prevention-center-inc
Barry Goldwater Institute for Public Policy Research	/org/barry-goldwater-institute-for-public-policy-research
Phoenix Collegiate Academy	/org/phoenix-collegiate-academy
Muscular Dystrophy Association	/org/muscular-dystrophy-association
Friends 4 the Future	/org/friends-4-the-future
Valle del Sol	/org/valle-del-sol-1
United Food Bank	/org/united-food-bank
Cause Inc Foundation	/org/cause-inc-foundation
Grand Canyon Association	/org/grand-canyon-association
Henderson-Hughes Health Partners H3P Inc	/org/henderson-hughes-health-partners-h3p-inc
Womens Entrepreneurship Initiative	/org/womens-entrepreneurship-initiative
Peoria Education Foundation	/org/peoria-education-foundation
Desert Sounds Performing Arts Inc	/org/desert-sounds-performing-arts-inc
Golden Bone Rescue And Rehab	/org/golden-bone-rescue-and-rehab
Vertical World Solutions	/org/vertical-world-solutions
B-26 Marauder Historical Society	/org/b-26-marauder-historical-society
House Of Refuge Sunnyslope Inc	/org/house-of-refuge-sunnyslope-inc
Rosson House Heritage Square & Foundation Inc	/org/rosson-house-heritage-square-foundation-inc
Room for Joy	/org/room-for-joy
Hoofbeats With Heart	/org/hoofbeats-with-heart
Kingman Old Timers Chat-N-Chow	/org/kingman-old-timers-chat-n-chow
Borderlinks	/org/borderlinks
Reach Up Magazine	/org/reach-up-magazine
Metropolitan Youth Symphony	/org/metropolitan-youth-symphony-1
Triple R Horse Rescue Of Arizona	/org/triple-r-horse-rescue-of-arizona
SYSTEM Coalition	/org/system-coalition
UNITED STATES WAR VETERANS PTSD FOUNDATION	/org/united-states-war-veterans-ptsd-foundation
Exotic Heritage Cat Association of America	/org/exotic-heritage-cat-association-of-america
Amvets	/org/amvets-1489
Women In New Recovery	/org/women-in-new-recovery
Ballet Folklorico Esperanza	/org/ballet-folklorico-esperanza
