org_name	org_url
Safe Places Little Rock	/org/safe-places-little-rock
Arkansas Rice Depot, Inc.	/org/arkansas-rice-depot-inc
Rock City Rescue	/org/rock-city-rescue
Heifer Project International, Inc.	/org/heifer-project-international-inc
Environmental and Spatial Technology Inc	/org/environmental-and-spatial-technology-inc
Shepherds Fold Ministry Inc	/org/shepherds-fold-ministry-inc
Jones Center For Families Inc	/org/jones-center-for-families-inc
Arkansans for Animals Inc	/org/arkansans-for-animals-inc
Arkansas Search Dog Association Inc	/org/arkansas-search-dog-association-inc
Oaxaca Street Children Grassroots, Inc.	/org/oaxaca-street-children-grassroots-inc
Ouachita Calhoun Counties Literacy Council	/org/ouachita-calhoun-counties-literacy-council
Southern States Rescued Rottweilers Inc	/org/southern-states-rescued-rottweilers-inc
Garland County Animal Welfare Association Inc d/b/a Humane Society of Garland County	/org/garland-county-animal-welfare-association-inc
Arkansas Single Parent Scholarship Fund, Inc	/org/arkansas-single-parent-scholarship-fund-inc
Arkansas Heart Foundation	/org/arkansas-heart-foundation
Women & Children First the Center Against Family Violence	/org/women-children-first-the-center-against-family-violence
Columbia County Animal Protection Society Inc	/org/columbia-county-animal-protection-society-inc
Cancer Charity4 Life Inc.	/org/cancer-charity4-life-inc
Ozark Homeward Bound	/org/ozark-homeward-bound
Stray Central	/org/stray-central
The William J Clinton Foundation	/org/the-william-j-clinton-foundation
Arkansas Women In Agriculture Inc	/org/arkansas-women-in-agriculture-inc
Samaritan House Community Center	/org/samaritan-house-community-center
Arkansas Sheriffs Youth Ranches Inc	/org/arkansas-sheriffs-youth-ranches-inc
Heifer International Foundation	/org/heifer-international-foundation
Temple Shalom Of Northwest Arkansas	/org/temple-shalom-of-northwest-arkansas
Good Samaritan Ministries	/org/good-samaritan-ministries
Mid-America Science Museum	/org/mid-america-science-museum
Turpentine Creek Foundation Inc	/org/turpentine-creek-foundation-inc
Single Parent Scholarship Fund Of Pulaski County	/org/single-parent-scholarship-fund-of-pulaski-county
The Arc for River Valley	/org/the-arc-for-river-valley
WAL-MART ASSOCIATES IN CRITICAL NEED FUND	/org/wal-mart-associates-in-critical-need-fund
Critter Holler Animal Rescue	/org/critter-holler-animal-rescue
Teen Recruiters	/org/teen-recruiters
Hot Springs Village Animal Welfare League Inc	/org/hot-springs-village-animal-welfare-league-inc
Lupus Foundation of  Arkansas , Inc.	/org/lupus-foundation-of-arkansas-inc
Suzuki Institute For Musical Training, Inc.	/org/suzuki-institute-for-musical-training-inc
Dyaln's Closet	/org/dyalns-closet
Life Skills For Youth	/org/life-skills-for-youth
Project 180, Inc.	/org/project-180-inc-2
Rescue Road	/org/rescue-road
Stop Animal Cruelty In Hot Spring County Arkansas Inc	/org/stop-animal-cruelty-in-hot-spring-county-arkansas-inc
FRIENDSHIP COMMUNITY CARE INC	/org/friendship-community-care-inc
Arkansas Community Foundation, Inc.	/org/arkansas-community-foundation-inc
Champions For Kids	/org/champions-for-kids
STEPHENS EDUCATIONAL PROGRAM	/org/stephens-educational-program
Sheep Dog Impact Assistance	/org/sheep-dog-impact-assistance
UNION RESCUE MISSION INC	/org/union-rescue-mission-inc
Lyon College	/org/lyon-college
Feline Rescue And Rehome Inc	/org/feline-rescue-and-rehome-inc
Baca Of Arkansas	/org/baca-of-arkansas
The Southern Delta Church of Wicca	/org/the-southern-delta-church-of-wicca
THRIVE INC	/org/thrive-inc-1
Impact 360	/org/impact-360
Taters Ark Animal Welfare Fund Inc	/org/taters-ark-animal-welfare-fund-inc
GIVE ME A CHANCE EQUINE RESCUE	/org/give-me-a-chance-equine-rescue
Boys And Girls Club Of Faulkner County Arkansas Inc	/org/boys-and-girls-club-of-faulkner-county-arkansas-inc
World Services For The Blind Incorporated	/org/world-services-for-the-blind-incorporated
Arkansas Foodbank	/org/arkansas-foodbank
A Home In Haiti Inc	/org/a-home-in-haiti-inc
Forrest City Area Humane Society	/org/forrest-city-area-humane-society
Fountain of Youth Adult Day Center	/org/fountain-of-youth-adult-day-center
The Ivy Center For Education Inc	/org/the-ivy-center-for-education-inc
Central Arkansas Spca	/org/central-arkansas-spca
Parents Of Murdered Children	/org/parents-of-murdered-children-45
Saints Taking A New Direction Inc	/org/saints-taking-a-new-direction-inc
Meadowbrook Community Outreach Program	/org/meadowbrook-community-outreach-program
LITERACY COUNCIL OF WHITE COUNTY	/org/literacy-council-of-white-county
Conway United Soccer Association	/org/conway-united-soccer-association
Sources For Community Independent Living Services	/org/sources-for-community-independent-living-services
Circle Of Life Hospice Foundation	/org/circle-of-life-hospice-foundation-1
Hope For The Young	/org/hope-for-the-young
Fraternal Order Of Police	/org/fraternal-order-of-police-1206
Victory Walk Inc	/org/victory-walk-inc
End Time Handmaidens Inc	/org/end-time-handmaidens-inc
Congregation Etz Chaim Of Northwest Arkansas	/org/congregation-etz-chaim-of-northwest-arkansas
Saving Grace	/org/saving-grace-1
Northwest Arkansas Land Trust	/org/northwest-arkansas-land-trust
Lonoke County Task Force On Child Abuse And Neglect Inc	/org/lonoke-county-task-force-on-child-abuse-and-neglect-inc
White Cell Inc	/org/white-cell-inc
Fort Smith Montesorri School Inc	/org/fort-smith-montesorri-school-inc
Humane Society Of Pulaski County	/org/humane-society-of-pulaski-county
Heber Springs Humane Society	/org/heber-springs-humane-society
Godfrey Thomas Foundation Inc	/org/godfrey-thomas-foundation-inc
Mays Mission For The Handicapped Inc	/org/mays-mission-for-the-handicapped-inc
Northwest Arkansas Radiation Therapy Institute	/org/northwest-arkansas-radiation-therapy-institute
Spiritual Concepts International	/org/spiritual-concepts-international
Reeds Bridge Battlefield Preservation Society Inc	/org/reeds-bridge-battlefield-preservation-society-inc
ARKANSAS RESCUING UNWANTED FURRY FRIENDS	/org/arkansas-rescuing-unwanted-furry-friends
Oasis Of Northwest Arkansas	/org/oasis-of-northwest-arkansas
Forestine Smith Ministries	/org/forestine-smith-ministries
Rockin Aa Sanctuary Inc	/org/rockin-aa-sanctuary-inc
Arkansas Support Network Inc	/org/arkansas-support-network-inc
NAMI-ARKANSAS	/org/nami-arkansas
Health Talents International Inc	/org/health-talents-international-inc
Paragould Goodfellows Inc	/org/paragould-goodfellows-inc
El Dorado Boys Club Foundation	/org/el-dorado-boys-club-foundation
Dee Cash Ministries	/org/dee-cash-ministries
Arkansas Regional Organ Recovery Agency Inc	/org/arkansas-regional-organ-recovery-agency-inc
United Cerebral Palsy of Central Arkansas, Inc.	/org/united-cerebral-palsy-of-central-arkansas-inc
National Center For Fathering	/org/national-center-for-fathering
Youth Bridge Inc	/org/youth-bridge-inc
EUREKA KIDS	/org/eureka-kids
Eastern Arkansas Ballet Inc	/org/eastern-arkansas-ballet-inc
CASA,Court Appointed Special Advocates of the 2nd Judicial District-Arkansas	/org/casa-court-appointed-special-advocates-of-the-2nd-judicial-district-arkansa
GENTLE SOULS PIT BULL RESCUE	/org/gentle-souls-pit-bull-rescue
Our House Inc	/org/our-house-inc-6
Omni Center For Peace Justice And Ecology	/org/omni-center-for-peace-justice-and-ecology
Tender Heart Wildlife Rehabilitation Inc	/org/tender-heart-wildlife-rehabilitation-inc
Arkansas Living History Association	/org/arkansas-living-history-association
Fistula Relief Foundation For Africa	/org/fistula-relief-foundation-for-africa
Gods Feeding Hands	/org/gods-feeding-hands
Butterfly Kisses Outreach	/org/butterfly-kisses-outreach
Lonoke County Animal Education And Rescue Team	/org/lonoke-county-animal-education-and-rescue-team
Alis Angels Foundation Inc	/org/alis-angels-foundation-inc
Goodwill Industries of Arkansas, Inc.	/org/goodwill-industries-of-arkansas-inc
Ozark Natural Science Center Inc	/org/ozark-natural-science-center-inc
Degray Rural Fire Department	/org/degray-rural-fire-department
Hot Springs Documentary Film Institute	/org/hot-springs-documentary-film-institute
Child Abuse Awareness Inc	/org/child-abuse-awareness-inc
Grace Lutheran Church	/org/grace-lutheran-church-273
General Council Of The Assemblies Of God	/org/general-council-of-the-assemblies-of-god-201
Literacy Council Of Western Arkansas Inc	/org/literacy-council-of-western-arkansas-inc
United Daughters Of The Confederacy	/org/united-daughters-of-the-confederacy-11
Souls Harbor Church	/org/souls-harbor-church
Messiah Ministries Inc	/org/messiah-ministries-inc
East Oak Place	/org/east-oak-place
Arkansas Broadcasting Foundation	/org/arkansas-broadcasting-foundation
Boys & Girls Club Of Jefferson County	/org/boys-girls-club-of-jefferson-county-1
Southwest Arkansas Food Bank Incorporated	/org/southwest-arkansas-food-bank-incorporated
Northwest Arkansas Academic Competition Association	/org/northwest-arkansas-academic-competition-association
Mount Zion Presbytarian Cemetery Association	/org/mount-zion-presbytarian-cemetery-association
Central Christian College Inc	/org/central-christian-college-inc
Life Of Faith Christian Fellowship Inc	/org/life-of-faith-christian-fellowship-inc
Ozark Interpretive Association Inc	/org/ozark-interpretive-association-inc
Our Savior Lutheran Church	/org/our-savior-lutheran-church-154
Youth Advocates & Resource Network Inc	/org/youth-advocates-resource-network-inc
Centro Cristiano Hispano	/org/centro-cristiano-hispano
Associated Brotherhood Of Christians	/org/associated-brotherhood-of-christians-16
