org_name	org_url
The Office of Letters and Light	/org/the-office-of-letters-and-light
Erowid Center	/org/erowid-center
Sankara Eye Foundation USA	/org/sankara-eye-foundation-usa
Multidisciplinary Association For Psychedelic Studies	/org/multidisciplinary-association-for-psychedelic-studies
Iris Global	/org/iris-global
The Fistula Foundation	/org/the-fistula-foundation
RedRover	/org/redrover
weSPARK Cancer Support Center	/org/wespark-cancer-support-center
Mayan Families	/org/mayan-families
Endangered Species International	/org/endangered-species-international
Marley's Mutts Dog Rescue	/org/marleys-mutts-dog-rescue
A Place Called Home	/org/a-place-called-home-1
Junior Statesmen Foundation	/org/junior-statesmen-foundation
Last Chance for Animals	/org/last-chance-for-animals
Soaring Spirits International	/org/soaring-spirits-international
The Jonah Project	/org/the-jonah-project
Pediatric Cancer Research Foundation	/org/pediatric-cancer-research-foundation-1
Operation Gratitude Inc	/org/operation-gratitude-inc
UniversalGiving	/org/universalgiving
Lazarex Cancer Foundation	/org/lazarex-cancer-foundation
Cambodian Children's Fund	/org/cambodian-childrens-fund
Foundation for Sustainable Development	/org/foundation-for-sustainable-development-2
Kidpower Teenpower Fullpower International (known as Kidpower)	/org/kidpower-teenpower-fullpower-international-known-as-kidpower
Aim High	/org/aim-high
FixNation	/org/fixnation
The Trevor Project, Inc.	/org/the-trevor-project-inc
Cystic Fibrosis Research Inc	/org/cystic-fibrosis-research-inc
No Limits for deaf children	/org/no-limits-for-deaf-children
Shelter Partnership Inc	/org/shelter-partnership-inc
The Art of Elysium	/org/the-art-of-elysium
ProCon.org	/org/procon-org
Cure JM Foundation	/org/cure-jm-foundation
San Diego Dance Theatre	/org/san-diego-dance-theatre
Lupus Foundation of Northern California	/org/lupus-foundation-of-northern-california
Dogs on Deployment	/org/dogs-on-deployment
Hope of Survivors	/org/hope-of-survivors
Marine Mammal Center	/org/marine-mammal-center
One Heart Source	/org/one-heart-source
VIBHA	/org/vibha
Palomacy Pigeon & Dove Adoptions	/org/palomacy-pigeon-dove-adoptions
Palomacy Pigeon & Dove Adoptions	/org/palomacy-pigeon-dove-adoptions
Self Enquiry Life Fellowship	/org/self-enquiry-life-fellowship
Swan Center Outreach Inc	/org/swan-center-outreach-inc
Be The Star You Are Inc	/org/be-the-star-you-are-inc
Child Family Health International	/org/child-family-health-international
Solutions for Change	/org/solutions-for-change
Invisible Children Inc.	/org/invisible-children-inc
Starlight Children's Foundation - Global Office	/org/starlight-childrens-foundation-global-office-1
HEALINGPAQ Inc.	/org/healingpaq-inc
Move America Forward	/org/move-america-forward
High Fives Non-Profit Foundation	/org/high-fives-non-profit-foundation
Shoes That Fit	/org/shoes-that-fit
Animal Legal Defense Fund	/org/animal-legal-defense-fund
Nepal Youth Foundation	/org/nepal-youth-foundation
Sepsis Alliance	/org/sepsis-alliance
Beacon House Association of San Pedro	/org/beacon-house-association-of-san-pedro
AIDS Assistance Program	/org/aids-assistance-program
Truthout	/org/truthout
Youth Musical Theater Company	/org/youth-musical-theater-company
OnBehalf.org	/org/onbehalf-org
Diabetes Hands Foundation	/org/diabetes-hands-foundation
Spondylitis Association of America	/org/spondylitis-association-of-america
Habitot Children's Museum	/org/habitot-childrens-museum
Create Now, Inc.	/org/create-now-inc
CSIX Connect	/org/csix-connect
Hike It Up	/org/hike-it-up
Getmagic Corporation	/org/getmagic-corporation
Society Of Singers	/org/society-of-singers
Marine Science Institute	/org/marine-science-institute-1
OneSky (Half the Sky Foundation)	/org/onesky-half-the-sky-foundation
Compassion Without Borders	/org/compassion-without-borders
JobTrain, Inc.	/org/jobtrain-inc
Heaven on Earth Society for Animals Inc	/org/heaven-on-earth-society-for-animals-inc
Ceres Community Project	/org/ceres-community-project-1
Helping Out Pets Everyday	/org/helping-out-pets-everyday
Proyecto Itzaes	/org/proyecto-itzaes
Relief, Inc.	/org/relief-inc
Childrens Health Council Inc	/org/childrens-health-council-inc
Discovery Eye Foundation	/org/discovery-eye-foundation
Orange County Community Housing Corp.	/org/orange-county-community-housing-corp
Childrens Health Council Inc	/org/childrens-health-council-inc
MusEffect	/org/museffect
Okizu	/org/okizu
Foundation For Students Rising Above	/org/foundation-for-students-rising-above
National Disaster Search Dog Foundation, Inc.	/org/national-disaster-search-dog-foundation-inc
JustGive	/org/justgive-1
Youth Science Center	/org/youth-science-center
10,000 Degrees	/org/10-000-degrees
International Humanity Foundation	/org/international-humanity-foundation-1
Medical Education Cooperation With Cuba	/org/medical-education-cooperation-with-cuba
Pusong Pinoy (Heart of a Filipino)	/org/pusong-pinoy-heart-of-a-filipino
Foundation for His Ministry	/org/foundation-for-his-ministry
Save The Ta-Tas Foundation	/org/save-the-ta-tas-foundation
Momentum Tutoring	/org/momentum-tutoring
Fulfillment Fund	/org/fulfillment-fund
Project Homeless Connect	/org/project-homeless-connect
ACTERRA: Action for a Healthy Planet	/org/acterra-action-for-a-healthy-planet
Mickaboo Companion Bird Rescue	/org/mickaboo-companion-bird-rescue
Pachamama Alliance	/org/pachamama-alliance
Hope For Paws	/org/hope-for-paws
The Sean O'Shea Foundation	/org/the-sean-oshea-foundation
W.O.M.A.N., Inc. - Women Organized to Make Abuse Non Existent Inc	/org/w-o-m-a-n-inc-women-organized-to-make-abuse-non-existent-inc
Life Group LA Inc	/org/life-group-la-inc
Corazon De Vida Foundation	/org/corazon-de-vida-foundation
Best Day Foundation	/org/best-day-foundation
Safe Haven Horse Rescue & Sanctuary	/org/safe-haven-horse-rescue-sanctuary
Los Padres Forestwatch	/org/los-padres-forestwatch
Kitten Rescue	/org/kitten-rescue
Camp Unalayee Association	/org/camp-unalayee-association
German Shepherd Safe Haven Inc	/org/german-shepherd-safe-haven-inc
Playworks	/org/playworks-1
Solve Me Cfs Initiative Inc	/org/solve-me-cfs-initiative-inc
Dancin Power	/org/dancin-power
SHARE! High School Exchange Program	/org/share-high-school-exchange-program
Gentle Barn Foundation	/org/gentle-barn-foundation
The Corneal Dystrophy Foundation	/org/the-corneal-dystrophy-foundation
ANIMAL RESCUE MEDIA & EDUCATION dba BEAGLE FREEDOM PROJECT	/org/animal-rescue-media-education-dba-beagle-freedom-project
Talk About Curing Autism	/org/talk-about-curing-autism
Shanti Project	/org/shanti-project
American Committee For Melabev Inc	/org/american-committee-for-melabev-inc
Clinica Verde	/org/clinica-verde
Mojave Environmental Education Consortium	/org/mojave-environmental-education-consortium
ARA Canine Rescue Inc. dba Alleys Rescued Angels	/org/ara-canine-rescue-inc-dba-alleys-rescued-angels
Fiv Cat Rescue	/org/fiv-cat-rescue
Generation Rescue Inc	/org/generation-rescue-inc
All Peoples Community Center	/org/all-peoples-community-center
Just Detention International, Inc.	/org/just-detention-international-inc
Wells Bring Hope	/org/wells-bring-hope
WHW	/org/whw
Room To Read	/org/room-to-read
Heal One World	/org/heal-one-world
Spirit Led Ministries	/org/spirit-led-ministries
Support For Families of Children With Disabilities	/org/support-for-families-of-children-with-disabilities
Young Storytellers	/org/young-storytellers
The Kris Kelly Foundation	/org/the-kris-kelly-foundation
CORD USA	/org/cord-usa-1
Planetread	/org/planetread
Elemental Strings and Band	/org/elemental-strings-and-band
Activated Ministries	/org/activated-ministries
Newport Mesa Proliteracy	/org/newport-mesa-proliteracy
CASA of Sonoma County (Court Appointed Special Advocates of Sonoma County)	/org/casa-of-sonoma-county-court-appointed-special-advocates-of-sonoma-county
The Miller Institute for Learning with Technology	/org/the-miller-institute-for-learning-with-technology
Chicuchas Wasi	/org/chicuchas-wasi
La Casa De Las Madres	/org/la-casa-de-las-madres
Open Medicine Foundation	/org/open-medicine-foundation
Didi Hirsch Mental Health Services	/org/didi-hirsch-mental-health-services
Environmental Volunteers, Inc.	/org/environmental-volunteers-inc
Actors & Others For Animals	/org/actors-others-for-animals
Spirituality For Kids International Inc	/org/spirituality-for-kids-international-inc
Living Waters Publications	/org/living-waters-publications
Just Lovin Music Studios	/org/just-lovin-music-studios
EDGE Youth Leadership (formerly NCYLS)	/org/edge-youth-leadership-formerly-ncyls
Center For Living and Learning	/org/center-for-living-and-learning
The Pollination Project Foundation	/org/the-pollination-project-foundation
Equi-Ed, Inc.	/org/equi-ed-inc
Save A Kitty Inc	/org/save-a-kitty-inc-1
Jewish Gateways	/org/jewish-gateways-1
California State Parks Foundation	/org/california-state-parks-foundation
Los Alamitos Youth Center Inc	/org/los-alamitos-youth-center-inc
Dustys Riders	/org/dustys-riders
Kids for Peace	/org/kids-for-peace
ETM-LA Inc.	/org/etm-la-inc
One Warm Coat	/org/one-warm-coat
Peninsula College Fund	/org/peninsula-college-fund
Art & Creativity for Healing Inc	/org/art-creativity-for-healing-inc
EMQ FamiliesFirst	/org/emq-familiesfirst
College Area Pregnancy Services Inc	/org/college-area-pregnancy-services-inc
Senior Volunteer Services	/org/senior-volunteer-services-1
Hospice by the Bay	/org/hospice-by-the-bay
Soi Dog Foundation USA	/org/soi-dog-foundation-usa
The Coming Home Project	/org/the-coming-home-project
Animal Place	/org/animal-place
Brain Rehabilitation And Injury Network (B.R.A.I.N.)	/org/brain-rehabilitation-and-injury-network-b-r-a-i-n
Adopt A Family of Marin	/org/adopt-a-family-of-marin
California ReLeaf	/org/california-releaf
Orang Utan Republik Foundation Inc	/org/orang-utan-republik-foundation-inc
Santa Claus Incorporated of Greater San Bernardino	/org/santa-claus-incorporated-of-greater-san-bernardino
Silicon Valley Shakespeare	/org/silicon-valley-shakespeare
River Ganga Foundation	/org/river-ganga-foundation
The Art of Yoga Project	/org/the-art-of-yoga-project
Operation Freedoms Paws	/org/operation-freedoms-paws
Sacramento SPCA	/org/sacramento-spca
Animal Compassion Team of California	/org/animal-compassion-team-of-california
Stray Cat Alliance	/org/stray-cat-alliance-1
Busted Foundation	/org/busted-foundation
Heaven Can Wait Equine Sanctuary for Healing and Learning	/org/heaven-can-wait-equine-sanctuary-for-healing-and-learning
All About Equine Animal Rescue, Inc.	/org/all-about-equine-animal-rescue-inc
Mira Costa College Foundation	/org/mira-costa-college-foundation
Children's Burn Foundation	/org/childrens-burn-foundation
World of Children Award	/org/world-of-children-award
Free Arts for Abused Children	/org/free-arts-for-abused-children
Orange County Womens Chorus	/org/orange-county-womens-chorus
Fristers	/org/fristers
East Palo Alto Kids Foundation	/org/east-palo-alto-kids-foundation
Organic Soup Kitchen	/org/organic-soup-kitchen
African Library Project	/org/african-library-project
Shopping for a Change	/org/shopping-for-a-change
San Diego Brain Injury Foundation	/org/san-diego-brain-injury-foundation
The Freedom Story (Formerly The SOLD Project)	/org/the-freedom-story-formerly-the-sold-project
Institute for Food and Development Policy Inc	/org/institute-for-food-and-development-policy-inc
