org_name	org_url
The Wild Animal Sanctuary	/org/the-wild-animal-sanctuary
Young Life	/org/young-life
Knights of Heroes Foundation	/org/knights-of-heroes-foundation
Humanity's Team	/org/humanitys-team
Cranio Care Bears	/org/cranio-care-bears
International Midwife Assistance, Inc.	/org/international-midwife-assistance-inc
Trees, Water & People	/org/trees-water-people
El Porvenir	/org/el-porvenir
Women Global Empowerment Fund	/org/womens-global-empowerment-fund
National Mill Dog Rescue	/org/national-mill-dog-rescue
The Chelsea Hutchison Foundation	/org/the-chelsea-hutchison-foundation
Healthquarters Ministries Inc	/org/healthquarters-ministries-inc
Akshaya USA	/org/akshaya-usa
Pandas International	/org/pandas-international
Judaism Your Way	/org/judaism-your-way
Earth Force, Inc.	/org/earth-force-inc
Telluride Historical Museum Inc	/org/telluride-historical-museum-inc
Angel Covers	/org/angel-covers
Invisible Disabilities Association	/org/invisible-disabilities-association
Compassion International, Inc.	/org/compassion-international-inc
Aurora Warms the Night Inc.	/org/aurora-warms-the-night-inc
Chihuahua & Small Dog Rescue Inc	/org/chihuahua-small-dog-rescue-inc
Brent Eley Foundation	/org/brent-eley-foundation
Big Cats of Serenity Springs Inc	/org/big-cats-of-serenity-springs-inc
Tri Lakes Cares	/org/tri-lakes-cares
Testicular Cancer Awareness Foundation	/org/testicular-cancer-awareness-foundation
Walking Mountains Science Center	/org/walking-mountains-science-center
The Home Front Cares	/org/the-home-front-cares
Empowerment International Inc	/org/empowerment-international-inc
Rural Orphans & Widows Aids Network Inc	/org/rural-orphans-widows-aids-network-inc
Spring Creek Horse Rescue	/org/spring-creek-horse-rescue
Adam's Camp	/org/adams-camp-1
First Descent	/org/first-descents
Animal Rescue and Adoption Society	/org/animal-rescue-and-adoption-society
River Network	/org/river-network
Project V.E.T.S.	/org/project-v-e-t-s
Nurse-Family Partnership	/org/nurse-family-partnership
Nature's Educators	/org/natures-educators
Generations of Virtue	/org/generations-of-virtue
Orphans Tree Inc	/org/orphans-tree-inc
Asian Hope	/org/asian-hope
Volunteers for Outdoor Colorado	/org/volunteers-for-outdoor-colorado-1
BeadforLife	/org/beadforlife
Angels of Americas Fallen	/org/angels-of-americas-fallen
Women Work Together	/org/women-work-together
Lily Grace Foundation	/org/lily-grace-foundation
Energy Outreach Colorado	/org/energy-outreach-colorado
John Austin Cheley Foundation	/org/john-austin-cheley-foundation
Pinups for Charity	/org/pinups-for-charity
Compassion & Choices	/org/compassion-choices
Erica Raes Kids Inc	/org/erica-raes-kids-inc
Conejos Clean Water	/org/conejos-clean-water
Global Refuge International	/org/global-refuge-international
Prairie Wildlife Research, Inc.	/org/prairie-wildlife-research-inc
Anchor Center for Blind Children	/org/anchor-center-for-blind-children
Re:Vision	/org/re-vision
Hope House of Colorado	/org/hope-house-of-colorado
Africa Development Promise	/org/africa-development-promise
Longhopes Donkey Shelter Inc	/org/longhopes-donkey-shelter-inc
Children's Global Alliance	/org/childrens-global-alliance
Hearts & Horses	/org/hearts-horses
Healthy Learning Paths Incorporated	/org/healthy-learning-paths-incorporated
Our Family Orphan Communities, Inc.	/org/our-family-orphan-communities-inc
Colorado House Rabbit Society	/org/colorado-house-rabbit-society
Dolls For Daughters And Kenzis Kidz	/org/dolls-for-daughters-and-kenzis-kidz
Vail Valley Charitable Fund Inc	/org/vail-valley-charitable-fund-inc
National Pancreatic Cancer Foundation	/org/national-pancreatic-cancer-foundation
Ecoflight	/org/ecoflight-1
Global Orphan Prevention	/org/global-orphan-prevention
Zumas Rescue Ranch	/org/zumas-rescue-ranch
SELAH	/org/selah
Ellicott Wildlife Rehabilitation Center	/org/ellicott-wildlife-rehabilitation-center
Harleys Hope Foundation	/org/harleys-hope-foundation
The Maxfund Inc	/org/the-maxfund-inc
Marshall Direct Fund	/org/marshall-direct-fund
Audio Information Network of Colorado	/org/audio-information-network-of-colorado
Denkai Animal Sanctuary	/org/denkai-animal-sanctuary
Project Angel Heart	/org/project-angel-heart
Greatest Generations Foundation	/org/greatest-generations-foundation
Global Action	/org/global-action
Rocky Mountain Puppy Rescue	/org/rocky-mountain-puppy-rescue
Inter-Mountain Humane Society	/org/inter-mountain-humane-society
The Right Step, Inc.	/org/the-right-step-inc
Second Wind Fund Inc	/org/second-wind-fund-inc
One School at a Time	/org/one-school-at-a-time
Breeder Release Adoption Service	/org/breeder-release-adoption-service
iCast International Center for Appropriate & Sustainable Technology	/org/icast-international-center-for-appropriate-sustainable-technology
Hannah Kahn Dance Company	/org/hannah-kahn-dance-company
LightHawk	/org/lighthawk
Goodwill Industries of Denver	/org/goodwill-industries-of-denver
FC Public Media	/org/fc-public-media
Wildlands Restoration Volunteers	/org/wildlands-restoration-volunteers
Peruvian Hearts	/org/peruvian-hearts
Denver Pet Partners	/org/denver-pet-partners
National Coalition Against Domestic Violence	/org/national-coalition-against-domestic-violence
Youth for Christ International	/org/youth-for-christ-international
Freedom Service Dogs, Inc.	/org/freedom-service-dogs-inc
Tindakan	/org/tindakan
Starfish One by One	/org/starfish-one-by-one
Kyle David Miller Foundation	/org/kyle-david-miller-foundation
Art For the Nations	/org/art-for-the-nations
Live the Victory, Inc/ dba The Matthews House	/org/live-the-victory-inc-dba-the-matthews-house
Village Earth	/org/village-earth
Action in Africa Inc.	/org/action-in-africa-inc
Scott Brookins Ministries	/org/scott-brookins-ministries
Discover Goodwill of Southern and Western Colorado	/org/discover-goodwill-of-southern-and-western-colorado
Angel Service Dogs	/org/angel-service-dogs
Community Food Share, Inc.	/org/community-food-share-inc
Y360	/org/y360
Crowley Foundation Inc	/org/crowley-foundation-inc
International Hearing Dog, Inc.	/org/international-hearing-dog-inc
Operation Interdependence	/org/operation-interdependence
ONE Freedom Inc	/org/one-freedom-inc
Fetal Health Foundation	/org/fetal-health-foundation
CILS Benefactors Inc.	/org/cils-benefactors-inc
Respite Care, Inc	/org/respite-care-inc
The Greenway Foundation Inc	/org/the-greenway-foundation-inc
Saving Moses	/org/saving-moses
Dream Power Animal Rescue Foundation	/org/dream-power-animal-rescue-foundation
American Indian College Fund	/org/american-indian-college-fund-1
Inside the Orchestra, JSG	/org/inside-the-orchestra-jsg
Brendan B. McGinnis Congenital CMV Foundation	/org/brendan-b-mcginnis-congenital-cmv-foundation
Jewish Mosaic: The National Center for Sexual and Gender Diversity	/org/jewish-mosaic-the-national-center-for-sexual-and-gender-diversity
GlobalMindED	/org/globalminded
Dreamcatchers Equine Rescue Llc	/org/dreamcatchers-equine-rescue-llc
Food for Orphans	/org/food-for-orphans
Stymie Canine Cancer Foundation	/org/stymie-canine-cancer-foundation
A Face to Reframe	/org/a-face-to-reframe
Lost For A Reason	/org/lost-for-a-reason
Temple Grandin School	/org/temple-grandin-school
Ute Springs Experiential Learning Center Inc	/org/ute-springs-experiential-learning-center-inc
HERA Women's Cancer Foundation	/org/hera-womens-cancer-foundation
Rowan Tree Foundation	/org/rowan-tree-foundation
Mountainfilm Ltd	/org/mountainfilm-ltd
Smart-Girl Inc	/org/smart-girl-inc
DAT Minyan	/org/dat-minyan
Children's Future International	/org/childrens-future-international
Almost Home Inc	/org/almost-home-inc
Bright by Three (Formerly Colorado Bright Beginnings)	/org/bright-by-three-formerly-colorado-bright-beginnings
All Breed Rescue & Training	/org/all-breed-rescue-training
Delta County Citizens for Animal Welfare and Shelter (CAWS)	/org/delta-county-citizens-for-animal-welfare-and-shelter-caws
Durango Arts Center Inc	/org/durango-arts-center-inc
Adventures in Preservation	/org/adventures-in-preservation
Stephen T Marchello Scholarship Foundation	/org/stephen-t-marchello-scholarship-foundation
Relationship Resources Inc	/org/relationship-resources-inc
Great Old Broads for Wilderness	/org/great-old-broads-for-wilderness
Rocky Mountain Cancer Assistance	/org/rocky-mountain-cancer-assistance
The Childrens Treehouse Foundation	/org/the-childrens-treehouse-foundation
Mountain Harvest Creative	/org/mountain-harvest-creative
Mountain Valley Horse Rescue	/org/mountain-valley-horse-rescue
Children's Outreach Project	/org/childrens-outreach-project
Rocky Mountain Health Care Services	/org/rocky-mountain-health-care-services
YMCA of Pueblo Colo	/org/ymca-of-pueblo-colo
Ahava Ministries	/org/ahava-ministries-1
Rocky Mountain CRPS/RSD	/org/rocky-mountain-crps-rsd
A World Aware Inc	/org/a-world-aware-inc
Colorado Families for Hands & Voices	/org/colorado-families-for-hands-voices
Ark-Valley Humane Society Inc	/org/ark-valley-humane-society-inc
Early Childhood Partners Inc	/org/early-childhood-partners-inc
Ear Community	/org/ear-community
Ukraine Orphan Outreach	/org/ukraine-orphan-outreach
Coloradogs Rescue And Rehab	/org/coloradogs-rescue-and-rehab
National Association for Premenstrual Dysphoric Disorder (NAPMDD)	/org/national-association-for-premenstrual-dysphoric-disorder-napmdd
Conservation Lands Foundation	/org/conservation-lands-foundation
Joseph's Journey	/org/josephs-journey
Places in the Fathers Heart Inc	/org/places-in-the-fathers-heart-inc
CASA Of The Pikes Peak Region, Inc.	/org/casa-of-the-pikes-peak-region-inc
Project Education Sudan	/org/project-education-sudan
Helping the Homeless Colorado	/org/helping-the-homeless-colorado
Thirst-Aid	/org/thirst-aid
Denver Art Society	/org/denver-art-society
Wild Connections, Inc.	/org/wild-connections-inc
Afghans4tomorrow Inc.	/org/afghans4tomorrow-inc
FoCo Cafe (Feeding Our Community Ourselves, Inc.)	/org/foco-cafe-feeding-our-community-ourselves-inc
Gabriel Foundation	/org/gabriel-foundation-3
Coalition for the Upper South Platte (CUSP)	/org/coalition-for-the-upper-south-platte-cusp
Laboratory to Combat Human Trafficking	/org/laboratory-to-combat-human-trafficking
Colorado Open Lands	/org/colorado-open-lands
Sand Creek Regional Greenway Partnership Inc	/org/sand-creek-regional-greenway-partnership-inc
Discos Dogs Inc	/org/discos-dogs-inc
Viva Network North America	/org/viva-network-north-america
Realities For Children	/org/realities-for-children
Bethesda Foundation Inc	/org/bethesda-foundation-inc
Wild Wings Environmental Education	/org/wild-wings-environmental-education
Open Studios, Inc.	/org/open-studios-inc
Sporting Woman Community Fund	/org/sporting-woman-community-fund
League For Animals And People Of The Summit	/org/league-for-animals-and-people-of-the-summit
Just One Day Ltd.	/org/just-one-day-ltd
Colorado Art Ranch	/org/colorado-art-ranch
Boulder Valley Women's Health Center	/org/boulder-valley-womens-health-center
The Butterfly Pavilion	/org/the-butterfly-pavilion
Boldereach	/org/boldereach
The Hep C Connection	/org/the-hep-c-connection
Hug It Forward Inc	/org/hug-it-forward-inc
Grace Family Foundation Inc	/org/grace-family-foundation-inc
Corcovado Foundation	/org/corcovado-foundation
Western Colorado Potbelly Pig Educational Health Center Inc	/org/western-colorado-potbelly-pig-educational-health-center-inc
Adaptive Sports Center Of Crested Butte Inc	/org/adaptive-sports-center-of-crested-butte-inc
Second Chance Wildlife Rehabilation Inc	/org/second-chance-wildlife-rehabilation-inc
Ralston House	/org/ralston-house-1
Dress for Success Denver Ltd	/org/dress-for-success-denver-ltd
Andrew Wommack Ministries Inc	/org/andrew-wommack-ministries-inc
A Childs Song Inc	/org/a-childs-song-inc
Hands of the Carpenter	/org/hands-of-the-carpenter
Food Bank of the Rockies	/org/food-bank-of-the-rockies
United States Olympic Committee	/org/united-states-olympic-committee
International Medical Relief	/org/international-medical-relief
Water for People	/org/water-for-people
Edge of Seven Inc	/org/edge-of-seven-inc
Disabled Sports USA	/org/disabled-sports-usa-6
Steamboat Springs Discovery Learning Center	/org/steamboat-springs-discovery-learning-center
Asian Pacific Development Center Of Colorado	/org/asian-pacific-development-center-of-colorado
Rocky Mountain Biological Laboratory At Gothic	/org/rocky-mountain-biological-laboratory-at-gothic
The First Tee of Denver	/org/the-first-tee-of-denver
Colorado Miners Inc	/org/colorado-miners-inc
Indigo Mountain Nature Center, Inc.	/org/indigo-mountain-nature-center-inc
Brain Injury Alliance of Colorado	/org/brain-injury-alliance-of-colorado
Stride	/org/stride
Africa Hope Community	/org/africa-hope-community
Girls Education International	/org/girls-education-international
Tierra Sagrada The Sacred Earth Foundation	/org/tierra-sagrada-the-sacred-earth-foundation
Colorado Animal Welfare League	/org/colorado-animal-welfare-league
Fallen Angel Aviator Foundation	/org/fallen-angel-aviator-foundation
Uniformed Services Justice & Advocacy Group (USJAG)	/org/uniformed-services-justice-advocacy-group-usjag
Archway Foal Rescue And Training	/org/archway-foal-rescue-and-training
My Baby Angel Foundation	/org/my-baby-angel-foundation
Conservation Legacy	/org/conservation-legacy
Impact On Education	/org/impact-on-education
Warren Village, Inc.	/org/warren-village-inc
Now I Lay Me Down To Sleep	/org/now-i-lay-me-down-to-sleep-1
Peopleweaver Inc	/org/peopleweaver-inc
Colorado Organization for Victim Assistance	/org/colorado-organization-for-victim-assistance
Mountain Song Community School Llc	/org/mountain-song-community-school-llc
Red Rock Canyon Foundation	/org/red-rock-canyon-foundation
His Song Evangelistic Outreach Ministries	/org/his-song-evangelistic-outreach-ministries
Larimer Humane Society	/org/larimer-humane-society
Cloud Foundation	/org/cloud-foundation
PSC Partners Seeking A Cure	/org/psc-partners-seeking-a-cure
Humane Society Of The Pikes Peak Region	/org/humane-society-of-the-pikes-peak-region
